fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
Genymobile/scrcpy,1,1,0,1,1,1,1,0,0,58323,58323,6082,3,Genymobile/scrcpy,Genymobile/scrcpy,26,264,290,110,370808,27,138,1762,921,1854,2775,7,263,2017-11-21 18:00:27,1599,231.8999374609131,0.0687929956222639,0.0863039399624765,0.0168855534709193,1.1019387116948092,5.111111111111111,0
netdata/netdata,0,1,0,1,0,1,1,1,0,56950,56950,5120,4,netdata/netdata,netdata/netdata,91,5584,5675,575,435971,30,131,13491,183,6364,6547,0,290,2013-06-17 18:39:10,3217,135.52098228162885,0.1787379546161019,0.0407211687907988,0.0093254585017096,4.193658688218838,4.366666666666666,0
redis/redis,0,1,0,1,0,0,1,1,0,52099,52099,20373,1,redis/redis,redis/redis,452,4509,4961,671,0,28,0,11000,1606,3676,5282,6,53,2009-03-21 22:32:25,4766,0.0,0.1407889215274863,0.0,0.0058749475451112,2.3080151070079733,0.0,0
obsproject/obs-studio,0,1,0,0,0,0,1,1,0,33638,33638,5385,7,obsproject/obs-studio,obsproject/obs-studio,151,3741,3892,555,362213,30,83,10536,483,1501,1984,0,20,2013-10-01 02:40:31,3111,116.42976534876246,0.1783992285438765,0.0266795242687238,0.0096432015429122,3.3866923818707813,2.7666666666666666,0
ventoy/Ventoy,1,1,0,1,0,0,1,0,1,28939,28939,2157,16,ventoy/Ventoy,ventoy/Ventoy,44,173,217,60,511899,30,87,623,257,902,1159,0,58,2020-03-10 15:19:19,759,674.4387351778656,0.0790513833992094,0.1146245059288537,0.0395256916996047,0.8208168642951251,2.9,0
FFmpeg/FFmpeg,0,1,0,1,0,1,1,1,0,27167,27167,8946,8,FFmpeg/FFmpeg,FFmpeg/FFmpeg,1,373,374,2144,8154,11,9,105885,0,0,0,0,11,2011-04-14 14:12:38,4012,2.032402791625125,0.5343968095712861,0.0022432701894317,0.002741774675972,26.39207377866401,0.8181818181818182,0
curl/curl,1,1,0,1,0,1,1,0,0,22742,22742,4761,10,curl/curl,curl/curl,45,0,45,1086,43790,30,240,28334,19,3182,3201,1,37,2010-03-18 22:32:22,4404,9.943233424159857,0.2465940054495912,0.0544959128065395,0.0068119891008174,6.43369663941871,8.0,0
emscripten-core/emscripten,0,1,0,0,0,1,0,0,0,21511,21511,2700,20,emscripten-core/emscripten,emscripten-core/emscripten,235,8811,9046,743,0,1,0,23873,984,6249,7233,0,14,2011-02-12 05:23:30,4073,0.0,0.1824208200343727,0.0,0.0002455192732629,5.861281610606433,0.0,0
SamyPesse/How-to-Make-a-Computer-Operating-System,0,1,0,0,0,1,1,0,0,19634,19634,3358,15,SamyPesse/How-to-Make-a-Computer-Operating-System,SamyPesse/How-to-Make-a-Computer-Operating-System,39,55,94,40,0,1,0,243,44,27,71,1,34,2013-11-29 17:36:32,3052,0.0,0.0131061598951507,0.0,0.0003276539973787,0.0796199213630406,0.0,1
coolsnowwolf/lede,1,0,0,0,1,0,0,0,0,18866,18866,15686,12,coolsnowwolf/lede,coolsnowwolf/lede,3,0,3,346,32313,2,3,4319,275,6048,6323,0,27,2017-09-06 07:39:03,1675,19.29134328358209,0.2065671641791044,0.0017910447761194,0.0011940298507462,2.578507462686567,1.5,0
