fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
kubernetes/kubernetes,0,0,0,1,0,0,1,0,0,83290,83290,30461,1,kubernetes/kubernetes,4059.0,4009.0,30.0,30.0,106844.0,1619.0,38754.0,40373.0,598.0,67288.0,67886.0,2.0,186.0,kubernetes/kubernetes,2014-06-06 22:56:04,2863,1.4002794271742929,1.4177436255675864,0.0104785190359762,0.0104785190359762,37.318896262661546,1.0,1
moby/moby,0,1,0,0,0,1,1,0,0,61716,61716,17839,3,moby/moby,2615.0,0.0,30.0,0.0,43637.0,3952.0,17341.0,21293.0,288.0,21518.0,21806.0,1.0,193.0,moby/moby,2013-01-18 18:10:57,3367,0.0,0.7766557766557767,0.0,0.0089100089100089,12.96020196020196,0.0,1
gohugoio/hugo,0,1,0,1,0,1,1,1,0,55628,55628,6312,4,gohugoio/hugo,799.0,78934.0,30.0,795.0,6904.0,607.0,5242.0,5849.0,62.0,3593.0,3655.0,7.0,131.0,gohugoio/hugo,2013-07-04 15:26:26,3200,24.666875,0.2496875,0.2484375,0.009375,2.1575,26.5,1
gin-gonic/gin,1,1,0,1,0,0,1,0,0,53567,53567,6078,5,gin-gonic/gin,369.0,0.0,20.0,0.0,1546.0,390.0,1386.0,1776.0,104.0,1171.0,1275.0,15.0,334.0,gin-gonic/gin,2014-06-16 23:57:25,2853,0.0,0.1293375394321766,0.0,0.0070101647388713,0.5418857343147564,0.0,1
fatedier/frp,1,1,0,1,1,1,1,1,0,51367,51367,9342,6,fatedier/frp,87.0,92327.0,30.0,397.0,983.0,90.0,2177.0,2267.0,2.0,542.0,544.0,0.0,100.0,fatedier/frp,2015-12-21 15:24:59,2300,40.14217391304348,0.0378260869565217,0.1726086956521739,0.0130434782608695,0.4273913043478261,13.233333333333333,1
syncthing/syncthing,1,1,0,1,0,1,1,1,0,41718,41718,3265,7,syncthing/syncthing,300.0,1394.0,30.0,900.0,6769.0,295.0,4496.0,4791.0,7.0,3378.0,3385.0,8.0,80.0,syncthing/syncthing,2013-11-26 09:48:21,3055,0.4563011456628478,0.0981996726677577,0.2945990180032733,0.0098199672667757,2.215711947626841,30.0,1
junegunn/fzf,1,1,0,1,0,1,1,0,0,40704,40704,1765,8,junegunn/fzf,211.0,114403.0,14.0,164.0,2091.0,239.0,1853.0,2092.0,42.0,533.0,575.0,10.0,286.0,junegunn/fzf,2013-10-23 16:04:23,3089,37.03561022984785,0.0683068954354159,0.0530916154095176,0.0045322110715441,0.6769180964713499,11.714285714285714,1
prometheus/prometheus,0,1,0,1,0,1,1,1,0,39900,39900,6632,9,prometheus/prometheus,820.0,48540.0,30.0,900.0,9807.0,416.0,4038.0,4454.0,197.0,5591.0,5788.0,3.0,117.0,prometheus/prometheus,2012-11-24 11:14:12,3422,14.18468731735827,0.2396259497369959,0.2630040911747516,0.0087668030391583,2.865867913500877,30.0,1
v2ray/v2ray-core,1,1,0,0,0,1,1,0,0,38672,38672,8305,11,v2ray/v2ray-core,101.0,167284.0,30.0,870.0,5387.0,18.0,2407.0,2425.0,8.0,441.0,449.0,1.0,64.0,v2ray/v2ray-core,2015-09-04 11:42:53,2408,69.4700996677741,0.0419435215946843,0.3612956810631229,0.0124584717607973,2.237126245847176,29.0,1
etcd-io/etcd,0,1,0,1,1,1,1,1,0,38097,38097,8168,12,etcd-io/etcd,846.0,13268.0,30.0,194.0,17718.0,128.0,5559.0,5687.0,43.0,8004.0,8047.0,16.0,322.0,etcd-io/etcd,2013-07-06 21:57:21,3198,4.148843026891807,0.2645403377110694,0.0606629143214509,0.0093808630393996,5.5403377110694185,6.466666666666667,1
