spearman_coefficient,p-value,Category1,Category2
0.08819477274048473,0.4425837643878403,C0,C1
-0.1001769390944254,0.38285248089259727,C0,C2
0.23151127844377242,0.04140630744895268,C0,C3
0.2272878614676503,0.045368933743430116,C0,C4
0.09614934267017725,0.4023674071550788,C0,C5
0.07428115528556134,0.5180621049764425,C0,C6
0.03220417765600346,0.7795540649751046,C0,C7
0.030055111492708498,0.7939282468894647,C0,C8
0.08819477274048472,0.4425837643878403,C1,C0
-0.2672612419124244,0.018006636265954976,C1,C2
0.11363636363636365,0.32187153735523977,C1,C3
0.21671174268324642,0.05668136554779667,C1,C4
0.06319960655494679,0.582523644764293,C1,C5
0.2635338330629128,0.01973944646553246,C1,C6
0.29322520755327075,0.009176067314410803,C1,C7
0.09913631941932194,0.38783931403228444,C1,C8
-0.10017693909442539,0.38285248089259727,C2,C0
-0.2672612419124244,0.018006636265954976,C2,C1
-0.2672612419124244,0.018006636265954976,C2,C3
-0.0782684452520678,0.4957867632448222,C2,C4
-0.15662383129978824,0.17087448476059106,C2,C5
-0.24365796154926908,0.03157909746400464,C2,C6
-0.09759000729485331,0.3953207664288181,C2,C7
-0.02649529584663477,0.8178877489552844,C2,C8
0.23151127844377237,0.04140630744895268,C3,C0
0.11363636363636365,0.32187153735523977,C3,C1
-0.2672612419124244,0.018006636265954976,C3,C2
-0.0878561118986134,0.4443444784578442,C3,C4
-0.01149083755544487,0.9204641046983157,C3,C5
0.35612680143636866,0.0013740084758795757,C3,C6
0.005532551085910768,0.961657555025571,C3,C7
0.09913631941932194,0.38783931403228444,C3,C8
0.2272878614676503,0.045368933743430116,C4,C0
0.21671174268324642,0.05668136554779667,C4,C1
-0.0782684452520678,0.4957867632448222,C4,C2
-0.08785611189861342,0.4443444784578442,C4,C3
0.09550251333356362,0.405555065719189,C4,C5
0.03487559716518173,0.7617890679778531,C4,C6
-0.032080516201045725,0.7803792337473993,C4,C7
0.08941991080710514,0.43624698179021115,C4,C8
0.09614934267017725,0.4023674071550788,C5,C0
0.06319960655494679,0.582523644764293,C5,C1
-0.15662383129978824,0.17087448476059106,C5,C2
-0.011490837555444871,0.9204641046983157,C5,C3
0.09550251333356362,0.405555065719189,C5,C4
0.151247535495505,0.18622331990144664,C5,C6
0.13216960960863816,0.24869981322510956,C5,C7
-0.07518451659128011,0.5129713423404898,C5,C8
0.07428115528556134,0.5180621049764425,C6,C0
0.2635338330629127,0.019739446465532474,C6,C1
-0.24365796154926908,0.03157909746400464,C6,C2
0.3561268014363686,0.0013740084758795785,C6,C3
0.03487559716518174,0.7617890679778531,C6,C4
0.151247535495505,0.18622331990144664,C6,C5
0.19765946491191375,0.08280184351805331,C6,C7
0.10873970905021,0.34329650404762735,C6,C8
0.03220417765600346,0.7795540649751046,C7,C0
0.29322520755327075,0.009176067314410803,C7,C1
-0.0975900072948533,0.3953207664288183,C7,C2
0.005532551085910769,0.961657555025571,C7,C3
-0.032080516201045725,0.7803792337473993,C7,C4
0.13216960960863816,0.24869981322510956,C7,C5
0.19765946491191377,0.08280184351805325,C7,C6
-0.0814487976210001,0.47838552017731306,C7,C8
0.0300551114927085,0.7939282468894647,C8,C0
0.09913631941932194,0.38783931403228444,C8,C1
-0.026495295846634775,0.8178877489552843,C8,C2
0.09913631941932194,0.38783931403228444,C8,C3
0.08941991080710512,0.43624698179021115,C8,C4
-0.07518451659128011,0.5129713423404898,C8,C5
0.10873970905021,0.34329650404762735,C8,C6
-0.0814487976210001,0.47838552017731306,C8,C7
