spearman_coefficient,p-value,Category1,Category2
0.025085005189559476,0.7883415441106858,C0,C1
nan,nan,C0,C2
0.12167719287463424,0.19125660048072768,C0,C3
0.21060392618223475,0.022655321574690784,C0,C4
0.04977957276938644,0.5940350331313391,C0,C5
-0.02555697864689769,0.7844553489152336,C0,C6
-0.06510733328488617,0.4855382666970659,C0,C7
0.05499742919687797,0.5558967844830496,C0,C8
0.025085005189559476,0.7883415441106858,C1,C0
nan,nan,C1,C2
0.20690961296285704,0.02520016655064712,C1,C3
0.2100923074296599,0.022994041848235083,C1,C4
0.12393749056438944,0.1830789030520094,C1,C5
0.1392715036327889,0.13424082033828558,C1,C6
0.2050936203580955,0.026538150057657323,C1,C7
0.1212924179384295,0.1926747198115293,C1,C8
nan,nan,C2,C0
nan,nan,C2,C1
nan,nan,C2,C3
nan,nan,C2,C4
nan,nan,C2,C5
nan,nan,C2,C6
nan,nan,C2,C7
nan,nan,C2,C8
0.12167719287463426,0.1912566004807276,C3,C0
0.20690961296285706,0.025200166550647166,C3,C1
nan,nan,C3,C2
0.17514254225298048,0.058926325573799156,C3,C4
0.1838290060036116,0.047254986817661784,C3,C5
-0.03338553905574229,0.7208356048908866,C3,C6
0.13437836843172896,0.14860440316526405,C3,C7
0.1240729167463663,0.18259718384831766,C3,C8
0.21060392618223475,0.022655321574690784,C4,C0
0.2100923074296599,0.022994041848235083,C4,C1
nan,nan,C4,C2
0.17514254225298045,0.058926325573799204,C4,C3
0.06929069418092894,0.4578818042918579,C4,C5
-0.012387390878319936,0.8945440641830287,C4,C6
0.17972222981618718,0.05250869562121513,C4,C7
-0.03109993709376427,0.7392354244185659,C4,C8
0.04977957276938644,0.5940350331313391,C5,C0
0.12393749056438942,0.18307890305200944,C5,C1
nan,nan,C5,C2
0.1838290060036116,0.047254986817661784,C5,C3
0.06929069418092894,0.4578818042918579,C5,C4
0.23836564731139806,0.009651992528714478,C5,C6
0.42708617093345164,1.5698133411415794e-06,C5,C7
0.18898223650461365,0.041287148346757827,C5,C8
-0.02555697864689769,0.7844553489152336,C6,C0
0.1392715036327889,0.13424082033828558,C6,C1
nan,nan,C6,C2
-0.033385539055742285,0.7208356048908866,C6,C3
-0.012387390878319934,0.8945440641830287,C6,C4
0.23836564731139806,0.009651992528714478,C6,C5
0.20744695343336314,0.02481548650950239,C6,C7
0.0900937462695559,0.33403610968654307,C6,C8
-0.06510733328488617,0.4855382666970659,C7,C0
0.20509362035809553,0.026538150057657306,C7,C1
nan,nan,C7,C2
0.13437836843172896,0.14860440316526405,C7,C3
0.17972222981618718,0.05250869562121513,C7,C4
0.42708617093345164,1.5698133411415794e-06,C7,C5
0.20744695343336314,0.02481548650950239,C7,C6
0.025888658414609845,0.7817274855298484,C7,C8
0.054997429196877966,0.5558967844830496,C8,C0
0.12129241793842949,0.19267471981152934,C8,C1
nan,nan,C8,C2
0.1240729167463663,0.18259718384831766,C8,C3
-0.03109993709376427,0.7392354244185659,C8,C4
0.18898223650461365,0.041287148346757827,C8,C5
0.0900937462695559,0.33403610968654307,C8,C6
0.02588865841460984,0.7817274855298485,C8,C7
