,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.67,0.76,0.71,0.8,0.83,0.78,0.58,0.77,0.86,0.69
C7,-0.02,0.03,0.05,-0.01,0.18,0.04,0.01,0.1,0.08,0.01
C0,0.0,0.0,0.0,0.0,0.06,-0.04,0.01,-0.01,0.02,0.0
C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.01,-0.01,0.02,-0.0,0.0,0.0
C4,0.0,0.0,0.0,0.0,0.12,0.0,-0.01,-0.01,0.0,0.0
C5,0.0,0.08,0.04,-0.01,0.0,0.03,-0.03,0.07,0.05,0.07
C8,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
C1,0.01,0.03,0.04,0.0,0.06,-0.04,0.01,0.01,0.02,0.0
C6,0.02,0.04,0.07,0.03,0.06,-0.02,0.09,0.1,0.2,0.04
