fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
torvalds/linux,0,0,0,0,0,0,1,0,0,122182,122182,40058,0,torvalds/linux,torvalds/linux,316,419,735,29679,0,0,0,1074192,0,0,0,0,46,704.0,180.0,183.0,183.0,183.0,155.0,1
Genymobile/scrcpy,1,1,0,1,1,1,1,0,0,58323,58323,6082,3,Genymobile/scrcpy,Genymobile/scrcpy,26,264,290,110,370808,27,138,1762,921,1854,2775,7,263,675.0,177.0,182.0,171.0,182.0,140.0,1
netdata/netdata,0,1,0,1,0,1,1,1,0,56950,56950,5120,4,netdata/netdata,netdata/netdata,91,5584,5675,575,435971,30,131,13491,183,6364,6547,0,290,707.0,182.0,181.0,168.0,181.0,177.0,1
redis/redis,0,1,0,1,0,0,1,1,0,52099,52099,20373,1,redis/redis,redis/redis,452,4509,4961,671,0,28,0,11000,1606,3676,5282,6,53,716.0,183.0,180.0,180.0,180.0,176.0,1
git/git,0,0,1,0,0,0,0,0,0,40324,40324,22576,2,git/git,git/git,87,938,1025,2230,0,0,0,66077,0,0,0,0,19,699.0,179.0,179.0,181.0,179.0,160.0,1
obsproject/obs-studio,0,1,0,0,0,0,1,1,0,33638,33638,5385,7,obsproject/obs-studio,obsproject/obs-studio,151,3741,3892,555,362213,30,83,10536,483,1501,1984,0,20,698.0,178.0,178.0,169.0,178.0,173.0,1
php/php-src,0,1,0,1,0,1,1,1,0,32784,32784,6949,5,php/php-src,php/php-src,248,7604,7852,1334,0,0,0,127798,82,168,250,3,33,705.0,181.0,177.0,173.0,177.0,178.0,1
wg/wrk,0,1,0,1,0,0,1,0,0,30731,30731,2526,13,wg/wrk,wg/wrk,49,0,49,1,0,0,0,80,111,252,363,0,1,600.0,155.0,176.0,141.0,176.0,107.0,1
bilibili/ijkplayer,1,1,0,1,1,1,0,0,0,29679,29679,7673,6,bilibili/ijkplayer,bilibili/ijkplayer,59,162,221,62,0,0,0,2627,2658,2491,5149,0,178,659.0,172.0,175.0,176.0,175.0,133.0,1
ventoy/Ventoy,1,1,0,1,0,0,1,0,1,28939,28939,2157,16,ventoy/Ventoy,ventoy/Ventoy,44,173,217,60,511899,30,87,623,257,902,1159,0,58,617.0,165.0,174.0,137.0,174.0,132.0,1
FFmpeg/FFmpeg,0,1,0,1,0,1,1,1,0,27167,27167,8946,8,FFmpeg/FFmpeg,FFmpeg/FFmpeg,1,373,374,2144,8154,11,9,105885,0,0,0,0,11,667.0,175.0,173.0,177.0,173.0,144.0,1
ggreer/the_silver_searcher,0,1,0,1,0,0,1,0,0,22958,22958,1312,28,ggreer/the_silver_searcher,ggreer/the_silver_searcher,0,552,552,250,0,0,0,2057,389,402,791,2,151,613.0,164.0,172.0,118.0,172.0,151.0,1
curl/curl,1,1,0,1,0,1,1,0,0,22742,22742,4761,10,curl/curl,curl/curl,45,0,45,1086,43790,30,240,28334,19,3182,3201,1,37,611.0,162.0,171.0,165.0,171.0,104.0,1
cfenollosa/os-tutorial,0,1,0,1,0,0,0,1,0,22081,22081,2715,18,cfenollosa/os-tutorial,cfenollosa/os-tutorial,45,43,88,14,0,0,0,147,54,87,141,1,16,598.0,154.0,170.0,146.0,170.0,112.0,1
pjreddie/darknet,0,0,0,1,0,0,1,0,0,21845,21845,18855,9,pjreddie/darknet,pjreddie/darknet,162,88,250,12,0,0,0,452,1740,526,2266,0,17,652.0,171.0,169.0,179.0,169.0,135.0,1
emscripten-core/emscripten,0,1,0,0,0,1,0,0,0,21511,21511,2700,20,emscripten-core/emscripten,emscripten-core/emscripten,235,8811,9046,743,0,1,0,23873,984,6249,7233,0,14,661.0,173.0,168.0,145.0,168.0,180.0,1
julycoding/The-Art-Of-Programming-By-July,1,0,0,0,1,1,1,1,0,20161,20161,7142,11,julycoding/The-Art-Of-Programming-By-July,julycoding/The-Art-Of-Programming-By-July,21,0,21,120,0,0,0,3646,47,83,130,0,431,601.0,157.0,167.0,174.0,167.0,93.0,1
SamyPesse/How-to-Make-a-Computer-Operating-System,0,1,0,0,0,1,1,0,0,19634,19634,3358,15,SamyPesse/How-to-Make-a-Computer-Operating-System,SamyPesse/How-to-Make-a-Computer-Operating-System,39,55,94,40,0,1,0,243,44,27,71,1,34,606.0,160.0,166.0,159.0,166.0,115.0,1
coolsnowwolf/lede,1,0,0,0,1,0,0,0,0,18866,18866,15686,12,coolsnowwolf/lede,coolsnowwolf/lede,3,0,3,346,32313,2,3,4319,275,6048,6323,0,27,572.0,151.0,165.0,178.0,165.0,64.0,1
libuv/libuv,1,1,0,1,1,1,1,0,0,18531,18531,2992,22,libuv/libuv,libuv/libuv,62,1890,1952,537,0,3,0,4948,104,1315,1419,11,89,647.0,170.0,164.0,151.0,164.0,168.0,1
Awesome-HarmonyOS/HarmonyOS,1,1,0,1,1,0,1,0,0,18373,18373,3319,21,Awesome-HarmonyOS/HarmonyOS,Awesome-HarmonyOS/HarmonyOS,15,31,46,16,0,0,0,78,0,0,0,0,32,588.0,153.0,163.0,157.0,163.0,105.0,1
