fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
tensorflow/tensorflow,0,1,0,1,1,1,1,1,0,161034,161034,85890,0,tensorflow/tensorflow,3720.0,0.0,2.0,0.0,126316.0,2334.0,31882.0,34216.0,332.0,20188.0,20520.0,1.0,247.0,728.0,183.0,183.0,183.0,183.0,179.0,1
bitcoin/bitcoin,0,1,0,1,1,1,1,1,0,59820,59820,30755,1,bitcoin/bitcoin,1075.0,0.0,2.0,0.0,32903.0,607.0,6159.0,6766.0,418.0,16516.0,16934.0,1.0,67.0,722.0,181.0,182.0,182.0,182.0,176.0,1
apple/swift,1,1,0,1,0,0,0,1,0,58057,58057,9297,2,apple/swift,1295.0,0.0,2.0,0.0,132944.0,0.0,0.0,0.0,496.0,41084.0,41580.0,0.0,230.0,721.0,180.0,181.0,177.0,181.0,182.0,1
pytorch/pytorch,1,1,0,1,0,1,1,1,0,52539,52539,14419,3,pytorch/pytorch,3086.0,2499.0,30.0,3.0,44377.0,7715.0,17139.0,24854.0,3640.0,45325.0,48965.0,15.0,203.0,722.0,181.0,180.0,179.0,180.0,183.0,1
protocolbuffers/protobuf,0,1,0,1,0,1,1,0,0,52120,52120,13498,4,protocolbuffers/protobuf,974.0,555315.0,30.0,781.0,9148.0,921.0,3954.0,4875.0,35.0,4548.0,4583.0,0.0,37.0,697.0,177.0,179.0,178.0,179.0,161.0,1
godotengine/godot,0,1,0,1,0,0,1,1,0,44285,44285,7999,5,godotengine/godot,1874.0,1276.0,30.0,347.0,41949.0,5932.0,26451.0,32383.0,1341.0,23744.0,25085.0,4.0,40.0,710.0,179.0,178.0,173.0,178.0,181.0,1
tesseract-ocr/tesseract,1,1,0,1,0,1,1,0,0,43004,43004,7662,6,tesseract-ocr/tesseract,200.0,0.0,2.0,0.0,5954.0,349.0,1933.0,2282.0,9.0,1440.0,1449.0,1.0,76.0,669.0,175.0,177.0,171.0,177.0,144.0,1
x64dbg/x64dbg,1,1,0,1,0,1,1,1,1,37747,37747,1728,7,x64dbg/x64dbg,120.0,4403.0,3.0,5.0,4824.0,485.0,1619.0,2104.0,15.0,670.0,685.0,2.0,55.0,590.0,156.0,176.0,111.0,176.0,127.0,1
grpc/grpc,1,1,0,1,0,0,1,1,0,32601,32601,8565,9,grpc/grpc,883.0,11308.0,30.0,24.0,50586.0,816.0,9243.0,10059.0,252.0,18491.0,18743.0,0.0,74.0,704.0,178.0,175.0,176.0,175.0,178.0,1
BVLC/caffe,0,1,0,0,0,1,1,0,0,32119,32119,18907,10,BVLC/caffe,328.0,0.0,2.0,0.0,4156.0,888.0,3882.0,4770.0,287.0,1936.0,2223.0,0.0,35.0,682.0,176.0,174.0,181.0,174.0,153.0,1
ariya/phantomjs,1,1,0,0,1,1,1,0,0,28628,28628,5825,11,ariya/phantomjs,180.0,0.0,2.0,0.0,1958.0,15.0,4721.0,4736.0,0.0,1051.0,1051.0,11.0,55.0,645.0,168.0,173.0,164.0,173.0,135.0,1
nlohmann/json,0,1,0,1,1,1,1,0,0,27651,27651,4715,12,nlohmann/json,256.0,2431186.0,30.0,110.0,4326.0,29.0,1937.0,1966.0,21.0,703.0,724.0,5.0,565.0,631.0,166.0,172.0,159.0,172.0,128.0,1
google/leveldb,0,1,0,1,0,0,1,1,0,27179,27179,6084,13,google/leveldb,71.0,0.0,2.0,0.0,415.0,150.0,511.0,661.0,58.0,251.0,309.0,9.0,22.0,619.0,162.0,171.0,166.0,171.0,111.0,1
rethinkdb/rethinkdb,1,1,0,1,1,1,1,1,0,25132,25132,1831,14,rethinkdb/rethinkdb,260.0,0.0,2.0,0.0,33438.0,1399.0,4950.0,6349.0,19.0,616.0,635.0,0.0,59.0,580.0,152.0,170.0,115.0,170.0,125.0,1
aria2/aria2,1,1,0,1,1,1,1,0,0,24876,24876,2842,15,aria2/aria2,65.0,222578.0,23.0,174.0,5290.0,854.0,734.0,1588.0,40.0,248.0,288.0,0.0,57.0,577.0,149.0,169.0,129.0,169.0,110.0,1
google/googletest,0,1,0,1,1,0,1,1,0,24348,24348,8071,16,google/googletest,410.0,0.0,2.0,0.0,3858.0,180.0,1708.0,1888.0,32.0,1665.0,1697.0,2.0,92.0,659.0,173.0,168.0,174.0,168.0,149.0,1
microsoft/calculator,0,1,0,1,1,1,1,1,0,23206,23206,4194,17,microsoft/calculator,96.0,0.0,2.0,0.0,721.0,247.0,617.0,864.0,9.0,909.0,918.0,2.0,20.0,619.0,162.0,167.0,152.0,167.0,133.0,1
cmderdev/cmder,1,1,0,1,0,1,1,0,0,23122,23122,1895,18,cmderdev/cmder,160.0,1333634.0,30.0,106.0,1340.0,26.0,2094.0,2120.0,0.0,504.0,504.0,8.0,94.0,566.0,146.0,166.0,117.0,166.0,117.0,1
CMU-Perceptual-Computing-Lab/openpose,0,1,0,1,0,1,1,0,0,22741,22741,6798,19,CMU-Perceptual-Computing-Lab/openpose,98.0,107099.0,15.0,20.0,692.0,131.0,1627.0,1758.0,8.0,213.0,221.0,2.0,136.0,605.0,160.0,165.0,167.0,165.0,108.0,1
topjohnwu/Magisk,0,1,0,1,0,1,1,1,0,22018,22018,4967,20,topjohnwu/Magisk,274.0,26977004.0,30.0,56.0,5637.0,38.0,3958.0,3996.0,10.0,1409.0,1419.0,2.0,75.0,632.0,167.0,164.0,161.0,164.0,143.0,1
dmlc/xgboost,1,1,0,1,0,1,1,1,0,21952,21952,8249,21,dmlc/xgboost,572.0,2599.0,30.0,38.0,5689.0,244.0,4066.0,4310.0,53.0,3348.0,3401.0,0.0,184.0,660.0,174.0,163.0,175.0,163.0,159.0,1
huihut/interview,1,1,0,1,1,1,1,0,0,21470,21470,6003,22,huihut/interview,25.0,0.0,2.0,0.0,365.0,3.0,39.0,42.0,2.0,41.0,43.0,19.0,256.0,579.0,151.0,162.0,165.0,162.0,90.0,1
facebook/rocksdb,0,1,0,0,0,1,1,0,0,21320,21320,4796,23,facebook/rocksdb,900.0,0.0,2.0,0.0,10815.0,414.0,2036.0,2450.0,259.0,6731.0,6990.0,2.0,17.0,649.0,169.0,161.0,160.0,161.0,167.0,1
ClickHouse/ClickHouse,0,1,0,0,0,0,1,0,0,20833,20833,4050,24,ClickHouse/ClickHouse,1325.0,726.0,30.0,468.0,84083.0,1850.0,8970.0,10820.0,190.0,23996.0,24186.0,0.0,149.0,650.0,170.0,160.0,150.0,160.0,180.0,1
mongodb/mongo,1,1,0,1,0,1,1,0,0,20803,20803,5030,25,mongodb/mongo,919.0,0.0,2.0,0.0,63612.0,0.0,0.0,0.0,58.0,1358.0,1416.0,0.0,1.0,622.0,164.0,159.0,162.0,159.0,142.0,1
facebook/folly,0,1,0,1,0,0,1,0,0,20566,20566,4394,26,facebook/folly,1109.0,3273.0,30.0,60.0,10544.0,299.0,600.0,899.0,58.0,741.0,799.0,9.0,45.0,602.0,159.0,158.0,156.0,158.0,130.0,1
apache/incubator-mxnet,0,1,0,0,1,1,1,0,0,19775,19775,6882,27,apache/incubator-mxnet,1001.0,21535.0,30.0,49.0,11804.0,1764.0,7709.0,9473.0,216.0,10728.0,10944.0,0.0,149.0,655.0,171.0,157.0,169.0,157.0,172.0,1
