fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
microsoft/PowerToys,0,1,0,1,1,1,1,1,0,64333,64333,3556,0,microsoft/PowerToys,313.0,7165238.0,30.0,55.0,5768.0,2339.0,11105.0,13444.0,20.0,3429.0,3449.0,2.0,180.0,699.0,180.0,182.0,172.0,182.0,163.0,1
shadowsocks/shadowsocks-windows,0,1,0,1,0,1,1,1,0,53513,53513,16188,1,shadowsocks/shadowsocks-windows,91.0,113682379.0,30.0,43.0,1718.0,71.0,2686.0,2757.0,4.0,458.0,462.0,2.0,81.0,667.0,177.0,181.0,181.0,181.0,124.0,1
PowerShell/PowerShell,1,1,0,1,1,1,1,1,0,31124,31124,4908,2,PowerShell/PowerShell,466.0,107417.0,30.0,681.0,9258.0,3123.0,6795.0,9918.0,93.0,6375.0,6468.0,0.0,316.0,711.0,181.0,180.0,177.0,180.0,174.0,1
dotnet/aspnetcore,0,1,0,0,0,1,1,1,0,26646,26646,7147,3,dotnet/aspnetcore,1195.0,0.0,2.0,0.0,48991.0,2271.0,22893.0,25164.0,50.0,12218.0,12268.0,10.0,41.0,715.0,182.0,179.0,179.0,179.0,178.0,1
2dust/v2rayN,0,0,0,1,1,0,0,0,0,24225,24225,5121,4,2dust/v2rayN,18.0,1214738.0,30.0,60.0,413.0,24.0,1843.0,1867.0,1.0,104.0,105.0,0.0,4.0,636.0,170.0,178.0,178.0,178.0,102.0,1
CodeHubApp/CodeHub,0,0,0,1,0,1,1,1,0,23312,23312,642,5,CodeHubApp/CodeHub,10.0,0.0,2.0,0.0,593.0,234.0,407.0,641.0,1.0,20.0,21.0,2.0,15.0,529.0,135.0,177.0,97.0,177.0,78.0,1
Wox-launcher/Wox,0,1,0,1,0,1,1,1,0,21061,21061,2257,6,Wox-launcher/Wox,130.0,756437.0,30.0,105.0,2749.0,798.0,2397.0,3195.0,10.0,437.0,447.0,7.0,151.0,626.0,165.0,176.0,152.0,176.0,122.0,1
dnSpy/dnSpy,1,1,0,1,0,1,1,0,0,19582,19582,3658,7,dnSpy/dnSpy,31.0,164878.0,1.0,3.0,3932.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,41.0,620.0,163.0,175.0,174.0,175.0,96.0,1
dotnet-architecture/eShopOnContainers,0,1,0,1,1,0,1,0,0,19281,19281,8186,8,dotnet-architecture/eShopOnContainers,200.0,0.0,2.0,0.0,3967.0,34.0,1076.0,1110.0,15.0,695.0,710.0,0.0,180.0,661.0,175.0,174.0,180.0,174.0,133.0,1
ShareX/ShareX,1,1,0,0,0,0,1,0,0,17970,17970,2334,9,ShareX/ShareX,255.0,11601087.0,30.0,62.0,7100.0,350.0,4824.0,5174.0,7.0,923.0,930.0,1.0,50.0,642.0,171.0,173.0,155.0,173.0,141.0,1
mxgmn/WaveFunctionCollapse,1,1,0,1,0,1,1,0,1,17092,17092,885,10,mxgmn/WaveFunctionCollapse,17.0,0.0,2.0,0.0,135.0,0.0,40.0,40.0,0.0,29.0,29.0,0.0,97.0,538.0,137.0,172.0,112.0,172.0,82.0,1
thangchung/awesome-dotnet-core,1,1,0,1,1,1,1,0,0,15409,15409,2426,12,thangchung/awesome-dotnet-core,255.0,0.0,2.0,0.0,1251.0,19.0,51.0,70.0,112.0,601.0,713.0,0.0,1125.0,635.0,168.0,171.0,158.0,171.0,135.0,1
dotnet/roslyn,1,1,0,0,1,1,1,1,0,15254,15254,3471,13,dotnet/roslyn,710.0,21246.0,30.0,2.0,83370.0,8634.0,19269.0,27903.0,407.0,30810.0,31217.0,1.0,117.0,692.0,179.0,170.0,170.0,170.0,182.0,1
files-community/Files,0,1,0,1,0,0,1,1,0,14988,14988,839,14,files-community/Files,217.0,51021.0,30.0,18.0,3342.0,801.0,4899.0,5700.0,16.0,2843.0,2859.0,0.0,62.0,605.0,160.0,169.0,108.0,169.0,159.0,1
DapperLib/Dapper,0,1,0,1,1,1,1,0,0,14287,14287,3432,15,DapperLib/Dapper,218.0,0.0,2.0,0.0,1512.0,293.0,793.0,1086.0,39.0,521.0,560.0,10.0,80.0,633.0,167.0,168.0,169.0,168.0,128.0,1
dotnet/maui,0,1,0,1,0,1,1,1,0,12966,12966,628,17,dotnet/maui,472.0,43.0,20.0,59.0,9066.0,932.0,1531.0,2463.0,69.0,1994.0,2063.0,0.0,112.0,586.0,151.0,167.0,96.0,167.0,156.0,1
jellyfin/jellyfin,0,1,0,1,0,0,1,0,0,12501,12501,1283,18,jellyfin/jellyfin,861.0,644.0,30.0,138.0,22654.0,606.0,3083.0,3689.0,65.0,3216.0,3281.0,1.0,172.0,623.0,164.0,166.0,129.0,166.0,162.0,1
AvaloniaUI/Avalonia,1,1,0,1,0,1,1,1,0,12499,12499,1121,19,AvaloniaUI/Avalonia,288.0,0.0,2.0,0.0,18349.0,1202.0,2659.0,3861.0,29.0,3056.0,3085.0,0.0,127.0,615.0,162.0,165.0,124.0,165.0,161.0,1
huiyadanli/RevokeMsgPatcher,1,0,0,0,0,1,0,0,0,12325,12325,1677,20,huiyadanli/RevokeMsgPatcher,2.0,234548.0,12.0,12.0,169.0,27.0,233.0,260.0,0.0,5.0,5.0,0.0,52.0,523.0,132.0,164.0,139.0,164.0,56.0,1
Unity-Technologies/ml-agents,0,1,0,1,0,1,1,0,0,12058,12058,3216,21,Unity-Technologies/ml-agents,157.0,0.0,2.0,0.0,3382.0,185.0,2441.0,2626.0,15.0,3063.0,3078.0,2.0,125.0,652.0,173.0,163.0,166.0,163.0,160.0,1
MaterialDesignInXAML/MaterialDesignInXamlToolkit,1,1,0,1,0,1,1,1,1,11547,11547,2836,22,MaterialDesignInXAML/MaterialDesignInXamlToolkit,183.0,86419.0,30.0,68.0,2462.0,217.0,1294.0,1511.0,5.0,1070.0,1075.0,5.0,84.0,635.0,168.0,162.0,164.0,162.0,147.0,1
dotnet/efcore,0,1,0,1,0,0,1,1,0,10809,10809,2675,23,dotnet/efcore,341.0,0.0,2.0,0.0,12699.0,1528.0,15917.0,17445.0,18.0,9838.0,9856.0,5.0,52.0,661.0,175.0,161.0,162.0,161.0,177.0,1
Ryujinx/Ryujinx,0,1,0,1,0,1,1,0,0,10415,10415,1261,24,Ryujinx/Ryujinx,110.0,0.0,2.0,0.0,2032.0,302.0,810.0,1112.0,66.0,1945.0,2011.0,0.0,55.0,602.0,159.0,160.0,127.0,160.0,155.0,1
netchx/netch,1,1,0,1,0,1,1,0,1,10220,10220,1617,25,netchx/netch,6.0,428998.0,30.0,30.0,291.0,7.0,603.0,610.0,0.0,184.0,184.0,0.0,10.0,567.0,146.0,159.0,137.0,159.0,112.0,1
QL-Win/QuickLook,1,1,0,1,0,1,1,0,0,10213,10213,788,26,QL-Win/QuickLook,56.0,495104.0,30.0,60.0,818.0,330.0,678.0,1008.0,2.0,89.0,91.0,0.0,76.0,517.0,130.0,158.0,104.0,158.0,97.0,1
OpenRA/OpenRA,0,1,0,1,0,1,1,1,0,10163,10163,2316,27,OpenRA/OpenRA,410.0,45967.0,30.0,261.0,28593.0,1515.0,7119.0,8634.0,91.0,9078.0,9169.0,1.0,38.0,644.0,172.0,157.0,154.0,157.0,176.0,1
aspnetboilerplate/aspnetboilerplate,1,1,0,1,0,1,1,0,0,10020,10020,3522,28,aspnetboilerplate/aspnetboilerplate,219.0,0.0,2.0,0.0,7062.0,191.0,5011.0,5202.0,5.0,1180.0,1185.0,1.0,49.0,631.0,166.0,156.0,171.0,156.0,148.0,1
dotnet/AspNetCore.Docs,0,1,0,0,0,0,1,0,0,9899,9899,23160,29,dotnet/AspNetCore.Docs,1694.0,4540.0,30.0,30.0,13809.0,543.0,11214.0,11757.0,9.0,13409.0,13418.0,1.0,25.0,671.0,178.0,155.0,182.0,155.0,179.0,1
App-vNext/Polly,1,1,0,1,1,1,1,1,1,9894,9894,929,30,App-vNext/Polly,72.0,518.0,27.0,42.0,1000.0,69.0,469.0,538.0,5.0,385.0,390.0,2.0,203.0,541.0,139.0,154.0,115.0,154.0,118.0,1
lionsoul2014/ip2region,1,0,0,1,0,0,0,0,0,9786,9786,1784,31,lionsoul2014/ip2region,36.0,0.0,2.0,0.0,311.0,24.0,129.0,153.0,5.0,47.0,52.0,0.0,43.0,539.0,138.0,153.0,143.0,153.0,90.0,1
mono/mono,0,0,0,1,0,1,0,1,0,9593,9593,3620,32,mono/mono,1325.0,0.0,2.0,0.0,122541.0,2063.0,2750.0,4813.0,93.0,16428.0,16521.0,0.0,55.0,657.0,174.0,152.0,173.0,152.0,180.0,1
JamesNK/Newtonsoft.Json,0,1,0,0,0,0,0,0,0,8964,8964,2944,33,JamesNK/Newtonsoft.Json,125.0,664636.0,30.0,30.0,1853.0,558.0,1473.0,2031.0,67.0,529.0,596.0,0.0,14.0,596.0,156.0,151.0,165.0,151.0,129.0,1
ardalis/CleanArchitecture,0,1,0,1,1,1,1,0,0,8728,8728,1595,34,ardalis/CleanArchitecture,41.0,0.0,2.0,0.0,312.0,14.0,129.0,143.0,14.0,183.0,197.0,1.0,40.0,548.0,142.0,150.0,135.0,150.0,113.0,1
bitwarden/server,0,1,0,1,0,0,1,1,0,8726,8726,737,35,bitwarden/server,99.0,4962.0,30.0,56.0,3315.0,97.0,769.0,866.0,16.0,1007.0,1023.0,0.0,56.0,543.0,140.0,149.0,101.0,149.0,144.0,1
Unity-Technologies/UnityCsReference,0,0,0,0,0,0,1,0,0,8524,8524,1863,36,Unity-Technologies/UnityCsReference,1.0,0.0,2.0,0.0,145.0,0.0,0.0,0.0,2.0,14.0,16.0,0.0,145.0,514.0,127.0,148.0,145.0,148.0,73.0,1
SignalR/SignalR,1,1,0,1,0,1,1,1,1,8508,8508,2283,37,SignalR/SignalR,111.0,0.0,2.0,0.0,4723.0,27.0,3563.0,3590.0,1.0,1025.0,1026.0,0.0,45.0,592.0,154.0,147.0,153.0,147.0,145.0,1
ppy/osu,0,1,0,1,1,1,1,1,0,8485,8485,1423,38,ppy/osu,370.0,143536.0,30.0,329.0,49559.0,764.0,5911.0,6675.0,51.0,8468.0,8519.0,0.0,110.0,599.0,157.0,146.0,132.0,146.0,175.0,1
cefsharp/CefSharp,1,1,0,1,1,1,1,0,0,8410,8410,2719,39,cefsharp/CefSharp,205.0,0.0,2.0,0.0,6049.0,36.0,2545.0,2581.0,2.0,818.0,820.0,2.0,175.0,591.0,153.0,145.0,163.0,145.0,138.0,1
IdentityServer/IdentityServer4,0,1,0,1,1,1,1,0,0,8405,8405,3256,40,IdentityServer/IdentityServer4,292.0,0.0,2.0,0.0,3270.0,49.0,4445.0,4494.0,7.0,917.0,924.0,0.0,78.0,595.0,155.0,144.0,167.0,144.0,140.0,1
AutoMapper/AutoMapper,0,1,0,1,0,1,1,0,0,8384,8384,1642,41,AutoMapper/AutoMapper,193.0,0.0,2.0,0.0,3904.0,0.0,2750.0,2750.0,3.0,984.0,987.0,0.0,37.0,566.0,145.0,143.0,138.0,143.0,142.0,1
restsharp/RestSharp,1,1,0,0,0,1,1,1,0,8134,8134,2175,42,restsharp/RestSharp,300.0,0.0,2.0,0.0,2004.0,18.0,1151.0,1169.0,8.0,599.0,607.0,3.0,20.0,563.0,144.0,142.0,149.0,142.0,130.0,1
