fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
golang/go,0,1,0,1,0,1,1,1,0,92879,92879,13763,0,golang/go,2133.0,0.0,0.0,0.0,51508.0,7393.0,41489.0,48882.0,259.0,1913.0,2172.0,5.0,15.0,731.0,189.0,191.0,188.0,191.0,161.0,1
kubernetes/kubernetes,0,0,0,1,0,0,1,0,0,83290,83290,30461,1,kubernetes/kubernetes,4059.0,4009.0,30.0,30.0,106844.0,1619.0,38754.0,40373.0,598.0,67288.0,67886.0,2.0,186.0,762.0,191.0,190.0,191.0,190.0,191.0,1
avelino/awesome-go,1,1,0,1,0,1,1,1,0,71670,71670,9249,2,avelino/awesome-go,1774.0,0.0,0.0,0.0,4079.0,5.0,376.0,381.0,13.0,3624.0,3637.0,4.0,3471.0,729.0,188.0,189.0,184.0,189.0,167.0,1
moby/moby,0,1,0,0,0,1,1,0,0,61716,61716,17839,3,moby/moby,2615.0,0.0,30.0,0.0,43637.0,3952.0,17341.0,21293.0,288.0,21518.0,21806.0,1.0,193.0,753.0,190.0,188.0,190.0,188.0,187.0,1
gohugoio/hugo,0,1,0,1,0,1,1,1,0,55628,55628,6312,4,gohugoio/hugo,799.0,78934.0,30.0,795.0,6904.0,607.0,5242.0,5849.0,62.0,3593.0,3655.0,7.0,131.0,720.0,187.0,187.0,178.0,187.0,168.0,1
gin-gonic/gin,1,1,0,1,0,0,1,0,0,53567,53567,6078,5,gin-gonic/gin,369.0,0.0,20.0,0.0,1546.0,390.0,1386.0,1776.0,104.0,1171.0,1275.0,15.0,334.0,700.0,181.0,186.0,177.0,186.0,151.0,1
fatedier/frp,1,1,0,1,1,1,1,1,0,51367,51367,9342,6,fatedier/frp,87.0,92327.0,30.0,397.0,983.0,90.0,2177.0,2267.0,2.0,542.0,544.0,0.0,100.0,684.0,174.0,185.0,185.0,185.0,129.0,1
syncthing/syncthing,1,1,0,1,0,1,1,1,0,41718,41718,3265,7,syncthing/syncthing,300.0,1394.0,30.0,900.0,6769.0,295.0,4496.0,4791.0,7.0,3378.0,3385.0,8.0,80.0,691.0,178.0,184.0,157.0,184.0,166.0,1
junegunn/fzf,1,1,0,1,0,1,1,0,0,40704,40704,1765,8,junegunn/fzf,211.0,114403.0,14.0,164.0,2091.0,239.0,1853.0,2092.0,42.0,533.0,575.0,10.0,286.0,627.0,158.0,183.0,130.0,183.0,131.0,1
prometheus/prometheus,0,1,0,1,0,1,1,1,0,39900,39900,6632,9,prometheus/prometheus,820.0,48540.0,30.0,900.0,9807.0,416.0,4038.0,4454.0,197.0,5591.0,5788.0,3.0,117.0,715.0,185.0,182.0,179.0,182.0,172.0,1
astaxie/build-web-application-with-golang,1,1,0,1,0,1,1,0,1,39194,39194,10354,10,astaxie/build-web-application-with-golang,426.0,0.0,0.0,0.0,5176.0,108.0,181.0,289.0,3.0,858.0,861.0,0.0,125.0,693.0,179.0,181.0,186.0,181.0,145.0,1
v2ray/v2ray-core,1,1,0,0,0,1,1,0,0,38672,38672,8305,11,v2ray/v2ray-core,101.0,167284.0,30.0,870.0,5387.0,18.0,2407.0,2425.0,8.0,441.0,449.0,1.0,64.0,667.0,172.0,180.0,183.0,180.0,124.0,1
