fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
CyC2018/CS-Notes,1,1,0,0,0,1,1,0,0,142836,142836,45559,0,CyC2018/CS-Notes,245.0,0.0,0.0,0.0,3776.0,103.0,436.0,539.0,53.0,523.0,576.0,0.0,658.0,712.0,184.0,189.0,188.0,189.0,146.0,1
Snailclimb/JavaGuide,1,1,0,1,1,0,1,0,0,114197,114197,38967,1,Snailclimb/JavaGuide,362.0,0.0,0.0,0.0,3927.0,66.0,686.0,752.0,2.0,838.0,840.0,1.0,885.0,720.0,187.0,188.0,187.0,188.0,157.0,1
iluwatar/java-design-patterns,0,1,0,1,0,1,1,1,0,71613,71613,22288,2,iluwatar/java-design-patterns,327.0,0.0,0.0,0.0,3202.0,220.0,474.0,694.0,47.0,1196.0,1243.0,16.0,503.0,719.0,186.0,187.0,184.0,187.0,161.0,1
MisterBooo/LeetCodeAnimation,1,0,0,0,0,0,0,0,0,67994,67994,13032,3,MisterBooo/LeetCodeAnimation,21.0,0.0,0.0,0.0,246.0,12.0,42.0,54.0,0.0,73.0,73.0,0.0,72.0,661.0,176.0,186.0,179.0,186.0,110.0,1
doocs/advanced-java,1,1,0,0,0,0,1,0,0,58861,58861,16126,4,doocs/advanced-java,36.0,0.0,1.0,0.0,619.0,3.0,123.0,126.0,0.0,100.0,100.0,8.0,179.0,668.0,178.0,185.0,182.0,185.0,116.0,1
spring-projects/spring-boot,1,1,0,1,0,0,1,0,0,58480,58480,35068,5,spring-projects/spring-boot,1123.0,0.0,30.0,0.0,36637.0,543.0,24193.0,24736.0,29.0,5088.0,5117.0,17.0,96.0,735.0,188.0,184.0,186.0,184.0,181.0,1
elastic/elasticsearch,0,1,0,1,0,0,1,0,0,57480,57480,20910,6,elastic/elasticsearch,1906.0,0.0,30.0,0.0,63291.0,3361.0,25971.0,29332.0,457.0,54775.0,55232.0,0.0,9.0,738.0,189.0,183.0,183.0,183.0,189.0,1
kdn251/interviews,1,1,0,1,0,0,1,0,0,54754,54754,11631,7,kdn251/interviews,43.0,0.0,0.0,0.0,445.0,29.0,18.0,47.0,73.0,74.0,147.0,0.0,99.0,665.0,177.0,182.0,177.0,182.0,124.0,1
macrozheng/mall,1,1,0,0,0,1,1,0,0,54498,54498,23193,8,macrozheng/mall,2.0,0.0,1.0,0.0,771.0,21.0,396.0,417.0,4.0,84.0,88.0,0.0,162.0,660.0,175.0,181.0,185.0,181.0,113.0,1
ReactiveX/RxJava,0,1,0,1,1,1,1,0,0,45542,45542,7524,9,ReactiveX/RxJava,328.0,0.0,30.0,0.0,5967.0,10.0,3069.0,3079.0,1.0,3672.0,3673.0,1.0,107.0,702.0,181.0,180.0,164.0,180.0,178.0,1
google/guava,0,1,0,1,1,0,1,0,0,43017,43017,9560,10,google/guava,426.0,1250.0,30.0,4.0,5763.0,646.0,2688.0,3334.0,94.0,1184.0,1278.0,2.0,82.0,694.0,180.0,179.0,173.0,179.0,163.0,1
TheAlgorithms/Java,1,1,0,1,0,1,1,1,0,42671,42671,14096,11,TheAlgorithms/Java,391.0,0.0,0.0,0.0,1568.0,7.0,605.0,612.0,14.0,2279.0,2293.0,2.0,52.0,708.0,183.0,178.0,181.0,178.0,171.0,1
airbnb/lottie-android,1,1,0,1,0,0,1,1,0,32140,32140,5134,12,airbnb/lottie-android,122.0,911.0,30.0,5.0,1415.0,15.0,1387.0,1402.0,1.0,604.0,605.0,6.0,116.0,640.0,170.0,177.0,137.0,177.0,149.0,1
Blankj/AndroidUtilCode,1,1,0,0,0,1,1,0,1,30162,30162,10045,13,Blankj/AndroidUtilCode,46.0,3647.0,30.0,30.0,1404.0,155.0,1248.0,1403.0,4.0,187.0,191.0,0.0,286.0,655.0,174.0,176.0,175.0,176.0,128.0,1
NationalSecurityAgency/ghidra,0,1,0,1,0,0,1,1,1,29904,29904,3889,14,NationalSecurityAgency/ghidra,204.0,276469.0,19.0,19.0,6415.0,1129.0,1867.0,2996.0,172.0,614.0,786.0,1.0,25.0,626.0,165.0,175.0,122.0,175.0,154.0,1
geekxh/hello-algorithm,1,0,0,0,1,1,0,0,0,29299,29299,5659,15,geekxh/hello-algorithm,15.0,0.0,0.0,0.0,393.0,4.0,32.0,36.0,0.0,29.0,29.0,0.0,138.0,582.0,145.0,174.0,142.0,174.0,92.0,1
zxing/zxing,1,1,0,1,1,1,1,0,0,28731,28731,9112,16,zxing/zxing,161.0,446787.0,27.0,17.0,3645.0,6.0,1138.0,1144.0,2.0,321.0,323.0,0.0,47.0,649.0,171.0,173.0,170.0,173.0,133.0,1
eugenp/tutorials,0,1,0,1,0,0,1,0,0,28450,28450,45635,17,eugenp/tutorials,1167.0,0.0,0.0,0.0,24032.0,32.0,533.0,565.0,35.0,11102.0,11137.0,0.0,44.0,718.0,185.0,172.0,189.0,172.0,185.0,1
netty/netty,0,1,0,1,0,0,1,0,0,28071,28071,13850,18,netty/netty,705.0,0.0,0.0,0.0,10754.0,464.0,5280.0,5744.0,19.0,6255.0,6274.0,3.0,25.0,705.0,182.0,171.0,180.0,171.0,183.0,1
skylot/jadx,0,0,0,1,0,0,1,1,0,27974,27974,3453,19,skylot/jadx,86.0,597741.0,18.0,36.0,1683.0,203.0,828.0,1031.0,1.0,360.0,361.0,20.0,70.0,594.0,153.0,170.0,117.0,170.0,137.0,1
alibaba/arthas,0,1,0,1,0,1,1,0,0,27788,27788,6096,20,alibaba/arthas,168.0,16743.0,30.0,145.0,1716.0,172.0,1292.0,1464.0,46.0,562.0,608.0,3.0,142.0,634.0,168.0,169.0,146.0,169.0,150.0,1
ityouknow/spring-boot-examples,1,1,0,0,0,0,1,0,0,26742,26742,11650,21,ityouknow/spring-boot-examples,8.0,0.0,0.0,0.0,173.0,8.0,97.0,105.0,3.0,40.0,43.0,0.0,110.0,611.0,160.0,168.0,178.0,168.0,97.0,1
crossoverJie/JCSprout,1,1,0,0,0,0,1,0,0,26524,26524,7142,22,crossoverJie/JCSprout,30.0,0.0,0.0,0.0,709.0,30.0,59.0,89.0,10.0,99.0,109.0,2.0,168.0,613.0,161.0,167.0,162.0,167.0,117.0,1
apolloconfig/apollo,1,1,0,1,1,1,1,0,1,25994,25994,9498,23,apolloconfig/apollo,139.0,74023.0,30.0,113.0,2657.0,115.0,2611.0,2726.0,6.0,1354.0,1360.0,0.0,262.0,668.0,178.0,166.0,172.0,166.0,164.0,1
JakeWharton/butterknife,0,0,0,1,0,1,0,0,0,25755,25755,4739,24,JakeWharton/butterknife,114.0,0.0,0.0,0.0,1016.0,95.0,1074.0,1169.0,18.0,471.0,489.0,1.0,73.0,604.0,158.0,165.0,132.0,165.0,142.0,1
proxyee-down-org/proxyee-down,1,1,0,0,1,0,1,0,0,25345,25345,4616,25,proxyee-down-org/proxyee-down,14.0,1058299.0,30.0,59.0,474.0,0.0,0.0,0.0,1.0,31.0,32.0,0.0,82.0,552.0,135.0,164.0,130.0,164.0,94.0,1
alibaba/druid,1,1,0,0,0,0,1,0,0,24871,24871,7947,26,alibaba/druid,222.0,0.0,30.0,0.0,6513.0,2156.0,1323.0,3479.0,146.0,1046.0,1192.0,0.0,8.0,652.0,172.0,163.0,166.0,163.0,160.0,1
xkcoding/spring-boot-demo,1,0,0,0,0,1,1,0,0,24166,24166,8362,27,xkcoding/spring-boot-demo,12.0,0.0,0.0,0.0,733.0,68.0,71.0,139.0,25.0,42.0,67.0,0.0,133.0,598.0,156.0,162.0,167.0,162.0,107.0,1
alibaba/fastjson,1,1,0,1,0,1,1,0,0,23969,23969,6350,28,alibaba/fastjson,217.0,0.0,30.0,0.0,3939.0,1661.0,1571.0,3232.0,135.0,648.0,783.0,0.0,96.0,626.0,165.0,161.0,151.0,161.0,153.0,1
greenrobot/EventBus,0,1,0,1,0,1,1,0,0,23717,23717,4635,29,greenrobot/EventBus,31.0,697.0,7.0,2.0,549.0,104.0,457.0,561.0,40.0,85.0,125.0,0.0,102.0,571.0,140.0,160.0,131.0,160.0,120.0,1
dbeaver/dbeaver,0,1,0,1,0,1,1,1,0,23510,23510,2217,30,dbeaver/dbeaver,256.0,4859.0,30.0,286.0,22261.0,1446.0,10763.0,12209.0,11.0,2648.0,2659.0,6.0,96.0,593.0,152.0,159.0,100.0,159.0,175.0,1
scwang90/SmartRefreshLayout,1,0,0,1,0,1,0,0,0,23153,23153,4751,31,scwang90/SmartRefreshLayout,8.0,0.0,10.0,0.0,1092.0,220.0,1191.0,1411.0,3.0,20.0,23.0,0.0,298.0,537.0,131.0,158.0,133.0,158.0,88.0,1
qiurunze123/miaosha,1,0,0,0,0,0,0,0,0,23100,23100,5949,32,qiurunze123/miaosha,12.0,0.0,0.0,0.0,225.0,29.0,38.0,67.0,0.0,58.0,58.0,0.0,115.0,561.0,138.0,157.0,144.0,157.0,103.0,1
lenve/vhr,1,0,0,0,0,1,0,0,0,22802,22802,9410,33,lenve/vhr,2.0,0.0,0.0,0.0,157.0,146.0,91.0,237.0,40.0,20.0,60.0,0.0,71.0,587.0,148.0,156.0,171.0,156.0,104.0,1
CymChad/BaseRecyclerViewAdapterHelper,1,1,0,1,0,1,1,0,0,22486,22486,4782,34,CymChad/BaseRecyclerViewAdapterHelper,54.0,0.0,30.0,0.0,1210.0,443.0,2879.0,3322.0,15.0,260.0,275.0,0.0,39.0,575.0,143.0,155.0,134.0,155.0,131.0,1
SeleniumHQ/selenium,0,0,0,1,1,0,1,1,0,22270,22270,6666,35,SeleniumHQ/selenium,783.0,54474.0,30.0,209.0,27984.0,101.0,7856.0,7957.0,10.0,2349.0,2359.0,3.0,92.0,636.0,169.0,154.0,156.0,154.0,172.0,1
Netflix/Hystrix,1,1,0,1,1,1,1,0,0,22199,22199,4501,36,Netflix/Hystrix,150.0,0.0,30.0,0.0,2109.0,341.0,678.0,1019.0,50.0,749.0,799.0,0.0,32.0,590.0,150.0,153.0,128.0,153.0,156.0,1
alibaba/easyexcel,1,1,0,0,0,0,1,0,0,21994,21994,5827,37,alibaba/easyexcel,46.0,0.0,1.0,0.0,767.0,108.0,1982.0,2090.0,21.0,217.0,238.0,0.0,94.0,577.0,144.0,152.0,143.0,152.0,130.0,1
hollischuang/toBeTopJavaer,1,0,0,0,0,0,0,0,0,21976,21976,4978,38,hollischuang/toBeTopJavaer,44.0,0.0,0.0,0.0,265.0,33.0,61.0,94.0,1.0,69.0,70.0,0.0,47.0,546.0,133.0,151.0,135.0,151.0,109.0,1
signalapp/Signal-Android,0,1,0,0,0,1,1,1,0,21563,21563,5217,39,signalapp/Signal-Android,308.0,0.0,0.0,0.0,9246.0,372.0,9056.0,9428.0,59.0,2460.0,2519.0,3.0,40.0,613.0,161.0,150.0,139.0,150.0,174.0,1
alibaba/canal,1,0,0,0,0,0,0,0,0,21338,21338,6352,40,alibaba/canal,185.0,141916.0,22.0,58.0,1464.0,840.0,2680.0,3520.0,59.0,479.0,538.0,1.0,48.0,595.0,154.0,149.0,152.0,149.0,145.0,1
seata/seata,0,1,0,1,0,1,1,1,1,21257,21257,7089,41,seata/seata,255.0,71532.0,30.0,60.0,1427.0,552.0,1971.0,2523.0,91.0,1813.0,1904.0,756.0,75.0,624.0,164.0,148.0,160.0,148.0,168.0,1
dromara/hutool,1,1,0,1,1,1,1,0,0,21237,21237,6095,42,dromara/hutool,238.0,0.0,30.0,0.0,3312.0,3.0,1639.0,1642.0,1.0,506.0,507.0,0.0,164.0,582.0,145.0,147.0,145.0,147.0,143.0,1
alibaba/spring-cloud-alibaba,0,1,0,1,1,1,1,0,0,20798,20798,6384,43,alibaba/spring-cloud-alibaba,152.0,0.0,27.0,0.0,2055.0,360.0,1294.0,1654.0,18.0,756.0,774.0,1.0,50.0,597.0,155.0,146.0,153.0,146.0,152.0,1
apache/kafka,0,0,0,1,1,0,1,1,0,20529,20529,10829,44,apache/kafka,1101.0,0.0,0.0,0.0,9797.0,0.0,0.0,0.0,936.0,10923.0,11859.0,0.0,92.0,652.0,172.0,145.0,176.0,145.0,186.0,1
alibaba/nacos,1,1,0,1,0,1,1,1,0,20501,20501,8594,45,alibaba/nacos,277.0,516680.0,30.0,60.0,3952.0,646.0,4715.0,5361.0,44.0,2392.0,2436.0,35.0,67.0,630.0,167.0,144.0,169.0,144.0,173.0,1
halo-dev/halo,1,1,0,1,0,0,1,0,0,20404,20404,6970,46,halo-dev/halo,91.0,33294.0,30.0,30.0,2099.0,77.0,1003.0,1080.0,3.0,592.0,595.0,0.0,141.0,592.0,151.0,143.0,159.0,143.0,147.0,1
google/gson,0,1,0,1,0,1,1,0,0,20340,20340,3940,47,google/gson,133.0,0.0,3.0,0.0,1645.0,481.0,967.0,1448.0,154.0,450.0,604.0,1.0,42.0,555.0,137.0,142.0,123.0,142.0,148.0,1
xuxueli/xxl-job,0,1,0,0,1,1,1,1,1,20057,20057,8498,48,xuxueli/xxl-job,82.0,0.0,30.0,0.0,1694.0,802.0,1635.0,2437.0,88.0,265.0,353.0,0.0,342.0,585.0,147.0,141.0,168.0,141.0,135.0,1
ReactiveX/RxAndroid,0,1,0,1,0,1,1,1,0,19556,19556,3001,49,ReactiveX/RxAndroid,86.0,0.0,18.0,0.0,518.0,1.0,340.0,341.0,0.0,230.0,230.0,2.0,63.0,521.0,126.0,140.0,112.0,140.0,129.0,1
libgdx/libgdx,0,1,0,1,0,1,1,1,0,19363,19363,6237,50,libgdx/libgdx,673.0,24479.0,8.0,3.0,14898.0,169.0,3283.0,3452.0,68.0,3214.0,3282.0,2.0,67.0,602.0,157.0,139.0,148.0,139.0,176.0,1
DrKLO/Telegram,0,1,0,1,0,0,1,0,0,18748,18748,6503,51,DrKLO/Telegram,19.0,0.0,30.0,0.0,439.0,0.0,0.0,0.0,211.0,310.0,521.0,0.0,10.0,574.0,141.0,138.0,154.0,138.0,144.0,1
google/ExoPlayer,0,1,0,1,1,0,1,0,0,18586,18586,5452,52,google/ExoPlayer,295.0,0.0,17.0,0.0,12924.0,534.0,8372.0,8906.0,26.0,1051.0,1077.0,12.0,56.0,574.0,141.0,137.0,141.0,137.0,159.0,1
didi/DoraemonKit,1,1,0,0,0,0,0,0,0,18261,18261,2697,53,didi/DoraemonKit,156.0,0.0,7.0,0.0,2167.0,146.0,461.0,607.0,17.0,368.0,385.0,0.0,208.0,518.0,123.0,136.0,107.0,136.0,139.0,1
apache/skywalking,0,1,0,1,0,1,1,0,0,18240,18240,5372,54,apache/skywalking,447.0,2042.0,30.0,12.0,6944.0,50.0,4045.0,4095.0,0.0,3930.0,3930.0,0.0,442.0,589.0,149.0,135.0,140.0,135.0,179.0,1
square/picasso,0,1,0,1,0,1,0,0,0,18173,18173,4020,55,square/picasso,133.0,0.0,7.0,0.0,1482.0,192.0,1356.0,1548.0,24.0,697.0,721.0,1.0,19.0,543.0,132.0,134.0,124.0,134.0,151.0,1
jenkinsci/jenkins,0,1,0,1,1,1,1,1,0,18168,18168,7119,56,jenkinsci/jenkins,1039.0,854.0,30.0,128.0,32153.0,0.0,0.0,0.0,70.0,6192.0,6262.0,0.0,37.0,609.0,159.0,133.0,161.0,133.0,182.0,1
Baseflow/PhotoView,0,1,0,1,0,1,1,0,0,18041,18041,3854,57,Baseflow/PhotoView,48.0,0.0,5.0,0.0,462.0,180.0,475.0,655.0,14.0,137.0,151.0,0.0,47.0,510.0,121.0,132.0,121.0,132.0,125.0,1
