fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
freeCodeCamp/freeCodeCamp,1,1,0,0,1,1,1,1,0,336875,336875,27460,0,freeCodeCamp/freeCodeCamp,4770.0,0.0,0.0,0.0,30025.0,126.0,15709.0,15835.0,23.0,28561.0,28584.0,2.0,458.0,745.0,187.0,187.0,184.0,187.0,187.0,1
facebook/react,0,1,0,1,0,1,1,1,0,178604,178604,36193,1,facebook/react,1786.0,2259.0,30.0,98.0,14807.0,728.0,10463.0,11191.0,252.0,11638.0,11890.0,0.0,129.0,742.0,185.0,186.0,186.0,186.0,184.0,1
twbs/bootstrap,1,1,0,1,1,1,1,1,0,154234,154234,75451,2,twbs/bootstrap,1531.0,12121231.0,30.0,49.0,21532.0,314.0,20790.0,21104.0,118.0,13129.0,13247.0,1.0,438.0,742.0,185.0,185.0,187.0,185.0,185.0,1
trekhleb/javascript-algorithms,0,1,0,1,1,1,1,0,0,127524,127524,20877,3,trekhleb/javascript-algorithms,196.0,0.0,0.0,0.0,1030.0,97.0,185.0,282.0,139.0,416.0,555.0,0.0,312.0,668.0,177.0,184.0,180.0,184.0,120.0,1
d3/d3,0,1,0,1,0,0,1,0,0,99484,99484,22896,4,d3/d3,136.0,135818.0,30.0,20.0,4322.0,3.0,2100.0,2103.0,0.0,1103.0,1103.0,2.0,192.0,692.0,182.0,183.0,181.0,183.0,145.0,1
facebook/create-react-app,0,1,0,1,1,1,1,1,0,91797,91797,23300,5,facebook/create-react-app,929.0,0.0,30.0,0.0,2753.0,1213.0,6344.0,7557.0,302.0,3577.0,3879.0,0.0,188.0,719.0,184.0,182.0,182.0,182.0,173.0,1
axios/axios,1,1,0,1,1,1,1,0,0,89600,89600,8963,6,axios/axios,335.0,0.0,30.0,0.0,1095.0,225.0,3274.0,3499.0,85.0,895.0,980.0,13.0,205.0,670.0,178.0,181.0,168.0,181.0,140.0,1
mui-org/material-ui,1,1,0,1,1,1,1,1,0,73433,73433,25121,7,mui-org/material-ui,2698.0,0.0,30.0,0.0,19183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,544.0,136.0,180.0,183.0,180.0,1.0,1
awesome-selfhosted/awesome-selfhosted,1,1,0,1,0,1,1,1,0,69232,69232,4999,8,awesome-selfhosted/awesome-selfhosted,1095.0,0.0,0.0,0.0,4863.0,106.0,557.0,663.0,57.0,2103.0,2160.0,7.0,4226.0,662.0,175.0,179.0,141.0,179.0,163.0,1
FortAwesome/Font-Awesome,1,1,0,1,1,1,1,1,0,66820,66820,11728,9,FortAwesome/Font-Awesome,2.0,71795.0,30.0,60.0,3.0,5652.0,12382.0,18034.0,26.0,604.0,630.0,0.0,2.0,653.0,171.0,178.0,173.0,178.0,124.0,1
yangshun/tech-interview-handbook,1,1,0,0,0,1,1,1,0,61895,61895,8637,10,yangshun/tech-interview-handbook,110.0,0.0,0.0,0.0,506.0,8.0,38.0,46.0,0.0,214.0,214.0,0.0,63.0,621.0,165.0,177.0,167.0,177.0,100.0,1
ryanmcdermott/clean-code-javascript,1,1,0,1,0,0,1,0,0,60618,60618,7746,11,ryanmcdermott/clean-code-javascript,117.0,0.0,0.0,0.0,540.0,40.0,78.0,118.0,14.0,233.0,247.0,0.0,456.0,615.0,163.0,176.0,160.0,176.0,103.0,1
webpack/webpack,1,1,0,1,0,1,1,0,0,59919,59919,8110,12,webpack/webpack,825.0,0.0,30.0,0.0,15010.0,177.0,8706.0,8883.0,107.0,5490.0,5597.0,1.0,260.0,691.0,180.0,175.0,162.0,175.0,179.0,1
angular/angular.js,1,1,0,0,0,0,1,1,0,59582,59582,28414,13,angular/angular.js,1855.0,0.0,0.0,0.0,9069.0,391.0,8645.0,9036.0,78.0,7875.0,7953.0,7.0,38.0,716.0,183.0,174.0,185.0,174.0,183.0,1
typicode/json-server,1,1,0,1,0,1,1,0,0,58244,58244,5613,14,typicode/json-server,77.0,0.0,10.0,0.0,848.0,538.0,445.0,983.0,72.0,232.0,304.0,0.0,254.0,600.0,157.0,173.0,147.0,173.0,107.0,1
