fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
laravel/laravel,1,1,0,0,0,1,1,1,0,67531,67531,21845,0,laravel/laravel,743.0,0.0,30.0,0.0,6692.0,0.0,0.0,0.0,0.0,4092.0,4092.0,0.0,23.0,734.0,186.0,186.0,186.0,186.0,176.0,1
danielmiessler/SecLists,0,1,0,1,0,1,1,1,0,35360,35360,18356,1,danielmiessler/SecLists,226.0,0.0,15.0,0.0,1297.0,21.0,156.0,177.0,5.0,514.0,519.0,5.0,87.0,699.0,181.0,185.0,185.0,185.0,144.0,1
blueimp/jQuery-File-Upload,1,1,0,1,0,1,1,0,0,31081,31081,8218,2,blueimp/jQuery-File-Upload,113.0,0.0,0.0,0.0,1265.0,49.0,3258.0,3307.0,0.0,371.0,371.0,3.0,86.0,682.0,177.0,184.0,179.0,184.0,135.0,1
fzaninotto/Faker,1,1,0,1,1,1,1,0,0,26235,26235,3232,3,fzaninotto/Faker,529.0,0.0,12.0,0.0,2632.0,76.0,494.0,570.0,167.0,1319.0,1486.0,1.0,368.0,697.0,179.0,183.0,169.0,183.0,162.0,1
symfony/symfony,0,1,0,0,0,1,1,1,0,26145,26145,8428,4,symfony/symfony,3416.0,0.0,30.0,0.0,59755.0,529.0,16601.0,17130.0,210.0,27108.0,27318.0,2.0,51.0,730.0,185.0,182.0,180.0,182.0,186.0,1
composer/composer,1,0,0,1,0,1,1,0,0,25921,25921,6199,5,composer/composer,1124.0,461010.0,30.0,56.0,11380.0,167.0,6787.0,6954.0,20.0,3379.0,3399.0,7.0,69.0,710.0,183.0,181.0,176.0,181.0,172.0,1
laravel/framework,0,1,0,0,0,1,1,1,0,25561,25561,8702,6,laravel/framework,3382.0,0.0,30.0,0.0,33231.0,5.0,15793.0,15798.0,7.0,23038.0,23045.0,0.0,18.0,726.0,184.0,180.0,181.0,180.0,185.0,1
guzzle/guzzle,0,1,0,1,1,1,1,0,0,21347,21347,2244,7,guzzle/guzzle,413.0,4022.0,30.0,34.0,3595.0,23.0,1712.0,1735.0,15.0,1227.0,1242.0,5.0,105.0,674.0,174.0,179.0,158.0,179.0,158.0,1
DesignPatternsPHP/DesignPatternsPHP,1,1,0,1,0,0,1,0,0,20111,20111,4336,8,DesignPatternsPHP/DesignPatternsPHP,207.0,0.0,0.0,0.0,1247.0,2.0,107.0,109.0,0.0,345.0,345.0,2.0,85.0,661.0,172.0,178.0,173.0,178.0,132.0,1
Seldaek/monolog,1,1,0,1,1,1,0,1,0,19317,19317,1789,9,Seldaek/monolog,488.0,0.0,30.0,0.0,2536.0,27.0,674.0,701.0,15.0,919.0,934.0,1.0,30.0,658.0,170.0,177.0,150.0,177.0,154.0,1
