fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
rails/rails,1,1,0,1,0,1,1,1,0,49511,49511,19904,0,rails/rails,5701.0,0.0,2.0,0.0,83217.0,355.0,15065.0,15420.0,246.0,28643.0,28889.0,0.0,50.0,746.0,187.0,187.0,187.0,187.0,185.0,1
jekyll/jekyll,1,1,0,0,0,1,1,1,0,43755,43755,9624,1,jekyll/jekyll,1168.0,0.0,2.0,0.0,11464.0,88.0,4434.0,4522.0,93.0,4088.0,4181.0,2.0,72.0,729.0,185.0,186.0,185.0,186.0,172.0,1
discourse/discourse,0,1,0,1,0,1,1,1,0,34552,34552,7454,2,discourse/discourse,994.0,0.0,2.0,0.0,44508.0,0.0,0.0,0.0,37.0,15632.0,15669.0,0.0,137.0,737.0,186.0,185.0,183.0,185.0,184.0,1
fastlane/fastlane,0,0,0,0,0,1,1,1,0,33329,33329,5054,3,fastlane/fastlane,1497.0,0.0,2.0,0.0,16282.0,123.0,11837.0,11960.0,65.0,6840.0,6905.0,0.0,476.0,721.0,183.0,184.0,178.0,184.0,175.0,1
huginn/huginn,1,1,0,1,0,1,1,1,0,32752,32752,3115,4,huginn/huginn,246.0,0.0,2.0,0.0,3428.0,521.0,1400.0,1921.0,83.0,1082.0,1165.0,2.0,98.0,688.0,175.0,183.0,167.0,183.0,155.0,1
Homebrew/brew,0,1,0,1,0,1,1,1,0,30141,30141,6925,5,Homebrew/brew,1078.0,0.0,2.0,0.0,30778.0,17.0,3426.0,3443.0,11.0,8803.0,8814.0,1.0,214.0,724.0,184.0,182.0,182.0,182.0,178.0,1
bayandin/awesome-awesomeness,0,1,0,0,0,1,1,0,0,28286,28286,3449,6,bayandin/awesome-awesomeness,251.0,0.0,2.0,0.0,572.0,12.0,49.0,61.0,6.0,386.0,392.0,0.0,426.0,655.0,168.0,181.0,172.0,181.0,121.0,1
freeCodeCamp/devdocs,1,1,0,1,0,1,1,1,0,27130,27130,1826,7,freeCodeCamp/devdocs,184.0,0.0,2.0,0.0,4396.0,97.0,881.0,978.0,24.0,688.0,712.0,4.0,97.0,651.0,167.0,180.0,153.0,180.0,138.0,1
mastodon/mastodon,1,1,0,1,0,1,1,1,0,26030,26030,4235,8,mastodon/mastodon,761.0,0.0,2.0,0.0,11297.0,2003.0,4474.0,6477.0,54.0,10895.0,10949.0,2.0,88.0,716.0,181.0,179.0,176.0,179.0,182.0,1
hashicorp/vagrant,0,1,0,1,0,0,1,1,0,23045,23045,4177,10,hashicorp/vagrant,1235.0,0.0,2.0,0.0,14136.0,564.0,8505.0,9069.0,86.0,3468.0,3554.0,2.0,60.0,700.0,179.0,178.0,175.0,178.0,169.0,1
