fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
kamranahmedse/developer-roadmap,0,0,0,1,0,1,0,0,0,178298,178298,25570,0,kamranahmedse/developer-roadmap,102.0,0.0,2.0,0.0,1058.0,98.0,485.0,583.0,24.0,381.0,405.0,0.0,75.0,694.0,178.0,194.0,192.0,194.0,114.0,1
microsoft/vscode,0,1,0,1,0,1,1,1,0,124900,124900,20875,1,microsoft/vscode,1971.0,0.0,2.0,0.0,94139.0,5524.0,124269.0,129793.0,266.0,11127.0,11393.0,7.0,102.0,765.0,193.0,193.0,191.0,193.0,188.0,1
angular/angular,1,1,0,1,1,1,1,1,0,78043,78043,20482,2,angular/angular,1743.0,0.0,2.0,0.0,24040.0,1516.0,22152.0,23668.0,84.0,20620.0,20704.0,3.0,75.0,765.0,193.0,192.0,190.0,192.0,191.0,1
microsoft/TypeScript,0,1,0,1,1,1,1,1,0,76364,76364,10002,3,microsoft/TypeScript,766.0,1832.0,30.0,30.0,33095.0,5177.0,27856.0,33033.0,279.0,13952.0,14231.0,10.0,66.0,757.0,191.0,191.0,185.0,191.0,190.0,1
ant-design/ant-design,1,1,0,1,0,0,0,1,0,76031,76031,31470,4,ant-design/ant-design,1797.0,0.0,2.0,0.0,21658.0,761.0,22476.0,23237.0,47.0,10281.0,10328.0,2.0,258.0,761.0,192.0,190.0,194.0,190.0,187.0,1
puppeteer/puppeteer,1,1,0,1,0,1,1,1,0,74949,74949,7921,5,puppeteer/puppeteer,429.0,0.0,2.0,0.0,2478.0,1802.0,3438.0,5240.0,9.0,2748.0,2757.0,2.0,203.0,718.0,185.0,189.0,179.0,189.0,161.0,1
storybookjs/storybook,1,1,0,1,0,1,1,1,0,66979,66979,6843,6,storybookjs/storybook,1719.0,0.0,2.0,0.0,38758.0,1605.0,7166.0,8771.0,109.0,7909.0,8018.0,1.0,276.0,734.0,188.0,188.0,175.0,188.0,183.0,1
reduxjs/redux,1,1,0,1,1,1,1,0,0,57119,57119,14973,7,reduxjs/redux,930.0,0.0,2.0,0.0,3483.0,40.0,1899.0,1939.0,14.0,2247.0,2261.0,4.0,228.0,714.0,184.0,187.0,188.0,187.0,152.0,1
socketio/socket.io,1,1,0,1,0,1,1,0,0,54834,54834,9930,8,socketio/socket.io,207.0,0.0,2.0,0.0,1907.0,92.0,3080.0,3172.0,8.0,794.0,802.0,3.0,133.0,683.0,174.0,186.0,184.0,186.0,127.0,1
sveltejs/svelte,0,1,0,1,0,1,1,0,0,53386,53386,2562,9,sveltejs/svelte,537.0,0.0,2.0,0.0,6658.0,568.0,3676.0,4244.0,129.0,2831.0,2960.0,3.0,83.0,686.0,175.0,185.0,151.0,185.0,165.0,1
