S,P,F1,F2
0.11480721992221174,0.12172757782108522,C0,C1
-0.12317032605061452,0.09668707742368951,C0,C2
0.03893170274956171,0.600801681821236,C0,C3
0.3241741752808403,7.5773022067025774e-06,C0,C4
0.21297371578362514,0.0037964549697908287,C0,C5
0.1722533556844925,0.019717036278498957,C0,C6
0.09834093444610119,0.1853607734667813,C0,C7
0.17304144301284777,0.019153967685519944,C0,C8
0.11480721992221174,0.12172757782108522,C1,C0
-0.24049461574793377,0.0010405636275518397,C1,C2
0.27907497036826434,0.0001304128175013606,C1,C3
0.16146115048628962,0.02899260206375759,C1,C4
0.21534483472789887,0.003415925375671789,C1,C5
0.26686312108372723,0.00026043728020163146,C1,C6
0.24173588461778125,0.0009780437147393047,C1,C7
0.08500434975494357,0.25257795030823166,C1,C8
-0.12317032605061452,0.09668707742368951,C2,C0
-0.24049461574793377,0.0010405636275518397,C2,C1
-0.31870739440806967,1.0972584835801052e-05,C2,C3
-0.10182688782339802,0.17018246958965896,C2,C4
-0.12884160669954173,0.082167406412363,C2,C5
-0.21403283828871167,0.003621995915398809,C2,C6
-0.08536310305755225,0.25057393601990324,C2,C7
-0.033997744891047524,0.6477474598858107,C2,C8
0.03893170274956172,0.600801681821236,C3,C0
0.27907497036826434,0.0001304128175013606,C3,C1
-0.3187073944080697,1.0972584835800989e-05,C3,C2
-0.016525841832592435,0.8242821565689578,C3,C4
0.08810860209494736,0.23560174589272917,C3,C5
0.27795756684739853,0.00013912117253433884,C3,C6
0.03679440360213537,0.6209514590158699,C3,C7
0.10667385033281393,0.15064033900214363,C3,C8
0.32417417528084025,7.57730220670259e-06,C4,C0
0.16146115048628962,0.02899260206375759,C4,C1
-0.10182688782339804,0.17018246958965888,C4,C2
-0.016525841832592435,0.8242821565689578,C4,C3
0.05411592681854471,0.4668683865097263,C4,C5
0.12550051182884447,0.09049244120107178,C4,C6
-0.03442684121876199,0.643605448076694,C4,C7
0.008013068992153276,0.9142671864354239,C4,C8
0.21297371578362514,0.0037964549697908287,C5,C0
0.21534483472789887,0.003415925375671789,C5,C1
-0.12884160669954173,0.082167406412363,C5,C2
0.08810860209494736,0.23560174589272917,C5,C3
0.05411592681854472,0.4668683865097263,C5,C4
0.22535332486569504,0.00216083944939413,C5,C6
0.3032974566440321,2.9988427746127528e-05,C5,C7
0.16167420496894877,0.0287785387384702,C5,C8
0.1722533556844925,0.019717036278498957,C6,C0
0.26686312108372723,0.00026043728020163146,C6,C1
-0.21403283828871167,0.003621995915398809,C6,C2
0.27795756684739853,0.00013912117253433884,C6,C3
0.1255005118288445,0.09049244120107178,C6,C4
0.225353324865695,0.002160839449394136,C6,C5
0.26367213723599475,0.0003103750871364494,C6,C7
0.10501326375849851,0.15713482373492674,C6,C8
0.09834093444610117,0.1853607734667813,C7,C0
0.24173588461778123,0.0009780437147393077,C7,C1
-0.08536310305755225,0.25057393601990324,C7,C2
0.036794403602135366,0.6209514590158701,C7,C3
-0.03442684121876199,0.643605448076694,C7,C4
0.3032974566440321,2.9988427746127528e-05,C7,C5
0.26367213723599475,0.0003103750871364494,C7,C6
-0.012506129690738086,0.8665619525695144,C7,C8
0.1730414430128478,0.019153967685519944,C8,C0
0.08500434975494357,0.25257795030823166,C8,C1
-0.03399774489104753,0.6477474598858106,C8,C2
0.10667385033281393,0.15064033900214363,C8,C3
0.008013068992153276,0.9142671864354239,C8,C4
0.16167420496894877,0.0287785387384702,C8,C5
0.1050132637584985,0.15713482373492674,C8,C6
-0.012506129690738088,0.8665619525695144,C8,C7
