S,P,F1,F2
-0.025956962479394052,0.7272454712162597,C0,C1
-0.06460426382585081,0.38491827243749877,C0,C2
0.007147725249058802,0.9234957086743142,C0,C3
0.16339409193548546,0.027099407040595963,C0,C4
0.10704909584748021,0.14920128207469555,C0,C5
0.19165733021460615,0.009347772855073029,C0,C6
0.04369385645032197,0.556995560049045,C0,C7
0.13023515320498205,0.07888233872057233,C0,C8
-0.025956962479394052,0.7272454712162597,C1,C0
-0.1317484055222011,0.07543594470248229,C1,C2
0.1665345998007535,0.024249116817818942,C1,C3
0.06838280788762376,0.3576751797180847,C1,C4
0.3350268657587012,3.555855775059625e-06,C1,C5
0.4019117746911914,1.707229452570446e-08,C1,C6
0.23486689449651707,0.0013726713545224383,C1,C7
0.07900895785488551,0.28771274392266216,C1,C8
-0.06460426382585081,0.38491827243749877,C2,C0
-0.1317484055222011,0.07543594470248229,C2,C1
-0.140152977645347,0.0584492048347105,C2,C3
-0.04922168298948526,0.5081652651404107,C2,C4
-0.08136268271116942,0.27354795736529025,C2,C5
-0.11609086505314302,0.11758682810005096,C2,C6
-0.04922168298948526,0.5081652651404107,C2,C7
-0.01782137687359868,0.8107565121329565,C2,C8
0.007147725249058802,0.9234957086743142,C3,C0
0.1665345998007535,0.024249116817818942,C3,C1
-0.140152977645347,0.0584492048347105,C3,C2
0.035590326225045744,0.6324298875198566,C3,C4
0.049344852650577996,0.5071031761329909,C3,C5
0.2453087816358417,0.0008168327570401673,C3,C6
0.150357369382462,0.042191750700623816,C3,C7
0.06898245842761984,0.3534651503886713,C3,C8
0.16339409193548546,0.027099407040595963,C4,C0
0.06838280788762376,0.3576751797180847,C4,C1
-0.04922168298948527,0.5081652651404107,C4,C2
0.03559032622504575,0.6324298875198566,C4,C3
0.22386877701510396,0.002315606427525801,C4,C5
0.21485345968654657,0.0034918306727763893,C4,C6
0.0736782902137233,0.32157825564169745,C4,C7
-0.10747870491035395,0.1475665452230373,C4,C8
0.10704909584748021,0.14920128207469555,C5,C0
0.3350268657587012,3.555855775059625e-06,C5,C1
-0.0813626827111694,0.2735479573652903,C5,C2
0.049344852650577996,0.5071031761329909,C5,C3
0.22386877701510396,0.002315606427525801,C5,C4
0.38626281377113425,6.644021538072739e-08,C5,C6
0.31914316351222966,1.065629349867292e-05,C5,C7
0.12244918046594883,0.09867089963500783,C5,C8
0.19165733021460615,0.009347772855073029,C6,C0
0.4019117746911914,1.707229452570446e-08,C6,C1
-0.11609086505314302,0.11758682810005096,C6,C2
0.24530878163584166,0.0008168327570401673,C6,C3
0.2148534596865466,0.0034918306727763897,C6,C4
0.38626281377113425,6.644021538072739e-08,C6,C5
0.24099586867766232,0.001014887912509299,C6,C7
0.1005071162227817,0.17581644050866357,C6,C8
0.04369385645032197,0.556995560049045,C7,C0
0.23486689449651707,0.0013726713545224383,C7,C1
-0.04922168298948527,0.5081652651404107,C7,C2
0.150357369382462,0.042191750700623816,C7,C3
0.0736782902137233,0.32157825564169745,C7,C4
0.31914316351222966,1.065629349867292e-05,C7,C5
0.2409958686776623,0.001014887912509301,C7,C6
0.15337809878453695,0.03817927647739304,C7,C8
0.13023515320498205,0.07888233872057233,C8,C0
0.07900895785488551,0.28771274392266216,C8,C1
-0.01782137687359868,0.8107565121329565,C8,C2
0.06898245842761982,0.3534651503886713,C8,C3
-0.10747870491035395,0.1475665452230373,C8,C4
0.12244918046594883,0.09867089963500783,C8,C5
0.10050711622278172,0.17581644050866346,C8,C6
0.15337809878453693,0.038179276477393095,C8,C7
