S,P,F1,F2
-0.014382520755607297,0.8434552032018225,C0,C1
-0.06158950357943866,0.39732944974962603,C0,C2
-0.11395013006451665,0.11650787924390556,C0,C3
0.08728290973347316,0.229887658310192,C0,C4
0.061294911143308886,0.3995953060929136,C0,C5
0.012721880297542138,0.8613367273255261,C0,C6
0.0007119574970643707,0.992200913998953,C0,C7
0.08630388150119389,0.23517627683519368,C0,C8
-0.014382520755607297,0.8434552032018225,C1,C0
-0.13260366532421441,0.0674485875813483,C1,C2
0.18431139921294218,0.01069778812253029,C1,C3
0.07725475007708511,0.28811688096680665,C1,C4
0.17335881879293033,0.016470141110380823,C1,C5
0.36192740135029305,2.6811360363055407e-07,C1,C6
0.27306483636906603,0.0001324002582369884,C1,C7
0.12859627343336147,0.07623894423464286,C1,C8
-0.06158950357943866,0.39732944974962603,C2,C0
-0.13260366532421441,0.0674485875813483,C2,C1
-0.17146745734750832,0.017703367913769818,C2,C3
-0.043786907096559205,0.5475314448304953,C2,C4
-0.06920602346769048,0.3414475250830614,C2,C5
-0.12350067512437395,0.0887306956293419,C2,C6
-0.050294927809490825,0.48958789814657766,C2,C7
-0.01705233720429863,0.8148778300608686,C2,C8
-0.11395013006451665,0.11650787924390556,C3,C0
0.18431139921294218,0.01069778812253029,C3,C1
-0.17146745734750832,0.017703367913769818,C3,C2
0.09047439233368142,0.21323191900934793,C3,C4
0.11149369945002233,0.12464868954228821,C3,C5
0.21915548901973755,0.0023188932102170827,C3,C6
0.19984297329577255,0.005575224817332519,C3,C7
0.0994494084655325,0.17106437235938027,C3,C8
0.08728290973347318,0.22988765831019178,C4,C0
0.07725475007708511,0.28811688096680665,C4,C1
-0.043786907096559205,0.5475314448304953,C4,C2
0.09047439233368142,0.21323191900934793,C4,C3
0.01662397956341272,0.8194475321692822,C4,C5
0.002270014673794703,0.9751368915940432,C4,C6
0.11234865678423009,0.12176678212407419,C4,C7
0.017524763110152112,0.8098452507112249,C4,C8
0.06129491114330888,0.3995953060929136,C5,C0
0.17335881879293036,0.016470141110380816,C5,C1
-0.06920602346769048,0.3414475250830614,C5,C2
0.11149369945002234,0.12464868954228817,C5,C3
0.01662397956341272,0.8194475321692822,C5,C4
0.1523139607017846,0.03542279827818008,C5,C6
0.3013635204804749,2.2703098639841588e-05,C5,C7
0.05815030800163349,0.42425894228868455,C5,C8
0.012721880297542138,0.8613367273255261,C6,C0
0.36192740135029305,2.6811360363055407e-07,C6,C1
-0.12350067512437395,0.0887306956293419,C6,C2
0.21915548901973755,0.0023188932102170827,C6,C3
0.002270014673794703,0.9751368915940432,C6,C4
0.1523139607017846,0.03542279827818008,C6,C5
0.3560370210002922,4.307157978647751e-07,C6,C7
0.08425383709814047,0.24652574318992382,C6,C8
0.0007119574970643707,0.992200913998953,C7,C0
0.27306483636906603,0.0001324002582369884,C7,C1
-0.050294927809490825,0.48958789814657766,C7,C2
0.19984297329577255,0.005575224817332519,C7,C3
0.11234865678423007,0.12176678212407428,C7,C4
0.3013635204804749,2.2703098639841588e-05,C7,C5
0.3560370210002922,4.307157978647751e-07,C7,C6
0.088047052050089,0.22581855201847512,C7,C8
0.08630388150119389,0.23517627683519368,C8,C0
0.12859627343336147,0.07623894423464286,C8,C1
-0.01705233720429863,0.8148778300608686,C8,C2
0.0994494084655325,0.17106437235938027,C8,C3
0.017524763110152112,0.8098452507112249,C8,C4
0.05815030800163349,0.42425894228868455,C8,C5
0.08425383709814047,0.24652574318992382,C8,C6
0.088047052050089,0.22581855201847512,C8,C7
