S,P,F1,F2
-0.137643256940123,0.05892824234065709,C0,C1
-0.07488813736155955,0.3057641362906878,C0,C2
-0.32306806379821923,5.783029730302357e-06,C0,C3
0.05363906016932912,0.4635272573134024,C0,C4
-0.10070572989409925,0.16795701793699166,C0,C5
-0.0664329477848999,0.36374771535514405,C0,C6
-0.17718561108042305,0.01472511090714527,C0,C7
0.032935017447568285,0.6527825621482221,C0,C8
-0.137643256940123,0.05892824234065709,C1,C0
-0.10192626141460034,0.16283622197978803,C1,C2
0.18452327010245165,0.011027957308222815,C1,C3
0.07126236759722397,0.3298401971307835,C1,C4
0.22739591591668465,0.0016508676779338795,C1,C5
0.4056393339295011,7.017954883080185e-09,C1,C6
0.19626724977268453,0.00679545044092521,C1,C7
0.03162277660168379,0.6657666298958476,C1,C8
-0.07488813736155957,0.30576413629068777,C2,C0
-0.10192626141460034,0.16283622197978803,C2,C1
-0.10694003091810828,0.14302119265203034,C2,C3
-0.03598322988763927,0.6230268046984249,C2,C4
-0.07331940825579905,0.3160353029909855,C2,C5
-0.09297105474972626,0.2032241843604167,C2,C6
-0.02977456670877068,0.6842229694787445,C2,C7
-0.020628424925175866,0.778140897172285,C2,C8
-0.32306806379821923,5.783029730302357e-06,C3,C0
0.18452327010245162,0.011027957308222836,C3,C1
-0.10694003091810828,0.14302119265203034,C3,C2
0.021371055703907106,0.7703724882213212,C3,C4
0.2991435033469337,2.897007904612917e-05,C3,C5
0.2140001504689087,0.003108193507205728,C3,C6
0.18097496507665395,0.012698956003641843,C3,C7
0.019289712886816482,0.7921999312862427,C3,C8
0.05363906016932913,0.4635272573134024,C4,C0
0.07126236759722397,0.3298401971307835,C4,C1
-0.03598322988763928,0.6230268046984246,C4,C2
0.021371055703907106,0.7703724882213212,C4,C3
0.03739361811739852,0.6094591736031388,C4,C5
0.057532513869075944,0.4316649136666658,C4,C6
-0.010887588907733555,0.8817974342559807,C4,C7
-0.03771571432023571,0.606379046917482,C4,C8
-0.10070572989409925,0.16795701793699166,C5,C0
0.22739591591668462,0.0016508676779338832,C5,C1
-0.07331940825579905,0.3160353029909855,C5,C2
0.2991435033469337,2.897007904612917e-05,C5,C3
0.03739361811739852,0.6094591736031388,C5,C4
0.09131461093595618,0.21142640844060948,C5,C6
0.13392459422808198,0.06617597779129233,C5,C7
0.0793167915100802,0.27796508050184915,C5,C8
-0.0664329477848999,0.36374771535514405,C6,C0
0.405639333929501,7.017954883080185e-09,C6,C1
-0.09297105474972626,0.2032241843604167,C6,C2
0.2140001504689087,0.003108193507205728,C6,C3
0.05753251386907594,0.4316649136666658,C6,C4
0.09131461093595619,0.21142640844060945,C6,C5
0.2891202777036296,5.4627980326911016e-05,C6,C7
0.0970725343394151,0.18390937419157968,C6,C8
-0.17718561108042305,0.01472511090714527,C7,C0
0.19626724977268453,0.00679545044092521,C7,C1
-0.029774566708770683,0.6842229694787445,C7,C2
0.18097496507665395,0.012698956003641843,C7,C3
-0.010887588907733555,0.8817974342559807,C7,C4
0.13392459422808195,0.06617597779129238,C7,C5
0.2891202777036296,5.4627980326911016e-05,C7,C6
0.11547005383792516,0.11360010132719227,C7,C8
0.032935017447568285,0.6527825621482221,C8,C0
0.0316227766016838,0.6657666298958473,C8,C1
-0.020628424925175866,0.778140897172285,C8,C2
0.019289712886816482,0.7921999312862427,C8,C3
-0.03771571432023571,0.606379046917482,C8,C4
0.0793167915100802,0.27796508050184915,C8,C5
0.09707253433941511,0.18390937419157952,C8,C6
0.11547005383792516,0.11360010132719227,C8,C7
