S,P,F1,F2
0.05265284807898352,0.47418544644625493,C0,C1
-0.08297194126316895,0.2589129216607268,C0,C2
-0.06259081221796364,0.39476255257773996,C0,C3
0.05358239397173545,0.46640633261028364,C0,C4
0.13872503897541089,0.058293787806798156,C0,C5
0.19582404119576707,0.007232316095549643,C0,C6
0.024171798095278897,0.7426273794464956,C0,C7
0.06634551279565287,0.36696528530030115,C0,C8
0.05265284807898352,0.47418544644625493,C1,C0
-0.13836556710388254,0.058955131991418955,C1,C2
0.08142762522091607,0.26791337390942865,C1,C3
0.10383170330579132,0.15730845770055535,C1,C4
0.17477071329506313,0.01673991390072072,C1,C5
0.3342290229127988,2.939292294236993e-06,C1,C6
0.300530344370959,2.9259343086123888e-05,C1,C7
0.011059806057453473,0.8805823080589171,C1,C8
-0.08297194126316895,0.2589129216607268,C2,C0
-0.13836556710388254,0.058955131991418955,C2,C1
-0.24829165414832868,0.000611671427290876,C2,C3
-0.04611360376216414,0.5308563404020357,C2,C4
-0.08573178378238967,0.24335056695436272,C2,C5
-0.13623945065958915,0.06299412954350853,C2,C6
-0.05289090025053462,0.4721865436344561,C2,C7
-0.017428374951427416,0.8128512134259169,C2,C8
-0.06259081221796364,0.39476255257773996,C3,C0
0.08142762522091608,0.26791337390942843,C3,C1
-0.24829165414832868,0.000611671427290876,C3,C2
0.0983517085628527,0.18051518276411146,C3,C4
0.10614366187762671,0.14821984920745448,C3,C5
0.2184738151523686,0.002665203298694945,C3,C6
0.0055473761240541096,0.9399353179237989,C3,C7
0.07019315655698906,0.33977043183057676,C3,C8
0.053582393971735455,0.46640633261028364,C4,C0
0.10383170330579132,0.15730845770055535,C4,C1
-0.04611360376216414,0.5308563404020357,C4,C2
0.09835170856285269,0.18051518276411155,C4,C3
0.10546962448516503,0.15082748909488528,C4,C5
0.13943453586109422,0.05700641609886008,C4,C6
0.09656157055809476,0.18861745337689997,C4,C7
0.16697241920742295,0.02236788952754007,C4,C8
0.13872503897541089,0.058293787806798156,C5,C0
0.17477071329506316,0.01673991390072071,C5,C1
-0.08573178378238967,0.24335056695436272,C5,C2
0.1061436618776267,0.14821984920745457,C5,C3
0.10546962448516502,0.15082748909488528,C5,C4
0.24013916609324887,0.0009315923228706328,C5,C6
0.29748545405622706,3.552989516642379e-05,C5,C7
0.010807798368135986,0.883283788039541,C5,C8
0.19582404119576705,0.007232316095549643,C6,C0
0.33422902291279877,2.939292294237002e-06,C6,C1
-0.13623945065958915,0.06299412954350853,C6,C2
0.2184738151523686,0.002665203298694945,C6,C3
0.13943453586109422,0.05700641609886008,C6,C4
0.24013916609324887,0.0009315923228706328,C6,C5
0.22617290108381463,0.0018546989371634277,C6,C7
0.0709676854842634,0.3344551854588994,C6,C8
0.024171798095278897,0.7426273794464956,C7,C0
0.30053034437095905,2.925934308612384e-05,C7,C1
-0.05289090025053462,0.4721865436344561,C7,C2
0.0055473761240541096,0.9399353179237989,C7,C3
0.09656157055809475,0.18861745337690008,C7,C4
0.29748545405622706,3.552989516642379e-05,C7,C5
0.22617290108381463,0.0018546989371634277,C7,C6
-0.021164007920782792,0.7737255934776142,C7,C8
0.06634551279565287,0.36696528530030115,C8,C0
0.011059806057453471,0.8805823080589172,C8,C1
-0.01742837495142742,0.8128512134259169,C8,C2
0.07019315655698906,0.33977043183057676,C8,C3
0.16697241920742298,0.022367889527540045,C8,C4
0.010807798368135986,0.883283788039541,C8,C5
0.07096768548426341,0.3344551854588991,C8,C6
-0.021164007920782792,0.7737255934776142,C8,C7
