S,P,F1,F2
0.050478142398133904,0.49383276305685997,C0,C1
nan,nan,C0,C2
0.10824767115487008,0.1413792625957458,C0,C3
0.18680617828179089,0.010678844699157752,C0,C4
-0.05965817884699013,0.4185928428877831,C0,C5
0.11905392315960316,0.10555599192642731,C0,C6
-0.05580012478432488,0.4493664557561228,C0,C7
0.045429774715117645,0.5380788306812068,C0,C8
0.05047814239813391,0.49383276305685964,C1,C0
nan,nan,C1,C2
0.1572441400276901,0.03207942754346001,C1,C3
0.18700505002301,0.0105943103809319,C1,C4
0.15880460558829418,0.03039050468955617,C1,C5
0.20357294344468074,0.005321617887662611,C1,C6
0.18698932336638324,0.010600973743952767,C1,C7
0.06623088348395109,0.36909691475596484,C1,C8
nan,nan,C2,C0
nan,nan,C2,C1
nan,nan,C2,C3
nan,nan,C2,C4
nan,nan,C2,C5
nan,nan,C2,C6
nan,nan,C2,C7
nan,nan,C2,C8
0.10824767115487008,0.1413792625957458,C3,C0
0.1572441400276901,0.03207942754346001,C3,C1
nan,nan,C3,C2
0.13649761638888291,0.06320674435805768,C3,C4
0.06816822533818465,0.3552264352518225,C3,C5
-0.021645408851247827,0.7693323508511896,C3,C6
0.04370098690168776,0.5536716634246572,C3,C7
0.10679868459703686,0.14681501986619275,C3,C8
0.18680617828179089,0.010678844699157752,C4,C0
0.18700505002300996,0.010594310380931917,C4,C1
nan,nan,C4,C2
0.13649761638888291,0.06320674435805768,C4,C3
0.07478755040482665,0.3103385858302929,C4,C5
-0.00394440438608527,0.9573876570618229,C4,C6
0.14179868898391515,0.05353179827855863,C4,C7
0.01502922516399048,0.8386652887511876,C4,C8
-0.05965817884699012,0.418592842887783,C5,C0
0.15880460558829418,0.03039050468955617,C5,C1
nan,nan,C5,C2
0.06816822533818465,0.3552264352518225,C5,C3
0.07478755040482664,0.3103385858302929,C5,C4
0.1817943468318949,0.013014974418655359,C5,C6
0.389965454497746,3.755944313399541e-08,C5,C7
0.09771298335787479,0.1845678615306788,C5,C8
0.11905392315960317,0.10555599192642731,C6,C0
0.20357294344468074,0.005321617887662611,C6,C1
nan,nan,C6,C2
-0.02164540885124783,0.7693323508511896,C6,C3
-0.00394440438608527,0.9573876570618229,C6,C4
0.1817943468318949,0.013014974418655359,C6,C5
0.27986959992910243,0.00010938068904836161,C6,C7
0.10843980141138332,0.14067017321730016,C6,C8
-0.05580012478432488,0.4493664557561228,C7,C0
0.18698932336638324,0.010600973743952767,C7,C1
nan,nan,C7,C2
0.04370098690168776,0.5536716634246572,C7,C3
0.14179868898391515,0.05353179827855863,C7,C4
0.38996545449774594,3.755944313399541e-08,C7,C5
0.27986959992910243,0.00010938068904836161,C7,C6
0.1317599608821908,0.07302471453603102,C7,C8
0.045429774715117645,0.5380788306812068,C8,C0
0.06623088348395109,0.36909691475596484,C8,C1
nan,nan,C8,C2
0.10679868459703686,0.14681501986619275,C8,C3
0.015029225163990481,0.8386652887511876,C8,C4
0.09771298335787477,0.18456786153067883,C8,C5
0.10843980141138333,0.14067017321730013,C8,C6
0.1317599608821908,0.07302471453603102,C8,C7
