S,P,F1,F2
0.054859231379958136,0.44741297956780834,C0,C1
nan,nan,C0,C2
0.03472660248602841,0.6307263018056085,C0,C3
0.10563281773692543,0.14267797277275998,C0,C4
0.16256531237612132,0.023529484629190967,C0,C5
0.17483053706580176,0.014761465005437397,C0,C6
0.08082001096176882,0.2626066728524278,C0,C7
0.1289111389254221,0.0732286651822934,C0,C8
0.05485923137995814,0.4474129795678081,C1,C0
nan,nan,C1,C2
0.08476688945401042,0.23993372982347755,C1,C3
-0.016556861990524988,0.8187633735589821,C1,C4
0.19965138972736268,0.005254441060477464,C1,C5
0.20432687428706767,0.004266371034241534,C1,C6
0.19419906342351195,0.006662082803106885,C1,C7
0.03934435129442634,0.5859785047929377,C1,C8
nan,nan,C2,C0
nan,nan,C2,C1
nan,nan,C2,C3
nan,nan,C2,C4
nan,nan,C2,C5
nan,nan,C2,C6
nan,nan,C2,C7
nan,nan,C2,C8
0.03472660248602841,0.6307263018056085,C3,C0
0.08476688945401042,0.23993372982347755,C3,C1
nan,nan,C3,C2
0.04530840297137175,0.5304514617378112,C3,C4
0.11545584476215143,0.10891545606978656,C3,C5
0.14222847017716855,0.047897157673232306,C3,C6
0.15066689786545703,0.035996164747861034,C3,C7
-0.054362358853390184,0.4515438415745615,C3,C8
0.10563281773692544,0.14267797277275998,C4,C0
-0.016556861990524988,0.8187633735589821,C4,C1
nan,nan,C4,C2
0.045308402971371745,0.5304514617378114,C4,C3
0.04444074167110287,0.5383620309307977,C4,C5
0.08563732520046424,0.23512353833339128,C4,C6
0.0948807614597245,0.1881852978760555,C4,C7
0.0642477848302516,0.3734632264361618,C4,C8
0.16256531237612132,0.023529484629190967,C5,C0
0.19965138972736268,0.005254441060477464,C5,C1
nan,nan,C5,C2
0.11545584476215143,0.10891545606978656,C5,C3
0.04444074167110287,0.5383620309307977,C5,C4
0.3282125323024964,2.982740537908467e-06,C5,C6
0.2902436652736483,4.0392562547381415e-05,C5,C7
0.028513025093838296,0.6930980846228858,C5,C8
0.17483053706580176,0.014761465005437397,C6,C0
0.2043268742870677,0.004266371034241526,C6,C1
nan,nan,C6,C2
0.14222847017716855,0.047897157673232306,C6,C3
0.08563732520046424,0.23512353833339128,C6,C4
0.3282125323024964,2.982740537908467e-06,C6,C5
0.3253656699646909,3.6723442499470644e-06,C6,C7
0.003666177875533832,0.9595373887788058,C6,C8
0.08082001096176882,0.2626066728524278,C7,C0
0.19419906342351193,0.0066620828031068915,C7,C1
nan,nan,C7,C2
0.15066689786545703,0.035996164747861034,C7,C3
0.0948807614597245,0.1881852978760555,C7,C4
0.2902436652736483,4.0392562547381415e-05,C7,C5
0.3253656699646909,3.6723442499470644e-06,C7,C6
-0.049933189703000626,0.48929802863829486,C7,C8
0.1289111389254221,0.0732286651822934,C8,C0
0.03934435129442634,0.5859785047929377,C8,C1
nan,nan,C8,C2
-0.054362358853390184,0.4515438415745615,C8,C3
0.0642477848302516,0.3734632264361618,C8,C4
0.028513025093838292,0.6930980846228858,C8,C5
0.0036661778755338317,0.9595373887788059,C8,C6
-0.04993318970300063,0.48929802863829486,C8,C7
