,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.82,0.76,0.78,0.76,0.74,0.75,0.64,0.72,0.65,0.81
C0,0.0,0.0,0.0,0.01,-0.02,0.01,0.0,0.01,-0.01,0.0
C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.01,-0.01,-0.06,-0.01,0.02,0.02,-0.0,0.0
C4,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.01,0.0
C8,0.0,0.0,-0.02,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C1,0.01,0.04,-0.01,0.04,0.05,0.01,0.0,0.02,0.0,0.0
C6,0.09,0.06,0.01,0.09,0.15,0.02,0.02,0.07,0.09,0.09
C5,0.09,0.05,0.03,0.09,0.0,-0.02,0.11,0.03,-0.03,0.11
C7,0.14,0.15,0.13,0.14,0.07,0.15,-0.0,0.05,0.05,0.11
