,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.82,0.76,0.78,0.76,0.74,0.75,0.64,0.72,0.65,0.81
C6,0.35,0.18,0.22,0.24,0.33,0.2,0.23,0.31,0.34,0.22
C7,0.25,0.37,0.34,0.32,0.24,0.34,0.17,0.19,0.28,0.29
C5,0.16,0.25,0.2,0.07,0.02,0.21,0.32,0.1,0.11,0.34
C1,0.14,0.1,0.11,0.27,0.16,0.1,0.12,0.07,0.02,0.07
C8,0.03,0.02,0.02,0.01,0.03,0.02,0.02,0.01,0.02,0.01
C3,0.03,0.03,0.04,0.02,0.04,0.04,0.05,0.05,0.04,0.02
C4,0.02,0.03,0.02,0.04,0.11,0.05,0.04,0.04,0.02,0.01
C0,0.02,0.03,0.02,0.04,0.07,0.04,0.04,0.24,0.17,0.03
C2,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
