fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
microsoft/PowerToys,0,1,0,1,1,1,1,1,0,64333,64333,3556,0,microsoft/PowerToys,313.0,7165238.0,30.0,55.0,5768.0,2339.0,11105.0,13444.0,20.0,3429.0,3449.0,2.0,180.0,microsoft/PowerToys,2019-05-01 17:44:02,1073,6677.761416589003,0.2917054986020503,0.0512581547064305,0.0279589934762348,5.375582479030755,1.8333333333333333,7.236874805840323,1
shadowsocks/shadowsocks-windows,0,1,0,1,0,1,1,1,0,53513,53513,16188,1,shadowsocks/shadowsocks-windows,91.0,113682379.0,30.0,43.0,1718.0,71.0,2686.0,2757.0,4.0,458.0,462.0,2.0,81.0,shadowsocks/shadowsocks-windows,2013-01-14 07:54:16,3371,33723.636606348264,0.0269949569860575,0.0127558587956096,0.0088994363690299,0.5096410560664492,1.4333333333333331,1.9518738257688122,1
PowerShell/PowerShell,1,1,0,1,1,1,1,1,0,31124,31124,4908,2,PowerShell/PowerShell,466.0,107417.0,30.0,681.0,9258.0,3123.0,6795.0,9918.0,93.0,6375.0,6468.0,0.0,316.0,PowerShell/PowerShell,2016-01-13 23:41:35,2277,47.1747913921827,0.204655248133509,0.2990777338603425,0.0131752305665349,4.065876152832675,22.7,26.77905138339921,1
dotnet/aspnetcore,0,1,0,0,0,1,1,1,0,26646,26646,7147,3,dotnet/aspnetcore,1195.0,0.0,2.0,0.0,48991.0,2271.0,22893.0,25164.0,50.0,12218.0,12268.0,10.0,41.0,dotnet/aspnetcore,2014-03-11 06:09:42,2950,0.0,0.4050847457627118,0.0,0.0006779661016949,16.607118644067796,0.0,16.60779661016949,1
2dust/v2rayN,0,0,0,1,1,0,0,0,0,24225,24225,5121,4,2dust/v2rayN,18.0,1214738.0,30.0,60.0,413.0,24.0,1843.0,1867.0,1.0,104.0,105.0,0.0,4.0,2dust/v2rayN,2019-07-30 03:47:24,983,1235.7456765005086,0.0183112919633774,0.0610376398779247,0.0305188199389623,0.4201424211597152,2.0,2.4506612410986772,1
CodeHubApp/CodeHub,0,0,0,1,0,1,1,1,0,23312,23312,642,5,CodeHubApp/CodeHub,10.0,0.0,2.0,0.0,593.0,234.0,407.0,641.0,1.0,20.0,21.0,2.0,15.0,CodeHubApp/CodeHub,2013-07-23 22:19:57,3181,0.0,0.0031436655139893,0.0,0.0006287331027978,0.1864193649795661,0.0,0.1870480980823639,0
Wox-launcher/Wox,0,1,0,1,0,1,1,1,0,21061,21061,2257,6,Wox-launcher/Wox,130.0,756437.0,30.0,105.0,2749.0,798.0,2397.0,3195.0,10.0,437.0,447.0,7.0,151.0,Wox-launcher/Wox,2013-12-19 15:49:32,3032,249.4844986807388,0.0428759894459102,0.0346306068601583,0.0098944591029023,0.9066622691292876,3.5,4.41655672823219,1
dnSpy/dnSpy,1,1,0,1,0,1,1,0,0,19582,19582,3658,7,dnSpy/dnSpy,31.0,164878.0,1.0,3.0,3932.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,41.0,dnSpy/dnSpy,2015-07-01 16:05:10,2473,66.67124949454104,0.0125353821269712,0.0012131014961585,0.0004043671653861,1.589971694298423,3.0,4.590376061463809,1
dotnet-architecture/eShopOnContainers,0,1,0,1,1,0,1,0,0,19281,19281,8186,8,dotnet-architecture/eShopOnContainers,200.0,0.0,2.0,0.0,3967.0,34.0,1076.0,1110.0,15.0,695.0,710.0,0.0,180.0,dotnet-architecture/eShopOnContainers,2016-10-05 22:35:23,2011,0.0,0.0994530084535057,0.0,0.000994530084535,1.972650422675286,0.0,1.973644952759821,1
ShareX/ShareX,1,1,0,0,0,0,1,0,0,17970,17970,2334,9,ShareX/ShareX,255.0,11601087.0,30.0,62.0,7100.0,350.0,4824.0,5174.0,7.0,923.0,930.0,1.0,50.0,ShareX/ShareX,2013-10-08 23:32:10,3104,3737.463595360825,0.0821520618556701,0.0199742268041237,0.0096649484536082,2.2873711340206184,2.066666666666667,4.363702749140893,1
mxgmn/WaveFunctionCollapse,1,1,0,1,0,1,1,0,1,17092,17092,885,10,mxgmn/WaveFunctionCollapse,17.0,0.0,2.0,0.0,135.0,0.0,40.0,40.0,0.0,29.0,29.0,0.0,97.0,mxgmn/WaveFunctionCollapse,2016-09-30 11:53:17,2016,0.0,0.0084325396825396,0.0,0.0009920634920634,0.0669642857142857,0.0,0.0679563492063491,0
thangchung/awesome-dotnet-core,1,1,0,1,1,1,1,0,0,15409,15409,2426,12,thangchung/awesome-dotnet-core,255.0,0.0,2.0,0.0,1251.0,19.0,51.0,70.0,112.0,601.0,713.0,0.0,1125.0,thangchung/awesome-dotnet-core,2016-03-17 03:52:09,2213,0.0,0.1152281970176231,0.0,0.0009037505648441,0.5652959783099865,0.0,0.5661997288748306,1
dotnet/roslyn,1,1,0,0,1,1,1,1,0,15254,15254,3471,13,dotnet/roslyn,710.0,21246.0,30.0,2.0,83370.0,8634.0,19269.0,27903.0,407.0,30810.0,31217.0,1.0,117.0,dotnet/roslyn,2015-01-11 02:39:03,2644,8.03555219364599,0.2685325264750378,0.0007564296520423,0.0113464447806354,31.53177004538578,0.0666666666666666,31.609783156833082,1
files-community/Files,0,1,0,1,0,0,1,1,0,14988,14988,839,14,files-community/Files,217.0,51021.0,30.0,18.0,3342.0,801.0,4899.0,5700.0,16.0,2843.0,2859.0,0.0,62.0,files-community/Files,2019-01-04 18:19:14,1190,42.87478991596639,0.1823529411764705,0.015126050420168,0.0252100840336134,2.8084033613445376,0.6,3.433613445378151,1
DapperLib/Dapper,0,1,0,1,1,1,1,0,0,14287,14287,3432,15,DapperLib/Dapper,218.0,0.0,2.0,0.0,1512.0,293.0,793.0,1086.0,39.0,521.0,560.0,10.0,80.0,DapperLib/Dapper,2011-04-14 08:42:59,4012,0.0,0.0543369890329012,0.0,0.0004985044865403,0.3768693918245264,0.0,0.3773678963110667,1
dotnet/maui,0,1,0,1,0,1,1,1,0,12966,12966,628,17,dotnet/maui,472.0,43.0,20.0,59.0,9066.0,932.0,1531.0,2463.0,69.0,1994.0,2063.0,0.0,112.0,dotnet/maui,2020-05-08 18:11:05,700,0.0614285714285714,0.6742857142857143,0.0842857142857142,0.0285714285714285,12.951428571428572,2.95,15.93,1
jellyfin/jellyfin,0,1,0,1,0,0,1,0,0,12501,12501,1283,18,jellyfin/jellyfin,861.0,644.0,30.0,138.0,22654.0,606.0,3083.0,3689.0,65.0,3216.0,3281.0,1.0,172.0,jellyfin/jellyfin,2018-12-09 06:36:45,1216,0.5296052631578947,0.7080592105263158,0.1134868421052631,0.0246710526315789,18.629934210526315,4.6,23.25460526315789,1
AvaloniaUI/Avalonia,1,1,0,1,0,1,1,1,0,12499,12499,1121,19,AvaloniaUI/Avalonia,288.0,0.0,2.0,0.0,18349.0,1202.0,2659.0,3861.0,29.0,3056.0,3085.0,0.0,127.0,AvaloniaUI/Avalonia,2013-12-05 20:13:21,3046,0.0,0.0945502298095863,0.0,0.0006565988181221,6.023965856861458,0.0,6.02462245567958,1
huiyadanli/RevokeMsgPatcher,1,0,0,0,0,1,0,0,0,12325,12325,1677,20,huiyadanli/RevokeMsgPatcher,2.0,234548.0,12.0,12.0,169.0,27.0,233.0,260.0,0.0,5.0,5.0,0.0,52.0,huiyadanli/RevokeMsgPatcher,2019-07-21 15:12:52,992,236.43951612903223,0.002016129032258,0.0120967741935483,0.0120967741935483,0.1703629032258064,1.0,1.1824596774193548,1
Unity-Technologies/ml-agents,0,1,0,1,0,1,1,0,0,12058,12058,3216,21,Unity-Technologies/ml-agents,157.0,0.0,2.0,0.0,3382.0,185.0,2441.0,2626.0,15.0,3063.0,3078.0,2.0,125.0,Unity-Technologies/ml-agents,2017-09-08 21:09:04,1673,0.0,0.0938433950986252,0.0,0.0011954572624028,2.0215182307232515,0.0,2.022713687985654,1
MaterialDesignInXAML/MaterialDesignInXamlToolkit,1,1,0,1,0,1,1,1,1,11547,11547,2836,22,MaterialDesignInXAML/MaterialDesignInXamlToolkit,183.0,86419.0,30.0,68.0,2462.0,217.0,1294.0,1511.0,5.0,1070.0,1075.0,5.0,84.0,MaterialDesignInXAML/MaterialDesignInXamlToolkit,2015-02-07 23:30:48,2617,33.02216278181123,0.0699273977837218,0.0259839510890332,0.011463507833397,0.9407718761941154,2.2666666666666666,3.218902050694179,1
dotnet/efcore,0,1,0,1,0,0,1,1,0,10809,10809,2675,23,dotnet/efcore,341.0,0.0,2.0,0.0,12699.0,1528.0,15917.0,17445.0,18.0,9838.0,9856.0,5.0,52.0,dotnet/efcore,2014-01-23 00:52:01,2997,0.0,0.1137804471137804,0.0,0.0006673340006673,4.237237237237237,0.0,4.237904571237904,1
Ryujinx/Ryujinx,0,1,0,1,0,1,1,0,0,10415,10415,1261,24,Ryujinx/Ryujinx,110.0,0.0,2.0,0.0,2032.0,302.0,810.0,1112.0,66.0,1945.0,2011.0,0.0,55.0,Ryujinx/Ryujinx,2018-02-04 23:07:54,1524,0.0,0.0721784776902887,0.0,0.0013123359580052,1.3333333333333333,0.0,1.3346456692913384,1
netchx/netch,1,1,0,1,0,1,1,0,1,10220,10220,1617,25,netchx/netch,6.0,428998.0,30.0,30.0,291.0,7.0,603.0,610.0,0.0,184.0,184.0,0.0,10.0,netchx/netch,2019-06-25 09:55:30,1018,421.4125736738703,0.005893909626719,0.0294695481335952,0.0294695481335952,0.2858546168958742,1.0,1.3153241650294694,1
QL-Win/QuickLook,1,1,0,1,0,1,1,0,0,10213,10213,788,26,QL-Win/QuickLook,56.0,495104.0,30.0,60.0,818.0,330.0,678.0,1008.0,2.0,89.0,91.0,0.0,76.0,QL-Win/QuickLook,2017-04-12 14:57:38,1822,271.7365532381998,0.0307354555433589,0.0329308452250274,0.0164654226125137,0.4489571899012075,2.0,2.4654226125137213,1
OpenRA/OpenRA,0,1,0,1,0,1,1,1,0,10163,10163,2316,27,OpenRA/OpenRA,410.0,45967.0,30.0,261.0,28593.0,1515.0,7119.0,8634.0,91.0,9078.0,9169.0,1.0,38.0,OpenRA/OpenRA,2010-10-04 07:38:05,4204,10.934110371075166,0.0975261655566127,0.0620837297811608,0.0071360608943862,6.801379638439581,8.7,15.508515699333966,1
aspnetboilerplate/aspnetboilerplate,1,1,0,1,0,1,1,0,0,10020,10020,3522,28,aspnetboilerplate/aspnetboilerplate,219.0,0.0,2.0,0.0,7062.0,191.0,5011.0,5202.0,5.0,1180.0,1185.0,1.0,49.0,aspnetboilerplate/aspnetboilerplate,2013-08-18 20:45:08,3155,0.0,0.0694136291600634,0.0,0.000633914421553,2.238351822503962,0.0,2.238985736925515,1
