fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
doocs/advanced-java,1,1,0,0,0,0,1,0,0,58861,58861,16126,4,doocs/advanced-java,36.0,0.0,1.0,0.0,619.0,3.0,123.0,126.0,0.0,100.0,100.0,8.0,179.0,doocs/advanced-java,2018-10-06 11:38:30,1280,0.0,0.028125,0.0,0.00078125,0.48359375,0.0,0.484375,0
spring-projects/spring-boot,1,1,0,1,0,0,1,0,0,58480,58480,35068,5,spring-projects/spring-boot,1123.0,0.0,30.0,0.0,36637.0,543.0,24193.0,24736.0,29.0,5088.0,5117.0,17.0,96.0,spring-projects/spring-boot,2012-10-19 15:02:57,3458,0.0,0.3247541931752458,0.0,0.0086755349913244,10.594852515905147,0.0,10.603528050896472,0
elastic/elasticsearch,0,1,0,1,0,0,1,0,0,57480,57480,20910,6,elastic/elasticsearch,1906.0,0.0,30.0,0.0,63291.0,3361.0,25971.0,29332.0,457.0,54775.0,55232.0,0.0,9.0,elastic/elasticsearch,2010-02-08 13:20:56,4442,0.0,0.4290859972985142,0.0,0.0067537145429986,14.248311571364251,0.0,14.25506528590725,0
macrozheng/mall,1,1,0,0,0,1,1,0,0,54498,54498,23193,8,macrozheng/mall,2.0,0.0,1.0,0.0,771.0,21.0,396.0,417.0,4.0,84.0,88.0,0.0,162.0,macrozheng/mall,2018-04-04 01:11:44,1465,0.0,0.0013651877133105,0.0,0.0006825938566552,0.5262798634812287,0.0,0.5269624573378838,0
ReactiveX/RxJava,0,1,0,1,1,1,1,0,0,45542,45542,7524,9,ReactiveX/RxJava,328.0,0.0,30.0,0.0,5967.0,10.0,3069.0,3079.0,1.0,3672.0,3673.0,1.0,107.0,ReactiveX/RxJava,2013-01-08 20:11:48,3377,0.0,0.0971276280722534,0.0,0.0088836245188036,1.7669529167900504,0.0,1.775836541308854,0
google/guava,0,1,0,1,1,0,1,0,0,43017,43017,9560,10,google/guava,426.0,1250.0,30.0,4.0,5763.0,646.0,2688.0,3334.0,94.0,1184.0,1278.0,2.0,82.0,google/guava,2014-05-29 16:23:17,2871,0.4353883664228491,0.148380355276907,0.0013932427725531,0.0104493207941483,2.007314524555904,0.1333333333333333,2.151097178683386,0
airbnb/lottie-android,1,1,0,1,0,0,1,1,0,32140,32140,5134,12,airbnb/lottie-android,122.0,911.0,30.0,5.0,1415.0,15.0,1387.0,1402.0,1.0,604.0,605.0,6.0,116.0,airbnb/lottie-android,2016-10-06 22:42:42,2010,0.4532338308457711,0.0606965174129353,0.0024875621890547,0.0149253731343283,0.7039800995024875,0.1666666666666666,0.8855721393034824,0
Blankj/AndroidUtilCode,1,1,0,0,0,1,1,0,1,30162,30162,10045,13,Blankj/AndroidUtilCode,46.0,3647.0,30.0,30.0,1404.0,155.0,1248.0,1403.0,4.0,187.0,191.0,0.0,286.0,Blankj/AndroidUtilCode,2016-07-30 18:18:32,2078,1.7550529355149185,0.0221366698748796,0.0144369586140519,0.0144369586140519,0.6756496631376323,1.0,1.6900866217516843,0
NationalSecurityAgency/ghidra,0,1,0,1,0,0,1,1,1,29904,29904,3889,14,NationalSecurityAgency/ghidra,204.0,276469.0,19.0,19.0,6415.0,1129.0,1867.0,2996.0,172.0,614.0,786.0,1.0,25.0,NationalSecurityAgency/ghidra,2019-03-01 03:27:48,1134,243.79982363315696,0.1798941798941798,0.0167548500881834,0.0167548500881834,5.656966490299824,1.0,6.673721340388007,0
zxing/zxing,1,1,0,1,1,1,1,0,0,28731,28731,9112,16,zxing/zxing,161.0,446787.0,27.0,17.0,3645.0,6.0,1138.0,1144.0,2.0,321.0,323.0,0.0,47.0,zxing/zxing,2011-10-12 14:07:27,3831,116.62411902897416,0.0420255807883059,0.0044374836857217,0.0070477682067345,0.951448707909162,0.6296296296296297,1.588126105745526,0
skylot/jadx,0,0,0,1,0,0,1,1,0,27974,27974,3453,19,skylot/jadx,86.0,597741.0,18.0,36.0,1683.0,203.0,828.0,1031.0,1.0,360.0,361.0,20.0,70.0,skylot/jadx,2013-03-18 17:08:21,3308,180.69558645707377,0.0259975816203143,0.0108827085852478,0.0054413542926239,0.5087666263603385,2.0,2.5142079806529622,0
alibaba/arthas,0,1,0,1,0,1,1,0,0,27788,27788,6096,20,alibaba/arthas,168.0,16743.0,30.0,145.0,1716.0,172.0,1292.0,1464.0,46.0,562.0,608.0,3.0,142.0,alibaba/arthas,2018-08-29 17:15:57,1318,12.703338391502276,0.1274658573596358,0.1100151745068285,0.0227617602427921,1.3019726858877088,4.833333333333333,6.158067779463834,0
apolloconfig/apollo,1,1,0,1,1,1,1,0,1,25994,25994,9498,23,apolloconfig/apollo,139.0,74023.0,30.0,113.0,2657.0,115.0,2611.0,2726.0,6.0,1354.0,1360.0,0.0,262.0,apolloconfig/apollo,2016-03-04 10:24:23,2226,33.25381850853549,0.0624438454627133,0.0507637017070979,0.013477088948787,1.193620844564241,3.7666666666666666,4.9737646001796945,0
proxyee-down-org/proxyee-down,1,1,0,0,1,0,1,0,0,25345,25345,4616,25,proxyee-down-org/proxyee-down,14.0,1058299.0,30.0,59.0,474.0,0.0,0.0,0.0,1.0,31.0,32.0,0.0,82.0,proxyee-down-org/proxyee-down,2017-10-25 10:07:27,1626,650.860393603936,0.008610086100861,0.0362853628536285,0.018450184501845,0.2915129151291513,1.9666666666666663,2.2766297662976624,0
alibaba/druid,1,1,0,0,0,0,1,0,0,24871,24871,7947,26,alibaba/druid,222.0,0.0,30.0,0.0,6513.0,2156.0,1323.0,3479.0,146.0,1046.0,1192.0,0.0,8.0,alibaba/druid,2011-11-03 05:12:51,3809,0.0,0.0582830139144132,0.0,0.0078760829614071,1.7098976109215016,0.0,1.7177736938829087,0
