fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
laravel/laravel,1,1,0,0,0,1,1,1,0,67531,67531,21845,0,laravel/laravel,743.0,0.0,30.0,0.0,6692.0,0.0,0.0,0.0,0.0,4092.0,4092.0,0.0,23.0,laravel/laravel,2011-06-08 03:06:08,3957,0.0,0.18776851149861,0.0,0.0075815011372251,1.691180187010361,0.0,1.6987616881475862,0
danielmiessler/SecLists,0,1,0,1,0,1,1,1,0,35360,35360,18356,1,danielmiessler/SecLists,226.0,0.0,15.0,0.0,1297.0,21.0,156.0,177.0,5.0,514.0,519.0,5.0,87.0,danielmiessler/SecLists,2012-02-19 01:30:18,3701,0.0,0.0610645771413131,0.0,0.0040529586598216,0.3504458254525804,0.0,0.354498784112402,1
fzaninotto/Faker,1,1,0,1,1,1,1,0,0,26235,26235,3232,3,fzaninotto/Faker,529.0,0.0,12.0,0.0,2632.0,76.0,494.0,570.0,167.0,1319.0,1486.0,1.0,368.0,fzaninotto/Faker,2011-10-14 22:49:02,3829,0.0,0.1381561765474014,0.0,0.0031339775398276,0.6873857404021938,0.0,0.6905197179420214,0
symfony/symfony,0,1,0,0,0,1,1,1,0,26145,26145,8428,4,symfony/symfony,3416.0,0.0,30.0,0.0,59755.0,529.0,16601.0,17130.0,210.0,27108.0,27318.0,2.0,51.0,symfony/symfony,2010-01-04 14:21:21,4477,0.0,0.7630109448291267,0.0,0.0067009157918248,13.347107438016527,0.0,13.353808353808352,0
composer/composer,1,0,0,1,0,1,1,0,0,25921,25921,6199,5,composer/composer,1124.0,461010.0,30.0,56.0,11380.0,167.0,6787.0,6954.0,20.0,3379.0,3399.0,7.0,69.0,composer/composer,2011-06-08 08:53:00,3957,116.5049279757392,0.2840535759413697,0.0141521354561536,0.0075815011372251,2.875916098054081,1.8666666666666667,4.750164265857973,0
laravel/framework,0,1,0,0,0,1,1,1,0,25561,25561,8702,6,laravel/framework,3382.0,0.0,30.0,0.0,33231.0,5.0,15793.0,15798.0,7.0,23038.0,23045.0,0.0,18.0,laravel/framework,2013-01-10 21:27:28,3375,0.0,1.002074074074074,0.0,0.0088888888888888,9.846222222222222,0.0,9.85511111111111,0
guzzle/guzzle,0,1,0,1,1,1,1,0,0,21347,21347,2244,7,guzzle/guzzle,413.0,4022.0,30.0,34.0,3595.0,23.0,1712.0,1735.0,15.0,1227.0,1242.0,5.0,105.0,guzzle/guzzle,2011-02-28 02:44:05,4057,0.9913729356667488,0.1017993591323638,0.0083805767808725,0.0073946265713581,0.8861227508010845,1.1333333333333333,2.026850710705776,0
Seldaek/monolog,1,1,0,1,1,1,0,1,0,19317,19317,1789,9,Seldaek/monolog,488.0,0.0,30.0,0.0,2536.0,27.0,674.0,701.0,15.0,919.0,934.0,1.0,30.0,Seldaek/monolog,2011-02-17 02:07:15,4068,0.0,0.119960668633235,0.0,0.0073746312684365,0.6234021632251721,0.0,0.6307767944936086,0
nextcloud/server,1,1,0,1,0,1,1,1,0,17576,17576,2845,12,nextcloud/server,1095.0,1666.0,30.0,72.0,61748.0,1768.0,11916.0,13684.0,309.0,16737.0,17046.0,1.0,74.0,nextcloud/server,2016-06-02 07:44:14,2136,0.7799625468164794,0.5126404494382022,0.0337078651685393,0.0140449438202247,28.908239700374533,2.4,31.322284644194756,0
PHPMailer/PHPMailer,1,1,0,1,1,1,1,1,0,17434,17434,9040,13,PHPMailer/PHPMailer,249.0,0.0,30.0,0.0,2087.0,24.0,1840.0,1864.0,7.0,594.0,601.0,2.0,130.0,PHPMailer/PHPMailer,2011-08-23 07:57:17,3881,0.0,0.0641587219788714,0.0,0.0077299665034784,0.5377480030919866,0.0,0.5454779695954649,0
matomo-org/matomo,1,1,0,1,1,1,1,0,0,15676,15676,2224,15,matomo-org/matomo,379.0,6.0,30.0,16.0,28254.0,1892.0,10215.0,12107.0,27.0,6056.0,6083.0,9.0,120.0,matomo-org/matomo,2011-03-30 21:18:17,4027,0.0014899428855227,0.0941147256021852,0.0039731810280605,0.0074497144276136,7.016141047926496,0.5333333333333333,7.556924095687442,0
briannesbitt/Carbon,1,0,0,1,0,1,1,1,0,15547,15547,1191,16,briannesbitt/Carbon,301.0,1434.0,30.0,30.0,3156.0,9.0,1098.0,1107.0,3.0,1441.0,1444.0,0.0,91.0,briannesbitt/Carbon,2012-09-08 02:56:20,3499,0.4098313803943984,0.086024578450986,0.0085738782509288,0.0085738782509288,0.9019719919977136,1.0,1.9105458702486424,0
monicahq/monica,0,1,0,1,0,1,1,1,0,15461,15461,1584,17,monicahq/monica,260.0,503.0,30.0,169.0,3604.0,498.0,1223.0,1721.0,4.0,4271.0,4275.0,0.0,9.0,monicahq/monica,2017-02-17 00:02:58,1876,0.2681236673773987,0.138592750533049,0.0900852878464818,0.0159914712153518,1.9211087420042643,5.633333333333334,7.57043354655295,0
nikic/PHP-Parser,0,1,0,1,0,0,0,0,0,15069,15069,847,18,nikic/PHP-Parser,129.0,0.0,30.0,0.0,1395.0,67.0,442.0,509.0,13.0,303.0,316.0,0.0,71.0,nikic/PHP-Parser,2011-04-18 17:03:47,4008,0.0,0.0321856287425149,0.0,0.0074850299401197,0.3480538922155688,0.0,0.3555389221556885,1
easychen/howto-make-more-money,1,0,0,0,1,0,0,0,0,14869,14869,1572,19,easychen/howto-make-more-money,13.0,0.0,3.0,0.0,69.0,3.0,22.0,25.0,1.0,15.0,16.0,0.0,37.0,easychen/howto-make-more-money,2016-03-13 12:22:03,2217,0.0,0.0058637798827244,0.0,0.0013531799729364,0.0311231393775372,0.0,0.0324763193504736,1
erusev/parsedown,0,1,0,1,0,0,1,0,0,13943,13943,1043,20,erusev/parsedown,43.0,0.0,25.0,0.0,843.0,81.0,458.0,539.0,47.0,232.0,279.0,3.0,166.0,erusev/parsedown,2013-07-10 20:23:25,3194,0.0,0.0134627426424546,0.0,0.0078271759549154,0.2639323731997495,0.0,0.2717595491546649,1
yiisoft/yii2,0,1,0,1,1,1,1,1,0,13853,13853,6973,21,yiisoft/yii2,1356.0,94532.0,30.0,54.0,19960.0,445.0,10731.0,11176.0,71.0,7612.0,7683.0,8.0,58.0,yiisoft/yii2,2012-02-13 15:32:36,3707,25.50094415969787,0.3657944429457782,0.0145670353385486,0.0080927974103048,5.38440787698948,1.8,7.192500674399784,0
barryvdh/laravel-debugbar,0,1,0,1,0,0,0,0,0,13443,13443,1312,22,barryvdh/laravel-debugbar,179.0,0.0,30.0,0.0,929.0,44.0,862.0,906.0,25.0,364.0,389.0,3.0,79.0,barryvdh/laravel-debugbar,2013-09-05 10:26:54,3137,0.0,0.0570608861970035,0.0,0.0095632770162575,0.2961428116034428,0.0,0.3057060886197003,1
getgrav/grav,0,1,0,1,0,1,1,1,1,13053,13053,1325,23,getgrav/grav,231.0,63746.0,30.0,90.0,7314.0,322.0,2484.0,2806.0,24.0,624.0,648.0,2.0,66.0,getgrav/grav,2014-08-02 18:29:10,2806,22.717747683535283,0.0823235923022095,0.0320741268709907,0.0106913756236635,2.6065573770491803,3.0,5.617248752672843,0
koel/koel,1,1,0,1,0,0,1,0,0,13048,13048,1666,24,koel/koel,62.0,2802.0,30.0,26.0,2036.0,75.0,742.0,817.0,11.0,578.0,589.0,0.0,38.0,koel/koel,2015-12-06 12:13:19,2315,1.21036717062635,0.0267818574514038,0.011231101511879,0.0129589632829373,0.8794816414686825,0.8666666666666667,1.7591072714182865,0
CachetHQ/Cachet,1,1,0,1,0,1,1,1,0,12455,12455,1478,26,CachetHQ/Cachet,223.0,0.0,30.0,0.0,7274.0,276.0,2008.0,2284.0,74.0,1921.0,1995.0,4.0,147.0,CachetHQ/Cachet,2014-11-16 22:23:11,2700,0.0,0.0825925925925925,0.0,0.0111111111111111,2.694074074074074,0.0,2.705185185185185,0
thephpleague/flysystem,1,1,0,1,0,0,1,0,0,12213,12213,681,29,thephpleague/flysystem,48.0,0.0,15.0,0.0,648.0,20.0,705.0,725.0,6.0,689.0,695.0,0.0,14.0,thephpleague/flysystem,2013-10-27 11:07:22,3085,0.0,0.0155591572123176,0.0,0.0048622366288492,0.2100486223662885,0.0,0.21491085899513768,1
flarum/flarum,0,1,0,0,0,1,1,1,0,12145,12145,1339,30,flarum/flarum,33.0,0.0,17.0,0.0,337.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,9.0,flarum/flarum,2014-12-30 11:13:08,2656,0.0,0.0124246987951807,0.0,0.0064006024096385,0.1268825301204819,0.0,0.1332831325301204,1
barryvdh/laravel-ide-helper,0,1,0,1,0,1,1,0,0,11846,11846,1024,31,barryvdh/laravel-ide-helper,213.0,0.0,30.0,0.0,828.0,94.0,727.0,821.0,41.0,462.0,503.0,4.0,19.0,barryvdh/laravel-ide-helper,2013-03-10 00:12:55,3316,0.0,0.0642340168878166,0.0,0.0090470446320868,0.2496984318455971,0.0,0.25874547647768387,1
vlucas/phpdotenv,1,1,0,1,1,1,1,0,0,11629,11629,569,32,vlucas/phpdotenv,68.0,0.0,30.0,0.0,567.0,4.0,246.0,250.0,0.0,256.0,256.0,1.0,56.0,vlucas/phpdotenv,2013-01-23 06:57:12,3362,0.0,0.0202260559190957,0.0,0.0089232599643069,0.1686496133254015,0.0,0.1775728732897084,1
roots/sage,0,1,0,1,1,1,1,1,0,11498,11498,2973,33,roots/sage,249.0,229.0,30.0,1.0,2455.0,8.0,1275.0,1283.0,5.0,1664.0,1669.0,8.0,185.0,roots/sage,2011-01-29 03:12:09,4087,0.0560313188157572,0.0609248837778321,0.0002446782481037,0.0073403474431123,0.6006850990946905,0.0333333333333333,0.6413587798711361,0
ramsey/uuid,0,0,0,1,1,1,1,1,0,11458,11458,435,35,ramsey/uuid,101.0,0.0,30.0,0.0,1109.0,21.0,146.0,167.0,5.0,229.0,234.0,1.0,78.0,ramsey/uuid,2012-07-05 23:24:53,3564,0.0,0.0283389450056116,0.0,0.0084175084175084,0.3111672278338945,0.0,0.3195847362514029,1
slimphp/Slim,1,1,0,1,0,1,1,1,0,11159,11159,1932,36,slimphp/Slim,274.0,0.0,30.0,0.0,4278.0,5.0,1602.0,1607.0,0.0,1508.0,1508.0,2.0,69.0,slimphp/Slim,2010-09-21 01:17:06,4217,0.0,0.0649751007825468,0.0,0.0071140621294759,1.0144652596632675,0.0,1.0215793217927434,0
the-control-group/voyager,0,0,0,1,0,0,1,0,0,10785,10785,2556,37,the-control-group/voyager,415.0,0.0,30.0,0.0,3083.0,199.0,3149.0,3348.0,92.0,2032.0,2124.0,4.0,68.0,the-control-group/voyager,2016-10-27 03:56:49,1989,0.0,0.208647561588738,0.0,0.0150829562594268,1.5500251382604324,0.0,1.5651080945198592,0
octobercms/october,0,1,0,1,0,1,1,0,0,10738,10738,2272,38,octobercms/october,470.0,0.0,3.0,0.0,5756.0,0.0,3319.0,3319.0,0.0,2120.0,2120.0,2.0,57.0,octobercms/october,2013-11-26 23:30:43,3055,0.0,0.1538461538461538,0.0,0.0009819967266775,1.8841243862520456,0.0,1.8851063829787231,0
FriendsOfPHP/PHP-CS-Fixer,0,1,0,1,0,0,1,1,0,10664,10664,1347,39,FriendsOfPHP/PHP-CS-Fixer,327.0,480040.0,30.0,60.0,8664.0,340.0,2004.0,2344.0,78.0,3793.0,3871.0,1.0,43.0,FriendsOfPHP/PHP-CS-Fixer,2012-05-16 06:42:23,3614,132.8278915329275,0.0904814609850581,0.0166021029330381,0.008301051466519,2.3973436635307137,2.0,4.405644714997233,0
doctrine/inflector,0,1,0,0,0,0,1,0,0,10642,10642,108,40,doctrine/inflector,83.0,0.0,15.0,0.0,333.0,7.0,43.0,50.0,1.0,141.0,142.0,0.0,7.0,doctrine/inflector,2013-01-10 21:34:22,3375,0.0,0.0245925925925925,0.0,0.0044444444444444,0.0986666666666666,0.0,0.103111111111111,1
PHPOffice/PhpSpreadsheet,0,1,0,0,0,1,1,0,0,10567,10567,2443,41,PHPOffice/PhpSpreadsheet,339.0,0.0,30.0,0.0,3136.0,182.0,1209.0,1391.0,26.0,1106.0,1132.0,6.0,36.0,PHPOffice/PhpSpreadsheet,2016-06-19 16:58:48,2119,0.0,0.1599811231713072,0.0,0.0141576215195847,1.4799433695139217,0.0,1.4941009910335064,0
phalcon/cphalcon,1,1,0,1,0,1,1,0,1,10518,10518,1914,42,phalcon/cphalcon,360.0,8724.0,30.0,272.0,15766.0,52.0,4696.0,4748.0,3.0,3810.0,3813.0,2.0,88.0,phalcon/cphalcon,2011-11-26 05:52:50,3786,2.304278922345483,0.0950871632329635,0.0718436344426835,0.0079239302694136,4.164289487585843,9.066666666666666,13.238880084521924,0
doctrine/lexer,0,1,0,0,0,0,1,0,0,10484,10484,44,43,doctrine/lexer,31.0,0.0,7.0,0.0,91.0,2.0,8.0,10.0,2.0,53.0,55.0,0.0,4.0,doctrine/lexer,2013-01-12 18:58:26,3373,0.0,0.0091906314853246,0.0,0.0020753038837829,0.0269789504891787,0.0,0.0290542543729616,1
egulias/EmailValidator,1,1,0,1,1,1,1,1,0,10447,10447,149,44,egulias/EmailValidator,67.0,0.0,30.0,0.0,338.0,18.0,149.0,167.0,3.0,147.0,150.0,6.0,54.0,egulias/EmailValidator,2013-05-19 15:23:00,3246,0.0,0.0206407886629698,0.0,0.0092421441774491,0.1041281577325939,0.0,0.113370301910043,1
doctrine/instantiator,1,1,0,1,0,1,1,1,0,10426,10426,55,45,doctrine/instantiator,36.0,0.0,12.0,0.0,369.0,2.0,19.0,21.0,3.0,64.0,67.0,0.0,17.0,doctrine/instantiator,2014-08-07 15:43:55,2801,0.0,0.0128525526597643,0.0,0.0042841842199214,0.1317386647625847,0.0,0.1360228489825061,1
SpartnerNL/Laravel-Excel,0,1,0,0,1,1,1,0,0,10385,10385,1639,47,SpartnerNL/Laravel-Excel,178.0,0.0,30.0,0.0,1429.0,8.0,2665.0,2673.0,4.0,458.0,462.0,1.0,229.0,SpartnerNL/Laravel-Excel,2013-11-09 15:28:40,3072,0.0,0.0579427083333333,0.0,0.009765625,0.4651692708333333,0.0,0.4749348958333333,0
tymondesigns/jwt-auth,0,0,0,0,0,1,1,0,0,10282,10282,1396,48,tymondesigns/jwt-auth,81.0,0.0,30.0,0.0,1481.0,521.0,1034.0,1555.0,39.0,572.0,611.0,0.0,105.0,tymondesigns/jwt-auth,2014-09-04 21:50:50,2773,0.0,0.0292102416155787,0.0,0.0108186080057699,0.5340786152181752,0.0,0.5448972232239452,0
z-song/laravel-admin,0,1,0,1,1,1,1,1,0,10243,10243,2604,49,z-song/laravel-admin,308.0,0.0,30.0,0.0,3140.0,91.0,4015.0,4106.0,20.0,1361.0,1381.0,0.0,61.0,z-song/laravel-admin,2015-12-30 10:42:57,2291,0.0,0.1344391095591444,0.0,0.013094718463553,1.370580532518551,0.0,1.383675250982104,0
mockery/mockery,1,1,0,1,1,0,1,0,0,10035,10035,432,51,mockery/mockery,219.0,0.0,28.0,0.0,1945.0,85.0,498.0,583.0,10.0,570.0,580.0,0.0,57.0,mockery/mockery,2009-02-25 19:25:09,4790,0.0,0.0457202505219206,0.0,0.0058455114822546,0.406054279749478,0.0,0.4118997912317326,0
spatie/laravel-permission,0,1,0,1,1,1,1,1,1,9986,9986,1501,52,spatie/laravel-permission,184.0,0.0,30.0,0.0,1219.0,7.0,1255.0,1262.0,6.0,551.0,557.0,3.0,205.0,spatie/laravel-permission,2015-09-14 22:19:38,2398,0.0,0.0767306088407005,0.0,0.012510425354462,0.5083402835696413,0.0,0.5208507089241033,0
magento/magento2,0,1,0,1,0,1,1,1,0,9797,9797,8705,54,magento/magento2,2358.0,0.0,30.0,0.0,127065.0,1203.0,20417.0,21620.0,773.0,12510.0,13283.0,0.0,91.0,magento/magento2,2011-11-30 15:30:13,3782,0.0,0.6234796404019037,0.0,0.0079323109465891,33.59730301427816,0.0,33.60523532522475,0
php-fig/log,0,0,0,1,0,0,0,0,0,9751,9751,162,55,php-fig/log,29.0,0.0,8.0,0.0,93.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,3.0,php-fig/log,2012-11-30 09:49:24,3416,0.0,0.0084894613583138,0.0,0.0023419203747072,0.0272248243559718,0.0,0.029566744730679,1
w7corp/easywechat,1,0,0,1,0,1,1,1,0,9663,9663,2310,56,w7corp/easywechat,157.0,0.0,30.0,0.0,2003.0,4.0,1129.0,1133.0,1.0,1221.0,1222.0,0.0,91.0,w7corp/easywechat,2015-01-26 03:30:40,2629,0.0,0.0597185241536706,0.0,0.0114111829593001,0.7618866489159376,0.0,0.7732978318752377,0
walkor/Workerman,1,1,0,1,0,1,1,0,1,9579,9579,2184,57,walkor/Workerman,93.0,0.0,30.0,0.0,1558.0,18.0,451.0,469.0,4.0,235.0,239.0,0.0,118.0,walkor/Workerman,2013-12-08 07:49:28,3043,0.0,0.0305619454485704,0.0,0.009858692080184,0.5119947420308906,0.0,0.5218534341110745,0
php-fig/container,0,0,0,0,0,0,1,0,0,9334,9334,37,59,php-fig/container,33.0,0.0,7.0,0.0,185.0,4.0,15.0,19.0,0.0,23.0,23.0,0.0,82.0,php-fig/container,2016-08-15 18:35:30,2062,0.0,0.016003879728419,0.0,0.0033947623666343,0.0897187196896217,0.0,0.093113482056256,1
dingo/api,0,1,0,1,0,1,1,0,0,9245,9245,1272,60,dingo/api,120.0,0.0,30.0,0.0,1387.0,181.0,1180.0,1361.0,10.0,397.0,407.0,0.0,24.0,dingo/api,2014-04-11 12:31:18,2919,0.0,0.0411099691675231,0.0,0.0102774922918807,0.4751627269612881,0.0,0.48544021925316877,0
bobthecow/psysh,1,1,0,0,0,0,1,0,0,9157,9157,277,61,bobthecow/psysh,81.0,1387.0,30.0,119.0,1808.0,34.0,386.0,420.0,8.0,267.0,275.0,9.0,65.0,bobthecow/psysh,2012-06-04 17:15:35,3595,0.3858136300417246,0.0225312934631432,0.0331015299026425,0.0083449235048678,0.5029207232267038,3.966666666666667,4.477932313398238,0
squizlabs/PHP_CodeSniffer,0,1,0,1,1,0,1,1,0,8981,8981,1405,62,squizlabs/PHP_CodeSniffer,244.0,218461.0,30.0,104.0,7064.0,222.0,1877.0,2099.0,72.0,1343.0,1415.0,3.0,27.0,squizlabs/PHP_CodeSniffer,2011-11-03 04:06:24,3809,57.3538986610659,0.0640588080861118,0.0273037542662116,0.0078760829614071,1.8545550013126808,3.466666666666667,5.329097750940755,0
symfony/console,0,0,0,0,0,1,1,0,0,8971,8971,224,63,symfony/console,381.0,0.0,30.0,0.0,3510.0,0.0,0.0,0.0,1.0,77.0,78.0,0.0,18.0,symfony/console,2011-02-22 18:00:31,4063,0.0,0.0937730740831897,0.0,0.0073837066207236,0.8638936746246616,0.0,0.8712773812453852,0
doctrine/orm,0,1,0,0,0,0,1,0,0,8941,8941,2356,64,doctrine/orm,966.0,0.0,30.0,0.0,12499.0,1134.0,4666.0,5800.0,271.0,3369.0,3640.0,0.0,20.0,doctrine/orm,2010-04-06 21:42:59,4385,0.0,0.2202964652223489,0.0,0.0068415051311288,2.850399087799316,0.0,2.857240592930445,0
phpDocumentor/ReflectionDocBlock,1,1,0,1,0,0,0,0,0,8897,8897,91,65,phpDocumentor/ReflectionDocBlock,62.0,0.0,30.0,0.0,651.0,9.0,77.0,86.0,10.0,233.0,243.0,0.0,15.0,phpDocumentor/ReflectionDocBlock,2012-04-06 17:17:37,3654,0.0,0.016967706622879,0.0,0.0082101806239737,0.1781609195402299,0.0,0.18637110016420358,1
deployphp/deployer,1,1,0,0,0,1,1,0,0,8895,8895,1302,66,deployphp/deployer,343.0,10472.0,30.0,10.0,2617.0,44.0,1592.0,1636.0,4.0,1086.0,1090.0,0.0,125.0,deployphp/deployer,2013-07-11 11:45:38,3193,3.279674287503915,0.1074224866896335,0.003131850923896,0.009395552771688,0.8196053867835891,0.3333333333333333,1.1623342728886104,0
FriendsOfPHP/Goutte,1,1,0,1,0,1,1,0,0,8704,8704,992,67,FriendsOfPHP/Goutte,77.0,8132.0,6.0,6.0,318.0,126.0,168.0,294.0,2.0,147.0,149.0,3.0,31.0,FriendsOfPHP/Goutte,2010-04-21 19:21:54,4370,1.8608695652173912,0.0176201372997711,0.0013729977116704,0.0013729977116704,0.0727688787185354,1.0,1.0741418764302058,0
phpDocumentor/TypeResolver,0,0,0,1,0,0,1,0,0,8699,8699,39,68,phpDocumentor/TypeResolver,41.0,0.0,25.0,0.0,363.0,3.0,39.0,42.0,6.0,112.0,118.0,1.0,13.0,phpDocumentor/TypeResolver,2015-06-10 19:05:30,2494,0.0,0.016439454691259,0.0,0.0100240577385725,0.1455493183640737,0.0,0.1555733761026462,1
phpDocumentor/ReflectionCommon,1,1,0,0,0,0,0,0,0,8613,8613,19,69,phpDocumentor/ReflectionCommon,15.0,0.0,11.0,0.0,157.0,0.0,6.0,6.0,3.0,58.0,61.0,1.0,6.0,phpDocumentor/ReflectionCommon,2015-05-31 09:52:59,2504,0.0,0.0059904153354632,0.0,0.0043929712460063,0.0626996805111821,0.0,0.0670926517571884,1
doctrine/dbal,0,1,0,0,0,0,1,0,0,8454,8454,1164,70,doctrine/dbal,563.0,0.0,30.0,0.0,10347.0,253.0,2046.0,2299.0,22.0,2959.0,2981.0,0.0,46.0,doctrine/dbal,2010-05-20 17:01:42,4341,0.0,0.1296936189818014,0.0,0.0069108500345542,2.383552176917761,0.0,2.390463026952315,0
cakephp/cakephp,0,0,0,1,0,1,1,1,0,8443,8443,3471,71,cakephp/cakephp,848.0,7296.0,30.0,24.0,43900.0,32.0,6185.0,6217.0,4.0,10050.0,10054.0,1.0,80.0,cakephp/cakephp,2010-05-08 14:38:22,4353,1.6760854583046174,0.1948081782678612,0.0055134390075809,0.0068917987594762,10.084998851366873,0.8,10.89189065012635,0
dompdf/dompdf,0,1,0,1,0,0,1,0,0,8407,8407,1577,72,dompdf/dompdf,149.0,169006.0,22.0,16.0,1504.0,593.0,1643.0,2236.0,24.0,441.0,465.0,7.0,60.0,dompdf/dompdf,2012-11-12 20:47:16,3434,49.21549213744904,0.0433896330809551,0.0046592894583576,0.0064065230052417,0.4379732090856144,0.7272727272727273,1.1716524593635833,0
typecho/typecho,1,0,0,1,0,1,1,0,0,8375,8375,1705,73,typecho/typecho,72.0,278618.0,15.0,15.0,1377.0,296.0,682.0,978.0,43.0,209.0,252.0,0.0,4.0,typecho/typecho,2013-07-17 05:08:35,3187,87.42328208346407,0.0225917791026043,0.0047066206463759,0.0047066206463759,0.4320677753373078,1.0,1.4367743959836836,0
phpspec/prophecy,0,1,0,1,0,0,1,0,0,8272,8272,223,74,phpspec/prophecy,121.0,0.0,30.0,0.0,693.0,97.0,146.0,243.0,7.0,300.0,307.0,1.0,36.0,phpspec/prophecy,2013-03-25 11:40:40,3301,0.0,0.0366555589215389,0.0,0.0090881551045137,0.2099363829142684,0.0,0.21902453801878208,1
reactphp/reactphp,1,1,0,1,0,1,1,0,0,8200,8200,744,75,reactphp/reactphp,40.0,0.0,21.0,0.0,958.0,2.0,202.0,204.0,0.0,244.0,244.0,3.0,79.0,reactphp/reactphp,2012-05-10 18:00:00,3620,0.0,0.011049723756906,0.0,0.0058011049723756,0.2646408839779005,0.0,0.2704419889502761,1
guyueyingmu/avbook,1,0,0,1,0,1,1,0,0,8103,8103,1947,76,guyueyingmu/avbook,2.0,58193.0,1.0,1.0,41.0,64.0,61.0,125.0,6.0,21.0,27.0,0.0,26.0,guyueyingmu/avbook,2017-02-19 05:09:55,1874,31.05282817502668,0.0010672358591248,0.0005336179295624,0.0005336179295624,0.0218783351120597,1.0,1.022411953041622,0
myclabs/DeepCopy,1,1,0,1,1,1,1,1,0,8072,8072,83,78,myclabs/DeepCopy,26.0,0.0,30.0,0.0,168.0,11.0,61.0,72.0,4.0,95.0,99.0,0.0,38.0,myclabs/DeepCopy,2013-07-22 15:28:03,3182,0.0,0.0081709616593337,0.0,0.0094280326838466,0.0527969830295411,0.0,0.0622250157133877,1
symfony/http-foundation,1,1,0,0,0,0,1,0,0,8057,8057,271,79,symfony/http-foundation,494.0,0.0,30.0,0.0,3954.0,0.0,0.0,0.0,3.0,76.0,79.0,0.0,14.0,symfony/http-foundation,2011-02-22 18:03:45,4063,0.0,0.1215850356879153,0.0,0.0073837066207236,0.9731725326113708,0.0,0.9805562392320945,0
paragonie/random_compat,1,1,0,1,1,1,1,1,0,7950,7950,115,80,paragonie/random_compat,36.0,3616.0,30.0,90.0,436.0,4.0,81.0,85.0,1.0,89.0,90.0,3.0,60.0,paragonie/random_compat,2015-07-07 19:45:38,2467,1.4657478719092014,0.014592622618565,0.0364815565464126,0.0121605188488042,0.1767328739359546,3.0,3.1888933927847587,0
symfony/event-dispatcher,1,0,0,0,0,0,1,0,0,7934,7934,64,81,symfony/event-dispatcher,114.0,0.0,30.0,0.0,1007.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,15.0,symfony/event-dispatcher,2011-02-22 18:02:40,4063,0.0,0.0280580851587496,0.0,0.0073837066207236,0.2478464189022889,0.0,0.2552301255230125,1
php-fig/simple-cache,0,1,0,0,0,0,1,0,0,7837,7837,40,82,php-fig/simple-cache,9.0,0.0,6.0,0.0,26.0,0.0,0.0,0.0,2.0,20.0,22.0,0.0,4.0,php-fig/simple-cache,2016-08-24 05:22:12,2053,0.0,0.0043838285435947,0.0,0.0029225523623964,0.0126643935703848,0.0,0.015586945932781199,1
symfony/finder,1,0,0,0,0,0,1,0,0,7828,7828,51,83,symfony/finder,135.0,0.0,30.0,0.0,1030.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,15.0,symfony/finder,2011-02-22 18:03:01,4063,0.0,0.0332266797932562,0.0,0.0073837066207236,0.2535072606448437,0.0,0.26089096726556726,1
googleapis/google-api-php-client,0,1,0,1,0,0,1,1,0,7801,7801,3350,84,googleapis/google-api-php-client,156.0,232924.0,30.0,78.0,1773.0,108.0,1430.0,1538.0,2.0,651.0,653.0,13.0,78.0,googleapis/google-api-php-client,2013-08-16 19:48:39,3157,73.78017104846373,0.0494140006335128,0.0247070003167564,0.0095026924295216,0.5616091225847324,2.6,3.171111815014254,0
top-think/think,1,0,0,0,1,0,0,0,0,7675,7675,1669,86,top-think/think,51.0,0.0,30.0,0.0,2032.0,106.0,705.0,811.0,10.0,277.0,287.0,0.0,69.0,top-think/think,2013-02-20 03:14:27,3334,0.0,0.0152969406118776,0.0,0.008998200359928,0.6094781043791242,0.0,0.6184763047390522,0
YOURLS/YOURLS,1,1,0,1,0,1,1,1,0,7645,7645,1625,87,YOURLS/YOURLS,91.0,0.0,17.0,0.0,1901.0,47.0,2557.0,2604.0,5.0,334.0,339.0,1.0,35.0,YOURLS/YOURLS,2012-08-22 11:36:52,3516,0.0,0.025881683731513,0.0,0.0048350398179749,0.5406712172923777,0.0,0.5455062571103526,0
