spearman_coefficient,p-value,Category1,Category2
0.0075592894601845435,0.9363782132431854,C0,C1
-0.08314876315471742,0.3791160218381938,C0,C2
-0.049999999999999996,0.5972903458130783,C0,C3
0.07060782616876879,0.45535975495112835,C0,C4
0.11503338048871964,0.22294478738132775,C0,C5
0.08257228238447704,0.38244108052715875,C0,C6
0.06218020566957819,0.5110377367732462,C0,C7
0.06846836658606624,0.46916666287360875,C0,C8
0.007559289460184544,0.9363782132431854,C1,C0
-0.2514182275771345,0.006969143494561879,C1,C2
0.15658528167525126,0.09616683000008018,C1,C3
0.027231887559393687,0.7736483410131181,C1,C4
0.13349084123144248,0.15679595840013633,C1,C5
0.24967511357294367,0.007384473265438059,C1,C6
0.18801526934005985,0.04515228413960343,C1,C7
0.09570202978345285,0.31111553813130827,C1,C8
-0.0831487631547174,0.3791160218381937,C2,C0
-0.2514182275771345,0.006969143494561879,C2,C1
-0.2328165368332088,0.01267545381838858,C2,C3
-0.05367728836549864,0.5705717414665173,C2,C4
-0.10092244442944441,0.2853346702339316,C2,C5
-0.2416755669198227,0.00958447867632964,C2,C6
-0.0876867140124681,0.35355878911678085,C2,C7
-0.024061234703689857,0.799411170050802,C2,C8
-0.05,0.5972903458130783,C3,C0
0.15658528167525126,0.09616683000008018,C3,C1
-0.23281653683320877,0.012675453818388586,C3,C2
0.1718878567082272,0.06744908021771875,C3,C4
0.07905769006560655,0.40309172294897566,C3,C5
0.14155248408767493,0.13302324506229857,C3,C6
0.22473702906290402,0.016220034612447167,C3,C7
0.10334847786576036,0.273853217289951,C3,C8
0.07060782616876879,0.45535975495112835,C4,C0
0.027231887559393687,0.7736483410131181,C4,C1
-0.053677288365498635,0.5705717414665173,C4,C2
0.17188785670822723,0.06744908021771874,C4,C3
0.08243217185329384,0.38325187428614604,C4,C5
0.10153359431334563,0.28241253524819304,C4,C6
0.28528699476183433,0.0020932982880725857,C4,C7
0.023827628930457,0.8013182302773955,C4,C8
0.11503338048871964,0.22294478738132775,C5,C0
0.13349084123144248,0.15679595840013633,C5,C1
-0.1009224444294444,0.2853346702339318,C5,C2
0.07905769006560655,0.40309172294897566,C5,C3
0.08243217185329384,0.38325187428614604,C5,C4
0.10542555615947781,0.264274084081545,C5,C6
0.23414785029384477,0.012161514559140793,C5,C7
-0.05462295167931203,0.5637926395973492,C5,C8
0.08257228238447704,0.38244108052715875,C6,C0
0.24967511357294364,0.007384473265438073,C6,C1
-0.24167556691982267,0.00958447867632965,C6,C2
0.14155248408767493,0.13302324506229857,C6,C3
0.10153359431334562,0.28241253524819304,C6,C4
0.10542555615947782,0.264274084081545,C6,C5
0.3108000162104086,0.0007637178750602708,C6,C7
-0.00853371969833744,0.9281976734335468,C6,C8
0.06218020566957818,0.5110377367732462,C7,C0
0.18801526934005983,0.04515228413960345,C7,C1
-0.0876867140124681,0.35355878911678085,C7,C2
0.224737029062904,0.016220034612447167,C7,C3
0.28528699476183433,0.0020932982880725857,C7,C4
0.23414785029384477,0.012161514559140793,C7,C5
0.3108000162104086,0.0007637178750602708,C7,C6
0.12788196922568348,0.1751206358825169,C7,C8
0.06846836658606624,0.46916666287360875,C8,C0
0.09570202978345285,0.31111553813130827,C8,C1
-0.024061234703689857,0.799411170050802,C8,C2
0.10334847786576036,0.273853217289951,C8,C3
0.023827628930457,0.8013182302773955,C8,C4
-0.05462295167931204,0.5637926395973492,C8,C5
-0.00853371969833744,0.9281976734335468,C8,C6
0.12788196922568348,0.1751206358825169,C8,C7
