spearman_coefficient,p-value,Category1,Category2
0.02728738972719091,0.7918511436911249,C0,C1
nan,nan,C0,C2
-0.39654527767728776,6.342002574241163e-05,C0,C3
0.0712068994916312,0.4905597194895597,C0,C4
-0.0419960525565808,0.6845480564952557,C0,C5
-0.10675210253672476,0.3005694921045242,C0,C6
-0.23529914352720097,0.02101283040128965,C0,C7
0.0,1.0,C0,C8
0.027287389727190907,0.791851143691125,C1,C0
nan,nan,C1,C2
0.07168704167902952,0.4876323422981319,C1,C3
0.08873263574131605,0.3899502867698984,C1,C4
0.14095340633314654,0.17074494519752953,C1,C5
0.4063615785432732,3.98949948847935e-05,C1,C6
0.09345684728655845,0.36510759335933884,C1,C7
0.04113728783331392,0.6906669840289548,C1,C8
nan,nan,C2,C0
nan,nan,C2,C1
nan,nan,C2,C3
nan,nan,C2,C4
nan,nan,C2,C5
nan,nan,C2,C6
nan,nan,C2,C7
nan,nan,C2,C8
-0.39654527767728776,6.342002574241163e-05,C3,C0
0.07168704167902952,0.4876323422981319,C3,C1
nan,nan,C3,C2
0.04117860794169443,0.6903721074847955,C3,C4
0.11865502129709506,0.24955917567981384,C3,C5
0.055560805312766005,0.5908070013853993,C3,C6
0.14643978271411215,0.15453239082179168,C3,C7
-0.01494536248230521,0.8850867941299411,C3,C8
0.0712068994916312,0.4905597194895597,C4,C0
0.08873263574131605,0.3899502867698984,C4,C1
nan,nan,C4,C2
0.04117860794169443,0.6903721074847955,C4,C3
-0.0029904086934417107,0.9769314673213972,C4,C5
0.04180817429719077,0.6858850161523524,C4,C6
-0.05647029422919835,0.5847345721785788,C4,C7
-0.007156562669645132,0.9448287920311669,C4,C8
-0.0419960525565808,0.6845480564952557,C5,C0
0.1409534063331465,0.17074494519752964,C5,C1
nan,nan,C5,C2
0.11865502129709504,0.2495591756798138,C5,C3
-0.0029904086934417107,0.9769314673213972,C5,C4
-0.04707325254090686,0.6487980259666724,C5,C6
0.0164693919968113,0.8734613630684349,C5,C7
0.11396057645963795,0.268916755030421,C5,C8
-0.10675210253672476,0.3005694921045242,C6,C0
0.4063615785432732,3.98949948847935e-05,C6,C1
nan,nan,C6,C2
0.055560805312766005,0.5908070013853993,C6,C3
0.04180817429719077,0.6858850161523524,C6,C4
-0.04707325254090686,0.6487980259666724,C6,C5
0.2386274438178831,0.01921329782784077,C6,C7
0.048280454958526765,0.6404099020552145,C6,C8
-0.23529914352720094,0.021012830401289682,C7,C0
0.09345684728655845,0.36510759335933884,C7,C1
nan,nan,C7,C2
0.14643978271411212,0.15453239082179177,C7,C3
-0.05647029422919836,0.5847345721785788,C7,C4
0.0164693919968113,0.8734613630684349,C7,C5
0.23862744381788312,0.01921329782784077,C7,C6
0.2286017192381771,0.025075166439008024,C7,C8
0.0,1.0,C8,C0
0.04113728783331392,0.6906669840289548,C8,C1
nan,nan,C8,C2
-0.01494536248230521,0.8850867941299411,C8,C3
-0.007156562669645132,0.9448287920311669,C8,C4
0.11396057645963796,0.268916755030421,C8,C5
0.048280454958526765,0.6404099020552145,C8,C6
0.2286017192381771,0.025075166439008024,C8,C7
