spearman_coefficient,p-value,Category1,Category2
0.09515499830619781,0.19516793378450392,C0,C1
-0.06000192009216491,0.4146445292281403,C0,C2
0.061753478148943663,0.40112958989596936,C0,C3
0.0868599036215379,0.237180909839505,C0,C4
0.2829025286750604,8.740175001469171e-05,C0,C5
0.21468479713021923,0.0031719080808913463,C0,C6
0.1811117691131297,0.013115814510488702,C0,C7
0.20020108016461138,0.006010266535494644,C0,C8
0.09515499830619782,0.19516793378450392,C1,C0
-0.15016915989321725,0.040226978351220785,C1,C2
0.11638513281998536,0.11267882028305128,C1,C3
0.11627971148239169,0.11300722745698026,C1,C4
0.27053909216710875,0.00018051070641196573,C1,C5
0.1717012363172936,0.018787897969997466,C1,C6
0.1924978121035101,0.008304071942385525,C1,C7
0.044325996826606456,0.5469207162360122,C1,C8
-0.06000192009216491,0.4146445292281403,C2,C0
-0.15016915989321725,0.040226978351220785,C2,C1
-0.20080483222562473,0.00585705737297137,C2,C3
-0.04490132550669372,0.5417245625613787,C2,C4
-0.09060807207943318,0.21747235235478768,C2,C5
-0.12305096703058699,0.09338689571744627,C2,C6
-0.07371671613334456,0.3160217189802254,C2,C7
-0.021653341931540292,0.7686401785076895,C2,C8
0.06175347814894367,0.40112958989596914,C3,C0
0.11638513281998537,0.1126788202830512,C3,C1
-0.2008048322256247,0.005857057372971377,C3,C2
0.07453559924999299,0.31066114494401886,C3,C4
0.21363286693224923,0.0033272526758367847,C3,C5
0.15985796712691094,0.028856524676839124,C3,C6
0.16793159883320752,0.02159756636817141,C3,C7
0.10783277320343843,0.1418353778757076,C3,C8
0.08685990362153792,0.23718090983950488,C4,C0
0.1162797114823917,0.11300722745698026,C4,C1
-0.04490132550669372,0.5417245625613787,C4,C2
0.07453559924999299,0.31066114494401886,C4,C3
0.17634631496451128,0.015766270501773115,C4,C5
0.09184563476323529,0.21122907788932327,C4,C6
0.15282240080982176,0.03679029123613799,C4,C7
0.17280367794439766,0.018028609664375056,C4,C8
0.2829025286750604,8.740175001469171e-05,C5,C0
0.2705390921671087,0.00018051070641196662,C5,C1
-0.09060807207943318,0.21747235235478768,C5,C2
0.21363286693224923,0.0033272526758367847,C5,C3
0.1763463149645113,0.01576627050177309,C5,C4
0.3633189330929976,3.209188811279701e-07,C5,C6
0.35427360013064707,6.544156431641599e-07,C5,C7
0.037676722294611914,0.6086869650888322,C5,C8
0.21468479713021923,0.0031719080808913463,C6,C0
0.17170123631729356,0.018787897969997476,C6,C1
-0.12305096703058699,0.09338689571744627,C6,C2
0.15985796712691094,0.028856524676839124,C6,C3
0.0918456347632353,0.21122907788932327,C6,C4
0.3633189330929976,3.209188811279701e-07,C6,C5
0.1856012893233807,0.01098494757729279,C6,C7
0.08642905523526616,0.23952414024577334,C6,C8
0.18111176911312968,0.013115814510488728,C7,C0
0.1924978121035101,0.008304071942385525,C7,C1
-0.07371671613334456,0.3160217189802254,C7,C2
0.16793159883320752,0.02159756636817141,C7,C3
0.15282240080982176,0.03679029123613799,C7,C4
0.3542736001306471,6.544156431641576e-07,C7,C5
0.1856012893233807,0.01098494757729279,C7,C6
0.057484054568761336,0.4345329965066401,C7,C8
0.20020108016461138,0.006010266535494644,C8,C0
0.04432599682660645,0.5469207162360122,C8,C1
-0.021653341931540292,0.7686401785076895,C8,C2
0.10783277320343843,0.1418353778757076,C8,C3
0.17280367794439766,0.018028609664375056,C8,C4
0.037676722294611914,0.6086869650888322,C8,C5
0.08642905523526616,0.23952414024577334,C8,C6
0.057484054568761336,0.4345329965066401,C8,C7
