,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.71,0.8,0.67,0.66,0.79,0.85,0.53,0.75,0.72,0.76
C0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.02,0.0
C1,0.0,0.04,-0.02,-0.04,0.05,0.0,0.03,0.0,0.0,0.02
C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,-0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
C4,0.0,0.0,-0.01,-0.01,0.01,0.0,0.0,0.0,0.0,0.0
C5,0.0,0.09,0.1,0.01,0.0,0.0,0.1,0.05,0.01,0.06
C6,0.0,0.07,0.0,-0.02,0.04,0.0,-0.01,0.09,0.13,-0.02
C7,0.0,0.07,0.06,0.01,-0.01,0.0,-0.07,0.03,-0.01,0.12
C8,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0
