,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.71,0.8,0.67,0.66,0.79,0.85,0.53,0.75,0.72,0.76
C5,0.18,0.19,0.3,0.26,0.05,0.21,0.22,0.16,0.14,0.26
C7,0.16,0.4,0.28,0.15,0.2,0.33,0.27,0.28,0.19,0.35
C2,0.15,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0
C4,0.15,0.01,0.02,0.15,0.07,0.08,0.03,0.1,0.01,0.04
C0,0.12,0.01,0.03,0.04,0.07,0.07,0.03,0.04,0.23,0.03
C6,0.07,0.13,0.15,0.2,0.33,0.21,0.27,0.33,0.37,0.17
C3,0.07,0.02,0.06,0.03,0.05,0.03,0.1,0.02,0.02,0.01
C1,0.06,0.22,0.13,0.15,0.17,0.05,0.04,0.04,0.04,0.13
C8,0.05,0.02,0.02,0.03,0.06,0.01,0.03,0.01,0.01,0.01
