fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
torvalds/linux,0,0,0,0,0,0,1,0,0,122182,122182,40058,0,torvalds/linux,torvalds/linux,316,419,735,29679,0,0,0,1074192,0,0,0,0,46,704.0,180.0,183.0,183.0,183.0,155.0,1,torvalds/linux,2011-09-04 22:48:12,3835,7.738983050847458,0.0,0.0,280.10221642764014,-1,279.10221642764014,704.0
Genymobile/scrcpy,1,1,0,1,1,1,1,0,0,58323,58323,6082,3,Genymobile/scrcpy,Genymobile/scrcpy,26,264,290,110,370808,27,138,1762,921,1854,2775,7,263,675.0,177.0,182.0,171.0,182.0,140.0,1,Genymobile/scrcpy,2017-11-21 18:00:27,1565,0.07028753993610223,0.08817891373801917,0.017252396166134186,1.1258785942492013,5.111111111111111,6.254242101526446,675.0
netdata/netdata,0,1,0,1,0,1,1,1,0,56950,56950,5120,4,netdata/netdata,netdata/netdata,91,5584,5675,575,435971,30,131,13491,183,6364,6547,0,290,707.0,182.0,181.0,168.0,181.0,177.0,1,netdata/netdata,2013-06-17 18:39:10,3183,0.18064718818724473,0.04115614200439836,0.00942507068803016,4.238454288407163,4.366666666666666,8.61454602576186,707.0
redis/redis,0,1,0,1,0,0,1,1,0,52099,52099,20373,1,redis/redis,redis/redis,452,4509,4961,671,0,28,0,11000,1606,3676,5282,6,53,716.0,183.0,180.0,180.0,180.0,176.0,1,redis/redis,2009-03-21 22:32:25,4732,0.14180050718512258,0.0,0.005917159763313609,2.3245984784446323,0.0,2.3305156382079457,716.0
git/git,0,0,1,0,0,0,0,0,0,40324,40324,22576,2,git/git,git/git,87,938,1025,2230,0,0,0,66077,0,0,0,0,19,699.0,179.0,179.0,181.0,179.0,160.0,1,git/git,2008-07-23 14:21:26,4973,0.4484214759702393,0.0,0.0,13.287150613311884,-1,12.287150613311884,699.0
obsproject/obs-studio,0,1,0,0,0,0,1,1,0,33638,33638,5385,7,obsproject/obs-studio,obsproject/obs-studio,151,3741,3892,555,362213,30,83,10536,483,1501,1984,0,20,698.0,178.0,178.0,169.0,178.0,173.0,1,obsproject/obs-studio,2013-10-01 02:40:31,3077,0.18037049073773156,0.026974325641858955,0.009749756256093598,3.4241143971400714,2.7666666666666666,6.2005308200628315,698.0
php/php-src,0,1,0,1,0,1,1,1,0,32784,32784,6949,5,php/php-src,php/php-src,248,7604,7852,1334,0,0,0,127798,82,168,250,3,33,705.0,181.0,177.0,173.0,177.0,178.0,1,php/php-src,2011-06-16 01:52:25,3915,0.34074074074074073,0.0,0.0,32.64316730523627,-1,31.64316730523627,705.0
wg/wrk,0,1,0,1,0,0,1,0,0,30731,30731,2526,13,wg/wrk,wg/wrk,49,0,49,1,0,0,0,80,111,252,363,0,1,600.0,155.0,176.0,141.0,176.0,107.0,1,wg/wrk,2012-03-20 11:12:28,3637,0.00027495188342040145,0.0,0.0,0.021996150673632114,-1,-0.9780038493263679,600.0
bilibili/ijkplayer,1,1,0,1,1,1,0,0,0,29679,29679,7673,6,bilibili/ijkplayer,bilibili/ijkplayer,59,162,221,62,0,0,0,2627,2658,2491,5149,0,178,659.0,172.0,175.0,176.0,175.0,133.0,1,bilibili/ijkplayer,2013-06-03 04:12:04,3197,0.019393181107288084,0.0,0.0,0.821707851110416,-1,-0.178292148889584,659.0
ventoy/Ventoy,1,1,0,1,0,0,1,0,1,28939,28939,2157,16,ventoy/Ventoy,ventoy/Ventoy,44,173,217,60,511899,30,87,623,257,902,1159,0,58,617.0,165.0,174.0,137.0,174.0,132.0,1,ventoy/Ventoy,2020-03-10 15:19:19,725,0.08275862068965517,0.12,0.041379310344827586,0.8593103448275862,2.9,3.8006896551724134,617.0
