fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
tensorflow/tensorflow,0,1,0,1,1,1,1,1,0,161034,161034,85890,0,tensorflow/tensorflow,3720.0,0.0,2.0,0.0,126316.0,2334.0,31882.0,34216.0,332.0,20188.0,20520.0,1.0,247.0,728.0,183.0,183.0,183.0,183.0,179.0,1,tensorflow/tensorflow,2015-11-07 01:19:20,2310,1.6103896103896105,0.0,0.0008658008658008658,54.682251082251085,0.0,54.68311688311689,728.0
bitcoin/bitcoin,0,1,0,1,1,1,1,1,0,59820,59820,30755,1,bitcoin/bitcoin,1075.0,0.0,2.0,0.0,32903.0,607.0,6159.0,6766.0,418.0,16516.0,16934.0,1.0,67.0,722.0,181.0,182.0,182.0,182.0,176.0,1,bitcoin/bitcoin,2010-12-19 15:16:43,4094,0.26257938446507084,0.0,0.0004885197850512946,8.036883243771372,0.0,8.037371763556424,722.0
apple/swift,1,1,0,1,0,0,0,1,0,58057,58057,9297,2,apple/swift,1295.0,0.0,2.0,0.0,132944.0,0.0,0.0,0.0,496.0,41084.0,41580.0,0.0,230.0,721.0,180.0,181.0,177.0,181.0,182.0,1,apple/swift,2015-10-23 21:15:07,2325,0.556989247311828,0.0,0.0008602150537634409,57.18021505376344,0.0,57.1810752688172,721.0
pytorch/pytorch,1,1,0,1,0,1,1,1,0,52539,52539,14419,3,pytorch/pytorch,3086.0,2499.0,30.0,3.0,44377.0,7715.0,17139.0,24854.0,3640.0,45325.0,48965.0,15.0,203.0,722.0,181.0,180.0,179.0,180.0,183.0,1,pytorch/pytorch,2016-08-13 05:26:41,2030,1.5201970443349753,0.001477832512315271,0.014778325123152709,21.860591133004927,0.1,21.975369458128082,722.0
protocolbuffers/protobuf,0,1,0,1,0,1,1,0,0,52120,52120,13498,4,protocolbuffers/protobuf,974.0,555315.0,30.0,781.0,9148.0,921.0,3954.0,4875.0,35.0,4548.0,4583.0,0.0,37.0,697.0,177.0,179.0,178.0,179.0,161.0,1,protocolbuffers/protobuf,2014-08-26 15:52:15,2748,0.3544395924308588,0.2842066957787482,0.010917030567685589,3.328966521106259,26.033333333333335,29.37321688500728,697.0
godotengine/godot,0,1,0,1,0,0,1,1,0,44285,44285,7999,5,godotengine/godot,1874.0,1276.0,30.0,347.0,41949.0,5932.0,26451.0,32383.0,1341.0,23744.0,25085.0,4.0,40.0,710.0,179.0,178.0,173.0,178.0,181.0,1,godotengine/godot,2014-01-04 16:05:36,2982,0.6284372904091214,0.11636485580147551,0.01006036217303823,14.067404426559357,11.566666666666666,25.644131455399062,710.0
tesseract-ocr/tesseract,1,1,0,1,0,1,1,0,0,43004,43004,7662,6,tesseract-ocr/tesseract,200.0,0.0,2.0,0.0,5954.0,349.0,1933.0,2282.0,9.0,1440.0,1449.0,1.0,76.0,669.0,175.0,177.0,171.0,177.0,144.0,1,tesseract-ocr/tesseract,2014-08-12 18:04:59,2762,0.07241129616220131,0.0,0.000724112961622013,2.1556842867487327,0.0,2.156408399710355,669.0
x64dbg/x64dbg,1,1,0,1,0,1,1,1,1,37747,37747,1728,7,x64dbg/x64dbg,120.0,4403.0,3.0,5.0,4824.0,485.0,1619.0,2104.0,15.0,670.0,685.0,2.0,55.0,590.0,156.0,176.0,111.0,176.0,127.0,1,x64dbg/x64dbg,2015-04-11 20:48:23,2520,0.047619047619047616,0.001984126984126984,0.0011904761904761906,1.9142857142857144,1.6666666666666667,3.5821428571428573,590.0
grpc/grpc,1,1,0,1,0,0,1,1,0,32601,32601,8565,9,grpc/grpc,883.0,11308.0,30.0,24.0,50586.0,816.0,9243.0,10059.0,252.0,18491.0,18743.0,0.0,74.0,704.0,178.0,175.0,176.0,175.0,178.0,1,grpc/grpc,2014-12-08 18:58:53,2644,0.33396369137670195,0.009077155824508321,0.0113464447806354,19.132375189107414,0.8,19.94372163388805,704.0
BVLC/caffe,0,1,0,0,0,1,1,0,0,32119,32119,18907,10,BVLC/caffe,328.0,0.0,2.0,0.0,4156.0,888.0,3882.0,4770.0,287.0,1936.0,2223.0,0.0,35.0,682.0,176.0,174.0,181.0,174.0,153.0,1,BVLC/caffe,2013-09-12 18:39:48,3096,0.10594315245478036,0.0,0.0006459948320413437,1.3423772609819122,0.0,1.3430232558139537,682.0
ariya/phantomjs,1,1,0,0,1,1,1,0,0,28628,28628,5825,11,ariya/phantomjs,180.0,0.0,2.0,0.0,1958.0,15.0,4721.0,4736.0,0.0,1051.0,1051.0,11.0,55.0,645.0,168.0,173.0,164.0,173.0,135.0,1,ariya/phantomjs,2010-12-27 08:18:58,4086,0.04405286343612335,0.0,0.0004894762604013706,0.47919725893294174,0.0,0.4796867351933431,645.0
nlohmann/json,0,1,0,1,1,1,1,0,0,27651,27651,4715,12,nlohmann/json,256.0,2431186.0,30.0,110.0,4326.0,29.0,1937.0,1966.0,21.0,703.0,724.0,5.0,565.0,631.0,166.0,172.0,159.0,172.0,128.0,1,nlohmann/json,2013-07-04 08:47:49,3166,0.08085912823752368,0.03474415666456096,0.009475679090334808,1.3663929248262792,3.6666666666666665,5.04253527058328,631.0
google/leveldb,0,1,0,1,0,0,1,1,0,27179,27179,6084,13,google/leveldb,71.0,0.0,2.0,0.0,415.0,150.0,511.0,661.0,58.0,251.0,309.0,9.0,22.0,619.0,162.0,171.0,166.0,171.0,111.0,1,google/leveldb,2014-08-27 21:17:52,2747,0.02584637786676374,0.0,0.0007280669821623589,0.1510738987986895,0.0,0.15180196578085184,619.0
rethinkdb/rethinkdb,1,1,0,1,1,1,1,1,0,25132,25132,1831,14,rethinkdb/rethinkdb,260.0,0.0,2.0,0.0,33438.0,1399.0,4950.0,6349.0,19.0,616.0,635.0,0.0,59.0,580.0,152.0,170.0,115.0,170.0,125.0,1,rethinkdb/rethinkdb,2012-10-30 05:37:47,3413,0.07617931438617052,0.0,0.0005859947260474656,9.797245824787577,0.0,9.797831819513625,580.0
aria2/aria2,1,1,0,1,1,1,1,0,0,24876,24876,2842,15,aria2/aria2,65.0,222578.0,23.0,174.0,5290.0,854.0,734.0,1588.0,40.0,248.0,288.0,0.0,57.0,577.0,149.0,169.0,129.0,169.0,110.0,1,aria2/aria2,2010-11-27 09:41:48,4116,0.015792031098153546,0.04227405247813411,0.005587949465500486,1.2852283770651118,7.565217391304348,8.85603371783496,577.0
google/googletest,0,1,0,1,1,0,1,1,0,24348,24348,8071,16,google/googletest,410.0,0.0,2.0,0.0,3858.0,180.0,1708.0,1888.0,32.0,1665.0,1697.0,2.0,92.0,659.0,173.0,168.0,174.0,168.0,149.0,1,google/googletest,2015-07-28 15:07:53,2412,0.16998341625207297,0.0,0.0008291873963515755,1.599502487562189,0.0,1.6003316749585406,659.0
microsoft/calculator,0,1,0,1,1,1,1,1,0,23206,23206,4194,17,microsoft/calculator,96.0,0.0,2.0,0.0,721.0,247.0,617.0,864.0,9.0,909.0,918.0,2.0,20.0,619.0,162.0,167.0,152.0,167.0,133.0,1,microsoft/calculator,2019-01-28 17:55:49,1132,0.08480565371024736,0.0,0.0017667844522968198,0.6369257950530035,0.0,0.6386925795053003,619.0
cmderdev/cmder,1,1,0,1,0,1,1,0,0,23122,23122,1895,18,cmderdev/cmder,160.0,1333634.0,30.0,106.0,1340.0,26.0,2094.0,2120.0,0.0,504.0,504.0,8.0,94.0,566.0,146.0,166.0,117.0,166.0,117.0,1,cmderdev/cmder,2013-07-09 07:44:22,3161,0.0506168933881683,0.0335336918696615,0.009490667510281556,0.42391648212590954,3.533333333333333,3.9667404829695245,566.0
CMU-Perceptual-Computing-Lab/openpose,0,1,0,1,0,1,1,0,0,22741,22741,6798,19,CMU-Perceptual-Computing-Lab/openpose,98.0,107099.0,15.0,20.0,692.0,131.0,1627.0,1758.0,8.0,213.0,221.0,2.0,136.0,605.0,160.0,165.0,167.0,165.0,108.0,1,CMU-Perceptual-Computing-Lab/openpose,2017-04-24 14:06:31,1776,0.05518018018018018,0.01126126126126126,0.008445945945945946,0.38963963963963966,1.3333333333333333,1.7314189189189189,605.0
topjohnwu/Magisk,0,1,0,1,0,1,1,1,0,22018,22018,4967,20,topjohnwu/Magisk,274.0,26977004.0,30.0,56.0,5637.0,38.0,3958.0,3996.0,10.0,1409.0,1419.0,2.0,75.0,632.0,167.0,164.0,161.0,164.0,143.0,1,topjohnwu/Magisk,2016-09-08 12:42:53,2004,0.13672654690618763,0.027944111776447105,0.014970059880239521,2.812874251497006,1.8666666666666667,4.694510978043912,632.0
dmlc/xgboost,1,1,0,1,0,1,1,1,0,21952,21952,8249,21,dmlc/xgboost,572.0,2599.0,30.0,38.0,5689.0,244.0,4066.0,4310.0,53.0,3348.0,3401.0,0.0,184.0,660.0,174.0,163.0,175.0,163.0,159.0,1,dmlc/xgboost,2014-02-06 17:28:03,2949,0.1939640556120719,0.012885723974228552,0.01017293997965412,1.929128518141743,1.2666666666666666,3.205968124788064,660.0
huihut/interview,1,1,0,1,1,1,1,0,0,21470,21470,6003,22,huihut/interview,25.0,0.0,2.0,0.0,365.0,3.0,39.0,42.0,2.0,41.0,43.0,19.0,256.0,579.0,151.0,162.0,165.0,162.0,90.0,1,huihut/interview,2018-02-09 09:49:48,1485,0.016835016835016835,0.0,0.0013468013468013469,0.24579124579124578,0.0,0.24713804713804713,579.0
facebook/rocksdb,0,1,0,0,0,1,1,0,0,21320,21320,4796,23,facebook/rocksdb,900.0,0.0,2.0,0.0,10815.0,414.0,2036.0,2450.0,259.0,6731.0,6990.0,2.0,17.0,649.0,169.0,161.0,160.0,161.0,167.0,1,facebook/rocksdb,2012-11-30 06:16:18,3382,0.26611472501478417,0.0,0.0005913660555884093,3.197811945594323,0.0,3.1984033116499115,649.0
ClickHouse/ClickHouse,0,1,0,0,0,0,1,0,0,20833,20833,4050,24,ClickHouse/ClickHouse,1325.0,726.0,30.0,468.0,84083.0,1850.0,8970.0,10820.0,190.0,23996.0,24186.0,0.0,149.0,650.0,170.0,160.0,150.0,160.0,180.0,1,ClickHouse/ClickHouse,2016-06-02 08:28:18,2102,0.6303520456707897,0.2226450999048525,0.014272121788772598,40.001427212178875,15.6,55.61569933396765,650.0
mongodb/mongo,1,1,0,1,0,1,1,0,0,20803,20803,5030,25,mongodb/mongo,919.0,0.0,2.0,0.0,63612.0,0.0,0.0,0.0,58.0,1358.0,1416.0,0.0,1.0,622.0,164.0,159.0,162.0,159.0,142.0,1,mongodb/mongo,2009-01-15 16:15:18,4797,0.19157806962685012,0.0,0.0004169272461955389,13.26078799249531,0.0,13.261204919741505,622.0
facebook/folly,0,1,0,1,0,0,1,0,0,20566,20566,4394,26,facebook/folly,1109.0,3273.0,30.0,60.0,10544.0,299.0,600.0,899.0,58.0,741.0,799.0,9.0,45.0,602.0,159.0,158.0,156.0,158.0,130.0,1,facebook/folly,2012-06-01 20:49:04,3564,0.3111672278338945,0.016835016835016835,0.008417508417508417,2.9584736251402917,2.0,4.9668911335578,602.0
apache/incubator-mxnet,0,1,0,0,1,1,1,0,0,19775,19775,6882,27,apache/incubator-mxnet,1001.0,21535.0,30.0,49.0,11804.0,1764.0,7709.0,9473.0,216.0,10728.0,10944.0,0.0,149.0,655.0,171.0,157.0,169.0,157.0,172.0,1,apache/incubator-mxnet,2015-04-30 16:21:15,2501,0.40023990403838466,0.019592163134746102,0.011995201919232307,4.719712115153938,1.6333333333333333,6.365040650406504,655.0
ApolloAuto/apollo,0,1,0,1,0,1,1,0,0,19688,19688,7899,28,ApolloAuto/apollo,436.0,31821.0,10.0,10.0,18068.0,1064.0,2466.0,3530.0,59.0,10725.0,10784.0,0.0,126.0,655.0,171.0,156.0,172.0,156.0,171.0,1,ApolloAuto/apollo,2017-07-04 19:03:31,1705,0.2557184750733138,0.005865102639296188,0.005865102639296188,10.597067448680352,1.0,11.602932551319649,655.0
uglide/RedisDesktopManager,0,1,0,0,0,0,0,0,0,19332,19332,3040,29,uglide/RedisDesktopManager,82.0,0.0,2.0,0.0,2093.0,28.0,4464.0,4492.0,4.0,535.0,539.0,0.0,94.0,563.0,144.0,155.0,133.0,155.0,120.0,1,uglide/RedisDesktopManager,2013-08-05 07:51:08,3134,0.02616464582003829,0.0,0.0006381620931716656,0.6678366305041481,0.0,0.6684747925973198,563.0
v8/v8,0,0,0,1,0,0,1,1,0,18727,18727,3525,30,v8/v8,845.0,0.0,2.0,0.0,73931.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,513.0,130.0,154.0,147.0,154.0,58.0,1,v8/v8,2014-09-24 15:24:30,2719,0.3107760205958073,0.0,0.000735564545788893,27.190511217359322,0.0,27.19124678190511,513.0
mozilla/DeepSpeech,0,0,0,0,0,0,1,0,0,18584,18584,3346,31,mozilla/DeepSpeech,175.0,27568.0,30.0,871.0,3466.0,106.0,1947.0,2053.0,16.0,1625.0,1641.0,4.0,33.0,595.0,158.0,153.0,142.0,153.0,147.0,1,mozilla/DeepSpeech,2016-06-02 15:04:53,2102,0.08325404376784015,0.4143672692673644,0.014272121788772598,1.6489058039961941,29.033333333333335,30.696511259118303,595.0
envoyproxy/envoy,0,1,0,0,0,1,1,1,0,18466,18466,3429,32,envoyproxy/envoy,986.0,0.0,2.0,0.0,10743.0,1131.0,5818.0,6949.0,139.0,13170.0,13309.0,13.0,62.0,623.0,165.0,152.0,145.0,152.0,174.0,1,envoyproxy/envoy,2016-08-08 15:07:24,2035,0.48452088452088454,0.0,0.0009828009828009828,5.279115479115479,0.0,5.280098280098279,623.0
osquery/osquery,0,1,0,0,1,1,1,0,0,18439,18439,2237,33,osquery/osquery,435.0,1258.0,30.0,143.0,6055.0,484.0,2417.0,2901.0,29.0,4441.0,4470.0,2.0,104.0,582.0,153.0,151.0,120.0,151.0,160.0,1,osquery/osquery,2014-07-29 20:27:33,2776,0.15670028818443804,0.05151296829971182,0.010806916426512969,2.1811959654178676,4.766666666666667,6.958669548511047,582.0
alibaba/weex,1,1,0,1,1,1,1,1,0,17774,17774,2156,34,alibaba/weex,307.0,0.0,2.0,0.0,12033.0,26.0,1882.0,1908.0,1.0,1374.0,1375.0,10.0,96.0,560.0,140.0,150.0,119.0,150.0,141.0,1,alibaba/weex,2016-03-11 10:18:11,2185,0.14050343249427918,0.0,0.0009153318077803204,5.507093821510297,0.0,5.508009153318078,560.0
taichi-dev/taichi,0,1,0,1,0,1,1,1,0,17523,17523,1792,35,taichi-dev/taichi,184.0,0.0,2.0,0.0,8422.0,406.0,1103.0,1509.0,35.0,2929.0,2964.0,0.0,287.0,568.0,147.0,149.0,114.0,149.0,156.0,1,taichi-dev/taichi,2016-11-24 10:00:05,1927,0.09548521017125065,0.0,0.0010378827192527244,4.370524130773223,0.0,4.3715620134924755,568.0
telegramdesktop/tdesktop,1,1,0,1,0,0,1,0,0,17411,17411,3707,36,telegramdesktop/tdesktop,173.0,8361.0,30.0,177.0,12010.0,713.0,10057.0,10770.0,11.0,1259.0,1270.0,3.0,101.0,583.0,154.0,148.0,149.0,148.0,138.0,1,telegramdesktop/tdesktop,2014-05-02 12:36:31,2864,0.060405027932960896,0.06180167597765363,0.01047486033519553,4.193435754189944,5.9,10.103910614525141,583.0
yuzu-emu/yuzu,0,0,0,1,0,1,0,1,0,17243,17243,1459,37,yuzu-emu/yuzu,329.0,0.0,2.0,0.0,20945.0,897.0,1605.0,2502.0,45.0,4935.0,4980.0,0.0,69.0,561.0,142.0,147.0,105.0,147.0,162.0,1,yuzu-emu/yuzu,2018-01-03 18:13:57,1522,0.2161629434954008,0.0,0.001314060446780552,13.76149802890933,0.0,13.76281208935611,561.0
swoole/swoole-src,1,0,0,1,1,1,1,1,0,17149,17149,3176,38,swoole/swoole-src,198.0,3996.0,30.0,14.0,12441.0,81.0,2929.0,3010.0,2.0,1572.0,1574.0,0.0,172.0,576.0,148.0,146.0,138.0,146.0,146.0,1,swoole/swoole-src,2012-07-21 13:49:59,3514,0.056346044393853156,0.00398406374501992,0.008537279453614115,3.5404097894137734,0.4666666666666667,4.015613735534054,576.0
facebook/hhvm,0,1,0,1,0,1,1,1,0,17143,17143,2971,39,facebook/hhvm,1309.0,0.0,2.0,0.0,47722.0,594.0,5278.0,5872.0,62.0,2929.0,2991.0,0.0,80.0,578.0,150.0,145.0,131.0,145.0,157.0,1,facebook/hhvm,2010-01-02 01:17:06,4445,0.29448818897637796,0.0,0.0004499437570303712,10.736107986501688,0.0,10.736557930258718,578.0
google/flatbuffers,0,1,0,1,0,1,1,1,0,17120,17120,2671,40,google/flatbuffers,573.0,40056.0,18.0,17.0,2520.0,122.0,1756.0,1878.0,14.0,1869.0,1883.0,0.0,21.0,565.0,145.0,144.0,126.0,144.0,151.0,1,google/flatbuffers,2014-05-19 18:33:01,2847,0.20126448893572182,0.00597119775201967,0.006322444678609062,0.8851422550052687,0.9444444444444444,1.8359091441283222,565.0
microsoft/CNTK,1,1,0,1,1,1,1,0,0,17117,17117,4386,41,microsoft/CNTK,296.0,5123.0,30.0,29.0,16116.0,753.0,2527.0,3280.0,82.0,457.0,539.0,0.0,150.0,561.0,142.0,143.0,155.0,143.0,120.0,1,microsoft/CNTK,2015-11-26 09:52:06,2291,0.12920122217372326,0.012658227848101266,0.013094718463553033,7.0344827586206895,0.9666666666666667,8.01424414375091,561.0
Light-City/CPlusPlusThings,1,0,0,1,1,0,1,0,0,17027,17027,4108,42,Light-City/CPlusPlusThings,22.0,0.0,2.0,0.0,196.0,52.0,91.0,143.0,21.0,36.0,57.0,0.0,85.0,528.0,134.0,142.0,151.0,142.0,93.0,1,Light-City/CPlusPlusThings,2019-07-14 08:45:45,965,0.022797927461139896,0.0,0.002072538860103627,0.20310880829015543,0.0,0.20518134715025907,528.0
TheAlgorithms/C-Plus-Plus,1,1,0,0,0,1,1,1,0,16980,16980,4609,43,TheAlgorithms/C-Plus-Plus,285.0,0.0,2.0,0.0,1555.0,7.0,184.0,191.0,61.0,1675.0,1736.0,2.0,31.0,590.0,156.0,141.0,158.0,141.0,150.0,1,TheAlgorithms/C-Plus-Plus,2016-07-16 10:19:45,2058,0.13848396501457727,0.0,0.0009718172983479105,0.7555879494655005,0.0,0.7565597667638484,590.0
vnpy/vnpy,1,0,0,0,0,0,0,0,0,16937,16937,6834,44,vnpy/vnpy,144.0,0.0,2.0,0.0,6335.0,12.0,1861.0,1873.0,1.0,1344.0,1345.0,1.0,182.0,588.0,155.0,140.0,168.0,140.0,140.0,1,vnpy/vnpy,2015-03-02 03:36:58,2560,0.05625,0.0,0.00078125,2.474609375,0.0,2.475390625,588.0
SerenityOS/serenity,1,1,0,1,0,1,1,0,0,16704,16704,1720,45,SerenityOS/serenity,782.0,0.0,2.0,0.0,35425.0,479.0,2347.0,2826.0,82.0,9998.0,10080.0,0.0,46.0,557.0,139.0,139.0,110.0,139.0,169.0,1,SerenityOS/serenity,2018-12-02 19:28:41,1189,0.6576955424726662,0.0,0.001682085786375105,29.79394449116905,0.0,29.795626576955424,557.0
ossrs/srs,0,1,0,1,1,1,1,0,0,16576,16576,4195,46,ossrs/srs,120.0,2296.0,30.0,45.0,8019.0,174.0,835.0,1009.0,13.0,411.0,424.0,4.0,1861.0,542.0,136.0,138.0,153.0,138.0,113.0,1,ossrs/srs,2015-04-29 06:59:32,2502,0.047961630695443645,0.017985611510791366,0.011990407673860911,3.2050359712230216,1.5,4.7170263788968825,542.0
Tencent/mars,1,1,0,1,0,1,1,1,1,15881,15881,3332,47,Tencent/mars,53.0,0.0,2.0,0.0,1515.0,322.0,580.0,902.0,9.0,94.0,103.0,1.0,45.0,513.0,130.0,137.0,141.0,137.0,98.0,1,Tencent/mars,2016-12-12 04:39:54,1909,0.02776322682032478,0.0,0.0010476689366160294,0.7936092194866422,0.0,0.7946568884232582,513.0
microsoft/winget-cli,1,1,0,1,1,1,1,1,0,15777,15777,789,48,microsoft/winget-cli,72.0,169696.0,21.0,37.0,551.0,432.0,651.0,1083.0,14.0,619.0,633.0,0.0,35.0,488.0,120.0,136.0,92.0,136.0,124.0,1,microsoft/winget-cli,2019-07-16 22:16:49,963,0.07476635514018691,0.03842159916926272,0.021806853582554516,0.5721703011422637,1.7619047619047619,2.3558819166295804,488.0
changkun/modern-cpp-tutorial,0,1,0,1,0,1,1,0,0,15776,15776,1997,49,changkun/modern-cpp-tutorial,66.0,369.0,3.0,4.0,257.0,5.0,97.0,102.0,1.0,118.0,119.0,19.0,45.0,487.0,118.0,135.0,118.0,135.0,99.0,1,changkun/modern-cpp-tutorial,2016-08-19 14:39:15,2024,0.03260869565217391,0.001976284584980237,0.0014822134387351778,0.12697628458498023,1.3333333333333333,1.4617918313570486,487.0
sqlitebrowser/sqlitebrowser,1,1,0,1,1,1,1,0,0,15738,15738,1746,50,sqlitebrowser/sqlitebrowser,165.0,1796072.0,30.0,128.0,3698.0,523.0,1904.0,2427.0,7.0,475.0,482.0,5.0,120.0,497.0,124.0,134.0,113.0,134.0,116.0,1,sqlitebrowser/sqlitebrowser,2014-05-04 01:54:44,2862,0.057651991614255764,0.04472396925227114,0.010482180293501049,1.2921034241788958,4.266666666666667,5.569252271139064,497.0
electronicarts/CnC_Remastered_Collection,1,0,0,0,0,0,0,0,0,15732,15732,4257,51,electronicarts/CnC_Remastered_Collection,3.0,0.0,2.0,0.0,12.0,73.0,20.0,93.0,11.0,10.0,21.0,0.0,1.0,504.0,127.0,133.0,154.0,133.0,84.0,1,electronicarts/CnC_Remastered_Collection,2020-03-30 17:48:04,705,0.00425531914893617,0.0,0.0028368794326241137,0.01702127659574468,0.0,0.019858156028368795,504.0
cocos2d/cocos2d-x,1,1,0,1,1,1,1,1,0,15679,15679,6993,52,cocos2d/cocos2d-x,855.0,0.0,2.0,0.0,37358.0,1384.0,3532.0,4916.0,193.0,15495.0,15688.0,0.0,100.0,609.0,161.0,132.0,170.0,132.0,175.0,1,cocos2d/cocos2d-x,2010-11-18 23:17:00,4125,0.20727272727272728,0.0,0.00048484848484848484,9.056484848484848,0.0,9.056969696969697,609.0
ValveSoftware/Proton,0,1,0,1,0,0,1,0,0,15618,15618,674,53,ValveSoftware/Proton,76.0,0.0,2.0,0.0,1266.0,3291.0,2093.0,5384.0,8.0,146.0,154.0,1.0,95.0,451.0,104.0,131.0,88.0,131.0,101.0,1,ValveSoftware/Proton,2018-03-13 18:45:27,1453,0.05230557467309016,0.0,0.0013764624913971094,0.8713007570543703,0.0,0.8726772195457674,451.0
haoel/leetcode,1,0,0,0,0,0,1,0,0,15480,15480,4565,54,haoel/leetcode,59.0,0.0,2.0,0.0,787.0,20.0,36.0,56.0,11.0,200.0,211.0,0.0,437.0,524.0,133.0,130.0,157.0,130.0,107.0,1,haoel/leetcode,2014-10-20 03:22:04,2693,0.021908652060898627,0.0,0.0007426661715558856,0.292239138507241,0.0,0.29298180467879686,524.0
facebookresearch/faiss,0,1,0,1,0,1,1,0,0,15295,15295,2415,55,facebookresearch/faiss,97.0,0.0,2.0,0.0,599.0,189.0,1547.0,1736.0,9.0,456.0,465.0,0.0,44.0,496.0,123.0,129.0,123.0,129.0,115.0,1,facebookresearch/faiss,2017-02-07 16:07:05,1852,0.052375809935205186,0.0,0.0010799136069114472,0.3234341252699784,0.0,0.32451403887688984,496.0
flameshot-org/flameshot,1,1,0,1,1,1,1,1,0,15292,15292,958,56,flameshot-org/flameshot,202.0,38599.0,22.0,319.0,1675.0,304.0,1310.0,1614.0,10.0,794.0,804.0,2.0,155.0,483.0,117.0,128.0,96.0,128.0,131.0,1,flameshot-org/flameshot,2017-05-10 19:44:51,1760,0.11477272727272728,0.18125,0.0125,0.9517045454545454,14.5,15.464204545454546,483.0
trojan-gfw/trojan,1,1,0,0,1,1,1,1,0,15192,15192,2706,57,trojan-gfw/trojan,23.0,916590.0,30.0,146.0,466.0,26.0,509.0,535.0,3.0,74.0,77.0,1.0,29.0,477.0,114.0,127.0,127.0,127.0,96.0,1,trojan-gfw/trojan,2017-10-21 16:07:42,1596,0.014411027568922305,0.09147869674185463,0.018796992481203006,0.29197994987468673,4.866666666666666,5.177443609022556,477.0
simdjson/simdjson,1,1,0,1,0,1,1,1,1,15074,15074,772,58,simdjson/simdjson,101.0,389.0,29.0,6.0,2358.0,118.0,556.0,674.0,4.0,1069.0,1073.0,0.0,264.0,479.0,115.0,126.0,91.0,126.0,136.0,1,simdjson/simdjson,2018-03-23 00:49:18,1443,0.06999306999306999,0.004158004158004158,0.020097020097020097,1.634095634095634,0.20689655172413793,1.861089205916792,479.0
google/mediapipe,1,1,0,1,1,1,1,1,0,14930,14930,3071,59,google/mediapipe,3.0,0.0,2.0,0.0,112.0,292.0,2696.0,2988.0,50.0,116.0,166.0,0.0,43.0,487.0,118.0,125.0,135.0,125.0,102.0,1,google/mediapipe,2019-06-13 19:16:41,996,0.0030120481927710845,0.0,0.002008032128514056,0.11244979919678715,0.0,0.1144578313253012,487.0
zhongyang219/TrafficMonitor,1,0,0,0,0,0,0,1,0,14837,14837,1699,60,zhongyang219/TrafficMonitor,19.0,705409.0,22.0,45.0,782.0,517.0,510.0,1027.0,2.0,30.0,32.0,0.0,36.0,444.0,100.0,124.0,109.0,124.0,87.0,1,zhongyang219/TrafficMonitor,2017-07-30 02:51:17,1679,0.011316259678379988,0.026801667659321026,0.013103037522334724,0.4657534246575342,2.0454545454545454,2.5243110076344144,444.0
facebook/yoga,1,1,0,1,1,0,1,0,0,14815,14815,1243,61,facebook/yoga,254.0,0.0,2.0,0.0,2038.0,233.0,273.0,506.0,104.0,504.0,608.0,2.0,72.0,470.0,111.0,123.0,102.0,123.0,122.0,1,facebook/yoga,2014-04-07 01:37:37,2889,0.0879196953963309,0.0,0.0006922810661128419,0.7054344063689858,0.0,0.7061266874350987,470.0
notepad-plus-plus/notepad-plus-plus,0,1,0,0,1,1,1,1,0,14691,14691,3386,62,notepad-plus-plus/notepad-plus-plus,351.0,410290.0,30.0,536.0,4529.0,1558.0,6125.0,7683.0,6.0,2681.0,2687.0,2.0,33.0,542.0,136.0,122.0,143.0,122.0,155.0,1,notepad-plus-plus/notepad-plus-plus,2015-03-28 00:05:08,2534,0.13851617995264404,0.21152328334648776,0.011838989739542225,1.787292817679558,17.866666666666667,19.66579847408577,542.0
