fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
microsoft/PowerToys,0,1,0,1,1,1,1,1,0,64333,64333,3556,0,microsoft/PowerToys,313.0,7165238.0,30.0,55.0,5768.0,2339.0,11105.0,13444.0,20.0,3429.0,3449.0,2.0,180.0,699.0,180.0,182.0,172.0,182.0,163.0,1,microsoft/PowerToys,2019-05-01 17:44:02,1039,0.3012512030798845,0.05293551491819057,0.028873917228103944,5.5514918190567855,1.8333333333333333,7.413699069618223,699.0
shadowsocks/shadowsocks-windows,0,1,0,1,0,1,1,1,0,53513,53513,16188,1,shadowsocks/shadowsocks-windows,91.0,113682379.0,30.0,43.0,1718.0,71.0,2686.0,2757.0,4.0,458.0,462.0,2.0,81.0,667.0,177.0,181.0,181.0,181.0,124.0,1,shadowsocks/shadowsocks-windows,2013-01-14 07:54:16,3337,0.027270002996703627,0.012885825591848966,0.008990110878034162,0.5148336829487564,1.4333333333333333,1.9571571271601238,667.0
PowerShell/PowerShell,1,1,0,1,1,1,1,1,0,31124,31124,4908,2,PowerShell/PowerShell,466.0,107417.0,30.0,681.0,9258.0,3123.0,6795.0,9918.0,93.0,6375.0,6468.0,0.0,316.0,711.0,181.0,180.0,177.0,180.0,174.0,1,PowerShell/PowerShell,2016-01-13 23:41:35,2243,0.207757467677218,0.3036112349531877,0.013374944271065538,4.1275078020508245,22.7,26.84088274632189,711.0
dotnet/aspnetcore,0,1,0,0,0,1,1,1,0,26646,26646,7147,3,dotnet/aspnetcore,1195.0,0.0,2.0,0.0,48991.0,2271.0,22893.0,25164.0,50.0,12218.0,12268.0,10.0,41.0,715.0,182.0,179.0,179.0,179.0,178.0,1,dotnet/aspnetcore,2014-03-11 06:09:42,2916,0.4098079561042524,0.0,0.0006858710562414266,16.800754458161865,0.0,16.801440329218106,715.0
2dust/v2rayN,0,0,0,1,1,0,0,0,0,24225,24225,5121,4,2dust/v2rayN,18.0,1214738.0,30.0,60.0,413.0,24.0,1843.0,1867.0,1.0,104.0,105.0,0.0,4.0,636.0,170.0,178.0,178.0,178.0,102.0,1,2dust/v2rayN,2019-07-30 03:47:24,949,0.018967334035827187,0.06322444678609063,0.03161222339304531,0.4351949420442571,2.0,2.4668071654373023,636.0
CodeHubApp/CodeHub,0,0,0,1,0,1,1,1,0,23312,23312,642,5,CodeHubApp/CodeHub,10.0,0.0,2.0,0.0,593.0,234.0,407.0,641.0,1.0,20.0,21.0,2.0,15.0,529.0,135.0,177.0,97.0,177.0,78.0,1,CodeHubApp/CodeHub,2013-07-23 22:19:57,3147,0.0031776294884016524,0.0,0.0006355258976803305,0.188433428662218,0.0,0.1890689545598983,529.0
Wox-launcher/Wox,0,1,0,1,0,1,1,1,0,21061,21061,2257,6,Wox-launcher/Wox,130.0,756437.0,30.0,105.0,2749.0,798.0,2397.0,3195.0,10.0,437.0,447.0,7.0,151.0,626.0,165.0,176.0,152.0,176.0,122.0,1,Wox-launcher/Wox,2013-12-19 15:49:32,2998,0.04336224149432955,0.03502334889926618,0.01000667111407605,0.9169446297531688,3.5,4.426951300867245,626.0
dnSpy/dnSpy,1,1,0,1,0,1,1,0,0,19582,19582,3658,7,dnSpy/dnSpy,31.0,164878.0,1.0,3.0,3932.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,41.0,620.0,163.0,175.0,174.0,175.0,96.0,1,dnSpy/dnSpy,2015-07-01 16:05:10,2439,0.012710127101271012,0.0012300123001230013,0.0004100041000410004,1.6121361213612135,3.0,4.612546125461255,620.0
dotnet-architecture/eShopOnContainers,0,1,0,1,1,0,1,0,0,19281,19281,8186,8,dotnet-architecture/eShopOnContainers,200.0,0.0,2.0,0.0,3967.0,34.0,1076.0,1110.0,15.0,695.0,710.0,0.0,180.0,661.0,175.0,174.0,180.0,174.0,133.0,1,dotnet-architecture/eShopOnContainers,2016-10-05 22:35:23,1977,0.10116337885685382,0.0,0.0010116337885685382,2.0065756196256954,0.0,2.007587253414264,661.0
ShareX/ShareX,1,1,0,0,0,0,1,0,0,17970,17970,2334,9,ShareX/ShareX,255.0,11601087.0,30.0,62.0,7100.0,350.0,4824.0,5174.0,7.0,923.0,930.0,1.0,50.0,642.0,171.0,173.0,155.0,173.0,141.0,1,ShareX/ShareX,2013-10-08 23:32:10,3070,0.08306188925081433,0.020195439739413682,0.009771986970684038,2.3127035830618894,2.066666666666667,4.38914223669924,642.0
mxgmn/WaveFunctionCollapse,1,1,0,1,0,1,1,0,1,17092,17092,885,10,mxgmn/WaveFunctionCollapse,17.0,0.0,2.0,0.0,135.0,0.0,40.0,40.0,0.0,29.0,29.0,0.0,97.0,538.0,137.0,172.0,112.0,172.0,82.0,1,mxgmn/WaveFunctionCollapse,2016-09-30 11:53:17,1982,0.008577194752774974,0.0,0.0010090817356205853,0.0681130171543895,0.0,0.06912209889001009,538.0
thangchung/awesome-dotnet-core,1,1,0,1,1,1,1,0,0,15409,15409,2426,12,thangchung/awesome-dotnet-core,255.0,0.0,2.0,0.0,1251.0,19.0,51.0,70.0,112.0,601.0,713.0,0.0,1125.0,635.0,168.0,171.0,158.0,171.0,135.0,1,thangchung/awesome-dotnet-core,2016-03-17 03:52:09,2179,0.11702615878843506,0.0,0.0009178522257916476,0.5741165672326756,0.0,0.5750344194584672,635.0
dotnet/roslyn,1,1,0,0,1,1,1,1,0,15254,15254,3471,13,dotnet/roslyn,710.0,21246.0,30.0,2.0,83370.0,8634.0,19269.0,27903.0,407.0,30810.0,31217.0,1.0,117.0,692.0,179.0,170.0,170.0,170.0,182.0,1,dotnet/roslyn,2015-01-11 02:39:03,2610,0.2720306513409962,0.0007662835249042146,0.011494252873563218,31.942528735632184,0.06666666666666667,32.02068965517242,692.0
files-community/Files,0,1,0,1,0,0,1,1,0,14988,14988,839,14,files-community/Files,217.0,51021.0,30.0,18.0,3342.0,801.0,4899.0,5700.0,16.0,2843.0,2859.0,0.0,62.0,605.0,160.0,169.0,108.0,169.0,159.0,1,files-community/Files,2019-01-04 18:19:14,1156,0.18771626297577854,0.015570934256055362,0.025951557093425604,2.8910034602076125,0.6,3.516955017301038,605.0
DapperLib/Dapper,0,1,0,1,1,1,1,0,0,14287,14287,3432,15,DapperLib/Dapper,218.0,0.0,2.0,0.0,1512.0,293.0,793.0,1086.0,39.0,521.0,560.0,10.0,80.0,633.0,167.0,168.0,169.0,168.0,128.0,1,DapperLib/Dapper,2011-04-14 08:42:59,3978,0.05480140774258421,0.0,0.0005027652086475615,0.38009049773755654,0.0,0.3805932629462041,633.0
dotnet/maui,0,1,0,1,0,1,1,1,0,12966,12966,628,17,dotnet/maui,472.0,43.0,20.0,59.0,9066.0,932.0,1531.0,2463.0,69.0,1994.0,2063.0,0.0,112.0,586.0,151.0,167.0,96.0,167.0,156.0,1,dotnet/maui,2020-05-08 18:11:05,666,0.7087087087087087,0.08858858858858859,0.03003003003003003,13.612612612612613,2.95,16.592642642642645,586.0
jellyfin/jellyfin,0,1,0,1,0,0,1,0,0,12501,12501,1283,18,jellyfin/jellyfin,861.0,644.0,30.0,138.0,22654.0,606.0,3083.0,3689.0,65.0,3216.0,3281.0,1.0,172.0,623.0,164.0,166.0,129.0,166.0,162.0,1,jellyfin/jellyfin,2018-12-09 06:36:45,1182,0.7284263959390863,0.116751269035533,0.025380710659898477,19.165820642978005,4.6,23.791201353637902,623.0
AvaloniaUI/Avalonia,1,1,0,1,0,1,1,1,0,12499,12499,1121,19,AvaloniaUI/Avalonia,288.0,0.0,2.0,0.0,18349.0,1202.0,2659.0,3861.0,29.0,3056.0,3085.0,0.0,127.0,615.0,162.0,165.0,124.0,165.0,161.0,1,AvaloniaUI/Avalonia,2013-12-05 20:13:21,3012,0.09561752988047809,0.0,0.0006640106241699867,6.091965471447543,0.0,6.092629482071714,615.0
huiyadanli/RevokeMsgPatcher,1,0,0,0,0,1,0,0,0,12325,12325,1677,20,huiyadanli/RevokeMsgPatcher,2.0,234548.0,12.0,12.0,169.0,27.0,233.0,260.0,0.0,5.0,5.0,0.0,52.0,523.0,132.0,164.0,139.0,164.0,56.0,1,huiyadanli/RevokeMsgPatcher,2019-07-21 15:12:52,958,0.0020876826722338203,0.012526096033402923,0.012526096033402923,0.17640918580375783,1.0,1.1889352818371608,523.0
Unity-Technologies/ml-agents,0,1,0,1,0,1,1,0,0,12058,12058,3216,21,Unity-Technologies/ml-agents,157.0,0.0,2.0,0.0,3382.0,185.0,2441.0,2626.0,15.0,3063.0,3078.0,2.0,125.0,652.0,173.0,163.0,166.0,163.0,160.0,1,Unity-Technologies/ml-agents,2017-09-08 21:09:04,1639,0.09579011592434411,0.0,0.0012202562538133007,2.063453325198292,0.0,2.064673581452105,652.0
MaterialDesignInXAML/MaterialDesignInXamlToolkit,1,1,0,1,0,1,1,1,1,11547,11547,2836,22,MaterialDesignInXAML/MaterialDesignInXamlToolkit,183.0,86419.0,30.0,68.0,2462.0,217.0,1294.0,1511.0,5.0,1070.0,1075.0,5.0,84.0,635.0,168.0,162.0,164.0,162.0,147.0,1,MaterialDesignInXAML/MaterialDesignInXamlToolkit,2015-02-07 23:30:48,2583,0.07084785133565621,0.02632597754548974,0.011614401858304297,0.9531552458381727,2.2666666666666666,3.2314363143631435,635.0
dotnet/efcore,0,1,0,1,0,0,1,1,0,10809,10809,2675,23,dotnet/efcore,341.0,0.0,2.0,0.0,12699.0,1528.0,15917.0,17445.0,18.0,9838.0,9856.0,5.0,52.0,661.0,175.0,161.0,162.0,161.0,177.0,1,dotnet/efcore,2014-01-23 00:52:01,2963,0.1150860614242322,0.0,0.0006749915626054674,4.2858589267634155,0.0,4.286533918326021,661.0
