fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
golang/go,0,1,0,1,0,1,1,1,0,92879,92879,13763,0,golang/go,2133.0,0.0,0.0,0.0,51508.0,7393.0,41489.0,48882.0,259.0,1913.0,2172.0,5.0,15.0,731.0,189.0,191.0,188.0,191.0,161.0,1,golang/go,2014-08-19 04:33:40,2755,0.7742286751361162,0.0,0.0,18.696188747731398,-1,17.696188747731398,731.0
kubernetes/kubernetes,0,0,0,1,0,0,1,0,0,83290,83290,30461,1,kubernetes/kubernetes,4059.0,4009.0,30.0,30.0,106844.0,1619.0,38754.0,40373.0,598.0,67288.0,67886.0,2.0,186.0,762.0,191.0,190.0,191.0,190.0,191.0,1,kubernetes/kubernetes,2014-06-06 22:56:04,2829,1.434782608695652,0.010604453870625663,0.010604453870625663,37.76740897843761,1.0,38.778013432308235,762.0
avelino/awesome-go,1,1,0,1,0,1,1,1,0,71670,71670,9249,2,avelino/awesome-go,1774.0,0.0,0.0,0.0,4079.0,5.0,376.0,381.0,13.0,3624.0,3637.0,4.0,3471.0,729.0,188.0,189.0,184.0,189.0,167.0,1,avelino/awesome-go,2014-07-06 13:42:15,2799,0.6337977849231868,0.0,0.0,1.4573061807788497,-1,0.45730618077884966,729.0
moby/moby,0,1,0,0,0,1,1,0,0,61716,61716,17839,3,moby/moby,2615.0,0.0,30.0,0.0,43637.0,3952.0,17341.0,21293.0,288.0,21518.0,21806.0,1.0,193.0,753.0,190.0,188.0,190.0,188.0,187.0,1,moby/moby,2013-01-18 18:10:57,3333,0.7845784578457846,0.0,0.009000900090009001,13.092409240924093,0.0,13.101410141014101,753.0
gohugoio/hugo,0,1,0,1,0,1,1,1,0,55628,55628,6312,4,gohugoio/hugo,799.0,78934.0,30.0,795.0,6904.0,607.0,5242.0,5849.0,62.0,3593.0,3655.0,7.0,131.0,720.0,187.0,187.0,178.0,187.0,168.0,1,gohugoio/hugo,2013-07-04 15:26:26,3166,0.2523689197725837,0.2511054958938724,0.009475679090334808,2.180669614655717,26.5,28.690145293746053,720.0
gin-gonic/gin,1,1,0,1,0,0,1,0,0,53567,53567,6078,5,gin-gonic/gin,369.0,0.0,20.0,0.0,1546.0,390.0,1386.0,1776.0,104.0,1171.0,1275.0,15.0,334.0,700.0,181.0,186.0,177.0,186.0,151.0,1,gin-gonic/gin,2014-06-16 23:57:25,2819,0.1308974813763746,0.0,0.0070947144377438804,0.548421426037602,0.0,0.5555161404753459,700.0
fatedier/frp,1,1,0,1,1,1,1,1,0,51367,51367,9342,6,fatedier/frp,87.0,92327.0,30.0,397.0,983.0,90.0,2177.0,2267.0,2.0,542.0,544.0,0.0,100.0,684.0,174.0,185.0,185.0,185.0,129.0,1,fatedier/frp,2015-12-21 15:24:59,2266,0.038393645189761696,0.17519858781994704,0.01323918799646955,0.43380406001765226,13.233333333333333,13.680376581347454,684.0
syncthing/syncthing,1,1,0,1,0,1,1,1,0,41718,41718,3265,7,syncthing/syncthing,300.0,1394.0,30.0,900.0,6769.0,295.0,4496.0,4791.0,7.0,3378.0,3385.0,8.0,80.0,691.0,178.0,184.0,157.0,184.0,166.0,1,syncthing/syncthing,2013-11-26 09:48:21,3021,0.09930486593843098,0.29791459781529295,0.009930486593843098,2.2406487917907976,30.0,32.25057927838464,691.0
junegunn/fzf,1,1,0,1,0,1,1,0,0,40704,40704,1765,8,junegunn/fzf,211.0,114403.0,14.0,164.0,2091.0,239.0,1853.0,2092.0,42.0,533.0,575.0,10.0,286.0,627.0,158.0,183.0,130.0,183.0,131.0,1,junegunn/fzf,2013-10-23 16:04:23,3055,0.0690671031096563,0.05368248772504092,0.004582651391162029,0.6844517184942717,11.714285714285714,12.403320084171147,627.0
prometheus/prometheus,0,1,0,1,0,1,1,1,0,39900,39900,6632,9,prometheus/prometheus,820.0,48540.0,30.0,900.0,9807.0,416.0,4038.0,4454.0,197.0,5591.0,5788.0,3.0,117.0,715.0,185.0,182.0,179.0,182.0,172.0,1,prometheus/prometheus,2012-11-24 11:14:12,3388,0.24203069657615112,0.26564344746162927,0.00885478158205431,2.894628099173554,30.0,32.90348288075561,715.0
astaxie/build-web-application-with-golang,1,1,0,1,0,1,1,0,1,39194,39194,10354,10,astaxie/build-web-application-with-golang,426.0,0.0,0.0,0.0,5176.0,108.0,181.0,289.0,3.0,858.0,861.0,0.0,125.0,693.0,179.0,181.0,186.0,181.0,145.0,1,astaxie/build-web-application-with-golang,2012-08-02 11:49:35,3502,0.12164477441462021,0.0,0.0,1.4780125642490005,-1,0.4780125642490005,693.0
v2ray/v2ray-core,1,1,0,0,0,1,1,0,0,38672,38672,8305,11,v2ray/v2ray-core,101.0,167284.0,30.0,870.0,5387.0,18.0,2407.0,2425.0,8.0,441.0,449.0,1.0,64.0,667.0,172.0,180.0,183.0,180.0,124.0,1,v2ray/v2ray-core,2015-09-04 11:42:53,2374,0.04254422914911542,0.36647009267059816,0.012636899747262006,2.269165964616681,29.0,31.281802864363943,667.0
etcd-io/etcd,0,1,0,1,1,1,1,1,0,38097,38097,8168,12,etcd-io/etcd,846.0,13268.0,30.0,194.0,17718.0,128.0,5559.0,5687.0,43.0,8004.0,8047.0,16.0,322.0,719.0,186.0,179.0,182.0,179.0,179.0,1,etcd-io/etcd,2013-07-06 21:57:21,3164,0.26738305941845764,0.06131479140328698,0.009481668773704172,5.599873577749684,6.466666666666667,12.076021913190054,719.0
gogs/gogs,1,1,0,0,0,1,1,1,0,38088,38088,4443,13,gogs/gogs,539.0,5759.0,30.0,319.0,5610.0,760.0,4063.0,4823.0,30.0,1774.0,1804.0,3.0,544.0,684.0,174.0,178.0,170.0,178.0,158.0,1,gogs/gogs,2014-02-12 01:57:08,2943,0.18314644920149506,0.10839279646619096,0.010193679918450561,1.9062181447502549,10.633333333333333,12.549745158002038,684.0
traefik/traefik,0,1,0,1,1,1,1,1,0,35876,35876,3965,14,traefik/traefik,725.0,3402.0,30.0,632.0,4277.0,597.0,4253.0,4850.0,19.0,3907.0,3926.0,0.0,144.0,689.0,177.0,177.0,166.0,177.0,169.0,1,traefik/traefik,2015-09-13 19:04:02,2365,0.30655391120507397,0.26723044397463,0.012684989429175475,1.8084566596194502,21.066666666666666,22.887808315715294,689.0
caddyserver/caddy,0,1,0,1,1,0,1,0,0,35661,35661,2851,15,caddyserver/caddy,138.0,16053.0,30.0,557.0,1255.0,83.0,2800.0,2883.0,7.0,1612.0,1619.0,2.0,49.0,654.0,168.0,176.0,148.0,176.0,154.0,1,caddyserver/caddy,2015-01-13 19:45:03,2608,0.05291411042944785,0.21357361963190183,0.011503067484662576,0.4812116564417178,18.566666666666666,19.059381390593046,654.0
