fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
CyC2018/CS-Notes,1,1,0,0,0,1,1,0,0,142836,142836,45559,0,CyC2018/CS-Notes,245.0,0.0,0.0,0.0,3776.0,103.0,436.0,539.0,53.0,523.0,576.0,0.0,658.0,712.0,184.0,189.0,188.0,189.0,146.0,1,CyC2018/CS-Notes,2018-02-13 14:56:24,1481,0.16542876434841322,0.0,0.0,2.549628629304524,-1,1.5496286293045238,712.0
Snailclimb/JavaGuide,1,1,0,1,1,0,1,0,0,114197,114197,38967,1,Snailclimb/JavaGuide,362.0,0.0,0.0,0.0,3927.0,66.0,686.0,752.0,2.0,838.0,840.0,1.0,885.0,720.0,187.0,188.0,187.0,188.0,157.0,1,Snailclimb/JavaGuide,2018-05-07 13:27:00,1398,0.25894134477825465,0.0,0.0,2.8090128755364807,-1,1.8090128755364807,720.0
iluwatar/java-design-patterns,0,1,0,1,0,1,1,1,0,71613,71613,22288,2,iluwatar/java-design-patterns,327.0,0.0,0.0,0.0,3202.0,220.0,474.0,694.0,47.0,1196.0,1243.0,16.0,503.0,719.0,186.0,187.0,184.0,187.0,161.0,1,iluwatar/java-design-patterns,2014-08-09 16:45:18,2765,0.11826401446654611,0.0,0.0,1.1580470162748644,-1,0.1580470162748644,719.0
MisterBooo/LeetCodeAnimation,1,0,0,0,0,0,0,0,0,67994,67994,13032,3,MisterBooo/LeetCodeAnimation,21.0,0.0,0.0,0.0,246.0,12.0,42.0,54.0,0.0,73.0,73.0,0.0,72.0,661.0,176.0,186.0,179.0,186.0,110.0,1,MisterBooo/LeetCodeAnimation,2018-12-06 08:01:22,1185,0.017721518987341773,0.0,0.0,0.20759493670886076,-1,-0.7924050632911392,661.0
doocs/advanced-java,1,1,0,0,0,0,1,0,0,58861,58861,16126,4,doocs/advanced-java,36.0,0.0,1.0,0.0,619.0,3.0,123.0,126.0,0.0,100.0,100.0,8.0,179.0,668.0,178.0,185.0,182.0,185.0,116.0,1,doocs/advanced-java,2018-10-06 11:38:30,1246,0.028892455858747994,0.0,0.0008025682182985554,0.4967897271268058,0.0,0.49759229534510435,668.0
spring-projects/spring-boot,1,1,0,1,0,0,1,0,0,58480,58480,35068,5,spring-projects/spring-boot,1123.0,0.0,30.0,0.0,36637.0,543.0,24193.0,24736.0,29.0,5088.0,5117.0,17.0,96.0,735.0,188.0,184.0,186.0,184.0,181.0,1,spring-projects/spring-boot,2012-10-19 15:02:57,3424,0.3279789719626168,0.0,0.008761682242990653,10.700058411214954,0.0,10.708820093457945,735.0
elastic/elasticsearch,0,1,0,1,0,0,1,0,0,57480,57480,20910,6,elastic/elasticsearch,1906.0,0.0,30.0,0.0,63291.0,3361.0,25971.0,29332.0,457.0,54775.0,55232.0,0.0,9.0,738.0,189.0,183.0,183.0,183.0,189.0,1,elastic/elasticsearch,2010-02-08 13:20:56,4408,0.4323956442831216,0.0,0.006805807622504537,14.358212341197822,0.0,14.365018148820326,738.0
kdn251/interviews,1,1,0,1,0,0,1,0,0,54754,54754,11631,7,kdn251/interviews,43.0,0.0,0.0,0.0,445.0,29.0,18.0,47.0,73.0,74.0,147.0,0.0,99.0,665.0,177.0,182.0,177.0,182.0,124.0,1,kdn251/interviews,2017-02-14 18:19:25,1845,0.023306233062330622,0.0,0.0,0.24119241192411925,-1,-0.7588075880758808,665.0
macrozheng/mall,1,1,0,0,0,1,1,0,0,54498,54498,23193,8,macrozheng/mall,2.0,0.0,1.0,0.0,771.0,21.0,396.0,417.0,4.0,84.0,88.0,0.0,162.0,660.0,175.0,181.0,185.0,181.0,113.0,1,macrozheng/mall,2018-04-04 01:11:44,1431,0.001397624039133473,0.0,0.0006988120195667365,0.5387840670859538,0.0,0.5394828791055206,660.0
ReactiveX/RxJava,0,1,0,1,1,1,1,0,0,45542,45542,7524,9,ReactiveX/RxJava,328.0,0.0,30.0,0.0,5967.0,10.0,3069.0,3079.0,1.0,3672.0,3673.0,1.0,107.0,702.0,181.0,180.0,164.0,180.0,178.0,1,ReactiveX/RxJava,2013-01-08 20:11:48,3343,0.09811546515106193,0.0,0.008973975471133712,1.7849237212084954,0.0,1.7938976966796292,702.0
google/guava,0,1,0,1,1,0,1,0,0,43017,43017,9560,10,google/guava,426.0,1250.0,30.0,4.0,5763.0,646.0,2688.0,3334.0,94.0,1184.0,1278.0,2.0,82.0,694.0,180.0,179.0,173.0,179.0,163.0,1,google/guava,2014-05-29 16:23:17,2837,0.150158618258724,0.0014099400775467042,0.010574550581600282,2.031371166725414,0.13333333333333333,2.1752790506403477,694.0
TheAlgorithms/Java,1,1,0,1,0,1,1,1,0,42671,42671,14096,11,TheAlgorithms/Java,391.0,0.0,0.0,0.0,1568.0,7.0,605.0,612.0,14.0,2279.0,2293.0,2.0,52.0,708.0,183.0,178.0,181.0,178.0,171.0,1,TheAlgorithms/Java,2016-07-16 10:21:02,2058,0.18999028182701652,0.0,0.0,0.7619047619047619,-1,-0.23809523809523814,708.0
airbnb/lottie-android,1,1,0,1,0,0,1,1,0,32140,32140,5134,12,airbnb/lottie-android,122.0,911.0,30.0,5.0,1415.0,15.0,1387.0,1402.0,1.0,604.0,605.0,6.0,116.0,640.0,170.0,177.0,137.0,177.0,149.0,1,airbnb/lottie-android,2016-10-06 22:42:42,1976,0.06174089068825911,0.0025303643724696357,0.015182186234817813,0.7160931174089069,0.16666666666666666,0.8979419703103914,640.0
Blankj/AndroidUtilCode,1,1,0,0,0,1,1,0,1,30162,30162,10045,13,Blankj/AndroidUtilCode,46.0,3647.0,30.0,30.0,1404.0,155.0,1248.0,1403.0,4.0,187.0,191.0,0.0,286.0,655.0,174.0,176.0,175.0,176.0,128.0,1,Blankj/AndroidUtilCode,2016-07-30 18:18:32,2044,0.022504892367906065,0.014677103718199608,0.014677103718199608,0.6868884540117417,1.0,1.7015655577299413,655.0
NationalSecurityAgency/ghidra,0,1,0,1,0,0,1,1,1,29904,29904,3889,14,NationalSecurityAgency/ghidra,204.0,276469.0,19.0,19.0,6415.0,1129.0,1867.0,2996.0,172.0,614.0,786.0,1.0,25.0,626.0,165.0,175.0,122.0,175.0,154.0,1,NationalSecurityAgency/ghidra,2019-03-01 03:27:48,1100,0.18545454545454546,0.017272727272727273,0.017272727272727273,5.831818181818182,1.0,6.84909090909091,626.0
geekxh/hello-algorithm,1,0,0,0,1,1,0,0,0,29299,29299,5659,15,geekxh/hello-algorithm,15.0,0.0,0.0,0.0,393.0,4.0,32.0,36.0,0.0,29.0,29.0,0.0,138.0,582.0,145.0,174.0,142.0,174.0,92.0,1,geekxh/hello-algorithm,2020-05-29 05:47:09,645,0.023255813953488372,0.0,0.0,0.6093023255813953,-1,-0.3906976744186047,582.0
