fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
freeCodeCamp/freeCodeCamp,1,1,0,0,1,1,1,1,0,336875,336875,27460,0,freeCodeCamp/freeCodeCamp,4770.0,0.0,0.0,0.0,30025.0,126.0,15709.0,15835.0,23.0,28561.0,28584.0,2.0,458.0,745.0,187.0,187.0,184.0,187.0,187.0,1,freeCodeCamp/freeCodeCamp,2014-12-24 17:49:19,2628,1.8150684931506849,0.0,0.0,11.42503805175038,-1,10.42503805175038,745.0
facebook/react,0,1,0,1,0,1,1,1,0,178604,178604,36193,1,facebook/react,1786.0,2259.0,30.0,98.0,14807.0,728.0,10463.0,11191.0,252.0,11638.0,11890.0,0.0,129.0,742.0,185.0,186.0,186.0,186.0,184.0,1,facebook/react,2013-05-24 16:15:54,3207,0.5569067664483941,0.030558154038041782,0.009354536950420954,4.617087620829436,3.2666666666666666,7.893108824446523,742.0
twbs/bootstrap,1,1,0,1,1,1,1,1,0,154234,154234,75451,2,twbs/bootstrap,1531.0,12121231.0,30.0,49.0,21532.0,314.0,20790.0,21104.0,118.0,13129.0,13247.0,1.0,438.0,742.0,185.0,185.0,187.0,185.0,185.0,1,twbs/bootstrap,2011-07-29 21:19:00,3872,0.39540289256198347,0.01265495867768595,0.007747933884297521,5.56095041322314,1.6333333333333333,7.20203168044077,742.0
trekhleb/javascript-algorithms,0,1,0,1,1,1,1,0,0,127524,127524,20877,3,trekhleb/javascript-algorithms,196.0,0.0,0.0,0.0,1030.0,97.0,185.0,282.0,139.0,416.0,555.0,0.0,312.0,668.0,177.0,184.0,180.0,184.0,120.0,1,trekhleb/javascript-algorithms,2018-03-24 07:47:04,1442,0.13592233009708737,0.0,0.0,0.7142857142857143,-1,-0.2857142857142857,668.0
d3/d3,0,1,0,1,0,0,1,0,0,99484,99484,22896,4,d3/d3,136.0,135818.0,30.0,20.0,4322.0,3.0,2100.0,2103.0,0.0,1103.0,1103.0,2.0,192.0,692.0,182.0,183.0,181.0,183.0,145.0,1,d3/d3,2010-09-27 17:22:42,4177,0.03255925305242997,0.004788125448886761,0.007182188173330141,1.034713909504429,0.6666666666666666,1.7085627643444257,692.0
facebook/create-react-app,0,1,0,1,1,1,1,1,0,91797,91797,23300,5,facebook/create-react-app,929.0,0.0,30.0,0.0,2753.0,1213.0,6344.0,7557.0,302.0,3577.0,3879.0,0.0,188.0,719.0,184.0,182.0,182.0,182.0,173.0,1,facebook/create-react-app,2016-07-17 14:55:11,2057,0.45162858531842487,0.0,0.014584346135148274,1.33835683033544,0.0,1.3529411764705883,719.0
axios/axios,1,1,0,1,1,1,1,0,0,89600,89600,8963,6,axios/axios,335.0,0.0,30.0,0.0,1095.0,225.0,3274.0,3499.0,85.0,895.0,980.0,13.0,205.0,670.0,178.0,181.0,168.0,181.0,140.0,1,axios/axios,2014-08-18 22:30:27,2756,0.12155297532656023,0.0,0.01088534107402032,0.39731494920174165,0.0,0.408200290275762,670.0
mui-org/material-ui,1,1,0,1,1,1,1,1,0,73433,73433,25121,7,mui-org/material-ui,2698.0,0.0,30.0,0.0,19183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,544.0,136.0,180.0,183.0,180.0,1.0,1,mui-org/material-ui,2014-08-18 19:11:54,2756,0.978955007256894,0.0,0.01088534107402032,6.96044992743106,0.0,6.97133526850508,544.0
awesome-selfhosted/awesome-selfhosted,1,1,0,1,0,1,1,1,0,69232,69232,4999,8,awesome-selfhosted/awesome-selfhosted,1095.0,0.0,0.0,0.0,4863.0,106.0,557.0,663.0,57.0,2103.0,2160.0,7.0,4226.0,662.0,175.0,179.0,141.0,179.0,163.0,1,awesome-selfhosted/awesome-selfhosted,2015-06-01 02:33:17,2469,0.44349939246658565,0.0,0.0,1.9696233292831107,-1,0.9696233292831107,662.0
FortAwesome/Font-Awesome,1,1,0,1,1,1,1,1,0,66820,66820,11728,9,FortAwesome/Font-Awesome,2.0,71795.0,30.0,60.0,3.0,5652.0,12382.0,18034.0,26.0,604.0,630.0,0.0,2.0,653.0,171.0,178.0,173.0,178.0,124.0,1,FortAwesome/Font-Awesome,2012-02-17 14:19:43,3669,0.0005451076587626056,0.016353229762878167,0.008176614881439084,0.0008176614881439084,2.0,2.008994276369583,653.0
