fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
laravel/laravel,1,1,0,0,0,1,1,1,0,67531,67531,21845,0,laravel/laravel,743.0,0.0,30.0,0.0,6692.0,0.0,0.0,0.0,0.0,4092.0,4092.0,0.0,23.0,734.0,186.0,186.0,186.0,186.0,176.0,1,laravel/laravel,2011-06-08 03:06:08,3923,0.18939587050726484,0.0,0.007647208768799388,1.7058373693601836,0.0,1.713484578128983,734.0
danielmiessler/SecLists,0,1,0,1,0,1,1,1,0,35360,35360,18356,1,danielmiessler/SecLists,226.0,0.0,15.0,0.0,1297.0,21.0,156.0,177.0,5.0,514.0,519.0,5.0,87.0,699.0,181.0,185.0,185.0,185.0,144.0,1,danielmiessler/SecLists,2012-02-19 01:30:18,3667,0.061630760839923644,0.0,0.004090537223888737,0.3536951186255795,0.0,0.35778565584946825,699.0
blueimp/jQuery-File-Upload,1,1,0,1,0,1,1,0,0,31081,31081,8218,2,blueimp/jQuery-File-Upload,113.0,0.0,0.0,0.0,1265.0,49.0,3258.0,3307.0,0.0,371.0,371.0,3.0,86.0,682.0,177.0,184.0,179.0,184.0,135.0,1,blueimp/jQuery-File-Upload,2010-12-01 15:35:32,4112,0.02748054474708171,0.0,0.0,0.30763618677042803,-1,-0.692363813229572,682.0
fzaninotto/Faker,1,1,0,1,1,1,1,0,0,26235,26235,3232,3,fzaninotto/Faker,529.0,0.0,12.0,0.0,2632.0,76.0,494.0,570.0,167.0,1319.0,1486.0,1.0,368.0,697.0,179.0,183.0,169.0,183.0,162.0,1,fzaninotto/Faker,2011-10-14 22:49:02,3795,0.1393939393939394,0.0,0.0031620553359683794,0.6935441370223979,0.0,0.6967061923583663,697.0
symfony/symfony,0,1,0,0,0,1,1,1,0,26145,26145,8428,4,symfony/symfony,3416.0,0.0,30.0,0.0,59755.0,529.0,16601.0,17130.0,210.0,27108.0,27318.0,2.0,51.0,730.0,185.0,182.0,180.0,182.0,186.0,1,symfony/symfony,2010-01-04 14:21:21,4443,0.7688498762097682,0.0,0.00675219446320054,13.44924600495161,0.0,13.45599819941481,730.0
composer/composer,1,0,0,1,0,1,1,0,0,25921,25921,6199,5,composer/composer,1124.0,461010.0,30.0,56.0,11380.0,167.0,6787.0,6954.0,20.0,3379.0,3399.0,7.0,69.0,710.0,183.0,181.0,176.0,181.0,172.0,1,composer/composer,2011-06-08 08:53:00,3923,0.2865154218710171,0.014274789701758857,0.007647208768799388,2.900841192964568,1.8666666666666667,4.775155068400034,710.0
laravel/framework,0,1,0,0,0,1,1,1,0,25561,25561,8702,6,laravel/framework,3382.0,0.0,30.0,0.0,33231.0,5.0,15793.0,15798.0,7.0,23038.0,23045.0,0.0,18.0,726.0,184.0,180.0,181.0,180.0,185.0,1,laravel/framework,2013-01-10 21:27:28,3341,1.0122717749176893,0.0,0.008979347500748278,9.946423226578869,0.0,9.955402574079617,726.0
guzzle/guzzle,0,1,0,1,1,1,1,0,0,21347,21347,2244,7,guzzle/guzzle,413.0,4022.0,30.0,34.0,3595.0,23.0,1712.0,1735.0,15.0,1227.0,1242.0,5.0,105.0,674.0,174.0,179.0,158.0,179.0,158.0,1,guzzle/guzzle,2011-02-28 02:44:05,4023,0.10265970668655232,0.008451404424558787,0.007457121551081283,0.893611732537907,1.1333333333333333,2.0344021874223217,674.0
DesignPatternsPHP/DesignPatternsPHP,1,1,0,1,0,0,1,0,0,20111,20111,4336,8,DesignPatternsPHP/DesignPatternsPHP,207.0,0.0,0.0,0.0,1247.0,2.0,107.0,109.0,0.0,345.0,345.0,2.0,85.0,661.0,172.0,178.0,173.0,178.0,132.0,1,DesignPatternsPHP/DesignPatternsPHP,2011-08-22 05:24:31,3848,0.0537941787941788,0.0,0.0,0.3240644490644491,-1,-0.6759355509355509,661.0
Seldaek/monolog,1,1,0,1,1,1,0,1,0,19317,19317,1789,9,Seldaek/monolog,488.0,0.0,30.0,0.0,2536.0,27.0,674.0,701.0,15.0,919.0,934.0,1.0,30.0,658.0,170.0,177.0,150.0,177.0,154.0,1,Seldaek/monolog,2011-02-17 02:07:15,4034,0.12097174020823004,0.0,0.0074367873078829945,0.6286564204263758,0.0,0.6360932077342588,658.0
bcit-ci/CodeIgniter,1,0,0,1,0,0,1,0,0,18172,18172,7783,10,bcit-ci/CodeIgniter,607.0,0.0,0.0,0.0,10323.0,9.0,3197.0,3206.0,3.0,2827.0,2830.0,1.0,27.0,700.0,182.0,176.0,178.0,176.0,170.0,1,bcit-ci/CodeIgniter,2011-08-19 13:34:00,3851,0.15762139703972994,0.0,0.0,2.680602440924435,-1,1.6806024409244351,700.0
sebastianbergmann/phpunit,0,1,0,1,0,1,1,1,0,18062,18062,2046,11,sebastianbergmann/phpunit,508.0,0.0,0.0,0.0,16314.0,143.0,2931.0,3074.0,30.0,1698.0,1728.0,4.0,126.0,670.0,173.0,175.0,155.0,175.0,165.0,1,sebastianbergmann/phpunit,2009-12-24 13:16:23,4454,0.1140547822182308,0.0,0.0,3.662775033677593,-1,2.662775033677593,670.0
nextcloud/server,1,1,0,1,0,1,1,1,0,17576,17576,2845,12,nextcloud/server,1095.0,1666.0,30.0,72.0,61748.0,1768.0,11916.0,13684.0,309.0,16737.0,17046.0,1.0,74.0,698.0,180.0,174.0,167.0,174.0,183.0,1,nextcloud/server,2016-06-02 07:44:14,2102,0.5209324452901998,0.03425309229305423,0.014272121788772598,29.375832540437678,2.4,31.790104662226447,698.0
PHPMailer/PHPMailer,1,1,0,1,1,1,1,1,0,17434,17434,9040,13,PHPMailer/PHPMailer,249.0,0.0,30.0,0.0,2087.0,24.0,1840.0,1864.0,7.0,594.0,601.0,2.0,130.0,678.0,175.0,173.0,183.0,173.0,149.0,1,PHPMailer/PHPMailer,2011-08-23 07:57:17,3847,0.0647257603327268,0.0,0.007798284377436964,0.5425006498570315,0.0,0.5502989342344685,678.0
