fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
rails/rails,1,1,0,1,0,1,1,1,0,49511,49511,19904,0,rails/rails,5701.0,0.0,2.0,0.0,83217.0,355.0,15065.0,15420.0,246.0,28643.0,28889.0,0.0,50.0,746.0,187.0,187.0,187.0,187.0,185.0,1,rails/rails,2008-04-11 02:19:47,5076,1.1231284475965326,0.0,0.0003940110323089047,16.39420803782506,0.0,16.39460204885737,746.0
jekyll/jekyll,1,1,0,0,0,1,1,1,0,43755,43755,9624,1,jekyll/jekyll,1168.0,0.0,2.0,0.0,11464.0,88.0,4434.0,4522.0,93.0,4088.0,4181.0,2.0,72.0,729.0,185.0,186.0,185.0,186.0,172.0,1,jekyll/jekyll,2008-10-20 06:29:03,4884,0.23914823914823916,0.0,0.0004095004095004095,2.3472563472563475,0.0,2.347665847665848,729.0
discourse/discourse,0,1,0,1,0,1,1,1,0,34552,34552,7454,2,discourse/discourse,994.0,0.0,2.0,0.0,44508.0,0.0,0.0,0.0,37.0,15632.0,15669.0,0.0,137.0,737.0,186.0,185.0,183.0,185.0,184.0,1,discourse/discourse,2013-01-12 00:25:55,3339,0.2976939203354298,0.0,0.0005989817310572028,13.32973944294699,0.0,13.330338424678047,737.0
fastlane/fastlane,0,0,0,0,0,1,1,1,0,33329,33329,5054,3,fastlane/fastlane,1497.0,0.0,2.0,0.0,16282.0,123.0,11837.0,11960.0,65.0,6840.0,6905.0,0.0,476.0,721.0,183.0,184.0,178.0,184.0,175.0,1,fastlane/fastlane,2014-12-02 17:00:38,2650,0.5649056603773585,0.0,0.0007547169811320754,6.144150943396227,0.0,6.144905660377359,721.0
huginn/huginn,1,1,0,1,0,1,1,1,0,32752,32752,3115,4,huginn/huginn,246.0,0.0,2.0,0.0,3428.0,521.0,1400.0,1921.0,83.0,1082.0,1165.0,2.0,98.0,688.0,175.0,183.0,167.0,183.0,155.0,1,huginn/huginn,2013-03-10 06:00:31,3282,0.07495429616087751,0.0,0.0006093845216331506,1.04448507007922,0.0,1.0450944546008532,688.0
Homebrew/brew,0,1,0,1,0,1,1,1,0,30141,30141,6925,5,Homebrew/brew,1078.0,0.0,2.0,0.0,30778.0,17.0,3426.0,3443.0,11.0,8803.0,8814.0,1.0,214.0,724.0,184.0,182.0,182.0,182.0,178.0,1,Homebrew/brew,2016-03-06 05:08:38,2190,0.4922374429223744,0.0,0.0009132420091324201,14.053881278538812,0.0,14.054794520547944,724.0
bayandin/awesome-awesomeness,0,1,0,0,0,1,1,0,0,28286,28286,3449,6,bayandin/awesome-awesomeness,251.0,0.0,2.0,0.0,572.0,12.0,49.0,61.0,6.0,386.0,392.0,0.0,426.0,655.0,168.0,181.0,172.0,181.0,121.0,1,bayandin/awesome-awesomeness,2014-07-08 05:44:19,2797,0.08973900607794065,0.0,0.0007150518412584912,0.2045048265999285,0.0,0.205219878441187,655.0
freeCodeCamp/devdocs,1,1,0,1,0,1,1,1,0,27130,27130,1826,7,freeCodeCamp/devdocs,184.0,0.0,2.0,0.0,4396.0,97.0,881.0,978.0,24.0,688.0,712.0,4.0,97.0,651.0,167.0,180.0,153.0,180.0,138.0,1,freeCodeCamp/devdocs,2013-10-24 18:16:07,3054,0.06024885396201703,0.0,0.0006548788474132286,1.4394237066142763,0.0,1.4400785854616895,651.0
mastodon/mastodon,1,1,0,1,0,1,1,1,0,26030,26030,4235,8,mastodon/mastodon,761.0,0.0,2.0,0.0,11297.0,2003.0,4474.0,6477.0,54.0,10895.0,10949.0,2.0,88.0,716.0,181.0,179.0,176.0,179.0,182.0,1,mastodon/mastodon,2016-02-22 15:01:25,2203,0.3454380390376759,0.0,0.0009078529278256923,5.128007262823423,0.0,5.128915115751249,716.0
hashicorp/vagrant,0,1,0,1,0,0,1,1,0,23045,23045,4177,10,hashicorp/vagrant,1235.0,0.0,2.0,0.0,14136.0,564.0,8505.0,9069.0,86.0,3468.0,3554.0,2.0,60.0,700.0,179.0,178.0,175.0,178.0,169.0,1,hashicorp/vagrant,2010-01-21 08:34:27,4426,0.2790329868956168,0.0,0.00045187528242205153,3.19385449615906,0.0,3.194306371441482,700.0
gitlabhq/gitlabhq,1,1,0,1,1,1,1,1,0,22781,22781,5693,11,gitlabhq/gitlabhq,2909.0,0.0,2.0,0.0,107784.0,0.0,0.0,0.0,14.0,3555.0,3569.0,0.0,264.0,705.0,180.0,177.0,181.0,177.0,170.0,1,gitlabhq/gitlabhq,2011-10-02 16:25:27,3807,0.7641187286577358,0.0,0.0005253480430785396,28.31205673758865,0.0,28.312582085631732,705.0
heartcombo/devise,0,1,0,1,0,1,1,1,0,22061,22061,5328,12,heartcombo/devise,694.0,0.0,2.0,0.0,3769.0,135.0,3951.0,4086.0,57.0,1282.0,1339.0,1.0,176.0,692.0,176.0,176.0,179.0,176.0,161.0,1,heartcombo/devise,2009-09-16 12:15:12,4553,0.15242697122776191,0.0,0.0004392708104546453,0.827805842301779,0.0,0.8282451131122337,692.0
kilimchoi/engineering-blogs,1,1,0,1,0,1,1,1,0,20553,20553,537,13,kilimchoi/engineering-blogs,383.0,0.0,2.0,0.0,1705.0,4.0,74.0,78.0,50.0,893.0,943.0,1.0,1182.0,608.0,156.0,175.0,107.0,175.0,151.0,1,kilimchoi/engineering-blogs,2015-06-13 18:25:17,2457,0.1558811558811559,0.0,0.000814000814000814,0.693935693935694,0.0,0.6947496947496948,608.0
Homebrew/homebrew-cask,1,1,0,1,0,1,1,1,0,18730,18730,9487,14,Homebrew/homebrew-cask,9214.0,0.0,2.0,0.0,146299.0,23.0,5985.0,6008.0,33.0,114014.0,114047.0,0.0,157.0,719.0,182.0,174.0,184.0,174.0,187.0,1,Homebrew/homebrew-cask,2012-03-05 02:05:17,3652,2.523001095290252,0.0,0.000547645125958379,40.05996714129244,0.0,40.060514786418395,719.0
ruby/ruby,1,1,0,1,0,1,1,1,0,18680,18680,5357,15,ruby/ruby,585.0,0.0,2.0,0.0,71315.0,0.0,0.0,0.0,342.0,5217.0,5559.0,0.0,104.0,699.0,178.0,173.0,180.0,173.0,173.0,1,ruby/ruby,2010-02-27 15:55:23,4389,0.13328776486671223,0.0,0.000455684666210982,16.24857598541809,0.0,16.2490316700843,699.0
forem/forem,1,1,0,1,1,1,1,1,0,18337,18337,3205,16,forem/forem,702.0,0.0,2.0,0.0,11108.0,387.0,4047.0,4434.0,30.0,11749.0,11779.0,1.0,148.0,695.0,177.0,172.0,168.0,172.0,183.0,1,forem/forem,2016-11-13 23:02:13,1938,0.3622291021671827,0.0,0.0010319917440660474,5.731682146542828,0.0,5.732714138286894,695.0
CocoaPods/CocoaPods,1,1,0,0,0,0,0,0,0,13485,13485,2487,17,CocoaPods/CocoaPods,401.0,0.0,2.0,0.0,9323.0,294.0,8760.0,9054.0,29.0,2024.0,2053.0,2.0,100.0,668.0,169.0,171.0,160.0,171.0,166.0,1,CocoaPods/CocoaPods,2011-08-14 00:10:53,3856,0.10399377593360996,0.0,0.0005186721991701245,2.4177904564315353,0.0,2.4183091286307055,668.0
diaspora/diaspora,1,1,0,1,0,0,1,1,0,12924,12924,2933,18,diaspora/diaspora,540.0,0.0,2.0,0.0,20528.0,420.0,4279.0,4699.0,26.0,3387.0,3413.0,0.0,151.0,674.0,171.0,170.0,166.0,170.0,168.0,1,diaspora/diaspora,2010-09-15 05:20:04,4189,0.12890904750537122,0.0,0.00047744091668656003,4.900453568870852,0.0,4.900931009787539,674.0
twbs/bootstrap-sass,0,1,0,1,1,1,1,1,0,12729,12729,3677,19,twbs/bootstrap-sass,122.0,0.0,2.0,0.0,1039.0,15.0,816.0,831.0,3.0,346.0,349.0,19.0,217.0,627.0,161.0,169.0,174.0,169.0,115.0,1,twbs/bootstrap-sass,2011-09-06 18:58:49,3833,0.03182885468301591,0.0,0.0005217845030002609,0.2710670493086355,0.0,0.2715888338116358,627.0
elastic/logstash,0,1,0,1,0,0,1,1,0,12498,12498,3234,20,elastic/logstash,573.0,0.0,2.0,0.0,10027.0,1783.0,4304.0,6087.0,180.0,7524.0,7704.0,7.0,118.0,682.0,173.0,168.0,169.0,168.0,177.0,1,elastic/logstash,2010-11-18 01:31:50,4125,0.1389090909090909,0.0,0.00048484848484848484,2.430787878787879,0.0,2.4312727272727273,682.0
gollum/gollum,1,1,0,1,0,1,1,1,0,12326,12326,1570,21,gollum/gollum,217.0,0.0,2.0,0.0,2360.0,44.0,1093.0,1137.0,8.0,618.0,626.0,9.0,233.0,616.0,158.0,167.0,149.0,167.0,133.0,1,gollum/gollum,2010-03-29 18:30:53,4359,0.04978206010552879,0.0,0.0004588208304657031,0.5414085799495297,0.0,0.5418674007799954,616.0
capistrano/capistrano,1,1,0,1,0,1,1,1,0,12028,12028,1780,22,capistrano/capistrano,279.0,0.0,2.0,0.0,1681.0,51.0,1051.0,1102.0,3.0,857.0,860.0,3.0,139.0,631.0,162.0,166.0,152.0,166.0,147.0,1,capistrano/capistrano,2009-02-26 16:14:04,4755,0.05867507886435331,0.0,0.0004206098843322818,0.35352260778128286,0.0,0.35394321766561515,631.0
rubocop/rubocop,1,1,0,1,1,1,1,1,0,11576,11576,2803,23,rubocop/rubocop,907.0,0.0,2.0,0.0,11343.0,213.0,4335.0,4548.0,26.0,5735.0,5761.0,3.0,397.0,669.0,170.0,165.0,165.0,165.0,174.0,1,rubocop/rubocop,2012-04-21 10:09:58,3605,0.25159500693481274,0.0,0.0005547850208044383,3.1464632454923716,0.0,3.147018030513176,669.0
mame/quine-relay,1,1,0,1,0,1,1,0,0,11556,11556,523,24,mame/quine-relay,18.0,0.0,2.0,0.0,458.0,14.0,65.0,79.0,0.0,40.0,40.0,3.0,187.0,522.0,131.0,164.0,106.0,164.0,88.0,1,mame/quine-relay,2013-07-15 13:29:20,3155,0.005705229793977813,0.0,0.0006339144215530904,0.14516640253565768,0.0,0.14580031695721077,522.0
spree/spree,1,1,0,1,0,1,1,1,0,11543,11543,4821,25,spree/spree,1171.0,0.0,2.0,0.0,24595.0,174.0,3895.0,4069.0,69.0,7357.0,7426.0,0.0,290.0,679.0,172.0,163.0,177.0,163.0,176.0,1,spree/spree,2008-03-10 14:45:35,5108,0.2292482380579483,0.0,0.00039154267815191856,4.8149960845732185,0.0,4.81538762725137,679.0
lewagon/setup,1,0,0,1,0,0,1,0,0,11538,11538,1006,26,lewagon/setup,63.0,0.0,2.0,0.0,993.0,5.0,113.0,118.0,1.0,245.0,246.0,0.0,58.0,558.0,141.0,162.0,129.0,162.0,105.0,1,lewagon/setup,2014-04-06 09:25:02,2890,0.02179930795847751,0.0,0.0006920415224913495,0.343598615916955,0.0,0.34429065743944637,558.0
sinatra/sinatra,1,1,0,1,1,0,1,0,0,11482,11482,2034,27,sinatra/sinatra,505.0,0.0,2.0,0.0,4362.0,57.0,733.0,790.0,11.0,928.0,939.0,7.0,143.0,626.0,160.0,161.0,154.0,161.0,150.0,1,sinatra/sinatra,2009-01-14 01:27:30,4798,0.10525218841183827,0.0,0.00041684035014589413,0.909128803668195,0.0,0.9095456440183409,626.0
mperham/sidekiq,0,1,0,1,0,1,1,0,0,11415,11415,2037,28,mperham/sidekiq,562.0,0.0,2.0,0.0,4166.0,21.0,3838.0,3859.0,3.0,1329.0,1332.0,4.0,92.0,634.0,163.0,160.0,155.0,160.0,159.0,1,mperham/sidekiq,2012-01-16 23:17:27,3701,0.15185085112131858,0.0,0.0005403944879762226,1.1256417184544718,0.0,1.126182112942448,634.0
chatwoot/chatwoot,0,1,0,1,0,1,1,0,0,11400,11400,1305,29,chatwoot/chatwoot,172.0,0.0,2.0,0.0,1918.0,530.0,1400.0,1930.0,36.0,1920.0,1956.0,5.0,57.0,624.0,159.0,159.0,141.0,159.0,165.0,1,chatwoot/chatwoot,2019-08-14 06:50:51,934,0.1841541755888651,0.0,0.0021413276231263384,2.0535331905781584,0.0,2.0556745182012848,624.0
tmuxinator/tmuxinator,1,1,0,1,0,1,1,1,0,11048,11048,611,30,tmuxinator/tmuxinator,144.0,0.0,2.0,0.0,842.0,99.0,385.0,484.0,6.0,362.0,368.0,8.0,120.0,547.0,139.0,158.0,112.0,158.0,119.0,1,tmuxinator/tmuxinator,2010-12-10 21:49:50,4103,0.035096271021203995,0.0,0.0004874482086278333,0.20521569583231783,0.0,0.20570314404094567,547.0
