fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
kamranahmedse/developer-roadmap,0,0,0,1,0,1,0,0,0,178298,178298,25570,0,kamranahmedse/developer-roadmap,102.0,0.0,2.0,0.0,1058.0,98.0,485.0,583.0,24.0,381.0,405.0,0.0,75.0,694.0,178.0,194.0,192.0,194.0,114.0,1,kamranahmedse/developer-roadmap,2017-03-15 13:45:52,1816,0.05616740088105727,0.0,0.0011013215859030838,0.5825991189427313,0.0,0.5837004405286343,694.0
microsoft/vscode,0,1,0,1,0,1,1,1,0,124900,124900,20875,1,microsoft/vscode,1971.0,0.0,2.0,0.0,94139.0,5524.0,124269.0,129793.0,266.0,11127.0,11393.0,7.0,102.0,765.0,193.0,193.0,191.0,193.0,188.0,1,microsoft/vscode,2015-09-03 20:23:38,2375,0.8298947368421052,0.0,0.0008421052631578948,39.637473684210526,0.0,39.63831578947369,765.0
angular/angular,1,1,0,1,1,1,1,1,0,78043,78043,20482,2,angular/angular,1743.0,0.0,2.0,0.0,24040.0,1516.0,22152.0,23668.0,84.0,20620.0,20704.0,3.0,75.0,765.0,193.0,192.0,190.0,192.0,191.0,1,angular/angular,2014-09-18 16:12:01,2725,0.6396330275229358,0.0,0.0007339449541284404,8.822018348623853,0.0,8.822752293577981,765.0
microsoft/TypeScript,0,1,0,1,1,1,1,1,0,76364,76364,10002,3,microsoft/TypeScript,766.0,1832.0,30.0,30.0,33095.0,5177.0,27856.0,33033.0,279.0,13952.0,14231.0,10.0,66.0,757.0,191.0,191.0,185.0,191.0,190.0,1,microsoft/TypeScript,2014-06-17 15:28:39,2818,0.2718239886444287,0.0106458481192335,0.0106458481192335,11.744144783534422,1.0,12.754790631653655,757.0
ant-design/ant-design,1,1,0,1,0,0,0,1,0,76031,76031,31470,4,ant-design/ant-design,1797.0,0.0,2.0,0.0,21658.0,761.0,22476.0,23237.0,47.0,10281.0,10328.0,2.0,258.0,761.0,192.0,190.0,194.0,190.0,187.0,1,ant-design/ant-design,2015-04-24 15:37:24,2507,0.7167929796569605,0.0,0.0007977662544874351,8.639010769844436,0.0,8.639808536098924,761.0
puppeteer/puppeteer,1,1,0,1,0,1,1,1,0,74949,74949,7921,5,puppeteer/puppeteer,429.0,0.0,2.0,0.0,2478.0,1802.0,3438.0,5240.0,9.0,2748.0,2757.0,2.0,203.0,718.0,185.0,189.0,179.0,189.0,161.0,1,puppeteer/puppeteer,2017-05-09 22:16:13,1761,0.24361158432708688,0.0,0.001135718341851221,1.4071550255536627,0.0,1.408290743895514,718.0
storybookjs/storybook,1,1,0,1,0,1,1,1,0,66979,66979,6843,6,storybookjs/storybook,1719.0,0.0,2.0,0.0,38758.0,1605.0,7166.0,8771.0,109.0,7909.0,8018.0,1.0,276.0,734.0,188.0,188.0,175.0,188.0,183.0,1,storybookjs/storybook,2016-03-18 04:23:44,2178,0.7892561983471075,0.0,0.0009182736455463728,17.79522497704316,0.0,17.796143250688704,734.0
reduxjs/redux,1,1,0,1,1,1,1,0,0,57119,57119,14973,7,reduxjs/redux,930.0,0.0,2.0,0.0,3483.0,40.0,1899.0,1939.0,14.0,2247.0,2261.0,4.0,228.0,714.0,184.0,187.0,188.0,187.0,152.0,1,reduxjs/redux,2015-05-29 23:53:15,2472,0.3762135922330097,0.0,0.0008090614886731392,1.4089805825242718,0.0,1.409789644012945,714.0
socketio/socket.io,1,1,0,1,0,1,1,0,0,54834,54834,9930,8,socketio/socket.io,207.0,0.0,2.0,0.0,1907.0,92.0,3080.0,3172.0,8.0,794.0,802.0,3.0,133.0,683.0,174.0,186.0,184.0,186.0,127.0,1,socketio/socket.io,2010-03-11 18:24:48,4377,0.047292666209732694,0.0,0.0004569339730408956,0.43568654329449397,0.0,0.4361434772675349,683.0
sveltejs/svelte,0,1,0,1,0,1,1,0,0,53386,53386,2562,9,sveltejs/svelte,537.0,0.0,2.0,0.0,6658.0,568.0,3676.0,4244.0,129.0,2831.0,2960.0,3.0,83.0,686.0,175.0,185.0,151.0,185.0,165.0,1,sveltejs/svelte,2016-11-20 18:13:05,1931,0.2780942516830658,0.0,0.0010357327809425167,3.4479544277576384,0.0,3.448990160538581,686.0
apache/echarts,1,1,0,1,0,1,1,1,0,48982,48982,18328,11,apache/echarts,199.0,0.0,2.0,0.0,8544.0,1994.0,13287.0,15281.0,66.0,1267.0,1333.0,2.0,97.0,695.0,180.0,184.0,189.0,184.0,138.0,1,apache/echarts,2013-04-03 03:18:59,3258,0.06108041743400859,0.0,0.0006138735420503376,2.6224677716390423,0.0,2.6230816451810925,695.0
ionic-team/ionic-framework,1,1,0,1,0,1,1,1,0,45692,45692,13462,12,ionic-team/ionic-framework,489.0,0.0,2.0,0.0,11426.0,598.0,19162.0,19760.0,50.0,4862.0,4912.0,3.0,93.0,732.0,187.0,183.0,187.0,183.0,179.0,1,ionic-team/ionic-framework,2013-08-20 23:06:02,3119,0.1567810195575505,0.0,0.0006412311638345624,3.663353638986855,0.0,3.6639948701506895,732.0
grafana/grafana,0,0,0,1,0,1,1,1,0,45209,45209,9028,13,grafana/grafana,1902.0,0.0,2.0,0.0,33901.0,2031.0,21395.0,23426.0,296.0,21362.0,21658.0,15.0,215.0,738.0,190.0,182.0,182.0,182.0,192.0,1,grafana/grafana,2013-12-11 15:59:56,3006,0.6327345309381237,0.0,0.0006653359946773121,11.277777777777779,0.0,11.278443113772456,738.0
remix-run/react-router,1,1,0,1,1,0,0,1,0,45157,45157,8722,14,remix-run/react-router,765.0,0.0,2.0,0.0,5232.0,60.0,6257.0,6317.0,6.0,2221.0,2227.0,2.0,64.0,694.0,178.0,181.0,181.0,181.0,151.0,1,remix-run/react-router,2014-05-16 22:22:51,2850,0.26842105263157895,0.0,0.0007017543859649122,1.8357894736842104,0.0,1.8364912280701753,694.0
nestjs/nest,1,1,0,1,0,1,1,1,0,42618,42618,4482,15,nestjs/nest,355.0,0.0,2.0,0.0,10260.0,50.0,4002.0,4052.0,48.0,4939.0,4987.0,0.0,228.0,708.0,182.0,180.0,168.0,180.0,180.0,1,nestjs/nest,2017-02-04 20:12:52,1855,0.19137466307277629,0.0,0.001078167115902965,5.53099730458221,0.0,5.532075471698113,708.0
