Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
tensorflow/tensorflow,21,17,0,0,0,5,66,0,2,4.0,45717250,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07 01:19:20,C++,,161034,85890,161034,2805,0,tensorflow/tensorflow,3720.0,0.0,2.0,0.0,126316.0,2334.0,31882.0,34216.0,332.0,20188.0,20520.0,1.0,247.0,772.0,194.0,194.0,194.0,194.0,190.0,1,2310,1.6103896103896105,0.0,0.0008658008658008658,54.682251082251085,0.0,54.68311688311689,772.0
bitcoin/bitcoin,0,0,0,0,0,1,2,0,3,0.0,1181927,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,2010-12-19 15:16:43,C++,,59820,30755,59820,1022,1,bitcoin/bitcoin,1075.0,0.0,2.0,0.0,32903.0,607.0,6159.0,6766.0,418.0,16516.0,16934.0,1.0,67.0,766.0,192.0,193.0,193.0,193.0,187.0,1,4094,0.26257938446507084,0.0,0.0004885197850512946,8.036883243771372,0.0,8.037371763556424,766.0
apple/swift,14,16,0,0,0,9,20,0,17,3.0,44838949,apple/swift,https://github.com/apple/swift,2015-10-23 21:15:07,C++,,58057,9297,58057,479,2,apple/swift,1295.0,0.0,2.0,0.0,132944.0,0.0,0.0,0.0,496.0,41084.0,41580.0,0.0,230.0,765.0,191.0,192.0,188.0,192.0,193.0,1,2325,0.556989247311828,0.0,0.0008602150537634409,57.18021505376344,0.0,57.1810752688172,765.0
pytorch/pytorch,52,9,1,0,5,16,59,1,16,15.0,65600975,pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,C++,,52539,14419,52539,10630,3,pytorch/pytorch,3086.0,2499.0,30.0,3.0,44377.0,7715.0,17139.0,24854.0,3640.0,45325.0,48965.0,15.0,203.0,766.0,192.0,191.0,190.0,191.0,194.0,1,2030,1.5201970443349753,0.001477832512315271,0.014778325123152709,21.860591133004927,0.1,21.975369458128082,766.0
protocolbuffers/protobuf,0,0,0,0,0,3,5,0,0,0.0,23357588,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,2014-08-26 15:52:15,C++,,52120,13498,52120,974,4,protocolbuffers/protobuf,974.0,555315.0,30.0,781.0,9148.0,921.0,3954.0,4875.0,35.0,4548.0,4583.0,0.0,37.0,741.0,188.0,190.0,189.0,190.0,172.0,1,2748,0.3544395924308588,0.2842066957787482,0.010917030567685589,3.328966521106259,26.033333333333335,29.37321688500728,741.0
godotengine/godot,0,5,0,0,0,7,24,2,0,0.0,15634981,godotengine/godot,https://github.com/godotengine/godot,2014-01-04 16:05:36,C++,,44285,7999,44285,6803,5,godotengine/godot,1874.0,1276.0,30.0,347.0,41949.0,5932.0,26451.0,32383.0,1341.0,23744.0,25085.0,4.0,40.0,754.0,190.0,189.0,184.0,189.0,192.0,1,2982,0.6284372904091214,0.11636485580147551,0.01006036217303823,14.067404426559357,11.566666666666666,25.644131455399062,754.0
tesseract-ocr/tesseract,12,9,0,0,0,12,40,0,4,0.0,22887094,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,2014-08-12 18:04:59,C++,,43004,7662,43004,343,6,tesseract-ocr/tesseract,200.0,0.0,2.0,0.0,5954.0,349.0,1933.0,2282.0,9.0,1440.0,1449.0,1.0,76.0,713.0,186.0,188.0,182.0,188.0,155.0,1,2762,0.07241129616220131,0.0,0.000724112961622013,2.1556842867487327,0.0,2.156408399710355,713.0
x64dbg/x64dbg,43,5,0,0,0,14,32,3,2,0.0,33791743,x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,2015-04-11 20:48:23,C++,,37747,1728,37747,506,7,x64dbg/x64dbg,120.0,4403.0,3.0,5.0,4824.0,485.0,1619.0,2104.0,15.0,670.0,685.0,2.0,55.0,633.0,167.0,187.0,121.0,187.0,138.0,1,2520,0.047619047619047616,0.001984126984126984,0.0011904761904761906,1.9142857142857144,1.6666666666666667,3.5821428571428573,633.0
grpc/grpc,12,1,0,0,0,13,19,0,10,0.0,27729880,grpc/grpc,https://github.com/grpc/grpc,2014-12-08 18:58:53,C++,,32601,8565,32601,972,9,grpc/grpc,883.0,11308.0,30.0,24.0,50586.0,816.0,9243.0,10059.0,252.0,18491.0,18743.0,0.0,74.0,748.0,189.0,186.0,187.0,186.0,189.0,1,2644,0.33396369137670195,0.009077155824508321,0.0113464447806354,19.132375189107414,0.8,19.94372163388805,748.0
BVLC/caffe,7,3,0,0,0,6,15,0,0,0.0,12791642,BVLC/caffe,https://github.com/BVLC/caffe,2013-09-12 18:39:48,C++,,32119,18907,32119,1176,10,BVLC/caffe,328.0,0.0,2.0,0.0,4156.0,888.0,3882.0,4770.0,287.0,1936.0,2223.0,0.0,35.0,726.0,187.0,185.0,192.0,185.0,164.0,1,3096,0.10594315245478036,0.0,0.0006459948320413437,1.3423772609819122,0.0,1.3430232558139537,726.0
ariya/phantomjs,11,0,0,0,0,2,12,0,1,0.0,1200050,ariya/phantomjs,https://github.com/ariya/phantomjs,2010-12-27 08:18:58,C++,,28628,5825,28628,14,11,ariya/phantomjs,180.0,0.0,2.0,0.0,1958.0,15.0,4721.0,4736.0,0.0,1051.0,1051.0,11.0,55.0,689.0,179.0,184.0,175.0,184.0,146.0,1,4086,0.04405286343612335,0.0,0.0004894762604013706,0.47919725893294174,0.0,0.4796867351933431,689.0
