Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
microsoft/PowerToys,48,3,1,0,0,23,32,0,3,1.0,184456251,microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01 17:44:02,C#,,64333,3556,64333,2140,0,microsoft/PowerToys,313.0,7165238.0,30.0,55.0,5768.0,2339.0,11105.0,13444.0,20.0,3429.0,3449.0,2.0,180.0,727.0,187.0,189.0,179.0,189.0,170.0,1,1039,0.3012512030798845,0.05293551491819057,0.028873917228103944,5.5514918190567855,1.8333333333333333,7.413699069618223,727.0
shadowsocks/shadowsocks-windows,19,3,0,0,0,4,5,0,5,2.0,7600409,shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,2013-01-14 07:54:16,C#,,53513,16188,53513,62,1,shadowsocks/shadowsocks-windows,91.0,113682379.0,30.0,43.0,1718.0,71.0,2686.0,2757.0,4.0,458.0,462.0,2.0,81.0,695.0,184.0,188.0,188.0,188.0,131.0,1,3337,0.027270002996703627,0.012885825591848966,0.008990110878034162,0.5148336829487564,1.4333333333333333,1.9571571271601238,695.0
PowerShell/PowerShell,6,0,0,0,0,6,15,0,0,1.0,49609581,PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,2016-01-13 23:41:35,C#,,31124,4908,31124,3170,2,PowerShell/PowerShell,466.0,107417.0,30.0,681.0,9258.0,3123.0,6795.0,9918.0,93.0,6375.0,6468.0,0.0,316.0,739.0,188.0,187.0,184.0,187.0,181.0,1,2243,0.207757467677218,0.3036112349531877,0.013374944271065538,4.1275078020508245,22.7,26.84088274632189,739.0
dotnet/aspnetcore,7,3,0,0,0,5,11,0,0,0.0,17620347,dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,2014-03-11 06:09:42,C#,,26646,7147,26646,2197,3,dotnet/aspnetcore,1195.0,0.0,2.0,0.0,48991.0,2271.0,22893.0,25164.0,50.0,12218.0,12268.0,10.0,41.0,743.0,189.0,186.0,186.0,186.0,185.0,1,2916,0.4098079561042524,0.0,0.0006858710562414266,16.800754458161865,0.0,16.801440329218106,743.0
2dust/v2rayN,5,0,0,0,0,1,2,0,0,0.0,199570071,2dust/v2rayN,https://github.com/2dust/v2rayN,2019-07-30 03:47:24,C#,,24225,5121,24225,44,4,2dust/v2rayN,18.0,1214738.0,30.0,60.0,413.0,24.0,1843.0,1867.0,1.0,104.0,105.0,0.0,4.0,663.0,177.0,185.0,185.0,185.0,108.0,1,949,0.018967334035827187,0.06322444678609063,0.03161222339304531,0.4351949420442571,2.0,2.4668071654373023,663.0
CodeHubApp/CodeHub,9,3,0,0,0,5,12,0,3,0.0,11620669,CodeHubApp/CodeHub,https://github.com/CodeHubApp/CodeHub,2013-07-23 22:19:57,C#,,23312,642,23312,235,5,CodeHubApp/CodeHub,10.0,0.0,2.0,0.0,593.0,234.0,407.0,641.0,1.0,20.0,21.0,2.0,15.0,554.0,141.0,184.0,103.0,184.0,83.0,1,3147,0.0031776294884016524,0.0,0.0006355258976803305,0.188433428662218,0.0,0.1890689545598983,554.0
Wox-launcher/Wox,32,6,1,0,0,6,10,0,6,0.0,15315789,Wox-launcher/Wox,https://github.com/Wox-launcher/Wox,2013-12-19 15:49:32,C#,,21061,2257,21061,766,6,Wox-launcher/Wox,130.0,756437.0,30.0,105.0,2749.0,798.0,2397.0,3195.0,10.0,437.0,447.0,7.0,151.0,654.0,172.0,183.0,159.0,183.0,129.0,1,2998,0.04336224149432955,0.03502334889926618,0.01000667111407605,0.9169446297531688,3.5,4.426951300867245,654.0
dnSpy/dnSpy,49,2,2,0,0,8,9,0,0,1.0,38380854,dnSpy/dnSpy,https://github.com/dnSpy/dnSpy,2015-07-01 16:05:10,C#,,19582,3658,19582,185,7,dnSpy/dnSpy,31.0,164878.0,1.0,3.0,3932.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,41.0,647.0,170.0,182.0,181.0,182.0,102.0,1,2439,0.012710127101271012,0.0012300123001230013,0.0004100041000410004,1.6121361213612135,3.0,4.612546125461255,647.0
dotnet-architecture/eShopOnContainers,7,11,0,0,0,18,23,0,4,2.0,70104825,dotnet-architecture/eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers,2016-10-05 22:35:23,C#,,19281,8186,19281,47,8,dotnet-architecture/eShopOnContainers,200.0,0.0,2.0,0.0,3967.0,34.0,1076.0,1110.0,15.0,695.0,710.0,0.0,180.0,689.0,183.0,181.0,187.0,181.0,140.0,1,1977,0.10116337885685382,0.0,0.0010116337885685382,2.0065756196256954,0.0,2.007587253414264,689.0
ShareX/ShareX,0,8,0,0,0,1,9,0,0,0.0,13428264,ShareX/ShareX,https://github.com/ShareX/ShareX,2013-10-08 23:32:10,C#,,17970,2334,17970,384,9,ShareX/ShareX,255.0,11601087.0,30.0,62.0,7100.0,350.0,4824.0,5174.0,7.0,923.0,930.0,1.0,50.0,670.0,178.0,180.0,162.0,180.0,148.0,1,3070,0.08306188925081433,0.020195439739413682,0.009771986970684038,2.3127035830618894,2.066666666666667,4.38914223669924,670.0
