Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
laravel/laravel,22,5,0,2,0,0,33,0,0,0.0,1863329,laravel/laravel,https://github.com/laravel/laravel,2011-06-08 03:06:08,PHP,,67531,21845,67531,31,0,laravel/laravel,743.0,0.0,30.0,0.0,6692.0,0.0,0.0,0.0,0.0,4092.0,4092.0,0.0,23.0,774.0,196.0,196.0,196.0,196.0,186.0,1,3923,0.18939587050726484,0.0,0.007647208768799388,1.7058373693601836,0.0,1.713484578128983,774.0
danielmiessler/SecLists,4,2,0,0,0,3,6,1,0,4.0,3482588,danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,2012-02-19 01:30:18,PHP,,35360,18356,35360,24,1,danielmiessler/SecLists,226.0,0.0,15.0,0.0,1297.0,21.0,156.0,177.0,5.0,514.0,519.0,5.0,87.0,738.0,191.0,195.0,195.0,195.0,153.0,1,3667,0.061630760839923644,0.0,0.004090537223888737,0.3536951186255795,0.0,0.35778565584946825,738.0
blueimp/jQuery-File-Upload,62,0,0,0,0,18,30,0,2,5.0,1129010,blueimp/jQuery-File-Upload,https://github.com/blueimp/jQuery-File-Upload,2010-12-01 15:35:32,PHP,,31081,8218,31081,49,2,blueimp/jQuery-File-Upload,113.0,0.0,0.0,0.0,1265.0,49.0,3258.0,3307.0,0.0,371.0,371.0,3.0,86.0,720.0,187.0,194.0,188.0,194.0,144.0,1,4112,0.02748054474708171,0.0,0.0,0.30763618677042803,-1,-0.692363813229572,720.0
fzaninotto/Faker,43,4,0,0,0,34,39,1,166,112.0,2579314,fzaninotto/Faker,https://github.com/fzaninotto/Faker,2011-10-14 22:49:02,PHP,,26235,3232,26235,246,3,fzaninotto/Faker,529.0,0.0,12.0,0.0,2632.0,76.0,494.0,570.0,167.0,1319.0,1486.0,1.0,368.0,736.0,189.0,193.0,178.0,193.0,172.0,1,3795,0.1393939393939394,0.0,0.0031620553359683794,0.6935441370223979,0.0,0.6967061923583663,736.0
symfony/symfony,10,0,0,0,0,0,1,0,0,0.0,458058,symfony/symfony,https://github.com/symfony/symfony,2010-01-04 14:21:21,PHP,,26145,8428,26145,735,4,symfony/symfony,3416.0,0.0,30.0,0.0,59755.0,529.0,16601.0,17130.0,210.0,27108.0,27318.0,2.0,51.0,769.0,195.0,192.0,189.0,192.0,196.0,1,4443,0.7688498762097682,0.0,0.00675219446320054,13.44924600495161,0.0,13.45599819941481,769.0
composer/composer,3,1,0,0,0,5,12,1,0,0.0,1864363,composer/composer,https://github.com/composer/composer,2011-06-08 08:53:00,PHP,,25921,6199,25921,176,5,composer/composer,1124.0,461010.0,30.0,56.0,11380.0,167.0,6787.0,6954.0,20.0,3379.0,3399.0,7.0,69.0,749.0,193.0,191.0,185.0,191.0,182.0,1,3923,0.2865154218710171,0.014274789701758857,0.007647208768799388,2.900841192964568,1.8666666666666667,4.775155068400034,749.0
laravel/framework,6,5,0,2,0,3,17,0,0,0.0,7548986,laravel/framework,https://github.com/laravel/framework,2013-01-10 21:27:28,PHP,,25561,8702,25561,10,6,laravel/framework,3382.0,0.0,30.0,0.0,33231.0,5.0,15793.0,15798.0,7.0,23038.0,23045.0,0.0,18.0,765.0,194.0,190.0,190.0,190.0,195.0,1,3341,1.0122717749176893,0.0,0.008979347500748278,9.946423226578869,0.0,9.955402574079617,765.0
guzzle/guzzle,10,4,0,0,0,3,10,0,5,2.0,1420053,guzzle/guzzle,https://github.com/guzzle/guzzle,2011-02-28 02:44:05,PHP,,21347,2244,21347,34,7,guzzle/guzzle,413.0,4022.0,30.0,34.0,3595.0,23.0,1712.0,1735.0,15.0,1227.0,1242.0,5.0,105.0,713.0,184.0,189.0,167.0,189.0,168.0,1,4023,0.10265970668655232,0.008451404424558787,0.007457121551081283,0.893611732537907,1.1333333333333333,2.0344021874223217,713.0
DesignPatternsPHP/DesignPatternsPHP,35,3,0,0,0,1,56,0,4,4.0,2246815,DesignPatternsPHP/DesignPatternsPHP,https://github.com/DesignPatternsPHP/DesignPatternsPHP,2011-08-22 05:24:31,PHP,,20111,4336,20111,4,8,DesignPatternsPHP/DesignPatternsPHP,207.0,0.0,0.0,0.0,1247.0,2.0,107.0,109.0,0.0,345.0,345.0,2.0,85.0,699.0,181.0,188.0,182.0,188.0,141.0,1,3848,0.0537941787941788,0.0,0.0,0.3240644490644491,-1,-0.6759355509355509,699.0
Seldaek/monolog,22,3,0,0,0,16,26,2,1,2.0,1376664,Seldaek/monolog,https://github.com/Seldaek/monolog,2011-02-17 02:07:15,PHP,,19317,1789,19317,36,9,Seldaek/monolog,488.0,0.0,30.0,0.0,2536.0,27.0,674.0,701.0,15.0,919.0,934.0,1.0,30.0,697.0,180.0,187.0,159.0,187.0,164.0,1,4034,0.12097174020823004,0.0,0.0074367873078829945,0.6286564204263758,0.0,0.6360932077342588,697.0
bcit-ci/CodeIgniter,6,0,0,0,0,2,3,0,9,0.0,2234102,bcit-ci/CodeIgniter,https://github.com/bcit-ci/CodeIgniter,2011-08-19 13:34:00,PHP,,18172,7783,18172,96,10,bcit-ci/CodeIgniter,607.0,0.0,0.0,0.0,10323.0,9.0,3197.0,3206.0,3.0,2827.0,2830.0,1.0,27.0,739.0,192.0,186.0,187.0,186.0,180.0,1,3851,0.15762139703972994,0.0,0.0,2.680602440924435,-1,1.6806024409244351,739.0
sebastianbergmann/phpunit,8,4,0,0,0,10,15,1,1,1.0,448045,sebastianbergmann/phpunit,https://github.com/sebastianbergmann/phpunit,2009-12-24 13:16:23,PHP,,18062,2046,18062,160,11,sebastianbergmann/phpunit,508.0,0.0,0.0,0.0,16314.0,143.0,2931.0,3074.0,30.0,1698.0,1728.0,4.0,126.0,709.0,182.0,185.0,164.0,185.0,175.0,1,4454,0.1140547822182308,0.0,0.0,3.662775033677593,-1,2.662775033677593,709.0
nextcloud/server,22,4,0,0,0,3,26,0,7,7.0,60243197,nextcloud/server,https://github.com/nextcloud/server,2016-06-02 07:44:14,PHP,,17576,2845,17576,1830,12,nextcloud/server,1095.0,1666.0,30.0,72.0,61748.0,1768.0,11916.0,13684.0,309.0,16737.0,17046.0,1.0,74.0,737.0,190.0,184.0,176.0,184.0,193.0,1,2102,0.5209324452901998,0.03425309229305423,0.014272121788772598,29.375832540437678,2.4,31.790104662226447,737.0
PHPMailer/PHPMailer,29,9,0,0,0,25,38,3,13,6.0,2253830,PHPMailer/PHPMailer,https://github.com/PHPMailer/PHPMailer,2011-08-23 07:57:17,PHP,,17434,9040,17434,35,13,PHPMailer/PHPMailer,249.0,0.0,30.0,0.0,2087.0,24.0,1840.0,1864.0,7.0,594.0,601.0,2.0,130.0,717.0,186.0,183.0,192.0,183.0,159.0,1,3847,0.0647257603327268,0.0,0.007798284377436964,0.5425006498570315,0.0,0.5502989342344685,717.0
WordPress/WordPress,6,0,0,0,0,0,19,0,0,0.0,2889328,WordPress/WordPress,https://github.com/WordPress/WordPress,2011-12-01 07:05:17,PHP,,15712,10546,15712,2,14,WordPress/WordPress,107.0,0.0,0.0,0.0,45210.0,0.0,0.0,0.0,0.0,555.0,555.0,0.0,121.0,712.0,183.0,182.0,194.0,182.0,154.0,1,3747,0.028556178275954098,0.0,0.0,12.065652522017615,-1,11.065652522017615,712.0
