Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
rails/rails,5,0,0,0,0,0,6,0,5,0.0,8514,rails/rails,https://github.com/rails/rails,2008-04-11 02:19:47,Ruby,,49511,19904,49511,602,0,rails/rails,5701.0,0.0,2.0,0.0,83217.0,355.0,15065.0,15420.0,246.0,28643.0,28889.0,0.0,50.0,790.0,198.0,198.0,198.0,198.0,196.0,1,5076,1.1231284475965326,0.0,0.0003940110323089047,16.39420803782506,0.0,16.39460204885737,790.0
jekyll/jekyll,12,18,0,1,0,4,33,1,1,0.0,65252,jekyll/jekyll,https://github.com/jekyll/jekyll,2008-10-20 06:29:03,Ruby,,43755,9624,43755,167,1,jekyll/jekyll,1168.0,0.0,2.0,0.0,11464.0,88.0,4434.0,4522.0,93.0,4088.0,4181.0,2.0,72.0,771.0,196.0,197.0,195.0,197.0,182.0,1,4884,0.23914823914823916,0.0,0.0004095004095004095,2.3472563472563475,0.0,2.347665847665848,771.0
discourse/discourse,16,6,0,0,0,7,26,0,0,0.0,7569578,discourse/discourse,https://github.com/discourse/discourse,2013-01-12 00:25:55,Ruby,,34552,7454,34552,25,2,discourse/discourse,994.0,0.0,2.0,0.0,44508.0,0.0,0.0,0.0,37.0,15632.0,15669.0,0.0,137.0,780.0,197.0,196.0,193.0,196.0,195.0,1,3339,0.2976939203354298,0.0,0.0005989817310572028,13.32973944294699,0.0,13.330338424678047,780.0
fastlane/fastlane,4,32,0,0,0,33,64,0,3,0.0,27442967,fastlane/fastlane,https://github.com/fastlane/fastlane,2014-12-02 17:00:38,Ruby,,33329,5054,33329,222,3,fastlane/fastlane,1497.0,0.0,2.0,0.0,16282.0,123.0,11837.0,11960.0,65.0,6840.0,6905.0,0.0,476.0,763.0,193.0,195.0,188.0,195.0,185.0,1,2650,0.5649056603773585,0.0,0.0007547169811320754,6.144150943396227,0.0,6.144905660377359,763.0
huginn/huginn,27,10,0,0,0,11,23,0,17,2.0,8681349,huginn/huginn,https://github.com/huginn/huginn,2013-03-10 06:00:31,Ruby,,32752,3115,32752,576,4,huginn/huginn,246.0,0.0,2.0,0.0,3428.0,521.0,1400.0,1921.0,83.0,1082.0,1165.0,2.0,98.0,730.0,185.0,194.0,177.0,194.0,165.0,1,3282,0.07495429616087751,0.0,0.0006093845216331506,1.04448507007922,0.0,1.0450944546008532,730.0
Homebrew/brew,9,6,0,0,0,13,31,2,6,0.0,53238813,Homebrew/brew,https://github.com/Homebrew/brew,2016-03-06 05:08:38,Ruby,,30141,6925,30141,43,5,Homebrew/brew,1078.0,0.0,2.0,0.0,30778.0,17.0,3426.0,3443.0,11.0,8803.0,8814.0,1.0,214.0,766.0,194.0,193.0,192.0,193.0,188.0,1,2190,0.4922374429223744,0.0,0.0009132420091324201,14.053881278538812,0.0,14.054794520547944,766.0
bayandin/awesome-awesomeness,3,1,0,0,0,0,2,4,0,0.0,21600440,bayandin/awesome-awesomeness,https://github.com/bayandin/awesome-awesomeness,2014-07-08 05:44:19,Ruby,,28286,3449,28286,15,6,bayandin/awesome-awesomeness,251.0,0.0,2.0,0.0,572.0,12.0,49.0,61.0,6.0,386.0,392.0,0.0,426.0,697.0,178.0,192.0,182.0,192.0,131.0,1,2797,0.08973900607794065,0.0,0.0007150518412584912,0.2045048265999285,0.0,0.205219878441187,697.0
freeCodeCamp/devdocs,17,16,0,0,0,22,35,0,10,3.0,13840241,freeCodeCamp/devdocs,https://github.com/freeCodeCamp/devdocs,2013-10-24 18:16:07,Ruby,,27130,1826,27130,126,7,freeCodeCamp/devdocs,184.0,0.0,2.0,0.0,4396.0,97.0,881.0,978.0,24.0,688.0,712.0,4.0,97.0,693.0,177.0,191.0,163.0,191.0,148.0,1,3054,0.06024885396201703,0.0,0.0006548788474132286,1.4394237066142763,0.0,1.4400785854616895,693.0
mastodon/mastodon,18,8,1,0,0,0,11,0,3,0.0,52281283,mastodon/mastodon,https://github.com/mastodon/mastodon,2016-02-22 15:01:25,Ruby,,26030,4235,26030,2005,8,mastodon/mastodon,761.0,0.0,2.0,0.0,11297.0,2003.0,4474.0,6477.0,54.0,10895.0,10949.0,2.0,88.0,758.0,191.0,190.0,186.0,190.0,192.0,1,2203,0.3454380390376759,0.0,0.0009078529278256923,5.128007262823423,0.0,5.128915115751249,758.0
rapid7/metasploit-framework,0,1,0,0,0,2,4,0,1,0.0,2293158,rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,2011-08-30 06:13:20,Ruby,,25748,11775,25748,494,9,rapid7/metasploit-framework,1328.0,0.0,2.0,0.0,63533.0,482.0,4525.0,5007.0,31.0,10946.0,10977.0,1.0,23.0,768.0,195.0,189.0,197.0,189.0,193.0,1,3840,0.3458333333333333,0.0,0.0005208333333333333,16.545052083333335,0.0,16.545572916666668,768.0
