Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
kamranahmedse/developer-roadmap,16,4,0,0,0,2,19,0,0,1.0,85077558,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2017-03-15 13:45:52,TypeScript,,178298,25570,178298,76,0,kamranahmedse/developer-roadmap,102.0,0.0,2.0,0.0,1058.0,98.0,485.0,583.0,24.0,381.0,405.0,0.0,75.0,702.0,180.0,196.0,194.0,196.0,116.0,1,1816,0.05616740088105727,0.0,0.0011013215859030838,0.5825991189427313,0.0,0.5837004405286343,702.0
microsoft/vscode,16,4,0,0,0,16,26,0,3,0.0,41881900,microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03 20:23:38,TypeScript,,124900,20875,124900,5374,1,microsoft/vscode,1971.0,0.0,2.0,0.0,94139.0,5524.0,124269.0,129793.0,266.0,11127.0,11393.0,7.0,102.0,773.0,195.0,195.0,193.0,195.0,190.0,1,2375,0.8298947368421052,0.0,0.0008421052631578948,39.637473684210526,0.0,39.63831578947369,773.0
angular/angular,18,3,0,0,0,3,9,0,0,3.0,24195339,angular/angular,https://github.com/angular/angular,2014-09-18 16:12:01,TypeScript,,78043,20482,78043,1876,2,angular/angular,1743.0,0.0,2.0,0.0,24040.0,1516.0,22152.0,23668.0,84.0,20620.0,20704.0,3.0,75.0,773.0,195.0,194.0,192.0,194.0,193.0,1,2725,0.6396330275229358,0.0,0.0007339449541284404,8.822018348623853,0.0,8.822752293577981,773.0
microsoft/TypeScript,10,4,0,0,0,8,23,0,0,7.0,20929025,microsoft/TypeScript,https://github.com/microsoft/TypeScript,2014-06-17 15:28:39,TypeScript,,76364,10002,76364,5418,3,microsoft/TypeScript,766.0,1832.0,30.0,30.0,33095.0,5177.0,27856.0,33033.0,279.0,13952.0,14231.0,10.0,66.0,765.0,193.0,193.0,187.0,193.0,192.0,1,2818,0.2718239886444287,0.0106458481192335,0.0106458481192335,11.744144783534422,1.0,12.754790631653655,765.0
ant-design/ant-design,28,8,0,0,0,9,35,0,2,5.0,34526884,ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24 15:37:24,TypeScript,,76031,31470,76031,742,4,ant-design/ant-design,1797.0,0.0,2.0,0.0,21658.0,761.0,22476.0,23237.0,47.0,10281.0,10328.0,2.0,258.0,769.0,194.0,192.0,196.0,192.0,189.0,1,2507,0.7167929796569605,0.0,0.0007977662544874351,8.639010769844436,0.0,8.639808536098924,769.0
puppeteer/puppeteer,46,2,0,2,0,27,38,0,31,22.0,90796663,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,2017-05-09 22:16:13,TypeScript,,74949,7921,74949,1758,5,puppeteer/puppeteer,429.0,0.0,2.0,0.0,2478.0,1802.0,3438.0,5240.0,9.0,2748.0,2757.0,2.0,203.0,726.0,187.0,191.0,181.0,191.0,163.0,1,1761,0.24361158432708688,0.0,0.001135718341851221,1.4071550255536627,0.0,1.408290743895514,726.0
storybookjs/storybook,26,81,1,2,1,23,117,0,7,1.0,54173593,storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18 04:23:44,TypeScript,,66979,6843,66979,1582,6,storybookjs/storybook,1719.0,0.0,2.0,0.0,38758.0,1605.0,7166.0,8771.0,109.0,7909.0,8018.0,1.0,276.0,742.0,190.0,190.0,177.0,190.0,185.0,1,2178,0.7892561983471075,0.0,0.0009182736455463728,17.79522497704316,0.0,17.796143250688704,742.0
reduxjs/redux,53,6,0,1,0,25,64,0,2,4.0,36535156,reduxjs/redux,https://github.com/reduxjs/redux,2015-05-29 23:53:15,TypeScript,,57119,14973,57119,44,7,reduxjs/redux,930.0,0.0,2.0,0.0,3483.0,40.0,1899.0,1939.0,14.0,2247.0,2261.0,4.0,228.0,722.0,186.0,189.0,190.0,189.0,154.0,1,2472,0.3762135922330097,0.0,0.0008090614886731392,1.4089805825242718,0.0,1.409789644012945,722.0
socketio/socket.io,12,69,0,0,0,12,85,0,15,10.0,557980,socketio/socket.io,https://github.com/socketio/socket.io,2010-03-11 18:24:48,TypeScript,,54834,9930,54834,114,8,socketio/socket.io,207.0,0.0,2.0,0.0,1907.0,92.0,3080.0,3172.0,8.0,794.0,802.0,3.0,133.0,690.0,176.0,188.0,186.0,188.0,128.0,1,4377,0.047292666209732694,0.0,0.0004569339730408956,0.43568654329449397,0.0,0.4361434772675349,690.0
sveltejs/svelte,1,2,0,0,0,1,9,0,3,5.0,74293321,sveltejs/svelte,https://github.com/sveltejs/svelte,2016-11-20 18:13:05,TypeScript,,53386,2562,53386,630,9,sveltejs/svelte,537.0,0.0,2.0,0.0,6658.0,568.0,3676.0,4244.0,129.0,2831.0,2960.0,3.0,83.0,695.0,178.0,187.0,154.0,187.0,167.0,1,1931,0.2780942516830658,0.0,0.0010357327809425167,3.4479544277576384,0.0,3.448990160538581,695.0
apache/echarts,16,2,0,0,0,12,25,0,2,1.0,9185792,apache/echarts,https://github.com/apache/echarts,2013-04-03 03:18:59,TypeScript,,48982,18328,48982,1939,11,apache/echarts,199.0,0.0,2.0,0.0,8544.0,1994.0,13287.0,15281.0,66.0,1267.0,1333.0,2.0,97.0,702.0,180.0,186.0,191.0,186.0,139.0,1,3258,0.06108041743400859,0.0,0.0006138735420503376,2.6224677716390423,0.0,2.6230816451810925,702.0
ionic-team/ionic-framework,5,4,0,0,0,11,28,1,7,0.0,12256376,ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,2013-08-20 23:06:02,TypeScript,,45692,13462,45692,676,12,ionic-team/ionic-framework,489.0,0.0,2.0,0.0,11426.0,598.0,19162.0,19760.0,50.0,4862.0,4912.0,3.0,93.0,740.0,189.0,185.0,189.0,185.0,181.0,1,3119,0.1567810195575505,0.0,0.0006412311638345624,3.663353638986855,0.0,3.6639948701506895,740.0
grafana/grafana,16,4,0,0,0,5,16,0,0,0.0,15111821,grafana/grafana,https://github.com/grafana/grafana,2013-12-11 15:59:56,TypeScript,,45209,9028,45209,2137,13,grafana/grafana,1902.0,0.0,2.0,0.0,33901.0,2031.0,21395.0,23426.0,296.0,21362.0,21658.0,15.0,215.0,746.0,192.0,184.0,184.0,184.0,194.0,1,3006,0.6327345309381237,0.0,0.0006653359946773121,11.277777777777779,0.0,11.278443113772456,746.0
