Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
Genymobile/scrcpy,54,3,0,1,0,1,2,0,63,65.0,111583593,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2017-11-21 18:00:27,C,,58323,6082,58323,861,3,Genymobile/scrcpy,Genymobile/scrcpy,26,264,290,110,370808,27,138,1762,921,1854,2775,7,263,2017-11-21 18:00:27,1565,236.93801916932907,0.0702875399361022,0.0881789137380191,0.0172523961661341,1.1258785942492011,5.111111111111111,0
netdata/netdata,37,20,1,0,0,6,41,1,5,2.0,10744183,netdata/netdata,https://github.com/netdata/netdata,2013-06-17 18:39:10,C,,56950,5120,56950,267,4,netdata/netdata,netdata/netdata,91,5584,5675,575,435971,30,131,13491,183,6364,6547,0,290,2013-06-17 18:39:10,3183,136.96858309770656,0.1806471881872447,0.0411561420043983,0.0094250706880301,4.238454288407163,4.366666666666666,0
redis/redis,52,0,0,0,0,0,1,0,89,1.0,156018,redis/redis,https://github.com/redis/redis,2009-03-21 22:32:25,C,,52099,20373,52099,2094,1,redis/redis,redis/redis,452,4509,4961,671,0,28,0,11000,1606,3676,5282,6,53,2009-03-21 22:32:25,4732,0.0,0.1418005071851225,0.0,0.0059171597633136,2.3245984784446323,0.0,0
obsproject/obs-studio,12,0,0,0,0,0,4,6,3,0.0,13233158,obsproject/obs-studio,https://github.com/obsproject/obs-studio,2013-10-01 02:40:31,C,,33638,5385,33638,610,7,obsproject/obs-studio,obsproject/obs-studio,151,3741,3892,555,362213,30,83,10536,483,1501,1984,0,20,2013-10-01 02:40:31,3077,117.71628209294768,0.1803704907377315,0.0269743256418589,0.0097497562560935,3.424114397140072,2.7666666666666666,0
ventoy/Ventoy,28,6,0,0,0,1,31,0,2,0.0,246335987,ventoy/Ventoy,https://github.com/ventoy/Ventoy,2020-03-10 15:19:19,C,,28939,2157,28939,257,16,ventoy/Ventoy,ventoy/Ventoy,44,173,217,60,511899,30,87,623,257,902,1159,0,58,2020-03-10 15:19:19,725,706.0675862068965,0.0827586206896551,0.12,0.0413793103448275,0.8593103448275862,2.9,0
FFmpeg/FFmpeg,11,0,0,0,0,0,5,0,9,0.0,1614410,FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,2011-04-14 14:12:38,C,,27167,8946,27167,3,8,FFmpeg/FFmpeg,FFmpeg/FFmpeg,1,373,374,2144,8154,11,9,105885,0,0,0,0,11,2011-04-14 14:12:38,3978,2.0497737556561084,0.538964303670186,0.002262443438914,0.0027652086475615,26.61764705882353,0.8181818181818182,0
tmux/tmux,6,0,0,0,0,0,0,0,0,0.0,36836475,tmux/tmux,https://github.com/tmux/tmux,2015-06-03 23:32:55,C,,23232,1627,23232,32,24,tmux/tmux,tmux/tmux,2,460,462,49,1878844,30,32,9721,21,2614,2635,0,34,2015-06-03 23:32:55,2467,761.5905958654236,0.0198621807863802,0.0129712201053911,0.0121605188488042,3.9404134576408594,1.0666666666666669,0
curl/curl,0,22,0,0,0,0,26,0,0,0.0,569041,curl/curl,https://github.com/curl/curl,2010-03-18 22:32:22,C,,22742,4761,22742,40,10,curl/curl,curl/curl,45,0,45,1086,43790,30,240,28334,19,3182,3201,1,37,2010-03-18 22:32:22,4370,10.020594965675055,0.2485125858123569,0.0549199084668192,0.0068649885583524,6.483752860411899,8.0,0
emscripten-core/emscripten,0,2,0,0,0,1,10,0,2,0.0,1357796,emscripten-core/emscripten,https://github.com/emscripten-core/emscripten,2011-02-12 05:23:30,C,,21511,2700,21511,1099,20,emscripten-core/emscripten,emscripten-core/emscripten,235,8811,9046,743,0,1,0,23873,984,6249,7233,0,14,2011-02-12 05:23:30,4039,0.0,0.183956424857638,0.0,0.0002475860361475,5.91062144095073,0.0,0
stedolan/jq,0,6,0,0,0,2,12,0,10,0.0,5101141,stedolan/jq,https://github.com/stedolan/jq,2012-07-18 19:57:25,C,,20782,1232,20782,706,31,stedolan/jq,stedolan/jq,129,383,512,142,2418034,9,42,1340,605,1265,1870,2,22,2012-07-18 19:57:25,3517,687.5274381575206,0.0403753198748933,0.0119419960193346,0.0025589991470002,0.3810065396644868,4.666666666666667,0
SamyPesse/How-to-Make-a-Computer-Operating-System,0,1,0,0,0,3,4,1,0,0.0,14807173,SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,2013-11-29 17:36:32,C,,19634,3358,19634,83,15,SamyPesse/How-to-Make-a-Computer-Operating-System,SamyPesse/How-to-Make-a-Computer-Operating-System,39,55,94,40,0,1,0,243,44,27,71,1,34,2013-11-29 17:36:32,3018,0.0,0.0132538104705102,0.0,0.0003313452617627,0.0805168986083499,0.0,1
coolsnowwolf/lede,24,4,0,0,0,0,3,0,4,5.0,102578345,coolsnowwolf/lede,https://github.com/coolsnowwolf/lede,2017-09-06 07:39:03,C,,18866,15686,18866,208,12,coolsnowwolf/lede,coolsnowwolf/lede,3,0,3,346,32313,2,3,4319,275,6048,6323,0,27,2017-09-06 07:39:03,1641,19.691042047532,0.21084704448507,0.0018281535648994,0.0012187690432663,2.631931748933577,1.5,0
