spearman-coeffiecient,p-value,Feature1,Feature2
0.41762873321577704,3.7825368270834947e-06,List,Image
-0.11257475884965237,0.2330581785530355,List,Animation
0.3335997623458526,0.00028662881671815446,List,Video
nan,nan,List,Table
0.6338087366578075,3.765438548155564e-14,List,Github
0.6802229913030594,8.53856339546848e-17,List,Links
0.20465061932189352,0.02895035385271885,List,Project
0.24749263739856997,0.007935273026518488,List,Inline
0.2920960638616861,0.0016136342322104924,List,Code
0.41762873321577704,3.7825368270834947e-06,Image,List
0.2946354767955245,0.0014619907840341486,Image,Animation
0.2938643770113601,0.0015066079190804757,Image,Video
nan,nan,Image,Table
0.47432261295543615,9.760699181051893e-08,Image,Github
0.603063928583417,1.244989580410743e-12,Image,Links
0.15175744694084273,0.10700127963384036,Image,Project
-0.005222698355220794,0.9560197710999669,Image,Inline
0.11337064808504844,0.22974980008154353,Image,Code
-0.11257475884965237,0.2330581785530355,Animation,List
0.2946354767955245,0.0014619907840341486,Animation,Image
0.12756312617834556,0.17620777933918838,Animation,Video
nan,nan,Animation,Table
0.12468719656345754,0.18623879128398446,Animation,Github
0.10300007280636003,0.2754826418079801,Animation,Links
-0.10124878505364256,0.2837718144599045,Animation,Project
0.15054956872405886,0.10985584067215275,Animation,Inline
0.2574465372920229,0.005687810634887498,Animation,Code
0.3335997623458526,0.00028662881671815446,Video,List
0.2938643770113601,0.0015066079190804757,Video,Image
0.12756312617834556,0.17620777933918838,Video,Animation
nan,nan,Video,Table
0.21322146006331702,0.022741315989376,Video,Github
0.3523225348292568,0.00012087593802351955,Video,Links
0.05205496102200457,0.5822900047208132,Video,Project
0.06623305519909876,0.4838327929091656,Video,Inline
0.11899867385435652,0.20729374630985667,Video,Code
nan,nan,Table,List
nan,nan,Table,Image
nan,nan,Table,Animation
nan,nan,Table,Video
nan,nan,Table,Github
nan,nan,Table,Links
nan,nan,Table,Project
nan,nan,Table,Inline
nan,nan,Table,Code
0.6338087366578075,3.765438548155564e-14,Github,List
0.47432261295543615,9.760699181051893e-08,Github,Image
0.12468719656345756,0.18623879128398432,Github,Animation
0.21322146006331705,0.022741315989375982,Github,Video
nan,nan,Github,Table
0.7506104993742748,6.947579231883987e-22,Github,Links
0.38698031518120035,2.1072249918928608e-05,Github,Project
0.21075753931943528,0.024396916129369724,Github,Inline
0.2737908382406654,0.0032024123902179035,Github,Code
0.6802229913030594,8.53856339546848e-17,Links,List
0.6030639285834168,1.2449895804107565e-12,Links,Image
0.10300007280636003,0.2754826418079801,Links,Animation
0.3523225348292568,0.00012087593802351955,Links,Video
nan,nan,Links,Table
0.7506104993742748,6.947579231883987e-22,Links,Github
0.345794276434564,0.00016434991060227313,Links,Project
0.12101453552503404,0.19964579792646472,Links,Inline
0.19068982641330987,0.04212731671306137,Links,Code
0.20465061932189355,0.028950353852718803,Project,List
0.15175744694084273,0.10700127963384036,Project,Image
-0.10124878505364254,0.2837718144599046,Project,Animation
0.05205496102200457,0.5822900047208132,Project,Video
nan,nan,Project,Table
0.3869803151812004,2.1072249918928523e-05,Project,Github
0.34579427643456395,0.00016434991060227313,Project,Links
-0.033182868002570184,0.7259724470267275,Project,Inline
-0.1206304874839599,0.20108692625822477,Project,Code
0.24749263739857,0.00793527302651848,Inline,List
-0.005222698355220795,0.9560197710999669,Inline,Image
0.15054956872405886,0.10985584067215275,Inline,Animation
0.06623305519909876,0.4838327929091656,Inline,Video
nan,nan,Inline,Table
0.21075753931943528,0.024396916129369724,Inline,Github
0.12101453552503404,0.19964579792646472,Inline,Links
-0.033182868002570184,0.7259724470267275,Inline,Project
0.6881173684866375,2.7077860042339367e-17,Inline,Code
0.2920960638616861,0.0016136342322104924,Code,List
0.11337064808504844,0.22974980008154353,Code,Image
0.2574465372920229,0.005687810634887498,Code,Animation
0.11899867385435653,0.20729374630985664,Code,Video
nan,nan,Code,Table
0.2737908382406654,0.0032024123902179035,Code,Github
0.19068982641330987,0.04212731671306137,Code,Links
-0.12063048748395988,0.20108692625822475,Code,Project
0.6881173684866376,2.7077860042339367e-17,Code,Inline
