spearman-coeffiecient,p-value,Feature1,Feature2
0.4041324778332677,7.10509570208931e-05,List,Image
0.07772484686709294,0.4639812320008748,List,Animation
0.1640950088145953,0.12011685176307159,List,Video
nan,nan,List,Table
0.5935735406204995,5.616033846319651e-10,List,Github
0.5661149501610083,4.969886448294159e-09,List,Links
0.19131130619862846,0.06928094621135965,List,Project
0.7071983609485976,4.688064795009607e-15,List,Inline
0.3749825233862126,0.0002500214768645695,List,Code
0.4041324778332677,7.10509570208931e-05,Image,List
0.24603089964077207,0.018733211241115377,Image,Animation
0.20427382280275558,0.052107717406090166,Image,Video
nan,nan,Image,Table
0.5434323896224368,2.6050600968607395e-08,Image,Github
0.7467716292582024,1.9272452030718322e-17,Image,Links
0.2942230664015665,0.004642364255130295,Image,Project
0.14852031363365412,0.16001726702746097,Image,Inline
0.04892229795878573,0.6451477243919307,Image,Code
0.07772484686709294,0.4639812320008748,Animation,List
0.24603089964077204,0.01873321124111541,Animation,Image
0.38609445334108705,0.0001569158251758168,Animation,Video
nan,nan,Animation,Table
0.08003861138217948,0.45074354574737774,Animation,Github
0.20998196327909915,0.0457446741688891,Animation,Links
0.1208351658757275,0.2538925208901338,Animation,Project
0.07455731089514307,0.4824435150081672,Animation,Inline
0.020764004468671597,0.8451120332015867,Animation,Code
0.1640950088145953,0.12011685176307159,Video,List
0.20427382280275558,0.052107717406090166,Video,Image
0.38609445334108705,0.0001569158251758168,Video,Animation
nan,nan,Video,Table
0.23698772576942623,0.023710340511683626,Video,Github
0.32240029219914385,0.0018291546389127362,Video,Links
0.2215158002476562,0.03484062752862204,Video,Project
0.12225103008994866,0.24832999304154926,Video,Inline
0.031268087796111066,0.7685843494670317,Video,Code
nan,nan,Table,List
nan,nan,Table,Image
nan,nan,Table,Animation
nan,nan,Table,Video
nan,nan,Table,Github
nan,nan,Table,Links
nan,nan,Table,Project
nan,nan,Table,Inline
nan,nan,Table,Code
0.5935735406204995,5.616033846319651e-10,Github,List
0.5434323896224368,2.6050600968607395e-08,Github,Image
0.08003861138217946,0.45074354574737796,Github,Animation
0.23698772576942623,0.023710340511683626,Github,Video
nan,nan,Github,Table
0.7998181596709352,1.9563994548033658e-21,Github,Links
0.39584429290708817,0.00010283325899694167,Github,Project
0.4093967555359122,5.589472655563343e-05,Github,Inline
0.1504403077654263,0.15462454938591844,Github,Code
0.5661149501610083,4.969886448294159e-09,Links,List
0.7467716292582025,1.9272452030718187e-17,Links,Image
0.20998196327909915,0.0457446741688891,Links,Animation
0.32240029219914385,0.0018291546389127362,Links,Video
nan,nan,Links,Table
0.7998181596709352,1.9563994548033658e-21,Links,Github
0.34574850429440057,0.0007885196597497411,Links,Project
0.31768374100204877,0.0021511997927580132,Links,Inline
0.19447765311380422,0.06471355523837621,Links,Code
0.19131130619862846,0.06928094621135965,Project,List
0.2942230664015665,0.004642364255130295,Project,Image
0.1208351658757275,0.2538925208901338,Project,Animation
0.2215158002476562,0.03484062752862204,Project,Video
nan,nan,Project,Table
0.39584429290708817,0.00010283325899694167,Project,Github
0.34574850429440057,0.0007885196597497411,Project,Links
0.11891155665252054,0.261585524008359,Project,Inline
-0.13899716795678174,0.18884372829934576,Project,Code
0.7071983609485976,4.688064795009607e-15,Inline,List
0.14852031363365412,0.16001726702746097,Inline,Image
0.07455731089514307,0.4824435150081672,Inline,Animation
0.12225103008994866,0.24832999304154926,Inline,Video
nan,nan,Inline,Table
0.4093967555359122,5.589472655563343e-05,Inline,Github
0.31768374100204877,0.0021511997927580132,Inline,Links
0.11891155665252053,0.261585524008359,Inline,Project
0.5761641970304276,2.2903666248077086e-09,Inline,Code
0.3749825233862126,0.0002500214768645695,Code,List
0.048922297958785735,0.6451477243919306,Code,Image
0.020764004468671597,0.8451120332015867,Code,Animation
0.03126808779611106,0.7685843494670317,Code,Video
nan,nan,Code,Table
0.1504403077654263,0.15462454938591844,Code,Github
0.19447765311380422,0.06471355523837621,Code,Links
-0.13899716795678174,0.18884372829934576,Code,Project
0.5761641970304278,2.2903666248076917e-09,Code,Inline
