spearman-coeffiecient,p-value,Feature1,Feature2
0.4070355657790496,2.666280471520766e-09,List,Image
0.04045027175577612,0.5715204998575116,List,Animation
0.14564598122111605,0.040621298473336696,List,Video
nan,nan,List,Table
0.509289704132408,1.831561369887325e-14,List,Github
0.5940039049148957,2.861773227789261e-20,List,Links
0.10796399432184191,0.13002632536809614,List,Project
0.44646889686903124,4.3178808123037006e-11,List,Inline
0.31455947635954723,6.38211139452226e-06,List,Code
0.40703556577904965,2.666280471520747e-09,Image,List
0.14795765575283812,0.037504438675185464,Image,Animation
0.2423002126677309,0.0005832789751057973,Image,Video
nan,nan,Image,Table
0.5240559132518019,2.3165236353708776e-15,Image,Github
0.6423525482370466,1.9894138279967824e-24,Image,Links
0.11819226802166378,0.097236654896513,Image,Project
0.3578443614550152,2.2686846835398467e-07,Image,Inline
0.21637421443147595,0.002200611176022973,Image,Code
0.04045027175577612,0.5715204998575116,Animation,List
0.14795765575283812,0.037504438675185464,Animation,Image
-0.031244520842163375,0.6621313402568926,Animation,Video
nan,nan,Animation,Table
0.025201774105236278,0.7245149903036687,Animation,Github
0.05874641257305598,0.4110133100959362,Animation,Links
-0.005882909470005728,0.9344427768807705,Animation,Project
-0.003476768026030977,0.9612278260359873,Animation,Inline
-0.023985396788860885,0.7373114591676524,Animation,Code
0.14564598122111605,0.040621298473336696,Video,List
0.2423002126677309,0.0005832789751057973,Video,Image
-0.031244520842163375,0.6621313402568926,Video,Animation
nan,nan,Video,Table
0.24256576714623185,0.0005749615010926938,Video,Github
0.2628951918034059,0.00018265093512440867,Video,Links
0.15762010876034008,0.026571865448625154,Video,Project
-0.06108910322076141,0.3925754366484173,Video,Inline
-0.14662447118838898,0.03927636008762449,Video,Code
nan,nan,Table,List
nan,nan,Table,Image
nan,nan,Table,Animation
nan,nan,Table,Video
nan,nan,Table,Github
nan,nan,Table,Links
nan,nan,Table,Project
nan,nan,Table,Inline
nan,nan,Table,Code
0.5092897041324081,1.831561369887292e-14,Github,List
0.524055913251802,2.316523635370803e-15,Github,Image
0.025201774105236278,0.7245149903036687,Github,Animation
0.24256576714623188,0.0005749615010926925,Github,Video
nan,nan,Github,Table
0.8625398217841331,6.767205015578342e-60,Github,Links
0.24008520151669394,0.0006571114851117795,Github,Project
0.4412113509024459,7.718602543802456e-11,Github,Inline
0.33769573530595903,1.1422319976319134e-06,Github,Code
0.5940039049148956,2.861773227789363e-20,Links,List
0.6423525482370465,1.9894138279968676e-24,Links,Image
0.05874641257305598,0.4110133100959362,Links,Animation
0.262895191803406,0.00018265093512440805,Links,Video
nan,nan,Links,Table
0.8625398217841332,6.767205015577763e-60,Links,Github
0.2317611029298758,0.0010184952639094033,Links,Project
0.437107948273932,1.2062872819118847e-10,Links,Inline
0.33429178222527306,1.4844483950868258e-06,Links,Code
0.1079639943218419,0.1300263253680962,Project,List
0.11819226802166377,0.09723665489651306,Project,Image
-0.005882909470005728,0.9344427768807705,Project,Animation
0.15762010876034008,0.026571865448625154,Project,Video
nan,nan,Project,Table
0.24008520151669394,0.0006571114851117795,Project,Github
0.23176110292987584,0.0010184952639094033,Project,Links
0.0686842088347448,0.33630624487209015,Project,Inline
-0.021465015792438393,0.7640537740987667,Project,Code
0.4464688968690313,4.3178808123037006e-11,Inline,List
0.3578443614550152,2.2686846835398467e-07,Inline,Image
-0.0034767680260309767,0.9612278260359873,Inline,Animation
-0.06108910322076141,0.3925754366484173,Inline,Video
nan,nan,Inline,Table
0.44121135090244584,7.718602543802569e-11,Inline,Github
0.437107948273932,1.2062872819118847e-10,Inline,Links
0.0686842088347448,0.33630624487209015,Inline,Project
0.6711500538845409,2.7996114621018887e-27,Inline,Code
0.3145594763595472,6.38211139452226e-06,Code,List
0.21637421443147592,0.002200611176022979,Code,Image
-0.023985396788860885,0.7373114591676524,Code,Animation
-0.14662447118838898,0.03927636008762449,Code,Video
nan,nan,Code,Table
0.33769573530595903,1.1422319976319134e-06,Code,Github
0.33429178222527306,1.4844483950868258e-06,Code,Links
-0.021465015792438393,0.7640537740987667,Code,Project
0.6711500538845409,2.7996114621018887e-27,Code,Inline
