,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.71,0.9,0.81,0.8,0.72,0.82,0.64,0.81,0.72,0.83
Image,0.0,,,0.02,-0.01,,0.02,0.0,0.01,0.04
Animation,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01
Video,0.0,0.0,0.0,0.0,-0.01,0.0,0.03,0.0,0.0,0.04
Table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Github,0.0,,,0.05,0.15,,0.01,0.19,0.04,0.2
Project,0.0,0.01,-0.0,0.0,-0.01,0.0,-0.03,-0.0,-0.0,0.03
Inline,0.0,0.0,-0.01,0.01,0.02,,-0.01,0.0,-0.0,0.05
Code,0.0,0.0,-0.0,0.01,0.06,-0.02,,0.0,-0.03,0.18
List,0.01,0.01,-0.0,0.03,0.01,0.01,0.02,0.0,0.01,-0.0
Links,,0.33,0.21,,,0.01,,,,
