,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.71,0.9,0.81,0.8,0.72,0.82,0.64,0.81,0.72,0.83
Image,0.26,,,0.25,0.16,,0.19,0.14,0.28,0.11
Inline,0.2,0.15,0.1,0.07,0.14,,0.18,0.13,0.11,0.14
List,0.2,0.19,0.21,0.22,0.17,0.2,0.13,0.18,0.2,0.11
Github,0.15,,,0.32,0.26,,0.26,0.44,0.27,0.31
Code,0.12,0.1,0.07,0.06,0.09,0.17,,0.04,0.11,0.22
Project,0.04,0.09,0.17,0.07,0.02,0.15,0.17,0.02,0.02,0.04
Animation,0.03,0.02,0.03,0.0,0.11,0.03,0.03,0.02,0.0,0.05
Video,0.01,0.02,0.02,0.01,0.03,0.05,0.04,0.03,0.01,0.02
Table,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Links,,0.42,0.41,,,0.4,,,,
