Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
tensorflow/tensorflow,21,17,0,0,0,5,66,0,2,4.0,45717250,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07 01:19:20,C++,,161034,85890,161034,2805,0,tensorflow/tensorflow,3720.0,0.0,2.0,0.0,126316.0,2334.0,31882.0,34216.0,332.0,20188.0,20520.0,1.0,247.0,772.0,194.0,194.0,194.0,194.0,190.0,1
bitcoin/bitcoin,0,0,0,0,0,1,2,0,3,0.0,1181927,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,2010-12-19 15:16:43,C++,,59820,30755,59820,1022,1,bitcoin/bitcoin,1075.0,0.0,2.0,0.0,32903.0,607.0,6159.0,6766.0,418.0,16516.0,16934.0,1.0,67.0,766.0,192.0,193.0,193.0,193.0,187.0,1
apple/swift,14,16,0,0,0,9,20,0,17,3.0,44838949,apple/swift,https://github.com/apple/swift,2015-10-23 21:15:07,C++,,58057,9297,58057,479,2,apple/swift,1295.0,0.0,2.0,0.0,132944.0,0.0,0.0,0.0,496.0,41084.0,41580.0,0.0,230.0,765.0,191.0,192.0,188.0,192.0,193.0,1
pytorch/pytorch,52,9,1,0,5,16,59,1,16,15.0,65600975,pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,C++,,52539,14419,52539,10630,3,pytorch/pytorch,3086.0,2499.0,30.0,3.0,44377.0,7715.0,17139.0,24854.0,3640.0,45325.0,48965.0,15.0,203.0,766.0,192.0,191.0,190.0,191.0,194.0,1
protocolbuffers/protobuf,0,0,0,0,0,3,5,0,0,0.0,23357588,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,2014-08-26 15:52:15,C++,,52120,13498,52120,974,4,protocolbuffers/protobuf,974.0,555315.0,30.0,781.0,9148.0,921.0,3954.0,4875.0,35.0,4548.0,4583.0,0.0,37.0,741.0,188.0,190.0,189.0,190.0,172.0,1
godotengine/godot,0,5,0,0,0,7,24,2,0,0.0,15634981,godotengine/godot,https://github.com/godotengine/godot,2014-01-04 16:05:36,C++,,44285,7999,44285,6803,5,godotengine/godot,1874.0,1276.0,30.0,347.0,41949.0,5932.0,26451.0,32383.0,1341.0,23744.0,25085.0,4.0,40.0,754.0,190.0,189.0,184.0,189.0,192.0,1
tesseract-ocr/tesseract,12,9,0,0,0,12,40,0,4,0.0,22887094,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,2014-08-12 18:04:59,C++,,43004,7662,43004,343,6,tesseract-ocr/tesseract,200.0,0.0,2.0,0.0,5954.0,349.0,1933.0,2282.0,9.0,1440.0,1449.0,1.0,76.0,713.0,186.0,188.0,182.0,188.0,155.0,1
x64dbg/x64dbg,43,5,0,0,0,14,32,3,2,0.0,33791743,x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,2015-04-11 20:48:23,C++,,37747,1728,37747,506,7,x64dbg/x64dbg,120.0,4403.0,3.0,5.0,4824.0,485.0,1619.0,2104.0,15.0,670.0,685.0,2.0,55.0,633.0,167.0,187.0,121.0,187.0,138.0,1
grpc/grpc,12,1,0,0,0,13,19,0,10,0.0,27729880,grpc/grpc,https://github.com/grpc/grpc,2014-12-08 18:58:53,C++,,32601,8565,32601,972,9,grpc/grpc,883.0,11308.0,30.0,24.0,50586.0,816.0,9243.0,10059.0,252.0,18491.0,18743.0,0.0,74.0,748.0,189.0,186.0,187.0,186.0,189.0,1
BVLC/caffe,7,3,0,0,0,6,15,0,0,0.0,12791642,BVLC/caffe,https://github.com/BVLC/caffe,2013-09-12 18:39:48,C++,,32119,18907,32119,1176,10,BVLC/caffe,328.0,0.0,2.0,0.0,4156.0,888.0,3882.0,4770.0,287.0,1936.0,2223.0,0.0,35.0,726.0,187.0,185.0,192.0,185.0,164.0,1
