Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
golang/go,0,1,0,0,0,0,0,0,0,0.0,23096959,golang/go,https://github.com/golang/go,2014-08-19 04:33:40,Go,,92879,13763,92879,7599,0,golang/go,2133.0,0.0,0.0,0.0,51508.0,7393.0,41489.0,48882.0,259.0,1913.0,2172.0,5.0,15.0,747.0,193.0,195.0,192.0,195.0,165.0,1
kubernetes/kubernetes,0,2,0,0,0,0,2,0,1,2.0,20580498,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,2014-06-06 22:56:04,Go,,83290,30461,83290,2510,1,kubernetes/kubernetes,4059.0,4009.0,30.0,30.0,106844.0,1619.0,38754.0,40373.0,598.0,67288.0,67886.0,2.0,186.0,778.0,195.0,194.0,195.0,194.0,195.0,1
avelino/awesome-go,2178,8,0,4,0,1951,2174,37,42,0.0,21540759,avelino/awesome-go,https://github.com/avelino/awesome-go,2014-07-06 13:42:15,Go,,71670,9249,71670,53,2,avelino/awesome-go,1774.0,0.0,0.0,0.0,4079.0,5.0,376.0,381.0,13.0,3624.0,3637.0,4.0,3471.0,745.0,192.0,193.0,188.0,193.0,171.0,1
moby/moby,4,1,0,0,0,2,2,0,0,0.0,7691631,moby/moby,https://github.com/moby/moby,2013-01-18 18:10:57,Go,,61716,17839,61716,4181,3,moby/moby,2615.0,0.0,30.0,0.0,43637.0,3952.0,17341.0,21293.0,288.0,21518.0,21806.0,1.0,193.0,769.0,194.0,192.0,194.0,192.0,191.0,1
gohugoio/hugo,2,4,0,0,0,7,19,3,8,4.0,11180687,gohugoio/hugo,https://github.com/gohugoio/hugo,2013-07-04 15:26:26,Go,,55628,6312,55628,711,4,gohugoio/hugo,799.0,78934.0,30.0,795.0,6904.0,607.0,5242.0,5849.0,62.0,3593.0,3655.0,7.0,131.0,736.0,191.0,191.0,182.0,191.0,172.0,1
gin-gonic/gin,43,10,0,0,0,41,46,2,40,93.0,20904437,gin-gonic/gin,https://github.com/gin-gonic/gin,2014-06-16 23:57:25,Go,,53567,6078,53567,457,5,gin-gonic/gin,369.0,0.0,20.0,0.0,1546.0,390.0,1386.0,1776.0,104.0,1171.0,1275.0,15.0,334.0,716.0,185.0,190.0,181.0,190.0,155.0,1
fatedier/frp,49,6,0,0,0,5,9,0,109,53.0,48378947,fatedier/frp,https://github.com/fatedier/frp,2015-12-21 15:24:59,Go,,51367,9342,51367,97,6,fatedier/frp,87.0,92327.0,30.0,397.0,983.0,90.0,2177.0,2267.0,2.0,542.0,544.0,0.0,100.0,700.0,178.0,189.0,189.0,189.0,133.0,1
syncthing/syncthing,7,6,0,0,0,1,6,0,0,0.0,14712850,syncthing/syncthing,https://github.com/syncthing/syncthing,2013-11-26 09:48:21,Go,,41718,3265,41718,304,7,syncthing/syncthing,300.0,1394.0,30.0,900.0,6769.0,295.0,4496.0,4791.0,7.0,3378.0,3385.0,8.0,80.0,707.0,182.0,188.0,161.0,188.0,170.0,1
junegunn/fzf,56,4,0,1,0,11,15,1,91,32.0,13807606,junegunn/fzf,https://github.com/junegunn/fzf,2013-10-23 16:04:23,Go,,40704,1765,40704,259,8,junegunn/fzf,211.0,114403.0,14.0,164.0,2091.0,239.0,1853.0,2092.0,42.0,533.0,575.0,10.0,286.0,643.0,162.0,187.0,134.0,187.0,135.0,1
prometheus/prometheus,20,8,0,0,0,6,19,0,10,0.0,6838921,prometheus/prometheus,https://github.com/prometheus/prometheus,2012-11-24 11:14:12,Go,,39900,6632,39900,558,9,prometheus/prometheus,820.0,48540.0,30.0,900.0,9807.0,416.0,4038.0,4454.0,197.0,5591.0,5788.0,3.0,117.0,731.0,189.0,186.0,183.0,186.0,176.0,1
astaxie/build-web-application-with-golang,22,1,0,0,0,7,12,0,0,0.0,5271882,astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,2012-08-02 11:49:35,Go,,39194,10354,39194,105,10,astaxie/build-web-application-with-golang,426.0,0.0,0.0,0.0,5176.0,108.0,181.0,289.0,3.0,858.0,861.0,0.0,125.0,709.0,183.0,185.0,190.0,185.0,149.0,1
v2ray/v2ray-core,6,0,0,0,0,3,6,0,0,0.0,41912791,v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,2015-09-04 11:42:53,Go,,38672,8305,38672,21,11,v2ray/v2ray-core,101.0,167284.0,30.0,870.0,5387.0,18.0,2407.0,2425.0,8.0,441.0,449.0,1.0,64.0,683.0,176.0,184.0,187.0,184.0,128.0,1
