Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
freeCodeCamp/freeCodeCamp,53,6,0,0,0,0,74,0,3,0.0,28457823,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24 17:49:19,JavaScript,,336875,27460,336875,119,0,freeCodeCamp/freeCodeCamp,4770.0,0.0,0.0,0.0,30025.0,126.0,15709.0,15835.0,23.0,28561.0,28584.0,2.0,458.0,781.0,196.0,196.0,193.0,196.0,196.0,1
facebook/react,12,1,0,0,0,3,23,0,3,1.0,10270250,facebook/react,https://github.com/facebook/react,2013-05-24 16:15:54,JavaScript,,178604,36193,178604,901,1,facebook/react,1786.0,2259.0,30.0,98.0,14807.0,728.0,10463.0,11191.0,252.0,11638.0,11890.0,0.0,129.0,778.0,194.0,195.0,195.0,195.0,193.0,1
twbs/bootstrap,31,27,0,0,0,18,65,1,15,1.0,2126244,twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29 21:19:00,JavaScript,,154234,75451,154234,444,2,twbs/bootstrap,1531.0,12121231.0,30.0,49.0,21532.0,314.0,20790.0,21104.0,118.0,13129.0,13247.0,1.0,438.0,778.0,194.0,194.0,196.0,194.0,194.0,1
trekhleb/javascript-algorithms,176,3,0,0,0,5,9,2,162,6.0,126577260,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2018-03-24 07:47:04,JavaScript,,127524,20877,127524,262,3,trekhleb/javascript-algorithms,196.0,0.0,0.0,0.0,1030.0,97.0,185.0,282.0,139.0,416.0,555.0,0.0,312.0,703.0,186.0,193.0,189.0,193.0,128.0,1
d3/d3,5,1,0,0,0,5,10,0,4,7.0,943149,d3/d3,https://github.com/d3/d3,2010-09-27 17:22:42,JavaScript,,99484,22896,99484,3,4,d3/d3,136.0,135818.0,30.0,20.0,4322.0,3.0,2100.0,2103.0,0.0,1103.0,1103.0,2.0,192.0,728.0,189.0,192.0,190.0,192.0,154.0,1
facebook/create-react-app,25,5,0,0,0,16,31,1,12,6.0,63537249,facebook/create-react-app,https://github.com/facebook/create-react-app,2016-07-17 14:55:11,JavaScript,,91797,23300,91797,1358,5,facebook/create-react-app,929.0,0.0,30.0,0.0,2753.0,1213.0,6344.0,7557.0,302.0,3577.0,3879.0,0.0,188.0,755.0,193.0,191.0,191.0,191.0,182.0,1
axios/axios,35,12,0,0,0,14,35,0,89,38.0,23088740,axios/axios,https://github.com/axios/axios,2014-08-18 22:30:27,JavaScript,,89600,8963,89600,302,6,axios/axios,335.0,0.0,30.0,0.0,1095.0,225.0,3274.0,3499.0,85.0,895.0,980.0,13.0,205.0,707.0,187.0,190.0,178.0,190.0,149.0,1
mui-org/material-ui,3,30,0,0,0,7,46,0,1,2.0,23083156,mui-org/material-ui,https://github.com/mui-org/material-ui,2014-08-18 19:11:54,JavaScript,,73433,25121,73433,854,7,mui-org/material-ui,2698.0,0.0,30.0,0.0,19183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,571.0,141.0,189.0,192.0,189.0,1.0,1
awesome-selfhosted/awesome-selfhosted,1307,1,0,40,0,1003,1235,46,1292,0.0,36633370,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01 02:33:17,JavaScript,,69232,4999,69232,115,8,awesome-selfhosted/awesome-selfhosted,1095.0,0.0,0.0,0.0,4863.0,106.0,557.0,663.0,57.0,2103.0,2160.0,7.0,4226.0,698.0,184.0,188.0,150.0,188.0,172.0,1
FortAwesome/Font-Awesome,43,1,0,0,0,16,38,0,6,0.0,3470471,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,2012-02-17 14:19:43,JavaScript,,66820,11728,66820,5677,9,FortAwesome/Font-Awesome,2.0,71795.0,30.0,60.0,3.0,5652.0,12382.0,18034.0,26.0,604.0,630.0,0.0,2.0,689.0,180.0,187.0,183.0,187.0,132.0,1
yangshun/tech-interview-handbook,13,5,0,0,0,7,29,1,1,0.0,62607227,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2016-07-05 05:00:48,JavaScript,,61895,8637,61895,8,10,yangshun/tech-interview-handbook,110.0,0.0,0.0,0.0,506.0,8.0,38.0,46.0,0.0,214.0,214.0,0.0,63.0,656.0,175.0,186.0,177.0,186.0,107.0,1
ryanmcdermott/clean-code-javascript,55,19,0,0,0,24,30,0,33,92.0,74791366,ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25 22:25:41,JavaScript,,60618,7746,60618,50,11,ryanmcdermott/clean-code-javascript,117.0,0.0,0.0,0.0,540.0,40.0,78.0,118.0,14.0,233.0,247.0,0.0,456.0,650.0,172.0,185.0,170.0,185.0,110.0,1
webpack/webpack,43,282,0,0,0,38,329,6,6,2.0,3678731,webpack/webpack,https://github.com/webpack/webpack,2012-03-10 10:08:14,JavaScript,,59919,8110,59919,274,12,webpack/webpack,825.0,0.0,30.0,0.0,15010.0,177.0,8706.0,8883.0,107.0,5490.0,5597.0,1.0,260.0,728.0,189.0,184.0,172.0,184.0,188.0,1
angular/angular.js,7,2,0,0,0,3,6,0,2,0.0,460078,angular/angular.js,https://github.com/angular/angular.js,2010-01-06 00:34:37,JavaScript,,59582,28414,59582,464,13,angular/angular.js,1855.0,0.0,0.0,0.0,9069.0,391.0,8645.0,9036.0,78.0,7875.0,7953.0,7.0,38.0,752.0,192.0,183.0,194.0,183.0,192.0,1
typicode/json-server,58,1,0,2,0,15,34,0,40,43.0,14747598,typicode/json-server,https://github.com/typicode/json-server,2013-11-27 13:21:13,JavaScript,,58244,5613,58244,600,14,typicode/json-server,77.0,0.0,10.0,0.0,848.0,538.0,445.0,983.0,72.0,232.0,304.0,0.0,254.0,635.0,166.0,182.0,157.0,182.0,114.0,1
hakimel/reveal.js,0,3,0,0,0,1,8,0,0,0.0,1861458,hakimel/reveal.js,https://github.com/hakimel/reveal.js,2011-06-07 18:54:22,JavaScript,,57905,15864,57905,682,15,hakimel/reveal.js,333.0,0.0,30.0,0.0,2877.0,604.0,1491.0,2095.0,87.0,859.0,946.0,1.0,594.0,695.0,183.0,181.0,186.0,181.0,147.0,1
jquery/jquery,34,2,0,0,0,4,19,1,42,31.0,167174,jquery/jquery,https://github.com/jquery/jquery,2009-04-03 15:20:14,JavaScript,,55635,20183,55635,82,16,jquery/jquery,359.0,0.0,2.0,0.0,6561.0,70.0,2094.0,2164.0,11.0,2710.0,2721.0,11.0,105.0,724.0,188.0,180.0,188.0,180.0,176.0,1
expressjs/express,13,1,0,0,0,9,20,0,5,9.0,237159,expressjs/express,https://github.com/expressjs/express,2009-06-26 18:56:01,JavaScript,,55146,9324,55146,165,17,expressjs/express,307.0,0.0,30.0,0.0,5688.0,110.0,3564.0,3674.0,46.0,1014.0,1060.0,6.0,254.0,690.0,182.0,179.0,180.0,179.0,152.0,1
adam-p/markdown-here,37,5,0,0,0,13,29,1,11,4.0,4311796,adam-p/markdown-here,https://github.com/adam-p/markdown-here,2012-05-13 03:27:22,JavaScript,,53761,10301,53761,304,18,adam-p/markdown-here,12.0,1518.0,11.0,6.0,807.0,282.0,307.0,589.0,27.0,48.0,75.0,1.0,120.0,635.0,166.0,178.0,182.0,178.0,97.0,1
gatsbyjs/gatsby,21,0,0,0,0,3,32,0,2,3.0,36040894,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,2015-05-21 22:43:05,JavaScript,,51851,10013,51851,409,20,gatsbyjs/gatsby,4160.0,0.0,30.0,0.0,19923.0,129.0,13182.0,13311.0,201.0,19496.0,19697.0,10.0,416.0,730.0,191.0,177.0,181.0,177.0,195.0,1
tailwindlabs/tailwindcss,0,0,0,0,0,5,9,0,0,0.0,106017343,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06 14:59:14,JavaScript,,49715,2356,49715,66,21,tailwindlabs/tailwindcss,225.0,6290.0,30.0,100.0,4548.0,9.0,2169.0,2178.0,14.0,1672.0,1686.0,0.0,24.0,637.0,169.0,176.0,119.0,176.0,166.0,1
scutan90/DeepLearning-500-questions,0,0,0,0,0,0,0,0,0,0.0,138839979,scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,2018-06-27 06:36:45,JavaScript,,46592,14573,46592,97,22,scutan90/DeepLearning-500-questions,124.0,0.0,0.0,0.0,1275.0,97.0,80.0,177.0,2.0,333.0,335.0,0.0,203.0,652.0,173.0,175.0,185.0,175.0,117.0,1
leonardomso/33-js-concepts,677,1,0,2,0,41,648,1,4,0.0,147350463,leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,2018-09-04 13:27:04,JavaScript,,45398,5954,45398,9,23,leonardomso/33-js-concepts,103.0,0.0,0.0,0.0,539.0,7.0,32.0,39.0,5.0,165.0,170.0,1.0,435.0,611.0,162.0,174.0,160.0,174.0,103.0,1
iptv-org/iptv,4,2,0,0,0,2,2,0,6,2.0,157616880,iptv-org/iptv,https://github.com/iptv-org/iptv,2018-11-14 22:00:57,JavaScript,,42888,4110,42888,196,24,iptv-org/iptv,177.0,0.0,0.0,0.0,19256.0,336.0,1845.0,2181.0,6.0,4049.0,4055.0,0.0,977.0,674.0,176.0,173.0,145.0,173.0,183.0,1
