Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
laravel/laravel,22,5,0,2,0,0,33,0,0,0.0,1863329,laravel/laravel,https://github.com/laravel/laravel,2011-06-08 03:06:08,PHP,,67531,21845,67531,31,0,laravel/laravel,743.0,0.0,30.0,0.0,6692.0,0.0,0.0,0.0,0.0,4092.0,4092.0,0.0,23.0,774.0,196.0,196.0,196.0,196.0,186.0,1
danielmiessler/SecLists,4,2,0,0,0,3,6,1,0,4.0,3482588,danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,2012-02-19 01:30:18,PHP,,35360,18356,35360,24,1,danielmiessler/SecLists,226.0,0.0,15.0,0.0,1297.0,21.0,156.0,177.0,5.0,514.0,519.0,5.0,87.0,738.0,191.0,195.0,195.0,195.0,153.0,1
blueimp/jQuery-File-Upload,62,0,0,0,0,18,30,0,2,5.0,1129010,blueimp/jQuery-File-Upload,https://github.com/blueimp/jQuery-File-Upload,2010-12-01 15:35:32,PHP,,31081,8218,31081,49,2,blueimp/jQuery-File-Upload,113.0,0.0,0.0,0.0,1265.0,49.0,3258.0,3307.0,0.0,371.0,371.0,3.0,86.0,720.0,187.0,194.0,188.0,194.0,144.0,1
fzaninotto/Faker,43,4,0,0,0,34,39,1,166,112.0,2579314,fzaninotto/Faker,https://github.com/fzaninotto/Faker,2011-10-14 22:49:02,PHP,,26235,3232,26235,246,3,fzaninotto/Faker,529.0,0.0,12.0,0.0,2632.0,76.0,494.0,570.0,167.0,1319.0,1486.0,1.0,368.0,736.0,189.0,193.0,178.0,193.0,172.0,1
symfony/symfony,10,0,0,0,0,0,1,0,0,0.0,458058,symfony/symfony,https://github.com/symfony/symfony,2010-01-04 14:21:21,PHP,,26145,8428,26145,735,4,symfony/symfony,3416.0,0.0,30.0,0.0,59755.0,529.0,16601.0,17130.0,210.0,27108.0,27318.0,2.0,51.0,769.0,195.0,192.0,189.0,192.0,196.0,1
composer/composer,3,1,0,0,0,5,12,1,0,0.0,1864363,composer/composer,https://github.com/composer/composer,2011-06-08 08:53:00,PHP,,25921,6199,25921,176,5,composer/composer,1124.0,461010.0,30.0,56.0,11380.0,167.0,6787.0,6954.0,20.0,3379.0,3399.0,7.0,69.0,749.0,193.0,191.0,185.0,191.0,182.0,1
laravel/framework,6,5,0,2,0,3,17,0,0,0.0,7548986,laravel/framework,https://github.com/laravel/framework,2013-01-10 21:27:28,PHP,,25561,8702,25561,10,6,laravel/framework,3382.0,0.0,30.0,0.0,33231.0,5.0,15793.0,15798.0,7.0,23038.0,23045.0,0.0,18.0,765.0,194.0,190.0,190.0,190.0,195.0,1
guzzle/guzzle,10,4,0,0,0,3,10,0,5,2.0,1420053,guzzle/guzzle,https://github.com/guzzle/guzzle,2011-02-28 02:44:05,PHP,,21347,2244,21347,34,7,guzzle/guzzle,413.0,4022.0,30.0,34.0,3595.0,23.0,1712.0,1735.0,15.0,1227.0,1242.0,5.0,105.0,713.0,184.0,189.0,167.0,189.0,168.0,1
DesignPatternsPHP/DesignPatternsPHP,35,3,0,0,0,1,56,0,4,4.0,2246815,DesignPatternsPHP/DesignPatternsPHP,https://github.com/DesignPatternsPHP/DesignPatternsPHP,2011-08-22 05:24:31,PHP,,20111,4336,20111,4,8,DesignPatternsPHP/DesignPatternsPHP,207.0,0.0,0.0,0.0,1247.0,2.0,107.0,109.0,0.0,345.0,345.0,2.0,85.0,699.0,181.0,188.0,182.0,188.0,141.0,1
Seldaek/monolog,22,3,0,0,0,16,26,2,1,2.0,1376664,Seldaek/monolog,https://github.com/Seldaek/monolog,2011-02-17 02:07:15,PHP,,19317,1789,19317,36,9,Seldaek/monolog,488.0,0.0,30.0,0.0,2536.0,27.0,674.0,701.0,15.0,919.0,934.0,1.0,30.0,697.0,180.0,187.0,159.0,187.0,164.0,1
