Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
rails/rails,5,0,0,0,0,0,6,0,5,0.0,8514,rails/rails,https://github.com/rails/rails,2008-04-11 02:19:47,Ruby,,49511,19904,49511,602,0,rails/rails,5701.0,0.0,2.0,0.0,83217.0,355.0,15065.0,15420.0,246.0,28643.0,28889.0,0.0,50.0,790.0,198.0,198.0,198.0,198.0,196.0,1
jekyll/jekyll,12,18,0,1,0,4,33,1,1,0.0,65252,jekyll/jekyll,https://github.com/jekyll/jekyll,2008-10-20 06:29:03,Ruby,,43755,9624,43755,167,1,jekyll/jekyll,1168.0,0.0,2.0,0.0,11464.0,88.0,4434.0,4522.0,93.0,4088.0,4181.0,2.0,72.0,771.0,196.0,197.0,195.0,197.0,182.0,1
discourse/discourse,16,6,0,0,0,7,26,0,0,0.0,7569578,discourse/discourse,https://github.com/discourse/discourse,2013-01-12 00:25:55,Ruby,,34552,7454,34552,25,2,discourse/discourse,994.0,0.0,2.0,0.0,44508.0,0.0,0.0,0.0,37.0,15632.0,15669.0,0.0,137.0,780.0,197.0,196.0,193.0,196.0,195.0,1
fastlane/fastlane,4,32,0,0,0,33,64,0,3,0.0,27442967,fastlane/fastlane,https://github.com/fastlane/fastlane,2014-12-02 17:00:38,Ruby,,33329,5054,33329,222,3,fastlane/fastlane,1497.0,0.0,2.0,0.0,16282.0,123.0,11837.0,11960.0,65.0,6840.0,6905.0,0.0,476.0,763.0,193.0,195.0,188.0,195.0,185.0,1
huginn/huginn,27,10,0,0,0,11,23,0,17,2.0,8681349,huginn/huginn,https://github.com/huginn/huginn,2013-03-10 06:00:31,Ruby,,32752,3115,32752,576,4,huginn/huginn,246.0,0.0,2.0,0.0,3428.0,521.0,1400.0,1921.0,83.0,1082.0,1165.0,2.0,98.0,730.0,185.0,194.0,177.0,194.0,165.0,1
Homebrew/brew,9,6,0,0,0,13,31,2,6,0.0,53238813,Homebrew/brew,https://github.com/Homebrew/brew,2016-03-06 05:08:38,Ruby,,30141,6925,30141,43,5,Homebrew/brew,1078.0,0.0,2.0,0.0,30778.0,17.0,3426.0,3443.0,11.0,8803.0,8814.0,1.0,214.0,766.0,194.0,193.0,192.0,193.0,188.0,1
bayandin/awesome-awesomeness,3,1,0,0,0,0,2,4,0,0.0,21600440,bayandin/awesome-awesomeness,https://github.com/bayandin/awesome-awesomeness,2014-07-08 05:44:19,Ruby,,28286,3449,28286,15,6,bayandin/awesome-awesomeness,251.0,0.0,2.0,0.0,572.0,12.0,49.0,61.0,6.0,386.0,392.0,0.0,426.0,697.0,178.0,192.0,182.0,192.0,131.0,1
freeCodeCamp/devdocs,17,16,0,0,0,22,35,0,10,3.0,13840241,freeCodeCamp/devdocs,https://github.com/freeCodeCamp/devdocs,2013-10-24 18:16:07,Ruby,,27130,1826,27130,126,7,freeCodeCamp/devdocs,184.0,0.0,2.0,0.0,4396.0,97.0,881.0,978.0,24.0,688.0,712.0,4.0,97.0,693.0,177.0,191.0,163.0,191.0,148.0,1
mastodon/mastodon,18,8,1,0,0,0,11,0,3,0.0,52281283,mastodon/mastodon,https://github.com/mastodon/mastodon,2016-02-22 15:01:25,Ruby,,26030,4235,26030,2005,8,mastodon/mastodon,761.0,0.0,2.0,0.0,11297.0,2003.0,4474.0,6477.0,54.0,10895.0,10949.0,2.0,88.0,758.0,191.0,190.0,186.0,190.0,192.0,1
rapid7/metasploit-framework,0,1,0,0,0,2,4,0,1,0.0,2293158,rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,2011-08-30 06:13:20,Ruby,,25748,11775,25748,494,9,rapid7/metasploit-framework,1328.0,0.0,2.0,0.0,63533.0,482.0,4525.0,5007.0,31.0,10946.0,10977.0,1.0,23.0,768.0,195.0,189.0,197.0,189.0,193.0,1
hashicorp/vagrant,3,0,0,0,0,2,10,0,3,0.0,481872,hashicorp/vagrant,https://github.com/hashicorp/vagrant,2010-01-21 08:34:27,Ruby,,23045,4177,23045,579,10,hashicorp/vagrant,1235.0,0.0,2.0,0.0,14136.0,564.0,8505.0,9069.0,86.0,3468.0,3554.0,2.0,60.0,740.0,189.0,188.0,185.0,188.0,179.0,1
gitlabhq/gitlabhq,20,0,0,0,0,0,28,0,0,0.0,2500088,gitlabhq/gitlabhq,https://github.com/gitlabhq/gitlabhq,2011-10-02 16:25:27,Ruby,,22781,5693,22781,34,11,gitlabhq/gitlabhq,2909.0,0.0,2.0,0.0,107784.0,0.0,0.0,0.0,14.0,3555.0,3569.0,0.0,264.0,745.0,190.0,187.0,191.0,187.0,180.0,1
heartcombo/devise,36,2,0,0,0,7,20,0,49,51.5,308770,heartcombo/devise,https://github.com/heartcombo/devise,2009-09-16 12:15:12,Ruby,,22061,5328,22061,154,12,heartcombo/devise,694.0,0.0,2.0,0.0,3769.0,135.0,3951.0,4086.0,57.0,1282.0,1339.0,1.0,176.0,732.0,186.0,186.0,189.0,186.0,171.0,1
kilimchoi/engineering-blogs,657,1,0,0,0,1,3,0,0,0.0,37382858,kilimchoi/engineering-blogs,https://github.com/kilimchoi/engineering-blogs,2015-06-13 18:25:17,Ruby,,20553,537,20553,45,13,kilimchoi/engineering-blogs,383.0,0.0,2.0,0.0,1705.0,4.0,74.0,78.0,50.0,893.0,943.0,1.0,1182.0,647.0,166.0,185.0,116.0,185.0,161.0,1
Homebrew/homebrew-cask,16,2,1,0,0,7,9,0,7,1.0,3623050,Homebrew/homebrew-cask,https://github.com/Homebrew/homebrew-cask,2012-03-05 02:05:17,Ruby,,18730,9487,18730,37,14,Homebrew/homebrew-cask,9214.0,0.0,2.0,0.0,146299.0,23.0,5985.0,6008.0,33.0,114014.0,114047.0,0.0,157.0,760.0,192.0,184.0,194.0,184.0,198.0,1
ruby/ruby,23,8,0,0,0,5,8,0,8,0.0,538746,ruby/ruby,https://github.com/ruby/ruby,2010-02-27 15:55:23,Ruby,,18680,5357,18680,331,15,ruby/ruby,585.0,0.0,2.0,0.0,71315.0,0.0,0.0,0.0,342.0,5217.0,5559.0,0.0,104.0,739.0,188.0,183.0,190.0,183.0,183.0,1
forem/forem,42,2,0,0,0,5,53,1,0,0.0,73648678,forem/forem,https://github.com/forem/forem,2016-11-13 23:02:13,Ruby,,18337,3205,18337,409,16,forem/forem,702.0,0.0,2.0,0.0,11108.0,387.0,4047.0,4434.0,30.0,11749.0,11779.0,1.0,148.0,736.0,187.0,182.0,178.0,182.0,194.0,1
CocoaPods/CocoaPods,8,11,0,0,0,9,21,1,4,0.0,2203645,CocoaPods/CocoaPods,https://github.com/CocoaPods/CocoaPods,2011-08-14 00:10:53,Ruby,,13485,2487,13485,298,17,CocoaPods/CocoaPods,401.0,0.0,2.0,0.0,9323.0,294.0,8760.0,9054.0,29.0,2024.0,2053.0,2.0,100.0,708.0,179.0,181.0,170.0,181.0,176.0,1
diaspora/diaspora,0,0,0,0,0,2,11,0,0,0.0,911765,diaspora/diaspora,https://github.com/diaspora/diaspora,2010-09-15 05:20:04,Ruby,,12924,2933,12924,441,18,diaspora/diaspora,540.0,0.0,2.0,0.0,20528.0,420.0,4279.0,4699.0,26.0,3387.0,3413.0,0.0,151.0,714.0,181.0,180.0,176.0,180.0,178.0,1
twbs/bootstrap-sass,11,4,0,0,0,9,21,0,37,25.0,2336578,twbs/bootstrap-sass,https://github.com/twbs/bootstrap-sass,2011-09-06 18:58:49,Ruby,,12729,3677,12729,17,19,twbs/bootstrap-sass,122.0,0.0,2.0,0.0,1039.0,15.0,816.0,831.0,3.0,346.0,349.0,19.0,217.0,667.0,171.0,179.0,184.0,179.0,125.0,1
elastic/logstash,14,0,0,0,0,8,19,0,16,14.0,1090311,elastic/logstash,https://github.com/elastic/logstash,2010-11-18 01:31:50,Ruby,,12498,3234,12498,2008,20,elastic/logstash,573.0,0.0,2.0,0.0,10027.0,1783.0,4304.0,6087.0,180.0,7524.0,7704.0,7.0,118.0,722.0,183.0,178.0,179.0,178.0,187.0,1
gollum/gollum,36,5,0,0,0,21,36,0,34,1.0,585285,gollum/gollum,https://github.com/gollum/gollum,2010-03-29 18:30:53,Ruby,,12326,1570,12326,52,21,gollum/gollum,217.0,0.0,2.0,0.0,2360.0,44.0,1093.0,1137.0,8.0,618.0,626.0,9.0,233.0,656.0,168.0,177.0,159.0,177.0,143.0,1
capistrano/capistrano,17,1,0,0,0,5,11,1,11,8.0,138312,capistrano/capistrano,https://github.com/capistrano/capistrano,2009-02-26 16:14:04,Ruby,,12028,1780,12028,54,22,capistrano/capistrano,279.0,0.0,2.0,0.0,1681.0,51.0,1051.0,1102.0,3.0,857.0,860.0,3.0,139.0,671.0,172.0,176.0,162.0,176.0,157.0,1
rubocop/rubocop,13,77,0,0,0,19,104,0,4,5.0,4095287,rubocop/rubocop,https://github.com/rubocop/rubocop,2012-04-21 10:09:58,Ruby,,11576,2803,11576,221,23,rubocop/rubocop,907.0,0.0,2.0,0.0,11343.0,213.0,4335.0,4548.0,26.0,5735.0,5761.0,3.0,397.0,709.0,180.0,175.0,175.0,175.0,184.0,1
mame/quine-relay,0,2,0,0,0,7,10,0,9,0.0,11423758,mame/quine-relay,https://github.com/mame/quine-relay,2013-07-15 13:29:20,Ruby,,11556,523,11556,14,24,mame/quine-relay,18.0,0.0,2.0,0.0,458.0,14.0,65.0,79.0,0.0,40.0,40.0,3.0,187.0,560.0,140.0,174.0,115.0,174.0,97.0,1
spree/spree,28,8,0,0,0,5,26,0,2,0.0,3314,spree/spree,https://github.com/spree/spree,2008-03-10 14:45:35,Ruby,,11543,4821,11543,239,25,spree/spree,1171.0,0.0,2.0,0.0,24595.0,174.0,3895.0,4069.0,69.0,7357.0,7426.0,0.0,290.0,719.0,182.0,173.0,187.0,173.0,186.0,1
lewagon/setup,0,0,0,0,0,0,1,0,0,0.0,18486300,lewagon/setup,https://github.com/lewagon/setup,2014-04-06 09:25:02,Ruby,,11538,1006,11538,10,26,lewagon/setup,63.0,0.0,2.0,0.0,993.0,5.0,113.0,118.0,1.0,245.0,246.0,0.0,58.0,598.0,152.0,172.0,139.0,172.0,115.0,1
sinatra/sinatra,38,3,0,0,0,30,71,0,180,160.0,106995,sinatra/sinatra,https://github.com/sinatra/sinatra,2009-01-14 01:27:30,Ruby,,11482,2034,11482,74,27,sinatra/sinatra,505.0,0.0,2.0,0.0,4362.0,57.0,733.0,790.0,11.0,928.0,939.0,7.0,143.0,666.0,170.0,171.0,164.0,171.0,160.0,1
mperham/sidekiq,5,3,0,0,0,5,13,0,1,0.0,3195124,mperham/sidekiq,https://github.com/mperham/sidekiq,2012-01-16 23:17:27,Ruby,,11415,2037,11415,23,28,mperham/sidekiq,562.0,0.0,2.0,0.0,4166.0,21.0,3838.0,3859.0,3.0,1329.0,1332.0,4.0,92.0,674.0,173.0,170.0,165.0,170.0,169.0,1
chatwoot/chatwoot,16,15,0,0,0,3,20,0,2,0.0,202291859,chatwoot/chatwoot,https://github.com/chatwoot/chatwoot,2019-08-14 06:50:51,Ruby,,11400,1305,11400,486,29,chatwoot/chatwoot,172.0,0.0,2.0,0.0,1918.0,530.0,1400.0,1930.0,36.0,1920.0,1956.0,5.0,57.0,664.0,169.0,169.0,151.0,169.0,175.0,1
tmuxinator/tmuxinator,11,1,1,0,0,5,13,0,30,29.0,1157388,tmuxinator/tmuxinator,https://github.com/tmuxinator/tmuxinator,2010-12-10 21:49:50,Ruby,,11048,611,11048,100,30,tmuxinator/tmuxinator,144.0,0.0,2.0,0.0,842.0,99.0,385.0,484.0,6.0,362.0,368.0,8.0,120.0,586.0,149.0,168.0,121.0,168.0,129.0,1
postalserver/postal,4,2,0,0,0,1,5,0,0,0.0,88740103,postalserver/postal,https://github.com/postalserver/postal,2017-04-19 12:04:57,Ruby,,11002,781,11002,53,31,postalserver/postal,42.0,0.0,2.0,0.0,352.0,45.0,1330.0,1375.0,9.0,116.0,125.0,0.0,18.0,567.0,146.0,167.0,128.0,167.0,105.0,1
fluent/fluentd,13,13,1,0,0,8,12,1,2,0.0,1918677,fluent/fluentd,https://github.com/fluent/fluentd,2011-06-19 08:41:40,Ruby,,10773,1226,10773,115,32,fluent/fluentd,266.0,0.0,2.0,0.0,6254.0,112.0,1726.0,1838.0,6.0,1777.0,1783.0,2.0,45.0,652.0,167.0,166.0,147.0,166.0,173.0,1
Homebrew/homebrew-core,0,0,0,0,0,2,2,0,1,0.0,52855516,Homebrew/homebrew-core,https://github.com/Homebrew/homebrew-core,2016-03-01 06:58:36,Ruby,,10362,9962,10362,161,33,Homebrew/homebrew-core,12243.0,0.0,2.0,0.0,281563.0,24.0,4580.0,4604.0,87.0,91633.0,91720.0,1.0,22.0,723.0,184.0,165.0,196.0,165.0,197.0,1
jordansissel/fpm,26,0,0,0,0,0,0,1,4,0.0,1217404,jordansissel/fpm,https://github.com/jordansissel/fpm,2011-01-03 20:07:59,Ruby,,10254,1021,10254,694,34,jordansissel/fpm,331.0,0.0,2.0,0.0,2232.0,626.0,526.0,1152.0,76.0,642.0,718.0,0.0,12.0,617.0,157.0,164.0,140.0,164.0,149.0,1
faker-ruby/faker,215,7,0,0,0,4,13,0,5,10.0,96395,faker-ruby/faker,https://github.com/faker-ruby/faker,2008-12-24 17:20:37,Ruby,,9609,2783,9609,156,35,faker-ruby/faker,886.0,0.0,2.0,0.0,2474.0,71.0,441.0,512.0,96.0,1839.0,1935.0,0.0,319.0,674.0,173.0,163.0,174.0,163.0,174.0,1
teamcapybara/capybara,45,6,0,0,0,8,29,0,64,69.0,361310,teamcapybara/capybara,https://github.com/teamcapybara/capybara,2009-11-04 22:19:17,Ruby,,9473,1398,9473,27,36,teamcapybara/capybara,384.0,0.0,2.0,0.0,4157.0,9.0,1467.0,1476.0,19.0,1033.0,1052.0,2.0,209.0,642.0,164.0,162.0,155.0,162.0,163.0,1
ruby-grape/grape,180,7,0,0,0,30,53,0,320,245.5,812393,ruby-grape/grape,https://github.com/ruby-grape/grape,2010-08-02 14:25:08,Ruby,,9430,1205,9430,225,37,ruby-grape/grape,450.0,0.0,2.0,0.0,2530.0,199.0,867.0,1066.0,35.0,1144.0,1179.0,2.0,460.0,634.0,161.0,161.0,146.0,161.0,166.0,1
imathis/octopress,7,1,0,0,0,3,6,0,2,0.0,341626,imathis/octopress,https://github.com/imathis/octopress,2009-10-18 21:41:32,Ruby,,9387,2753,9387,253,38,imathis/octopress,133.0,0.0,2.0,0.0,857.0,175.0,811.0,986.0,74.0,708.0,782.0,2.0,41.0,645.0,165.0,160.0,173.0,160.0,152.0,1
github/linguist,6,1,0,0,0,2,3,0,15,11.0,1725199,github/linguist,https://github.com/github/linguist,2011-05-09 22:53:13,Ruby,,9319,3334,9319,97,39,github/linguist,1069.0,19611.0,30.0,30.0,6371.0,65.0,2010.0,2075.0,41.0,3329.0,3370.0,5.0,127.0,676.0,176.0,159.0,181.0,159.0,177.0,1
Shopify/liquid,14,2,0,0,0,1,5,0,8,7.0,15435,Shopify/liquid,https://github.com/Shopify/liquid,2008-05-08 15:27:26,Ruby,,9177,1196,9177,238,40,Shopify/liquid,188.0,0.0,2.0,0.0,1499.0,197.0,535.0,732.0,58.0,728.0,786.0,0.0,27.0,614.0,155.0,158.0,145.0,158.0,153.0,1
