S,P,F1,F2
0.37729196193122344,3.9470792235521385e-08,List,Image
0.10260606062224424,0.14926647145586983,List,Animation
0.18327900531781802,0.009565091954320742,List,Video
0.1505647799259808,0.03377788529885007,List,Table
0.4950590147248957,1.0618512447597285e-13,List,Github
0.5349936267343535,3.951152080355161e-16,List,Links
0.13066280174773326,0.06584048129594933,List,Project
0.4165973151126316,9.33816716004323e-10,List,Inline
0.31332770445186015,6.600594730834656e-06,List,Code
0.37729196193122344,3.9470792235521385e-08,Image,List
0.2457227271032357,0.0004682351264993948,Image,Animation
0.1787993687970207,0.011511323788472723,Image,Video
0.07230042206296712,0.3101884865546915,Image,Table
0.5611446405810869,6.6567557106655305e-18,Image,Github
0.6807002547082449,1.9636234093687714e-28,Image,Links
0.26141271980897385,0.00019185189889930868,Image,Project
0.16298473702826108,0.021442545811093155,Image,Inline
0.2821775901195603,5.393359358466694e-05,Image,Code
0.10260606062224424,0.14926647145586983,Animation,List
0.2457227271032357,0.0004682351264993948,Animation,Image
-0.055098213882801256,0.43955379832795693,Animation,Video
-0.02192504085330812,0.7585546827384492,Animation,Table
0.20251084923346122,0.004123539967598777,Animation,Github
0.167544798401189,0.018012273666362533,Animation,Links
0.15412774974028992,0.02973917455780837,Animation,Project
0.0256218579569062,0.719428401704669,Animation,Inline
0.15226966092145203,0.03179074153961681,Animation,Code
0.18327900531781802,0.009565091954320742,Video,List
0.17879936879702074,0.0115113237884727,Video,Image
-0.055098213882801256,0.43955379832795693,Video,Animation
0.18073357019896172,0.010631854117365306,Video,Table
0.16655984168308396,0.018709847165157556,Video,Github
0.2097376111598037,0.002946971629230513,Video,Links
-0.021004368680396814,0.7683995682075478,Video,Project
0.01846933872878572,0.7956947650902028,Video,Inline
0.16472297103017877,0.02007358758727342,Video,Code
0.1505647799259808,0.03377788529885007,Table,List
0.0723004220629671,0.3101884865546917,Table,Image
-0.02192504085330812,0.7585546827384492,Table,Animation
0.18073357019896172,0.010631854117365306,Table,Video
-0.03870806876730719,0.5872619247852584,Table,Github
0.016835439812351596,0.8134220295496558,Table,Links
-0.03457451012032207,0.6278140153372507,Table,Project
0.005606725276561781,0.9373548001806132,Table,Inline
0.015009400124159196,0.8333463985437367,Table,Code
0.4950590147248957,1.0618512447597285e-13,Github,List
0.5611446405810869,6.6567557106655305e-18,Github,Image
0.20251084923346124,0.004123539967598777,Github,Animation
0.16655984168308394,0.018709847165157615,Github,Video
-0.03870806876730718,0.5872619247852586,Github,Table
0.8634929691290919,1.808045350752955e-60,Github,Links
0.3081833246028612,9.496227181311507e-06,Github,Project
0.36888006971370696,8.267635659087502e-08,Github,Inline
0.1874870506422077,0.008008167417547554,Github,Code
0.5349936267343535,3.951152080355161e-16,Links,List
0.6807002547082449,1.9636234093687714e-28,Links,Image
0.16754479840118897,0.018012273666362533,Links,Animation
0.2097376111598037,0.002946971629230513,Links,Video
0.0168354398123516,0.8134220295496557,Links,Table
0.863492969129092,1.8080453507528003e-60,Links,Github
0.2901236072543827,3.229186681364989e-05,Links,Project
0.38828649492716916,1.4542775840116665e-08,Links,Inline
0.252970490748122,0.0003122487334607076,Links,Code
0.13066280174773323,0.06584048129594937,Project,List
0.26141271980897385,0.00019185189889930868,Project,Image
0.1541277497402899,0.02973917455780837,Project,Animation
-0.021004368680396814,0.7683995682075478,Project,Video
-0.034574510120322074,0.6278140153372506,Project,Table
0.3081833246028612,9.496227181311507e-06,Project,Github
0.2901236072543827,3.229186681364989e-05,Project,Links
0.021109851800789992,0.7672697058791551,Project,Inline
0.11268607380584524,0.11304131911906687,Project,Code
0.4165973151126316,9.33816716004323e-10,Inline,List
0.16298473702826108,0.021442545811093155,Inline,Image
0.0256218579569062,0.719428401704669,Inline,Animation
0.01846933872878572,0.7956947650902028,Inline,Video
0.005606725276561781,0.9373548001806132,Inline,Table
0.368880069713707,8.267635659087502e-08,Inline,Github
0.3882864949271692,1.4542775840116559e-08,Inline,Links
0.021109851800789992,0.7672697058791551,Inline,Project
0.19622758704738388,0.00547366952123218,Inline,Code
0.31332770445186015,6.600594730834656e-06,Code,List
0.2821775901195603,5.393359358466694e-05,Code,Image
0.15226966092145203,0.03179074153961681,Code,Animation
0.16472297103017874,0.02007358758727342,Code,Video
0.015009400124159194,0.8333463985437367,Code,Table
0.1874870506422077,0.008008167417547554,Code,Github
0.252970490748122,0.0003122487334607076,Code,Links
0.11268607380584524,0.11304131911906687,Code,Project
0.19622758704738388,0.00547366952123218,Code,Inline
