S,P,F1,F2
0.42073285544617095,1.6611931148045859e-09,List,Image
0.1998803402903572,0.0058235627285625905,List,Animation
0.2474856260139215,0.0005961470248814173,List,Video
nan,nan,List,Table
0.5356300698477369,1.998145515872422e-15,List,Github
0.5954398467012871,1.6171624175720455e-19,List,Links
0.2689474312686945,0.00018250895815529833,List,Project
0.47497882457975243,5.002724489162471e-12,List,Inline
0.27119001828598654,0.00016033346587258646,List,Code
0.4207328554461709,1.6611931148045857e-09,Image,List
0.24781335093708406,0.0005859086937284153,Image,Animation
0.13966170211249435,0.05527631971730835,Image,Video
nan,nan,Image,Table
0.6226829803738552,1.113043853963516e-21,Image,Github
0.7509948172160688,1.5158684509817475e-35,Image,Links
0.35314943337501264,6.217527112526573e-07,Image,Project
0.2586550070037161,0.0003260413022741054,Image,Inline
0.13399245074732524,0.0660374812018657,Image,Code
0.19988034029035717,0.0058235627285625905,Animation,List
0.24781335093708406,0.0005859086937284153,Animation,Image
-0.0267805558886456,0.7145180838412772,Animation,Video
nan,nan,Animation,Table
0.20281762439753037,0.0051271679392416395,Animation,Github
0.12068537563514017,0.09808797193284234,Animation,Links
0.01071760647354715,0.8836297317662246,Animation,Project
0.009717501637589072,0.894422388531114,Animation,Inline
0.039349937968483364,0.5908589645099853,Animation,Code
0.2474856260139215,0.0005961470248814173,Video,List
0.13966170211249435,0.05527631971730835,Video,Image
-0.0267805558886456,0.7145180838412772,Video,Animation
nan,nan,Video,Table
0.19025435870015092,0.008736199236121768,Video,Github
0.24090573442613483,0.0008400414624108099,Video,Links
0.20689997595884596,0.004283275464035808,Video,Project
0.018300768387689962,0.802629235125518,Video,Inline
0.025673061163429354,0.7258414756175655,Video,Code
nan,nan,Table,List
nan,nan,Table,Image
nan,nan,Table,Animation
nan,nan,Table,Video
nan,nan,Table,Github
nan,nan,Table,Links
nan,nan,Table,Project
nan,nan,Table,Inline
nan,nan,Table,Code
0.5356300698477369,1.998145515872422e-15,Github,List
0.6226829803738552,1.113043853963516e-21,Github,Image
0.20281762439753034,0.005127167939241651,Github,Animation
0.19025435870015092,0.008736199236121768,Github,Video
nan,nan,Github,Table
0.8109914400261515,2.0962131935030067e-45,Github,Links
0.49877064029548657,2.7893659111231007e-13,Github,Project
0.3673965595429886,1.988747691347935e-07,Github,Inline
0.16667184822866565,0.02189321175940564,Github,Code
0.5954398467012871,1.6171624175720455e-19,Links,List
0.7509948172160689,1.5158684509817043e-35,Links,Image
0.12068537563514017,0.09808797193284234,Links,Animation
0.24090573442613483,0.0008400414624108099,Links,Video
nan,nan,Links,Table
0.8109914400261515,2.0962131935030067e-45,Links,Github
0.4764945631874238,4.189757464071859e-12,Links,Project
0.36148402046336026,3.2132272996218143e-07,Links,Inline
0.2520520164468595,0.00046732848873406606,Links,Code
0.2689474312686946,0.0001825089581552979,Project,List
0.3531494333750126,6.217527112526595e-07,Project,Image
0.01071760647354715,0.8836297317662246,Project,Animation
0.206899975958846,0.0042832754640358,Project,Video
nan,nan,Project,Table
0.4987706402954866,2.78936591112308e-13,Project,Github
0.4764945631874238,4.189757464071859e-12,Project,Links
0.2805534147592745,9.221665870586133e-05,Project,Inline
0.14356543237797567,0.048743738679970915,Project,Code
0.47497882457975243,5.002724489162471e-12,Inline,List
0.2586550070037161,0.0003260413022741054,Inline,Image
0.009717501637589072,0.894422388531114,Inline,Animation
0.018300768387689962,0.802629235125518,Inline,Video
nan,nan,Inline,Table
0.36739655954298867,1.988747691347931e-07,Inline,Github
0.36148402046336026,3.2132272996218143e-07,Inline,Links
0.2805534147592744,9.221665870586133e-05,Inline,Project
0.4804535780474861,2.6256039060471175e-12,Inline,Code
0.27119001828598654,0.00016033346587258646,Code,List
0.13399245074732524,0.0660374812018657,Code,Image
0.039349937968483364,0.5908589645099853,Code,Animation
0.025673061163429354,0.7258414756175655,Code,Video
nan,nan,Code,Table
0.16667184822866565,0.02189321175940564,Code,Github
0.25205201644685954,0.00046732848873406606,Code,Links
0.1435654323779757,0.04874373867997089,Code,Project
0.4804535780474861,2.6256039060471175e-12,Code,Inline
