S,P,F1,F2
0.5133671802224583,1.666150656780176e-14,List,Image
0.008446334269774577,0.9067091577211001,List,Animation
0.35037686401308066,5.130071277387421e-07,List,Video
nan,nan,List,Table
0.6853727216291376,2.156269821794587e-28,List,Github
0.7222533564079485,9.8483984475874e-33,List,Links
0.25819889558916265,0.00026805632717079466,List,Project
0.39032788032532434,1.691062106474201e-08,List,Inline
0.25395952267950633,0.00034036629178972686,List,Code
0.5133671802224583,1.666150656780176e-14,Image,List
0.2877653635489386,4.518889076425761e-05,Image,Animation
0.32961146063539326,2.5343920055762153e-06,Image,Video
nan,nan,Image,Table
0.6108590254564787,2.4852317886769877e-21,Image,Github
0.7329548769171517,3.9811861377395665e-34,Image,Links
0.24764365539132327,0.0004822066491834096,Image,Project
0.22444061292551357,0.0016086514302981378,Image,Inline
0.1963480381210363,0.005940382066303894,Image,Code
0.008446334269774577,0.9067091577211001,Animation,List
0.2877653635489386,4.518889076425761e-05,Animation,Image
0.11208793243494806,0.11874100720455301,Animation,Video
nan,nan,Animation,Table
0.15858310490838085,0.026809102445767497,Animation,Github
0.1347148846839153,0.06042706573655386,Animation,Links
-0.0728619472592939,0.31141071418867944,Animation,Project
0.11348399473775775,0.11419013269584462,Animation,Inline
0.2104144371795565,0.003151983340146216,Animation,Code
0.35037686401308066,5.130071277387421e-07,Video,List
0.3296114606353933,2.5343920055762153e-06,Video,Image
0.11208793243494806,0.11874100720455301,Video,Animation
nan,nan,Video,Table
0.28407806891588067,5.705716368650203e-05,Video,Github
0.38093391633057794,3.933639078649795e-08,Video,Links
0.11079650262226087,0.12307526647991253,Video,Project
0.09584141629104738,0.18259148063507746,Video,Inline
0.07863689694003236,0.2745090245297866,Video,Code
nan,nan,Table,List
nan,nan,Table,Image
nan,nan,Table,Animation
nan,nan,Table,Video
nan,nan,Table,Github
nan,nan,Table,Links
nan,nan,Table,Project
nan,nan,Table,Inline
nan,nan,Table,Code
0.6853727216291378,2.1562698217945256e-28,Github,List
0.6108590254564787,2.4852317886769877e-21,Github,Image
0.15858310490838085,0.026809102445767497,Github,Animation
0.28407806891588067,5.705716368650203e-05,Github,Video
nan,nan,Github,Table
0.8645501788644765,1.406295775129572e-59,Github,Links
0.39995932935026124,6.920763884718316e-09,Github,Project
0.31046258881587496,1.0001347611873057e-05,Github,Inline
0.24155780887955267,0.0006689341775738873,Github,Code
0.7222533564079486,9.84839844758726e-33,Links,List
0.7329548769171517,3.9811861377395665e-34,Links,Image
0.1347148846839153,0.06042706573655386,Links,Animation
0.38093391633057794,3.933639078649795e-08,Links,Video
nan,nan,Links,Table
0.8645501788644765,1.406295775129572e-59,Links,Github
0.35406192018723043,3.816807015530906e-07,Links,Project
0.307421025595798,1.2331910962288135e-05,Links,Inline
0.2062223960512396,0.0038233540356099067,Links,Code
0.25819889558916265,0.00026805632717079466,Project,List
0.2476436553913233,0.0004822066491834096,Project,Image
-0.07286194725929389,0.3114107141886796,Project,Animation
0.11079650262226087,0.12307526647991253,Project,Video
nan,nan,Project,Table
0.39995932935026124,6.920763884718316e-09,Project,Github
0.35406192018723043,3.816807015530906e-07,Project,Links
0.08791869994418844,0.22163477116813202,Project,Inline
-0.05068331359293487,0.48164699918172094,Project,Code
0.3903278803253243,1.6910621064742143e-08,Inline,List
0.22444061292551357,0.0016086514302981378,Inline,Image
0.11348399473775775,0.11419013269584462,Inline,Animation
0.09584141629104737,0.18259148063507757,Inline,Video
nan,nan,Inline,Table
0.31046258881587496,1.0001347611873057e-05,Inline,Github
0.307421025595798,1.2331910962288135e-05,Inline,Links
0.08791869994418844,0.22163477116813202,Inline,Project
0.5989640616128481,2.2642597384120976e-20,Inline,Code
0.25395952267950633,0.00034036629178972686,Code,List
0.1963480381210363,0.005940382066303894,Code,Image
0.21041443717955652,0.0031519833401462034,Code,Animation
0.07863689694003236,0.2745090245297866,Code,Video
nan,nan,Code,Table
0.24155780887955267,0.0006689341775738873,Code,Github
0.2062223960512396,0.0038233540356099067,Code,Links
-0.05068331359293487,0.48164699918172094,Code,Project
0.5989640616128481,2.2642597384120976e-20,Code,Inline
