S,P,F1,F2
0.3635721070664165,2.0247633070476206e-07,List,Image
-0.07664433046483875,0.2894088210986505,List,Animation
0.18945224315275883,0.008320041076990449,List,Video
nan,nan,List,Table
0.5699060971833458,5.148988620665401e-18,List,Github
0.6574349148868841,2.9123542927105123e-25,List,Links
0.1878604258288878,0.008890880643350325,List,Project
0.29766098215018544,2.621607969564323e-05,List,Inline
0.2350853919697644,0.0009985350501974886,List,Code
0.3635721070664165,2.0247633070476206e-07,Image,List
0.1995796836010361,0.005391037317805201,Image,Animation
0.22913706705190412,0.0013489832157008506,Image,Video
nan,nan,Image,Table
0.5926193800017128,1.0983644817786108e-19,Image,Github
0.6304539994970705,8.8239514531549e-23,Image,Links
0.2050289524693089,0.004232404318003295,Image,Project
0.11061240107344725,0.12567123356790433,Image,Inline
0.15592146197325846,0.030363210342789156,Image,Code
-0.07664433046483875,0.2894088210986505,Animation,List
0.1995796836010361,0.005391037317805201,Animation,Image
0.14678903261979406,0.04164413459549757,Animation,Video
nan,nan,Animation,Table
-0.03537723180162539,0.6252407014107888,Animation,Github
-0.07448921704864042,0.3032231868541949,Animation,Links
-0.010748076691307739,0.8820654813108224,Animation,Project
-0.1517438020375467,0.03515117916630842,Animation,Inline
0.131041139772824,0.069294219910829,Animation,Code
0.1894522431527588,0.008320041076990449,Video,List
0.22913706705190412,0.0013489832157008506,Video,Image
0.14678903261979406,0.04164413459549757,Video,Animation
nan,nan,Video,Table
0.1241278767260853,0.08545147116697208,Video,Github
0.20770180906972635,0.0037505113733724304,Video,Links
0.057110519995395265,0.43017347256203287,Video,Project
0.11601928114607596,0.1081088478167103,Video,Inline
0.1352026032908226,0.06083259799528652,Video,Code
nan,nan,Table,List
nan,nan,Table,Image
nan,nan,Table,Animation
nan,nan,Table,Video
nan,nan,Table,Github
nan,nan,Table,Links
nan,nan,Table,Project
nan,nan,Table,Inline
nan,nan,Table,Code
0.5699060971833458,5.148988620665401e-18,Github,List
0.5926193800017128,1.0983644817786108e-19,Github,Image
-0.03537723180162539,0.6252407014107888,Github,Animation
0.1241278767260853,0.08545147116697208,Github,Video
nan,nan,Github,Table
0.871174275294329,6.489265669178659e-61,Github,Links
0.30284935362516346,1.8609414577137706e-05,Github,Project
0.17593034189071166,0.014391310437087065,Github,Inline
0.06037592770393461,0.4042349289571522,Github,Code
0.6574349148868841,2.9123542927105123e-25,Links,List
0.6304539994970705,8.8239514531549e-23,Links,Image
-0.07448921704864042,0.3032231868541949,Links,Animation
0.20770180906972638,0.003750511373372423,Links,Video
nan,nan,Links,Table
0.871174275294329,6.489265669178659e-61,Links,Github
0.24292034560265263,0.0006641480170854897,Links,Project
0.22269292922293812,0.0018529927537735645,Links,Inline
0.10051916672865518,0.16425247103945387,Links,Code
0.1878604258288878,0.008890880643350325,Project,List
0.20502895246930894,0.004232404318003295,Project,Image
-0.010748076691307739,0.8820654813108224,Project,Animation
0.057110519995395265,0.43017347256203287,Project,Video
nan,nan,Project,Table
0.30284935362516346,1.8609414577137706e-05,Project,Github
0.24292034560265263,0.0006641480170854897,Project,Links
0.2400629694766938,0.0007718226004158051,Project,Inline
0.08802909904500213,0.2234673642227027,Project,Code
0.29766098215018544,2.621607969564323e-05,Inline,List
0.11061240107344725,0.12567123356790433,Inline,Image
-0.15174380203754673,0.035151179166308374,Inline,Animation
0.11601928114607596,0.1081088478167103,Inline,Video
nan,nan,Inline,Table
0.17593034189071166,0.014391310437087065,Inline,Github
0.22269292922293812,0.0018529927537735645,Inline,Links
0.2400629694766938,0.0007718226004158051,Inline,Project
0.39888799657070256,9.148245535861642e-09,Inline,Code
0.2350853919697644,0.0009985350501974886,Code,List
0.15592146197325846,0.030363210342789156,Code,Image
0.131041139772824,0.069294219910829,Code,Animation
0.13520260329082262,0.060832597995286425,Code,Video
nan,nan,Code,Table
0.060375927703934615,0.4042349289571522,Code,Github
0.10051916672865518,0.16425247103945387,Code,Links
0.08802909904500211,0.22346736422270283,Code,Project
0.3988879965707025,9.14824553586164e-09,Code,Inline
