S,P,F1,F2
0.4411062090216656,9.742077908417384e-11,List,Image
0.040898449651058204,0.5692515663984845,List,Animation
0.25654406298736193,0.0002838844494056675,List,Video
nan,nan,List,Table
0.5360230452852767,5.671446374155242e-16,List,Github
0.5936373250839588,4.746759412765442e-20,List,Links
0.2700054857974093,0.00012959510809396987,List,Project
0.5916777724263703,6.739313551688273e-20,List,Inline
0.3119710402262958,8.536904541652739e-06,List,Code
0.4411062090216656,9.742077908417384e-11,Image,List
0.23701294230270806,0.0008235856038333885,Image,Animation
0.21680750358708997,0.0022711106569737022,Image,Video
nan,nan,Image,Table
0.6213257290618167,2.5698236682239835e-22,Image,Github
0.7486274400716928,1.794580916643634e-36,Image,Links
0.30858041125568514,1.0807183560999076e-05,Image,Project
0.2741114251252037,0.00010118101214076874,Image,Inline
0.2745757840960007,9.836370863068411e-05,Image,Code
0.040898449651058204,0.5692515663984845,Animation,List
0.23701294230270809,0.0008235856038333885,Animation,Image
0.2808815557953257,6.669800090505666e-05,Animation,Video
nan,nan,Animation,Table
0.11706670507862893,0.10224326871941466,Animation,Github
0.1493894826052232,0.036634272099377085,Animation,Links
0.09442732131233288,0.1880162940222971,Animation,Project
0.09144277789735447,0.2024216043778124,Animation,Inline
0.04070335338091642,0.571096864882181,Animation,Code
0.256544062987362,0.0002838844494056653,Video,List
0.21680750358708994,0.0022711106569737022,Video,Image
0.2808815557953257,6.669800090505666e-05,Video,Animation
nan,nan,Video,Table
0.32434338782249217,3.522099715613466e-06,Video,Github
0.3681930660328684,1.0996273204695363e-07,Video,Links
0.35545348623163875,3.1797822839793287e-07,Video,Project
0.11564551281110415,0.10650541820063328,Video,Inline
-0.059262050524533545,0.4093220133626053,Video,Code
nan,nan,Table,List
nan,nan,Table,Image
nan,nan,Table,Animation
nan,nan,Table,Video
nan,nan,Table,Github
nan,nan,Table,Links
nan,nan,Table,Project
nan,nan,Table,Inline
nan,nan,Table,Code
0.5360230452852767,5.671446374155242e-16,Github,List
0.6213257290618167,2.5698236682239835e-22,Github,Image
0.11706670507862893,0.10224326871941466,Github,Animation
0.32434338782249217,3.522099715613466e-06,Github,Video
nan,nan,Github,Table
0.861627998579233,4.81596516923464e-59,Github,Links
0.46742955212260673,4.9521811054851375e-12,Github,Project
0.3976998033038799,7.831482023033526e-09,Github,Inline
0.25656815188774607,0.000283496847162228,Github,Code
0.5936373250839587,4.746759412765442e-20,Links,List
0.7486274400716928,1.794580916643634e-36,Links,Image
0.1493894826052232,0.036634272099377085,Links,Animation
0.36819306603286844,1.0996273204695322e-07,Links,Video
nan,nan,Links,Table
0.8616279985792329,4.815965169235052e-59,Links,Github
0.43748145332545874,1.439805201839707e-10,Links,Project
0.3794697977167339,4.13126929039154e-08,Links,Inline
0.25106489625543726,0.00038603885118502514,Links,Code
0.2700054857974093,0.00012959510809396987,Project,List
0.30858041125568514,1.0807183560999076e-05,Project,Image
0.09442732131233288,0.1880162940222971,Project,Animation
0.3554534862316388,3.179782283979325e-07,Project,Video
nan,nan,Project,Table
0.46742955212260673,4.9521811054851375e-12,Project,Github
0.4374814533254588,1.439805201839707e-10,Project,Links
0.16950288374887695,0.017545439313667532,Project,Inline
-0.024191517975526884,0.7364454505031973,Project,Code
0.5916777724263704,6.739313551688129e-20,Inline,List
0.2741114251252037,0.00010118101214076874,Inline,Image
0.09144277789735446,0.2024216043778126,Inline,Animation
0.11564551281110415,0.10650541820063328,Inline,Video
nan,nan,Inline,Table
0.39769980330387983,7.831482023033583e-09,Inline,Github
0.37946979771673395,4.131269290391525e-08,Inline,Links
0.16950288374887695,0.017545439313667532,Inline,Project
0.525670234133068,2.550501163180783e-15,Inline,Code
0.31197104022629585,8.536904541652705e-06,Code,List
0.2745757840960007,9.836370863068411e-05,Code,Image
0.04070335338091642,0.571096864882181,Code,Animation
-0.05926205052453354,0.40932201336260554,Code,Video
nan,nan,Code,Table
0.256568151887746,0.00028349684716222844,Code,Github
0.2510648962554372,0.0003860388511850271,Code,Links
-0.024191517975526888,0.7364454505031973,Code,Project
0.525670234133068,2.550501163180783e-15,Code,Inline
