S,P,F1,F2
0.21777012149166453,0.0021682379537476806,List,Image
-2.9507135601307405e-05,0.9996725022568769,List,Animation
0.14985914408124243,0.03604123861964148,List,Video
nan,nan,List,Table
0.42062052839271624,8.348734599690547e-10,List,Github
0.5207056077766926,5.151424825525209e-15,List,Links
0.10057459783884375,0.16073705623104728,List,Project
0.4822795861182921,8.215183086260811e-13,List,Inline
0.2493486837312798,0.0004244645836017486,List,Code
0.21777012149166455,0.0021682379537476763,Image,List
0.17149154940248887,0.016245330350824608,Image,Animation
0.07226723679152074,0.3141334447826832,Image,Video
nan,nan,Image,Table
0.4039235156845364,4.335889630707501e-09,Image,Github
0.6801601578606425,5.7518269274883165e-28,Image,Links
0.24378090422460144,0.0005748796623584239,Image,Project
0.1619651110048335,0.023328988708420047,Image,Inline
0.2260387189105855,0.0014443763385003313,Image,Code
-2.95071356013074e-05,0.9996725022568769,Animation,List
0.17149154940248887,0.016245330350824608,Animation,Image
-0.02874731576538694,0.6891780116754682,Animation,Video
nan,nan,Animation,Table
0.029632174028635928,0.6801287316833916,Animation,Github
0.03938189276284779,0.5836695416317215,Animation,Links
0.13721701974915196,0.055132304970903545,Animation,Project
-0.04391667253756589,0.5410700217853441,Animation,Inline
-0.039424186415562286,0.583265175513155,Animation,Code
0.14985914408124243,0.03604123861964148,Video,List
0.07226723679152074,0.3141334447826832,Video,Image
-0.02874731576538694,0.6891780116754682,Video,Animation
nan,nan,Video,Table
0.0544328827236019,0.4486018793320431,Video,Github
0.17431472161709335,0.014544208996976503,Video,Links
0.03321000514402434,0.6440141599637754,Video,Project
0.013488648064394239,0.8511575219025489,Video,Inline
-0.03883577898659137,0.5889024903646289,Video,Code
nan,nan,Table,List
nan,nan,Table,Image
nan,nan,Table,Animation
nan,nan,Table,Video
nan,nan,Table,Github
nan,nan,Table,Links
nan,nan,Table,Project
nan,nan,Table,Inline
nan,nan,Table,Code
0.42062052839271624,8.348734599690547e-10,Github,List
0.4039235156845364,4.335889630707501e-09,Github,Image
0.029632174028635928,0.6801287316833916,Github,Animation
0.0544328827236019,0.4486018793320431,Github,Video
nan,nan,Github,Table
0.7656661814311794,4.966106696563724e-39,Github,Links
0.35822474194478365,2.53385950571818e-07,Github,Project
0.23070896609315583,0.0011408637544450576,Github,Inline
0.13165746493123784,0.06585198544889362,Github,Code
0.5207056077766927,5.151424825525209e-15,Links,List
0.6801601578606425,5.7518269274883165e-28,Links,Image
0.03938189276284779,0.5836695416317215,Links,Animation
0.17431472161709335,0.014544208996976503,Links,Video
nan,nan,Links,Table
0.7656661814311795,4.96610669656344e-39,Links,Github
0.28557779360990737,4.963596369812411e-05,Links,Project
0.2769374998362109,8.513728899295823e-05,Links,Inline
0.2760082310750188,9.012895872411816e-05,Links,Code
0.10057459783884375,0.16073705623104728,Project,List
0.24378090422460144,0.0005748796623584239,Project,Image
0.13721701974915196,0.055132304970903545,Project,Animation
0.03321000514402434,0.6440141599637754,Project,Video
nan,nan,Project,Table
0.3582247419447837,2.5338595057181717e-07,Project,Github
0.28557779360990737,4.963596369812411e-05,Project,Links
0.057677973993971565,0.42197738936453355,Project,Inline
0.0296266231791548,0.680185358604575,Project,Code
0.4822795861182921,8.215183086260811e-13,Inline,List
0.1619651110048335,0.023328988708420047,Inline,Image
-0.0439166725375659,0.5410700217853441,Inline,Animation
0.013488648064394239,0.8511575219025489,Inline,Video
nan,nan,Inline,Table
0.23070896609315583,0.0011408637544450576,Inline,Github
0.27693749983621085,8.513728899295846e-05,Inline,Links
0.05767797399397156,0.42197738936453355,Inline,Project
0.6452407158376855,1.830360857280062e-24,Inline,Code
0.2493486837312798,0.0004244645836017486,Code,List
0.2260387189105855,0.0014443763385003313,Code,Image
-0.039424186415562286,0.583265175513155,Code,Animation
-0.038835778986591366,0.5889024903646292,Code,Video
nan,nan,Code,Table
0.13165746493123784,0.06585198544889362,Code,Github
0.2760082310750188,9.012895872411816e-05,Code,Links
0.029626623179154803,0.680185358604575,Code,Project
0.6452407158376856,1.8303608572800222e-24,Code,Inline
