S,P,F1,F2
0.43035246730401194,3.7781731531904354e-10,List,Image
0.24934492718143753,0.00045477363651174463,List,Animation
0.3688889196718715,1.2053708672056236e-07,List,Video
0.17435136876510554,0.015040928771447875,List,Table
0.5659816385878721,7.990824823460344e-18,List,Github
0.577725850063324,1.1527669206633013e-18,List,Links
0.35767272571144837,3.0553399785313275e-07,List,Project
0.5064306632636753,4.937196324238095e-14,List,Inline
0.44041247270724654,1.3094212843252504e-10,List,Code
0.43035246730401194,3.7781731531904354e-10,Image,List
0.3789090042047617,5.093835823713698e-08,Image,Animation
0.3243385282491294,3.956490439235877e-06,Image,Video
0.09924037682252307,0.16859677588817445,Image,Table
0.6328407020686722,4.205149655853496e-23,Image,Github
0.6866775095945717,2.14173070238072e-28,Image,Links
0.29112229024642317,3.818164384670895e-05,Image,Project
0.15574021558408455,0.030125181747318715,Image,Inline
0.40417197788380255,5.08529929864225e-09,Image,Code
0.24934492718143753,0.00045477363651174463,Animation,List
0.3789090042047617,5.093835823713698e-08,Animation,Image
0.030998307836835475,0.6678727287872159,Animation,Video
0.06682628915639424,0.35454851172200963,Animation,Table
0.1740297921662166,0.015231063625782939,Animation,Github
0.21328615870764028,0.0028268075035308674,Animation,Links
0.036869648754759024,0.6097784979008869,Animation,Project
0.11610757196410444,0.10691893954027633,Animation,Inline
0.2123517735789151,0.0029530725553982774,Animation,Code
0.36888891967187143,1.2053708672056284e-07,Video,List
0.32433852824912945,3.956490439235871e-06,Video,Image
0.03099830783683548,0.6678727287872157,Video,Animation
0.06618575271719909,0.3591902207024653,Video,Table
0.4526263453301618,3.449196308507904e-11,Video,Github
0.4614110431384713,1.2781476129724881e-11,Video,Links
0.34620969757712444,7.623815012731224e-07,Video,Project
0.17988873735953567,0.012077328076060866,Video,Inline
0.09502393378615931,0.1875166191245476,Video,Code
0.17435136876510557,0.015040928771447849,Table,List
0.09924037682252305,0.16859677588817454,Table,Image
0.06682628915639426,0.35454851172200974,Table,Animation
0.06618575271719909,0.3591902207024653,Table,Video
0.16438346382234215,0.021997937117001896,Table,Github
0.18550717153077334,0.009607778688203672,Table,Links
0.05151179165488085,0.47565190522494905,Table,Project
-0.02111829640620473,0.7700759636663921,Table,Inline
0.21726305258466685,0.0023423170097641487,Table,Code
0.5659816385878721,7.990824823460344e-18,Github,List
0.6328407020686722,4.205149655853496e-23,Github,Image
0.17402979216621664,0.015231063625782927,Github,Animation
0.4526263453301618,3.449196308507904e-11,Github,Video
0.16438346382234215,0.021997937117001896,Github,Table
0.9050000210124778,3.419459992214894e-73,Github,Links
0.4582742905608837,1.8278455942699323e-11,Github,Project
0.28232480213628,6.65321197433772e-05,Github,Inline
0.47304262921667745,3.28466665458847e-12,Github,Code
0.5777258500633239,1.152766920663326e-18,Links,List
0.6866775095945716,2.1417307023807505e-28,Links,Image
0.21328615870764028,0.0028268075035308674,Links,Animation
0.4614110431384713,1.2781476129724881e-11,Links,Video
0.18550717153077337,0.009607778688203662,Links,Table
0.9050000210124779,3.419459992214408e-73,Links,Github
0.4186186518791596,1.245391949967074e-09,Links,Project
0.31380169367505784,8.367077514140234e-06,Links,Inline
0.45183978952662596,3.764648759028594e-11,Links,Code
0.35767272571144837,3.0553399785313275e-07,Project,List
0.29112229024642317,3.818164384670895e-05,Project,Image
0.03686964875475902,0.6097784979008871,Project,Animation
0.34620969757712444,7.623815012731224e-07,Project,Video
0.05151179165488085,0.47565190522494905,Project,Table
0.4582742905608837,1.8278455942699323e-11,Project,Github
0.41861865187915964,1.245391949967074e-09,Project,Links
0.24970830036004804,0.0004458393430792074,Project,Inline
0.17736379247044567,0.013358191205793105,Project,Code
0.5064306632636753,4.937196324238095e-14,Inline,List
0.15574021558408457,0.03012518174731867,Inline,Image
0.11610757196410444,0.10691893954027633,Inline,Animation
0.17988873735953567,0.012077328076060866,Inline,Video
-0.02111829640620473,0.7700759636663921,Inline,Table
0.28232480213628,6.65321197433772e-05,Inline,Github
0.31380169367505784,8.367077514140234e-06,Inline,Links
0.24970830036004804,0.0004458393430792074,Inline,Project
0.44125596000896294,1.1962006622385353e-10,Inline,Code
0.44041247270724654,1.3094212843252504e-10,Code,List
0.4041719778838025,5.085299298642287e-09,Code,Image
0.21235177357891508,0.0029530725553982844,Code,Animation
0.09502393378615931,0.1875166191245476,Code,Video
0.21726305258466683,0.0023423170097641487,Code,Table
0.4730426292166774,3.28466665458847e-12,Code,Github
0.451839789526626,3.7646487590285664e-11,Code,Links
0.17736379247044567,0.013358191205793105,Code,Project
0.44125596000896294,1.1962006622385353e-10,Code,Inline
