,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.9,0.76,0.82,0.81,0.83,0.8,0.63,0.78,0.75,0.85
Video,-0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02
Animation,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.01
Table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01
Code,0.0,0.01,0.0,0.02,0.0,-0.01,0.0,0.0,-0.0,0.12
Inline,0.02,-0.02,-0.01,0.01,0.02,0.01,0.0,0.01,-0.01,-0.02
List,0.03,0.01,0.07,0.03,-0.0,-0.0,-0.02,0.02,-0.0,0.01
Links,0.08,,,,0.22,,0.13,0.18,0.12,0.17
Image,0.16,0.02,0.12,0.06,0.01,0.08,-0.02,0.01,-0.0,0.01
Github,,0.21,0.07,0.25,,0.05,,,,
